"FTE Staffing Report for Trend"

"",,,"Year",,,,
="North Branford School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="North Canaan School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="North Haven School District",="Library/Media - Specialists (Certified)",="Certified",6.6,6.0,7.0,7.0,6.0
="North Stonington School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Norwalk School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,2.0,3.0,2.0
="Norwich Free Academy District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Norwich School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,3.0,4.0,4.0
="Old Saybrook School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Orange School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Oxford School District",="Library/Media - Specialists (Certified)",="Certified",4.0,3.0,4.0,4.0,3.0
="Plainfield School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Plainville School District",="Library/Media - Specialists (Certified)",="Certified",5.0,5.0,5.0,5.0,5.0
="Plymouth School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,.,1.0,2.0
="Pomfret School District",="Library/Media - Specialists (Certified)",="Certified",1.0,.,1.0,1.0,1.0
="Portland School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Preston School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Putnam School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Redding School District",="Library/Media - Specialists (Certified)",="Certified",2.4,3.0,2.4,2.4,2.0
="Regional School District 01",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 04",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,1.0,2.0,2.0
="Regional School District 05",="Library/Media - Specialists (Certified)",="Certified",3.8,3.8,4.0,4.0,4.0
="Regional School District 06",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.8,0.6
="Regional School District 07",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 08",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.2,1.0,2.0
="Regional School District 09",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,1.0
="Regional School District 10",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Regional School District 11",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 12",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,0.9,0.8
="Regional School District 13",="Library/Media - Specialists (Certified)",="Certified",4.6,4.6,4.6,4.0,4.0
="Regional School District 14",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,3.0,3.0
="Regional School District 15",="Library/Media - Specialists (Certified)",="Certified",7.0,7.0,8.0,8.0,8.0
="Regional School District 16",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,2.0
="Regional School District 17",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,4.0,4.0
="Regional School District 18",="Library/Media - Specialists (Certified)",="Certified",5.0,4.0,3.0,4.0,4.0
="Regional School District 19",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Ridgefield School District",="Library/Media - Specialists (Certified)",="Certified",8.0,9.8,9.9,9.9,9.0
="Rocky Hill School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Salem School District",="Library/Media - Specialists (Certified)",="Certified",0.5,.,0.7,0.7,0.6
="Salisbury School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Seymour School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,2.0,4.0,3.0
="Sharon School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Shelton School District",="Library/Media - Specialists (Certified)",="Certified",5.3,5.8,6.3,6.3,6.1
="Sherman School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,0.5
="Simsbury School District",="Library/Media - Specialists (Certified)",="Certified",7.0,7.6,7.8,7.8,7.8
="Somers School District",="Library/Media - Specialists (Certified)",="Certified",3.5,3.1,3.1,3.3,3.3
="South Windsor School District",="Library/Media - Specialists (Certified)",="Certified",2.0,1.0,2.0,2.0,2.0
="Southington School District",="Library/Media - Specialists (Certified)",="Certified",7.6,7.6,7.6,6.6,6.6
="Stafford School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Stamford School District",="Library/Media - Specialists (Certified)",="Certified",21.0,21.0,21.0,22.0,22.0
="Sterling School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Stonington School District",="Library/Media - Specialists (Certified)",="Certified",3.8,3.4,3.4,3.4,4.0
="Stratford School District",="Library/Media - Specialists (Certified)",="Certified",13.0,13.0,13.0,12.0,12.0
="Suffield School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="The Gilbert School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Thomaston School District",="Library/Media - Specialists (Certified)",="Certified",1.0,2.0,2.0,2.0,2.0
="Thompson School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,.,0.9,0.9
="Tolland School District",="Library/Media - Specialists (Certified)",="Certified",3.7,3.7,4.0,3.0,4.0
="Torrington School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.4,4.4,4.6,5.0
="Trumbull School District",="Library/Media - Specialists (Certified)",="Certified",10.0,10.0,10.0,9.0,10.0
="Unified School District #1",="Library/Media - Specialists (Certified)",="Certified",5.0,4.0,4.0,4.0,4.0
="Unified School District #2",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Vernon School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,0.8
="Voluntown School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,.
"Wallingford School District","Library/Media - Specialists (Certified)","Certified",12.0,12.0,11.0,12.0,12.0
="Waterbury School District",="Library/Media - Specialists (Certified)",="Certified",23.0,23.0,21.0,23.0,22.0
="Waterford School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Watertown School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="West Hartford School District",="Library/Media - Specialists (Certified)",="Certified",18.0,17.0,18.0,18.0,17.0
="West Haven School District",="Library/Media - Specialists (Certified)",="Certified",7.0,6.0,6.0,6.0,6.0
="Westbrook School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,2.8
="Weston School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Westport School District",="Library/Media - Specialists (Certified)",="Certified",11.0,11.0,12.0,12.0,11.0
="Wethersfield School District",="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Willington School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Wilton School District",="Library/Media - Specialists (Certified)",="Certified",6.8,6.6,6.6,5.1,4.8
="Windham School District",="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,2.0,1.5,2.0
="Windsor Locks School District",="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,3.0
="Windsor School District",="Library/Media - Specialists (Certified)",="Certified",8.0,8.0,8.0,8.0,8.0
="Wolcott School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Woodbridge School District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Woodstock Academy District",="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Woodstock School District",="Library/Media - Specialists (Certified)",="Certified",1.0,2.0,2.0,1.0,1.0
="Amistad Academy District",="Library/Media - Specialists (Certified)",="Certified",.,0.5,0.5,0.5,.
"Derby School District","Library/Media - Specialists (Certified)","Certified",.,.,1.0,1.0,1.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Library/Media - Specialists (Certified)",="Certified",.,.,.,1.0,1.0
="Winchester School District",="Library/Media - Specialists (Certified)",="Certified",.,.,.,1.0,1.0
="Bethany School District",="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
="Lisbon School District",="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0

