"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Colebrook School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.1,6.0,6.3,5.7,5.6
="Columbia School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.0,23.0,22.0,19.5,19.9
="Common Ground High School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.1,12.3,13.1,9.0
="Connecticut Technical High School System",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",371.4,415.1,356.8,359.7,401.2
="Cooperative Educational Services",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",57.1,53.7,47.2,46.5,54.8
="Cornwall School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.8,4.8,4.9,4.9,4.2
="Coventry School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",78.7,82.9,79.6,82.0,81.1
="Cromwell School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",81.0,98.9,105.0,95.8,96.3
="Danbury School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",344.2,322.8,332.0,359.3,353.3
="Darien School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",148.8,139.3,139.3,149.1,147.8
="Deep River School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.4,8.1,8.5,8.5,8.4
="Derby School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",53.0,51.0,52.1,54.2,59.5
="East Granby School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",27.7,27.6,26.5,26.7,27.2
="East Haddam School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",68.5,64.5,71.5,72.5,72.5
="East Hampton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",96.3,85.0,79.4,80.2,71.4
="East Hartford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",369.5,367.0,415.0,419.0,400.0
="East Haven School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",123.9,122.9,112.6,140.6,135.3
="East Lyme School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",144.2,139.7,144.2,141.7,146.6
="East Windsor School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",56.2,.,32.0,34.0,39.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",126.0,137.2,141.7,144.6,131.0
="Eastford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,9.7,9.7,9.7,9.7
="Easton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.2,67.4,26.6,46.0,34.5
="EdAdvance",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",177.9,180.2,174.3,184.1,202.5
="Ellington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",104.3,107.1,109.6,107.6,105.9
="Elm City College Preparatory School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.0,17.0,19.0,24.0,24.0
="Enfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",167.8,158.5,171.0,184.2,186.2
="Essex School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.6,11.3,11.3,11.3,11.1
="Explorations District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.5,2.5,1.5,1.6,1.8
="Fairfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",455.6,443.7,443.0,431.0,424.6
="Farmington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",172.0,172.6,175.5,184.6,187.5
="Franklin School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,.,6.5,.,6.5
="Glastonbury School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",314.8,311.6,326.3,327.2,308.1
="Granby School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",92.3,94.9,95.8,95.0,83.9
="Greenwich School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",397.4,397.2,396.0,390.0,388.6
="Griswold School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",106.7,109.4,110.2,105.6,93.2
="Groton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",203.3,196.9,186.2,233.5,236.2
="Guilford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",154.4,153.9,152.9,151.7,156.4
="Hamden School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",309.0,308.5,313.9,316.9,293.6
="Hampton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2,9.3,8.9,9.7,9.4
="Hartford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",836.1,851.9,917.5,900.2,976.7
="Hartland School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.8,7.0,6.2,6.3,6.0
="Hebron School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",35.6,36.1,37.1,42.4,42.0
="Highville Charter School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,7.5,14.0,4.0,8.0
="Integrated Day Charter School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,10.5,8.2,9.7,10.0
="Interdistrict School for Arts and Comm District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.5,4.5,6.7,8.4,9.4
="Jumoke Academy District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,11.0,23.0,19.0,19.0
="Kent School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.5,9.5,9.5,9.5
="Killingly School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",139.5,132.5,111.0,140.0,142.0
="Learn",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",128.0,134.4,135.5,137.5,153.7
="Lebanon School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",63.4,60.4,59.5,55.5,55.0
="Ledyard School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",110.4,109.3,108.7,111.5,101.8
="Lisbon School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.1,37.4,32.8,30.6,29.0
="Litchfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",54.1,51.4,47.4,48.4,40.8
="Madison School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",157.5,154.0,157.6,153.3,148.1
="Manchester School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",307.0,347.6,335.6,366.5,346.3
="Mansfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.0,32.5,32.5,65.1,63.9
="Marlborough School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.5,26.5,26.0,25.0,27.0
="Meriden School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",328.6,325.1,328.9,335.5,363.5
="Middletown School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",236.5,237.2,232.7,214.4,200.1
="Milford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",285.4,278.7,282.6,295.1,288.6
="Monroe School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",166.3,158.8,159.0,161.6,163.2
="Montville School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",130.3,127.0,127.9,125.4,126.6
="Naugatuck School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",154.3,157.3,151.5,166.5,165.5
="New Beginnings Inc Family Academy District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.3,9.3,10.0,12.0,17.7
="New Britain School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",269.3,300.9,318.0,233.0,204.5
="New Canaan School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",188.8,216.8,218.4,222.1,224.8
="New Fairfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",100.8,98.0,91.3,98.3,103.3
="New Hartford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",37.4,34.1,37.7,37.7,38.3
="New Haven School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",911.0,851.7,730.7,954.1,836.3
="New London School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",130.7,151.5,152.5,157.6,179.4
="New Milford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",251.5,243.2,246.1,240.8,245.4
="Newington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",140.6,126.5,141.2,141.6,148.5
="Newtown School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",257.9,257.3,255.1,260.5,257.1
="Norfolk School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.7,7.7,7.8,7.7,7.7
="North Branford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",95.2,95.7,100.7,70.7,75.9
="North Canaan School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.6,8.6,9.0,9.0,9.0
="North Haven School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",115.9,120.3,115.6,109.5,119.5
="North Stonington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",44.1,44.4,43.5,46.4,46.2
="Norwalk School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",354.6,.,.,321.6,372.8
="Norwich Free Academy District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",90.0,81.0,89.2,87.6,97.7
="Norwich School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",217.2,224.2,229.4,221.5,236.6
="Odyssey Community School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",3.4,5.0,6.0,5.8,6.1
="Old Saybrook School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",60.0,65.0,64.0,62.0,59.0
="Orange School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",60.7,58.9,63.5,70.5,63.3
="Oxford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",56.2,74.9,78.1,79.3,79.3
="Park City Prep Charter School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.0,4.0,4.0,6.0,8.0
="Plainfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",126.5,130.9,129.2,122.3,110.8
="Plainville School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",116.6,114.5,120.3,120.4,140.7
="Plymouth School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",120.9,121.1,122.7,122.7,119.9
="Pomfret School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.9,21.6,21.4,21.4,22.4
="Portland School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",64.3,67.8,66.5,66.5,67.5
="Preston School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",31.7,30.1,30.6,31.6,31.8
="Putnam School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",50.7,46.7,49.3,52.0,51.4
="Redding School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.5,82.0,30.0,33.0,41.0
="Regional School District 01",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.1,18.1,46.4,44.2,42.8
="Regional School District 04",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",73.7,69.6,68.5,66.3,74.9
="Regional School District 05",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",116.8,116.8,119.5,118.2,119.0
="Regional School District 06",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",52.8,1.4,47.8,44.4,43.8
="Regional School District 07",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",77.6,72.8,75.9,68.1,64.5
="Regional School District 08",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",65.0,66.0,67.0,63.0,70.0
="Regional School District 09",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",80.0,80.0,116.7,37.0,66.6
="Regional School District 10",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",111.4,117.0,116.4,111.7,117.3
="Regional School District 11",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.5,22.5,22.5,22.5,22.5
="Regional School District 12",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",65.0,65.6,68.4,68.9,70.2
="Regional School District 13",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",91.0,72.8,92.5,93.3,93.3
="Regional School District 14",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",102.5,99.3,96.2,104.0,90.8
="Regional School District 15",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",183.9,182.4,186.8,173.7,168.8
="Regional School District 16",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",426.5,97.9,124.3,102.3,103.9
="Regional School District 17",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",116.4,121.2,124.2,128.2,133.7
="Regional School District 18",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",67.5,68.3,69.8,68.5,60.7
="Regional School District 19",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",32.5,32.5,32.5,30.5,28.5
="Ridgefield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",201.2,223.6,205.7,217.4,111.5
="Rocky Hill School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",96.1,94.2,96.2,96.9,101.5
="Salem School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.7,25.7,26.2,25.4,25.4
="Salisbury School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.0,9.0,9.0,9.0,9.0
="Scotland School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.3,10.2,9.9,10.2,10.2
="Seymour School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",105.8,99.8,101.0,106.6,101.5
="Sharon School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.5,8.5,8.0,8.0,8.0
="Shelton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",216.4,220.5,241.7,235.5,232.4
="Sherman School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",20.1,18.4,18.2,17.6,17.8
="Side By Side Charter School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,.,12.5,12.5,12.5
="Simsbury School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",177.7,174.8,174.8,180.8,176.3
="Somers School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",66.4,65.6,64.5,63.2,58.9
="South Windsor School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",193.0,203.0,199.0,191.3,189.1
="Southington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",249.3,253.1,253.2,253.7,240.2
="Sprague School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.8,18.8,20.6,19.8,24.2
="Stafford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",106.5,105.3,102.7,103.4,98.8
="Stamford Academy District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.0,9.0,9.5,8.5,8.5
="Stamford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",437.0,413.0,332.0,352.0,358.0
="Sterling School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",30.8,12.3,54.0,18.0,48.8
="Stonington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",105.3,105.5,106.2,105.1,107.9
="Stratford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",222.5,226.5,222.0,242.7,263.4
="Suffield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",84.0,84.2,81.5,78.9,79.8
="The Bridge Academy District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.4,5.4,6.4,6.2,6.2
="The Gilbert School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.0,22.0,22.5,45.0,22.0
="Thomaston School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",48.1,48.9,48.9,44.8,43.1
="Thompson School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",56.2,57.5,54.9,36.5,22.6
="Tolland School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",118.3,115.7,117.0,116.9,77.9
="Torrington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",183.1,183.4,178.6,177.5,180.0
="Trailblazers Academy District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.0,3.0,3.0,0.0,8.0
="Trumbull School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",322.5,331.1,342.6,323.6,322.5
="Unified School District #1",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.2,26.7,22.0,23.0,12.5
="Unified School District #2",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,10.0,9.0,13.0,14.0
="Union School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.0,2.0,.,2.0,2.2
="Vernon School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",142.3,148.4,141.0,141.2,135.2
="Voluntown School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.5,18.8,18.8,20.2,20.3
="Wallingford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",268.8,566.5,275.1,300.2,292.0
="Waterbury School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",460.7,737.7,740.7,721.4,811.3
="Waterford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",150.5,146.3,146.1,150.1,150.5
="Watertown School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",146.2,154.2,79.0,143.7,138.7
="West Hartford School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",425.4,450.0,436.5,426.8,414.6
="West Haven School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",253.1,244.3,243.6,246.0,254.7
="Westbrook School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",46.3,43.5,42.6,43.6,42.6
="Weston School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",119.4,116.3,77.1,63.8,122.0
="Westport School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",311.4,309.2,306.9,199.1,495.1
="Wethersfield School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",194.4,186.4,183.7,189.8,120.8
="Willington School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",34.0,34.4,30.6,30.1,28.6
="Wilton School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",179.9,181.5,186.7,178.6,185.7
="Winchester School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.0,28.0,33.0,31.0,34.5
="Windham School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",152.2,200.6,171.5,175.3,187.7
="Windsor Locks School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",97.1,90.8,91.7,92.9,104.5
="Windsor School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",184.1,188.0,224.7,215.6,223.9
="Wolcott School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",130.3,124.4,122.6,120.7,124.4
="Woodbridge School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.7,22.7,21.9,21.9,.
"Woodstock Academy District","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",39.5,48.5,48.5,45.5,45.5
="Woodstock School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",34.1,34.1,34.2,34.8,33.8
="Brass City Charter School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,4.7,6.4
="Elm City Montessori School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,2.6
="Great Oaks Charter School District",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,3.0

