"Total Expenditures Used for Special Education, Trend"
"All Districts"

"",,"Year",,,,
="Berlin School District",="Certified Personnel",3642346,3733644,3793921,3807501,4099197
,="Noncertified Personnel",1332825,1278352,1437968,1493265,1483362
,="Employee Benefits",781414,812594,870551,855633,771936
,="Purchased Services",313760,397796,410117,410259,279039
,="Tuition to Other Schools",1537176,1559165,1405967,1474936,1699644
,="Instructional Supplies",32410,33873,31893,39926,39849
,="Property Services",0,0,0,0,0
,="Transportation",638012,612584,635918,699750,742424
,="Equipment",74837,59369,3478,38032,22630
,="Other Expenditures",1274,400,555,1171,17991
,="Total Expenditures",8366370,8487777,8590368,8820473,9156072
="Bethany School District",="Certified Personnel",647762,709995,728117,711943,776610
,="Noncertified Personnel",298126,360692,351367,320863,313654
,="Employee Benefits",120800,109575,127207,136302,137069
,="Purchased Services",98970,127934,117220,118364,147693
,="Tuition to Other Schools",392395,288315,85985,41058,0
,="Instructional Supplies",8952,8241,12846,4761,31621
,="Property Services",0,38,0,0,0
,="Transportation",100403,69367,116648,76999,64900
,="Equipment",14969,8022,1863,10591,37622
,="Other Expenditures",1045,598,852,510,403
,="Total Expenditures",1686250,1686146,1543553,1423071,1514112
="Bethel School District",="Certified Personnel",3619701,3798570,3829160,4088203,4119461
,="Noncertified Personnel",1916887,1831144,1970469,1816567,1807611
,="Employee Benefits",1348084,1495214,1644195,1711285,1817630
,="Purchased Services",225117,203404,239357,209424,136517
,="Tuition to Other Schools",1575818,1358454,1205073,1289075,1576129
,="Instructional Supplies",58907,36835,46825,56305,27968
,="Property Services",227,192,168,168,196
,="Transportation",780398,737125,755932,758709,830139
,="Equipment",79824,80576,83346,62454,37564
,="Other Expenditures",1525,1663,1621,1470,1218
,="Total Expenditures",9614639,9553193,9786611,10001841,10364257
="Bloomfield School District",="Certified Personnel",2997750,2882305,2677650,2676107,2589292
,="Noncertified Personnel",987791,841931,853858,927810,1104981
,="Employee Benefits",882947,851418,929431,878932,957896
,="Purchased Services",55311,50632,37582,71459,57687
,="Tuition to Other Schools",1412653,1446617,1080705,1135690,1675045
,="Instructional Supplies",22059,15090,12903,23174,11251
,="Property Services",0,0,0,0,0
,="Transportation",412564,391702,324296,362248,360282
,="Equipment",8422,8246,2137,3457,3376
,="Other Expenditures",1643,1562,835,554,745
,="Total Expenditures",6782667,6492067,5921907,6082003,6762272
="Bolton School District",="Certified Personnel",780364,795571,843892,833642,953343
,="Noncertified Personnel",593556,633354,614767,547862,573143
,="Employee Benefits",488698,524845,499971,565327,577323
,="Purchased Services",228261,120168,91085,72986,71137
,="Tuition to Other Schools",527932,587880,678852,803911,693884
,="Instructional Supplies",23961,22215,3879,27912,43787
,="Property Services",481,0,0,0,0
,="Transportation",271787,250792,330361,248028,214931
,="Equipment",68588,0,0,0,377
,="Other Expenditures",664,663,360,185,609
,="Total Expenditures",2991355,2940058,3079197,3110563,3128534
="Bozrah School District",="Certified Personnel",391305,404142,419752,420050,490220
,="Noncertified Personnel",163972,159649,184549,199176,167084
,="Employee Benefits",112802,63956,59404,60965,56837
,="Purchased Services",85215,83942,80665,101410,75569
,="Tuition to Other Schools",761080,578804,534221,449596,573225
,="Instructional Supplies",11073,2023,1296,4983,2496
,="Property Services",0,0,0,0,0
,="Transportation",147307,117302,115570,93980,98221
,="Equipment",4161,4444,7388,9795,4710
,="Other Expenditures",0,0,0,0,50
,="Total Expenditures",1679896,1414828,1403337,1340627,1468777
="Branford School District",="Certified Personnel",3649669,3731086,3693540,3741778,3854432
,="Noncertified Personnel",1412654,1466511,1530221,1407976,1441329
,="Employee Benefits",1235428,1459488,1518610,1596312,1641686
,="Purchased Services",271596,347647,311636,430171,547180
,="Tuition to Other Schools",2821612,2760691,2899489,2935177,2616402
,="Instructional Supplies",34315,51183,76831,43015,56953
,="Property Services",0,0,0,0,0
,="Transportation",827055,732981,819380,773426,625523
,="Equipment",2345,14584,11424,7870,105639
,="Other Expenditures",9144,8071,750,477,3680
,="Total Expenditures",10272929,10594459,10878718,10943884,10903484
="Bridgeport School District",="Certified Personnel",22195240,20907958,20996771,22195511,23436119
,="Noncertified Personnel",7464912,9151849,10153879,9662136,10543711
,="Employee Benefits",7776604,9019979,9213821,9787224,9206212
,="Purchased Services",1133345,1138153,1218302,1511133,1984144
,="Tuition to Other Schools",18202250,18274379,15905846,16687833,20534295
,="Instructional Supplies",27117,5961,300824,341328,181209
,="Property Services",237395,170435,0,0,0
,="Transportation",6444923,6223025,7527168,9277329,10038338
,="Equipment",33131,29522,11253,25989,5101
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",63573120,64988829,65338582,69500527,75946399
="Bristol School District",="Certified Personnel",9390158,8440866,8282749,8632952,8641306
,="Noncertified Personnel",2587420,2681244,2674045,2652339,2704090
,="Employee Benefits",2613392,3439784,2986677,3414935,3651561
,="Purchased Services",693827,819779,619192,851695,980082
,="Tuition to Other Schools",5550095,6109538,6206019,7106948,7285338
,="Instructional Supplies",107423,56005,54275,29167,60050
,="Property Services",38672,0,0,0,0
,="Transportation",2904579,3156545,3697582,3691424,4137532
,="Equipment",128819,64181,87032,38789,75368
,="Other Expenditures",2501,2719,2966,3154,1004
,="Total Expenditures",24030445,24777380,24613205,26431891,27551661
="Brookfield School District",="Certified Personnel",2391742,2785858,2774798,3061093,3118087
,="Noncertified Personnel",1015183,882473,1241994,1429506,1437753
,="Employee Benefits",723432,988824,932322,1236334,1379890
,="Purchased Services",1363390,415367,307890,365883,353096
,="Tuition to Other Schools",0,699704,625300,508883,1435682
,="Instructional Supplies",41528,31523,30497,24044,25678
,="Property Services",0,0,0,0,355
,="Transportation",189718,149739,134095,181558,329057
,="Equipment",375,1703,12136,11376,4180
,="Other Expenditures",0,79,0,125,241
,="Total Expenditures",5743443,5957219,6059032,6818802,8087134
="Brooklyn School District",="Certified Personnel",779287,710033,821671,820838,869627
,="Noncertified Personnel",431226,412469,490231,510342,484421
,="Employee Benefits",428522,154575,370725,370163,377344
,="Purchased Services",114615,137154,128583,117466,163119
,="Tuition to Other Schools",988263,1151931,1352459,1534871,1540291
,="Instructional Supplies",6229,8464,6739,10050,22538
,="Property Services",0,0,756,0,0
,="Transportation",171607,229928,251632,302502,307455
,="Equipment",0,5695,694,4555,4741
,="Other Expenditures",0,622,472,160,0
,="Total Expenditures",2920754,2810871,3424962,3674494,3777237
="Canaan School District",="Certified Personnel",124733,130312,129089,123991,150064
,="Noncertified Personnel",38898,40365,43924,46553,42858
,="Employee Benefits",52198,54559,55729,61181,70943
,="Purchased Services",15370,15745,16607,10660,6477
,="Tuition to Other Schools",0,0,0,0,213
,="Instructional Supplies",1909,1994,1795,2191,1757
,="Property Services",0,0,0,0,0
,="Transportation",20524,21442,19941,20942,25369
,="Equipment",288,300,458,448,776
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",253920,264717,267543,265966,298457
="Canterbury School District",="Certified Personnel",620627,614118,635668,604578,622100
,="Noncertified Personnel",336660,372566,394149,516355,550288
,="Employee Benefits",284461,268117,245105,230237,246263
,="Purchased Services",228106,401482,410435,519454,519200
,="Tuition to Other Schools",720268,870643,1015518,1243971,1202153
,="Instructional Supplies",6621,6810,3267,7604,5874
,="Property Services",2144,2157,7706,2192,3113
,="Transportation",141619,209005,161569,82662,35808
,="Equipment",7458,9388,16394,13841,8108
,="Other Expenditures",305,770,225,0,644
,="Total Expenditures",2349841,2756042,2890857,3221333,3193551
="Canton School District",="Certified Personnel",1826543,1827394,1801138,1872043,1876299
,="Noncertified Personnel",728631,761931,704122,706243,664591
,="Employee Benefits",627820,616062,799652,858180,798074
,="Purchased Services",197250,228707,278389,314502,292899
,="Tuition to Other Schools",996498,1042494,828867,823063,884894
,="Instructional Supplies",27719,24366,30831,25723,32237
,="Property Services",0,0,0,0,0
,="Transportation",331998,385058,560537,536856,509950
,="Equipment",24638,27379,723,17270,3467
,="Other Expenditures",1499,3721,3855,5494,3763
,="Total Expenditures",4762596,4917112,5008114,5159374,5066174
="Chaplin School District",="Certified Personnel",257239,258769,284474,321341,310081
,="Noncertified Personnel",62285,83956,79712,102645,90730
,="Employee Benefits",89916,89025,88946,91637,101699
,="Purchased Services",26780,33194,35700,46288,68077
,="Tuition to Other Schools",0,1672,9281,30904,64764
,="Instructional Supplies",3175,3357,3333,3421,2891
,="Property Services",0,0,0,0,0
,="Transportation",3300,3150,2266,1299,22670
,="Equipment",5427,5021,0,327,1036
,="Other Expenditures",425,686,475,200,445
,="Total Expenditures",448547,478830,504187,598062,662393
="Cheshire School District",="Certified Personnel",6188792,6369773,6398439,6339739,6591883
,="Noncertified Personnel",2790573,2692030,2878740,2990959,3210690
,="Employee Benefits",1744529,1842415,1734839,2070035,2248773
,="Purchased Services",734478,730416,769813,758714,764883
,="Tuition to Other Schools",2011328,1940195,2151991,2118936,2475562
,="Instructional Supplies",88473,98010,90257,108275,89435
,="Property Services",101793,78067,75598,102174,57412
,="Transportation",810910,895013,810863,676895,753613
,="Equipment",35167,7839,7265,9121,9478
,="Other Expenditures",2990,2997,2239,1406,1315
,="Total Expenditures",14662918,14763553,15077994,15349497,16321821
="Chester School District",="Certified Personnel",438392,416670,440244,454233,451408
,="Noncertified Personnel",220925,168954,212638,206463,231251
,="Employee Benefits",201436,189986,191142,186895,180033
,="Purchased Services",90250,55783,20641,34940,34248
,="Tuition to Other Schools",16455,31143,68442,9638,18562
,="Instructional Supplies",7234,7631,6594,17451,9386
,="Property Services",662,533,1426,1560,1482
,="Transportation",22617,34490,46417,36895,37107
,="Equipment",373,3399,0,0,0
,="Other Expenditures",0,34,0,34,34
,="Total Expenditures",998344,908623,987544,948109,963511
="Clinton School District",="Certified Personnel",2985526,2929861,2948695,3185702,3163457
,="Noncertified Personnel",823618,776117,911016,1044904,1023246
,="Employee Benefits",1037265,1027323,825720,1121033,1224725
,="Purchased Services",364338,434087,395598,334270,403747
,="Tuition to Other Schools",1487683,1437739,1116050,1054947,1047569
,="Instructional Supplies",22866,42366,40841,27021,25322
,="Property Services",0,0,0,0,0
,="Transportation",616278,595824,614112,630738,652745
,="Equipment",6697,0,0,0,0
,="Other Expenditures",287,472,445,941,909
,="Total Expenditures",7367006,7253393,6866103,7409889,7551571
="Colchester School District",="Certified Personnel",3444301,3537556,3399271,3314225,3418781
,="Noncertified Personnel",1171145,1277613,1185357,1256946,1338177
,="Employee Benefits",1016137,1020662,1232958,1261589,1343656
,="Purchased Services",175068,225517,191006,179183,199712
,="Tuition to Other Schools",1865657,1730985,1910358,1770594,1983842
,="Instructional Supplies",6773,11695,10271,13050,22807
,="Property Services",0,0,0,0,0
,="Transportation",815285,884113,1026304,983297,1000297
,="Equipment",6162,0,0,1224,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",8506853,8703034,8967099,8799697,9326437
="Colebrook School District",="Certified Personnel",68377,68994,68683,74124,66097
,="Noncertified Personnel",12489,17196,17747,18469,18911
,="Employee Benefits",25039,23070,24372,21388,2939
,="Purchased Services",106434,98909,115009,119165,137537
,="Tuition to Other Schools",162952,101640,49724,73676,73993
,="Instructional Supplies",227,43,710,1901,887
,="Property Services",0,0,0,0,0
,="Transportation",17971,17640,18512,24052,36861
,="Equipment",0,0,0,0,0
,="Other Expenditures",49147,27707,26980,26370,26632
,="Total Expenditures",443592,355199,321737,359375,364712
="Columbia School District",="Certified Personnel",764894,778060,798524,869708,902012
,="Noncertified Personnel",385662,362326,356578,349793,386964
,="Employee Benefits",310735,260290,232132,274072,291594
,="Purchased Services",200927,176465,168155,169719,97558
,="Tuition to Other Schools",614916,814011,976840,1054341,1106096
,="Instructional Supplies",24276,26562,32086,17999,19926
,="Property Services",0,0,0,0,6352
,="Transportation",198429,239140,217203,206012,233705
,="Equipment",7234,7880,14338,294,32919
,="Other Expenditures",331,195,415,698,402
,="Total Expenditures",2566351,2682613,2798493,2946117,3077528
="Cornwall School District",="Certified Personnel",157202,176929,174661,173152,177517
,="Noncertified Personnel",54990,74718,78588,48732,64576
,="Employee Benefits",73348,73270,72948,72308,92363
,="Purchased Services",16490,24598,24532,10668,7954
,="Tuition to Other Schools",57522,61773,76315,0,0
,="Instructional Supplies",4613,1801,3296,3327,3570
,="Property Services",58,14,0,0,0
,="Transportation",25876,23750,26123,30291,29792
,="Equipment",363,3019,3992,648,906
,="Other Expenditures",33,67,33,35,35
,="Total Expenditures",390495,439939,460488,339161,376713
="Coventry School District",="Certified Personnel",1911442,2058803,2257897,2241656,2369966
,="Noncertified Personnel",823477,985771,834857,833662,1027839
,="Employee Benefits",651922,568163,590278,616792,638106
,="Purchased Services",328812,339748,283651,382019,398162
,="Tuition to Other Schools",1429970,1906226,1621284,1486328,1243137
,="Instructional Supplies",14902,13913,12495,27192,19070
,="Property Services",39092,0,0,0,55988
,="Transportation",503222,487644,647557,561727,507140
,="Equipment",3404,5005,14511,0,0
,="Other Expenditures",2476,2564,3625,1882,5816
,="Total Expenditures",5715954,6371714,6270065,6161716,6283218
="Cromwell School District",="Certified Personnel",1619326,1580691,1659835,1693427,1885906
,="Noncertified Personnel",812475,839136,876076,883612,844603
,="Employee Benefits",550723,577759,621955,570767,489543
,="Purchased Services",170173,168305,154825,213493,72894
,="Tuition to Other Schools",639469,667520,763521,1025171,1752222
,="Instructional Supplies",12562,5072,4088,5909,4373
,="Property Services",0,0,0,0,0
,="Transportation",198616,356927,405879,450530,457381
,="Equipment",1427,7514,236,3128,0
,="Other Expenditures",600,245,537,287,0
,="Total Expenditures",4008984,4208115,4494665,4850168,5513263
="Danbury School District",="Certified Personnel",11742332,11655042,11817628,11873672,11514007
,="Noncertified Personnel",4307931,4256954,4389450,4427845,4565254
,="Employee Benefits",2411499,3505716,3539422,3659725,3596192
,="Purchased Services",730423,701183,704100,1075320,934215
,="Tuition to Other Schools",2881395,2846464,2605490,2620995,3164224
,="Instructional Supplies",84052,63285,60763,38334,77651
,="Property Services",414,0,2006,42032,65517
,="Transportation",1905999,2184270,2270800,2371042,2545961
,="Equipment",37978,46173,29215,62707,37399
,="Other Expenditures",0,0,21866,0,0
,="Total Expenditures",24116997,25289836,25460745,26302698,26607014
="Darien School District",="Certified Personnel",9114379,9248623,9640220,9479636,10756136
,="Noncertified Personnel",3629147,3437303,3262601,3453186,3544558
,="Employee Benefits",3665548,3994747,3751384,4047534,4303637
,="Purchased Services",2260978,1690473,1666109,1739051,2800392
,="Tuition to Other Schools",2523206,3191330,3308444,4422887,5345658
,="Instructional Supplies",59728,64424,68693,82691,67106
,="Property Services",0,0,0,0,191
,="Transportation",977544,1134892,1165297,1254482,1583382
,="Equipment",16097,8146,24905,49039,39995
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",22390242,22838815,23016666,24622322,28576750
="Deep River School District",="Certified Personnel",496993,507912,572502,592939,603516
,="Noncertified Personnel",221365,219064,264353,267364,262308
,="Employee Benefits",218186,226434,240801,232918,229006
,="Purchased Services",105101,130816,104275,94766,79061
,="Tuition to Other Schools",401321,343236,191944,301163,330718
,="Instructional Supplies",5641,6516,6026,11906,3940
,="Property Services",137,139,143,141,140
,="Transportation",149449,192919,141327,147594,117186
,="Equipment",1012,700,1093,0,0
,="Other Expenditures",80,102,118,170,94
,="Total Expenditures",1600988,1627976,1522582,1648961,1625969
="Derby School District",="Certified Personnel",1210020,1258842,1483536,1456501,1377719
,="Noncertified Personnel",605293,675803,781582,847763,758668
,="Employee Benefits",577870,324238,73186,660212,630726
,="Purchased Services",106450,148546,124064,188775,159362
,="Tuition to Other Schools",1642934,1743634,1558665,1403245,1471695
,="Instructional Supplies",22125,17552,17382,6571,5964
,="Property Services",0,0,0,7725,2771
,="Transportation",340164,372953,343145,343087,380774
,="Equipment",18503,478,0,0,0
,="Other Expenditures",7000,9273,3146,215,30
,="Total Expenditures",4534089,4558969,4385208,4914094,4787811
="East Granby School District",="Certified Personnel",1050847,989019,1190753,1203740,1238902
,="Noncertified Personnel",425210,473086,542929,574852,608541
,="Employee Benefits",331866,357591,389442,488437,511571
,="Purchased Services",202741,174361,174800,183016,184728
,="Tuition to Other Schools",292355,336273,359304,518091,1009234
,="Instructional Supplies",11665,19508,20598,6742,4059
,="Property Services",0,0,0,0,0
,="Transportation",127819,107658,191868,267103,402619
,="Equipment",8187,1933,8157,11732,1897
,="Other Expenditures",80,824,80,846,106
,="Total Expenditures",2450770,2460253,2877931,3256771,3972076
="East Haddam School District",="Certified Personnel",1480755,1497111,1516268,1551739,1530010
,="Noncertified Personnel",437344,455798,449344,475238,481277
,="Employee Benefits",497306,507102,580495,640442,662101
,="Purchased Services",285538,329768,304004,346075,337714
,="Tuition to Other Schools",1149840,1254466,1229075,1148085,1273053
,="Instructional Supplies",30018,22274,27053,23653,21483
,="Property Services",0,0,0,0,0
,="Transportation",325322,311339,354274,457616,481418
,="Equipment",0,3915,22517,0,0
,="Other Expenditures",1670,1670,1691,2251,1265
,="Total Expenditures",4207793,4383443,4484721,4645099,4788321
="East Hampton School District",="Certified Personnel",2459692,2368744,2387576,2520896,2657698
,="Noncertified Personnel",1217570,1185230,1152999,1240816,1228699
,="Employee Benefits",991299,890968,917906,889818,1000017
,="Purchased Services",477644,543523,536115,568234,707870
,="Tuition to Other Schools",778102,654552,656604,999955,796114
,="Instructional Supplies",21007,26998,25703,32337,97905
,="Property Services",80,0,0,0,0
,="Transportation",638142,525928,544195,636160,582237
,="Equipment",111549,0,0,0,400
,="Other Expenditures",215,250,225,225,40
,="Total Expenditures",6703062,6210687,6226634,6898079,7070980
="East Hartford School District",="Certified Personnel",8559668,9018321,8796916,8213028,9835474
,="Noncertified Personnel",3844170,3725990,3906244,3786547,4009451
,="Employee Benefits",1870191,1909181,1997200,2361407,2066715
,="Purchased Services",357715,264001,344918,401988,341518
,="Tuition to Other Schools",3163874,2982967,3259944,3656634,3953303
,="Instructional Supplies",223512,125463,105828,133415,80209
,="Property Services",0,0,0,0,3116
,="Transportation",1997205,1826360,2273199,2356664,1844012
,="Equipment",0,0,0,0,19237
,="Other Expenditures",79,0,0,0,241
,="Total Expenditures",20016414,19864040,20732262,20914377,22215171
="East Haven School District",="Certified Personnel",3125671,2813134,2811672,3043620,3322934
,="Noncertified Personnel",802624,889923,654090,823718,960250
,="Employee Benefits",1344038,1355050,1316168,1470016,1697916
,="Purchased Services",335075,345992,268999,352562,253912
,="Tuition to Other Schools",4342866,4642687,4376641,4736581,3649392
,="Instructional Supplies",19143,12296,8850,4045,2701
,="Property Services",218242,220203,6305,58870,39473
,="Transportation",913836,1104049,1149836,1119340,1236546
,="Equipment",4120,0,0,0,0
,="Other Expenditures",2410,69621,43915,62160,214706
,="Total Expenditures",11109242,11454414,10640103,11673042,11380128
="East Lyme School District",="Certified Personnel",2977529,3287897,3579914,3527239,3789297
,="Noncertified Personnel",2073786,2135153,2313770,2503116,2464018
,="Employee Benefits",1135766,1042271,1084608,951739,1062287
,="Purchased Services",244836,86799,334806,542657,393078
,="Tuition to Other Schools",1815991,1208092,1327753,1121078,915388
,="Instructional Supplies",27183,34548,25165,36001,13441
,="Property Services",0,0,0,0,5742
,="Transportation",672475,532289,766966,692055,641360
,="Equipment",52147,25690,12563,15463,0
,="Other Expenditures",0,751,682,800,122
,="Total Expenditures",8999713,8353490,9446227,9390148,9284733
="East Windsor School District",="Certified Personnel",1338718,1377181,1723117,1383808,2022850
,="Noncertified Personnel",756378,754017,748889,741216,1106120
,="Employee Benefits",470441,508121,580206,567679,657084
,="Purchased Services",41867,57341,195493,385671,195950
,="Tuition to Other Schools",1133055,1254299,925057,784676,1537769
,="Instructional Supplies",7206,10456,10095,8417,16562
,="Property Services",0,0,0,0,0
,="Transportation",395974,461651,661557,514917,505728
,="Equipment",6063,7255,4972,2219,32886
,="Other Expenditures",1636,1072,1052,1712,70
,="Total Expenditures",4152338,4435390,4853041,4390315,6076160
="Eastford School District",="Certified Personnel",211103,199350,211279,171833,172704
,="Noncertified Personnel",120462,127045,123789,144229,139275
,="Employee Benefits",54615,60340,67055,73802,63360
,="Purchased Services",128749,145028,126693,138300,126327
,="Tuition to Other Schools",94454,88477,133593,67051,102474
,="Instructional Supplies",2189,1703,496,1747,3006
,="Property Services",0,0,0,0,0
,="Transportation",0,0,15145,8125,0
,="Equipment",0,0,814,0,0
,="Other Expenditures",20,0,10,185,185
,="Total Expenditures",612798,623977,681252,607658,609558
="Easton School District",="Certified Personnel",1317283,1304409,1172795,1279288,1301057
,="Noncertified Personnel",580631,628792,712583,711467,744741
,="Employee Benefits",449999,468626,511216,591363,516146
,="Purchased Services",404790,630674,647924,528382,444263
,="Tuition to Other Schools",148650,353146,251891,275077,278720
,="Instructional Supplies",16008,15929,8853,11435,9411
,="Property Services",0,0,0,0,0
,="Transportation",292896,207712,182274,224624,181727
,="Equipment",1837,17756,4819,17672,5885
,="Other Expenditures",220,0,0,360,500
,="Total Expenditures",3237855,3641323,3505635,3651594,3502860
="Ellington School District",="Certified Personnel",2241099,2394542,2241663,2639169,2838612
,="Noncertified Personnel",954991,883442,973229,1164957,1103316
,="Employee Benefits",1132674,1010076,1080907,1186837,1254911
,="Purchased Services",322875,338021,433157,489346,386223
,="Tuition to Other Schools",1047884,999173,1166159,1113612,1088086
,="Instructional Supplies",34200,34288,28022,33946,37535
,="Property Services",0,0,0,0,0
,="Transportation",422808,374688,391957,441983,437405
,="Equipment",24079,42721,9650,9177,13644
,="Other Expenditures",2805,2384,2848,1996,2284
,="Total Expenditures",6187182,6079335,6327592,7081023,7162016
="Enfield School District",="Certified Personnel",6878032,6977194,6861551,6872744,6793892
,="Noncertified Personnel",2182480,2107350,2383834,2387550,2473857
,="Employee Benefits",1943658,2060456,2234259,2324771,1898659
,="Purchased Services",252283,350008,324504,255801,372677
,="Tuition to Other Schools",2158494,1828685,2784926,2813244,2896184
,="Instructional Supplies",15002,32936,26044,45305,23881
,="Property Services",3889,0,300,0,0
,="Transportation",1493746,1366076,1729286,1891535,1926969
,="Equipment",1533,18242,17611,5685,8933
,="Other Expenditures",0,660,752,0,0
,="Total Expenditures",14989717,14799108,16372876,16597808,16405758
="Essex School District",="Certified Personnel",795181,774878,866940,804423,824603
,="Noncertified Personnel",459498,492395,530581,534942,576520
,="Employee Benefits",347257,348636,341560,323409,325337
,="Purchased Services",110237,171075,148190,172546,172185
,="Tuition to Other Schools",47108,48926,206752,247350,276089
,="Instructional Supplies",14224,6529,7498,8299,7385
,="Property Services",593,184,180,173,172
,="Transportation",92421,92095,146599,123110,130997
,="Equipment",4786,4946,6690,4078,2551
,="Other Expenditures",689,0,0,0,0
,="Total Expenditures",1874574,1939883,2254990,2218330,2315839
="Fairfield School District",="Certified Personnel",14895744,15194555,15823270,16100773,16312083
,="Noncertified Personnel",4048616,3966121,3533205,3891620,4187306
,="Employee Benefits",6612962,6846620,5645693,6013625,6959949
,="Purchased Services",3117943,3457565,3929492,3517294,3599841
,="Tuition to Other Schools",4550597,4186245,5047446,6115764,6533537
,="Instructional Supplies",209936,270160,110094,89635,107571
,="Property Services",30973,48045,28667,31771,33697
,="Transportation",2173532,2181168,2251947,2458474,2667058
,="Equipment",99146,98757,78311,50973,50091
,="Other Expenditures",274,326,290,423,1484
,="Total Expenditures",35760134,36267725,36463750,38285547,40474596
="Farmington School District",="Certified Personnel",5216105,5648064,5755409,5672198,6514691
,="Noncertified Personnel",546453,410271,516699,454398,663129
,="Employee Benefits",1220631,1286849,1408283,1120694,1210995
,="Purchased Services",503478,482759,464603,543053,683244
,="Tuition to Other Schools",2194800,2040595,2308547,2012210,1969245
,="Instructional Supplies",43465,87629,59246,63715,65419
,="Property Services",0,0,0,0,0
,="Transportation",836044,901840,920307,772152,972385
,="Equipment",10149,15285,8343,8150,3662
,="Other Expenditures",1284,1406,1045,645,675
,="Total Expenditures",10576927,10879053,11451052,10664170,12108546
="Franklin School District",="Certified Personnel",300521,254921,253028,260933,256117
,="Noncertified Personnel",31827,35640,60829,65770,48123
,="Employee Benefits",51979,40444,43422,45013,44198
,="Purchased Services",41408,34657,36577,28872,36893
,="Tuition to Other Schools",359827,259930,330407,393228,218683
,="Instructional Supplies",272,1209,0,-2014,2710
,="Property Services",0,0,0,0,0
,="Transportation",27390,71633,62661,93717,9889
,="Equipment",0,0,0,0,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",813224,698434,786924,887743,616613
="Glastonbury School District",="Certified Personnel",7051406,7033156,7233821,7413862,7574543
,="Noncertified Personnel",3166113,3096586,3176252,3221418,3240367
,="Employee Benefits",1420371,1419896,1505354,1526883,1532721
,="Purchased Services",648187,753201,676973,796411,757117
,="Tuition to Other Schools",4275114,3640649,3630684,3157904,3678951
,="Instructional Supplies",98365,131615,49869,86646,82836
,="Property Services",143607,143601,100000,174130,173339
,="Transportation",0,0,0,0,0
,="Equipment",14156,7560,1380,14834,3836
,="Other Expenditures",1961,1380,3744,2099,2130
