"Chronic Absenteeism, 2015-16"
", All Students"

"District","District Code","% Chronically Absent"
"Plainfield School District","=""1090011""",12.0
"Plainville School District","=""1100011""",8.2
"Plymouth School District","=""1110011""",11.0
"Pomfret School District","=""1120011""",2.6
"Portland School District","=""1130011""",6.1
"Preston School District","=""1140011""",4.6
"Putnam School District","=""1160011""",14.7
"Redding School District","=""1170011""",3.0
"Regional School District 01","=""2010012""",10.2
"Regional School District 04","=""2040012""",6.8
"Regional School District 05","=""2050012""",2.7
"Regional School District 06","=""2060012""",4.8
"Regional School District 07","=""2070012""",4.6
"Regional School District 08","=""2080012""",6.9
"Regional School District 09","=""2090012""",9.4
"Regional School District 10","=""2100012""",6.2
"Regional School District 11","=""2110012""",9.3
"Regional School District 12","=""2120012""",5.7
"Regional School District 13","=""2130012""",5.1
"Regional School District 14","=""2140012""",6.3
"Regional School District 15","=""2150012""",3.1
"Regional School District 16","=""2160012""",7.2
"Regional School District 17","=""2170012""",4.3
"Regional School District 18","=""2180012""",6.9
"Regional School District 19","=""2190012""",9.2
"Ridgefield School District","=""1180011""",4.5
"Rocky Hill School District","=""1190011""",8.3
"Salem School District","=""1210011""",5.0
"Salisbury School District","=""1220011""",4.4
"Scotland School District","=""1230011""","*"
"Seymour School District","=""1240011""",8.6
"Sharon School District","=""1250011""",5.1
"Shelton School District","=""1260011""",13.4
"Sherman School District","=""1270011""",5.8
"Side By Side Charter School District","=""2700013""",4.2
"Simsbury School District","=""1280011""",4.7
"Somers School District","=""1290011""",10.9
"South Windsor School District","=""1320011""",4.0
"Southington School District","=""1310011""",6.3
"Sprague School District","=""1330011""",8.3
"Stafford School District","=""1340011""",8.0
"Stamford Academy District","=""2820013""",99.3
"Stamford Charter School for Excellence District","=""2960013""",8.2
"Stamford School District","=""1350011""",11.7
"Sterling School District","=""1360011""",8.6
"Stonington School District","=""1370011""",6.3
"Stratford School District","=""1380011""",11.8
"Suffield School District","=""1390011""",6.1
"The Bridge Academy District","=""2690013""",8.6
"The Gilbert School District","=""9020022""",4.9
"Thomaston School District","=""1400011""",7.0
"Thompson School District","=""1410011""",7.7
"Tolland School District","=""1420011""",4.9
"Torrington School District","=""1430011""",9.8
"Trailblazers Academy District","=""2780013""",18.6
"Trumbull School District","=""1440011""",4.9
"Unified School District #1","=""3360015""",34.3
"Unified School District #2","=""3470015""",9.1
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",10.0
"Voluntown School District","=""1470011""",3.1
"Wallingford School District","=""1480011""",5.1
"Waterbury School District","=""1510011""",16.2
"Waterford School District","=""1520011""",5.7
"Watertown School District","=""1530011""",7.8
"West Hartford School District","=""1550011""",5.3
"West Haven School District","=""1560011""",11.4
"Westbrook School District","=""1540011""",4.4
"Weston School District","=""1570011""",4.1
"Westport School District","=""1580011""",2.5
"Wethersfield School District","=""1590011""",3.8
"Willington School District","=""1600011""",4.3
"Wilton School District","=""1610011""",4.5
"Winchester School District","=""1620011""",7.4
"Windham School District","=""1630011""",16.1
"Windsor Locks School District","=""1650011""",12.2
"Windsor School District","=""1640011""",8.7
"Wolcott School District","=""1660011""",3.2
"Woodbridge School District","=""1670011""",4.6
"Woodstock Academy District","=""9030022""",6.3
"Woodstock School District","=""1690011""",2.2

