"Chronic Absenteeism, Trend"
", Free/Reduced Price Meal Eligibility"

"",,,"% Chronically Absent",,,,
"Chaplin School District","=""0240011""","Eligible For Free Lunch",25.6,"*","*","*",12.7
"Chaplin School District","=""0240011""","Not Eligible For Lunch","*",7.1,8.7,13.8,9.5
"Chaplin School District","=""0240011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Cheshire School District","=""0250011""","Eligible For Free Lunch",16.5,11.7,17.8,12.3,17.3
"Cheshire School District","=""0250011""","Not Eligible For Lunch",4.7,3.7,4.4,3.4,4.3
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch",9.6,"*","*",7.7,8.6
"Chester School District","=""0260011""","Eligible For Free Lunch","*",26.9,"*","*","*"
"Chester School District","=""0260011""","Not Eligible For Lunch",5.4,6.8,3.0,"*","*"
"Chester School District","=""0260011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Clinton School District","=""0270011""","Eligible For Free Lunch",18.2,17.2,17.0,13.6,10.6
"Clinton School District","=""0270011""","Not Eligible For Lunch",9.2,5.8,4.8,5.0,4.0
"Clinton School District","=""0270011""","Eligible For Reduced Lunch",13.6,11.9,"*",12.6,10.0
"Colchester School District","=""0280011""","Eligible For Free Lunch",5.0,12.2,11.8,10.3,12.9
"Colchester School District","=""0280011""","Not Eligible For Lunch",2.2,5.1,4.1,2.6,4.7
"Colchester School District","=""0280011""","Eligible For Reduced Lunch","*",9.8,8.8,9.1,"*"
"Colebrook School District","=""0290011""","Eligible For Free Lunch","*","*","*",0.0,"*"
"Colebrook School District","=""0290011""","Not Eligible For Lunch","*","*","*","*",0.0
"Colebrook School District","=""0290011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Columbia School District","=""0300011""","Eligible For Free Lunch","*","*",0.0,9.1,"*"
"Columbia School District","=""0300011""","Not Eligible For Lunch",7.1,3.3,"*",4.7,3.4
"Columbia School District","=""0300011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Eligible For Free Lunch",16.7,17.7,24.7,25.7,22.6
"Common Ground High School District","=""2680013""","Not Eligible For Lunch",9.6,12.9,7.6,"*","*"
"Common Ground High School District","=""2680013""","Eligible For Reduced Lunch","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eligible For Free Lunch",14.8,16.3,18.3,18.9,18.6
"Connecticut Technical High School System","=""9000016""","Not Eligible For Lunch",6.8,8.9,8.8,9.6,8.3
"Connecticut Technical High School System","=""9000016""","Eligible For Reduced Lunch",9.3,10.2,9.6,10.0,9.5
"Cooperative Educational Services","=""2430014""","Eligible For Free Lunch",19.0,26.5,25.5,29.3,27.6
"Cooperative Educational Services","=""2430014""","Not Eligible For Lunch",15.8,15.9,13.3,15.3,12.1
"Cooperative Educational Services","=""2430014""","Eligible For Reduced Lunch",19.7,18.1,13.3,18.3,18.8
"Cornwall School District","=""0310011""","Eligible For Free Lunch","*",0.0,"*","*","*"
"Cornwall School District","=""0310011""","Not Eligible For Lunch","*","*","*",0.0,"*"
"Coventry School District","=""0320011""","Eligible For Free Lunch",13.7,15.7,10.9,15.1,14.7
"Coventry School District","=""0320011""","Not Eligible For Lunch",5.1,5.3,4.1,4.9,3.9
"Coventry School District","=""0320011""","Eligible For Reduced Lunch","*",13.7,16.3,"*","*"
"Cromwell School District","=""0330011""","Eligible For Free Lunch",12.9,10.2,13.6,9.3,4.6
"Cromwell School District","=""0330011""","Not Eligible For Lunch",4.9,3.7,3.8,1.8,1.1
"Cromwell School District","=""0330011""","Eligible For Reduced Lunch",14.1,"*",11.0,"*","*"
"Danbury School District","=""0340011""","Eligible For Free Lunch",16.3,15.2,9.1,9.8,8.8
"Danbury School District","=""0340011""","Not Eligible For Lunch",10.1,7.9,4.0,5.1,6.5
"Danbury School District","=""0340011""","Eligible For Reduced Lunch",8.8,9.2,3.8,4.7,5.7
"Darien School District","=""0350011""","Eligible For Free Lunch","*","*","*",10.4,9.6
"Darien School District","=""0350011""","Not Eligible For Lunch",4.1,3.6,3.6,4.2,2.8
"Darien School District","=""0350011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Deep River School District","=""0360011""","Eligible For Free Lunch","*","*",0.0,0.0,"*"
"Deep River School District","=""0360011""","Not Eligible For Lunch",4.7,2.6,2.5,"*","*"
"Deep River School District","=""0360011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible For Free Lunch","*","*","*","*","*"
"Derby School District","=""0370011""","Eligible For Free Lunch",19.5,20.9,21.4,23.5,16.6
"Derby School District","=""0370011""","Not Eligible For Lunch",7.1,7.5,11.4,9.5,8.4
"Derby School District","=""0370011""","Eligible For Reduced Lunch",11.9,9.6,9.6,7.0,11.0
"East Granby School District","=""0400011""","Eligible For Free Lunch","*",12.2,14.3,18.6,19.4
"East Granby School District","=""0400011""","Not Eligible For Lunch",5.0,6.7,4.9,5.6,4.0
"East Granby School District","=""0400011""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"East Haddam School District","=""0410011""","Eligible For Free Lunch",19.3,15.8,11.0,15.2,12.9
"East Haddam School District","=""0410011""","Not Eligible For Lunch",6.6,6.7,6.0,5.4,5.5
"East Haddam School District","=""0410011""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Hampton School District","=""0420011""","Eligible For Free Lunch",19.8,19.2,21.0,20.3,22.3
"East Hampton School District","=""0420011""","Not Eligible For Lunch",3.8,4.3,5.4,5.8,5.5
"East Hampton School District","=""0420011""","Eligible For Reduced Lunch",23.5,"*","*","*","*"
"East Hartford School District","=""0430011""","Eligible For Free Lunch",12.2,24.5,16.6,20.1,16.9
"East Hartford School District","=""0430011""","Not Eligible For Lunch",6.5,11.1,7.2,9.3,6.6
"East Hartford School District","=""0430011""","Eligible For Reduced Lunch",6.6,10.6,7.3,9.6,6.2
"East Haven School District","=""0440011""","Eligible For Free Lunch",22.5,22.2,15.0,14.3,13.3
"East Haven School District","=""0440011""","Not Eligible For Lunch",14.0,12.6,10.4,9.6,8.1
"East Haven School District","=""0440011""","Eligible For Reduced Lunch",18.3,14.2,11.7,6.5,8.5
"East Lyme School District","=""0450011""","Eligible For Free Lunch",13.9,13.8,10.4,13.8,11.4
"East Lyme School District","=""0450011""","Not Eligible For Lunch",4.9,3.9,4.2,4.3,3.4
"East Lyme School District","=""0450011""","Eligible For Reduced Lunch",15.6,8.8,14.5,11.2,12.9
"East Windsor School District","=""0470011""","Eligible For Free Lunch",20.6,18.8,18.0,18.1,20.9
"East Windsor School District","=""0470011""","Not Eligible For Lunch",7.8,5.6,6.3,6.1,6.7
"East Windsor School District","=""0470011""","Eligible For Reduced Lunch",14.1,13.4,16.5,7.1,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Free Lunch",20.3,71.3,17.8,41.7,40.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Not Eligible For Lunch",19.1,67.5,12.1,28.7,29.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Reduced Lunch",28.0,"*","*","*",30.0
"Eastford School District","=""0390011""","Eligible For Free Lunch","*","*","*","*",0.0
"Eastford School District","=""0390011""","Not Eligible For Lunch","*","*","*",5.8,"*"
"Easton School District","=""0460011""","Eligible For Free Lunch","*","*","*","*","*"
"Easton School District","=""0460011""","Not Eligible For Lunch",4.0,3.1,2.3,2.5,1.6
"Easton School District","=""0460011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Education Connection","=""2420014""","Eligible For Free Lunch","*","*","*","*","*"
"Education Connection","=""2420014""","Not Eligible For Lunch","*","*","*","*","*"
"Education Connection","=""2420014""","Eligible For Reduced Lunch","*","*","*","N/A","*"
"Ellington School District","=""0480011""","Eligible For Free Lunch",15.5,18.7,13.3,13.0,14.5
"Ellington School District","=""0480011""","Not Eligible For Lunch",3.3,4.5,2.8,3.6,3.3
"Ellington School District","=""0480011""","Eligible For Reduced Lunch","*","*",11.7,"*","*"
"Elm City College Preparatory School District","=""2890013""","Eligible For Free Lunch",2.3,4.9,6.0,5.6,6.1
"Elm City College Preparatory School District","=""2890013""","Not Eligible For Lunch",0.0,"*","*","*",6.9
"Elm City College Preparatory School District","=""2890013""","Eligible For Reduced Lunch","*","*","*","*","*"
"Elm City Montessori School District","=""2910013""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Elm City Montessori School District","=""2910013""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Eligible For Free Lunch",20.5,20.3,20.6,19.4,20.6
"Enfield School District","=""0490011""","Not Eligible For Lunch",8.1,8.0,8.3,8.2,7.8
"Enfield School District","=""0490011""","Eligible For Reduced Lunch",11.9,9.6,11.3,13.8,7.8
"Essex School District","=""0500011""","Eligible For Free Lunch","*","*","*","*","*"
"Essex School District","=""0500011""","Not Eligible For Lunch",2.7,"*",2.0,2.4,2.4
"Essex School District","=""0500011""","Eligible For Reduced Lunch","*","*",0.0,"*","*"
"Explorations District","=""2720013""","Eligible For Free Lunch","*",57.1,44.0,28.6,42.4
"Explorations District","=""2720013""","Not Eligible For Lunch",17.4,32.7,22.2,27.6,22.4
"Explorations District","=""2720013""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Fairfield School District","=""0510011""","Eligible For Free Lunch",16.0,8.4,10.0,11.0,8.9
"Fairfield School District","=""0510011""","Not Eligible For Lunch",4.3,2.9,3.1,3.1,3.3
"Fairfield School District","=""0510011""","Eligible For Reduced Lunch",7.0,9.4,5.3,5.8,7.1
"Farmington School District","=""0520011""","Eligible For Free Lunch",14.7,22.2,15.7,17.9,12.7
"Farmington School District","=""0520011""","Not Eligible For Lunch",4.6,5.3,5.4,4.6,3.6
"Farmington School District","=""0520011""","Eligible For Reduced Lunch",10.1,17.6,14.7,12.0,"*"
"Franklin School District","=""0530011""","Eligible For Free Lunch","*","*","*","*",0.0
"Franklin School District","=""0530011""","Not Eligible For Lunch","*",7.5,"*","*","*"
"Franklin School District","=""0530011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Eligible For Free Lunch",11.7,7.8,8.4,9.6,8.6
"Glastonbury School District","=""0540011""","Not Eligible For Lunch",2.8,2.9,2.4,2.4,2.1
"Glastonbury School District","=""0540011""","Eligible For Reduced Lunch",7.9,5.6,"*",8.8,8.0
"Granby School District","=""0560011""","Eligible For Free Lunch",14.5,17.8,16.9,16.8,20.7
"Granby School District","=""0560011""","Not Eligible For Lunch",3.7,3.4,3.9,3.7,3.8
"Granby School District","=""0560011""","Eligible For Reduced Lunch",22.6,19.1,"*","*","*"
"Great Oaks Charter School District","=""2940013""","Eligible For Free Lunch","N/A","N/A","N/A",24.7,17.2
"Great Oaks Charter School District","=""2940013""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Great Oaks Charter School District","=""2940013""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Greenwich School District","=""0570011""","Eligible For Free Lunch",12.8,16.3,11.3,8.5,9.9
"Greenwich School District","=""0570011""","Not Eligible For Lunch",4.8,7.0,3.8,2.5,3.0
"Greenwich School District","=""0570011""","Eligible For Reduced Lunch",5.8,9.6,6.5,3.5,4.1
"Griswold School District","=""0580011""","Eligible For Free Lunch",21.1,21.5,21.1,20.0,17.1
"Griswold School District","=""0580011""","Not Eligible For Lunch",7.7,6.5,5.9,5.4,4.5
"Griswold School District","=""0580011""","Eligible For Reduced Lunch",12.9,6.6,7.9,11.0,14.1
"Groton School District","=""0590011""","Eligible For Free Lunch",20.6,17.7,18.7,17.8,18.4
"Groton School District","=""0590011""","Not Eligible For Lunch",10.2,9.5,8.0,7.6,6.7
"Groton School District","=""0590011""","Eligible For Reduced Lunch",11.5,12.4,9.1,8.9,10.0
"Guilford School District","=""0600011""","Eligible For Free Lunch",15.9,19.1,14.7,8.2,10.6
"Guilford School District","=""0600011""","Not Eligible For Lunch",5.7,6.2,5.1,4.6,4.2
"Guilford School District","=""0600011""","Eligible For Reduced Lunch",10.6,13.6,11.5,"*","*"
"Hamden School District","=""0620011""","Eligible For Free Lunch",21.0,23.7,23.0,24.2,27.2
"Hamden School District","=""0620011""","Not Eligible For Lunch",9.2,10.9,9.5,9.6,13.4
"Hamden School District","=""0620011""","Eligible For Reduced Lunch",14.0,14.5,17.8,13.1,19.5
"Hampton School District","=""0630011""","Eligible For Free Lunch","*","*","*","*","*"
"Hampton School District","=""0630011""","Not Eligible For Lunch","*","*","*","*","*"
"Hampton School District","=""0630011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Hartford School District","=""0640011""","Eligible For Free Lunch",28.7,28.2,29.8,29.0,26.0
"Hartford School District","=""0640011""","Not Eligible For Lunch",6.1,7.7,8.2,12.4,7.7
"Hartford School District","=""0640011""","Eligible For Reduced Lunch",5.1,5.9,9.4,6.9,6.4
"Hartland School District","=""0650011""","Eligible For Free Lunch","*","*","*","*","*"
"Hartland School District","=""0650011""","Not Eligible For Lunch","*",3.8,4.3,"*","*"
"Hartland School District","=""0650011""","Eligible For Reduced Lunch","N/A","*","*","*","*"
"Hebron School District","=""0670011""","Eligible For Free Lunch","*","*","*","*","*"
"Hebron School District","=""0670011""","Not Eligible For Lunch",3.4,3.0,1.8,1.9,1.3
"Hebron School District","=""0670011""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Highville Charter School District","=""2860013""","Eligible For Free Lunch",6.1,6.0,"*",7.4,3.5
"Highville Charter School District","=""2860013""","Not Eligible For Lunch","*","*","*",5.6,10.7
"Highville Charter School District","=""2860013""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Integrated Day Charter School District","=""2640013""","Eligible For Free Lunch",16.4,18.8,14.1,9.8,7.6
"Integrated Day Charter School District","=""2640013""","Not Eligible For Lunch",4.3,4.4,3.8,3.6,3.7
"Integrated Day Charter School District","=""2640013""","Eligible For Reduced Lunch",0.0,"*","*","*",0.0
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Free Lunch",12.0,13.0,15.9,17.0,9.5
"Interdistrict School for Arts and Comm District","=""2650013""","Not Eligible For Lunch","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Reduced Lunch","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Eligible For Free Lunch",3.3,"*",6.7,9.0,7.6
"Jumoke Academy District","=""2610013""","Not Eligible For Lunch","*",5.9,4.4,7.1,4.7
"Jumoke Academy District","=""2610013""","Eligible For Reduced Lunch",0.0,"*",8.9,"*","*"
"Kent School District","=""0680011""","Eligible For Free Lunch","*","*","*","*",0.0
"Kent School District","=""0680011""","Not Eligible For Lunch",6.5,4.4,"*","*",3.1
"Kent School District","=""0680011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Killingly School District","=""0690011""","Eligible For Free Lunch",20.2,21.8,19.6,14.9,15.9
"Killingly School District","=""0690011""","Not Eligible For Lunch",10.0,12.2,7.7,6.3,8.6
"Killingly School District","=""0690011""","Eligible For Reduced Lunch",14.9,16.9,15.1,9.9,9.6
"Learn","=""2450014""","Eligible For Free Lunch",20.8,39.7,21.2,23.9,14.3
"Learn","=""2450014""","Not Eligible For Lunch",10.2,26.5,13.0,9.1,6.3
"Learn","=""2450014""","Eligible For Reduced Lunch",12.4,27.3,14.5,13.0,7.9
"Lebanon School District","=""0710011""","Eligible For Free Lunch",15.9,19.8,9.5,6.9,13.9
"Lebanon School District","=""0710011""","Not Eligible For Lunch",9.0,11.3,7.6,7.5,5.2
"Lebanon School District","=""0710011""","Eligible For Reduced Lunch",13.0,18.8,"*","*","*"
"Ledyard School District","=""0720011""","Eligible For Free Lunch",9.6,12.7,11.7,8.1,15.4
"Ledyard School District","=""0720011""","Not Eligible For Lunch",8.2,7.5,4.3,2.7,5.5
"Ledyard School District","=""0720011""","Eligible For Reduced Lunch","*",13.2,7.0,"*",5.6
"Lisbon School District","=""0730011""","Eligible For Free Lunch",9.5,12.8,11.7,11.5,10.1
"Lisbon School District","=""0730011""","Not Eligible For Lunch",4.8,6.2,3.4,5.3,3.7
"Lisbon School District","=""0730011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Litchfield School District","=""0740011""","Eligible For Free Lunch",12.9,15.2,13.5,16.3,17.9
"Litchfield School District","=""0740011""","Not Eligible For Lunch",5.8,6.8,6.3,5.4,7.8
"Litchfield School District","=""0740011""","Eligible For Reduced Lunch",26.1,16.7,"*","*","*"
"Madison School District","=""0760011""","Eligible For Free Lunch",5.6,12.1,5.7,6.4,"*"
"Madison School District","=""0760011""","Not Eligible For Lunch",4.1,3.3,2.2,2.8,1.8
"Madison School District","=""0760011""","Eligible For Reduced Lunch",0.0,0.0,0.0,"*","*"
"Manchester School District","=""0770011""","Eligible For Free Lunch",25.5,19.4,19.0,18.9,19.8
"Manchester School District","=""0770011""","Not Eligible For Lunch",17.2,8.1,6.3,7.8,9.4
"Manchester School District","=""0770011""","Eligible For Reduced Lunch",18.7,7.3,7.0,8.8,6.8
"Mansfield School District","=""0780011""","Eligible For Free Lunch",8.3,9.7,9.8,9.9,6.2
"Mansfield School District","=""0780011""","Not Eligible For Lunch",4.2,5.4,2.2,3.3,4.3
"Mansfield School District","=""0780011""","Eligible For Reduced Lunch","*","*","*","*",12.5
"Marlborough School District","=""0790011""","Eligible For Free Lunch","*","*","*",18.6,16.3
"Marlborough School District","=""0790011""","Not Eligible For Lunch",3.6,3.5,2.0,3.8,2.3
"Marlborough School District","=""0790011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Meriden School District","=""0800011""","Eligible For Free Lunch",16.7,21.2,20.6,21.8,16.8
"Meriden School District","=""0800011""","Not Eligible For Lunch",6.5,8.4,7.3,8.1,5.7
"Meriden School District","=""0800011""","Eligible For Reduced Lunch",8.1,12.1,8.8,9.6,8.6
"Middletown School District","=""0830011""","Eligible For Free Lunch",17.5,16.4,16.8,15.4,15.1
"Middletown School District","=""0830011""","Not Eligible For Lunch",7.6,8.0,5.7,5.5,4.9
"Middletown School District","=""0830011""","Eligible For Reduced Lunch",11.8,8.0,7.9,5.0,6.1
"Milford School District","=""0840011""","Eligible For Free Lunch",25.2,27.0,24.9,19.2,17.1
"Milford School District","=""0840011""","Not Eligible For Lunch",7.2,9.7,7.6,6.3,5.5
"Milford School District","=""0840011""","Eligible For Reduced Lunch",15.2,15.8,15.4,10.0,5.6
"Monroe School District","=""0850011""","Eligible For Free Lunch",13.2,14.3,8.7,10.1,9.0
"Monroe School District","=""0850011""","Not Eligible For Lunch",5.9,5.4,3.4,2.3,2.2
"Monroe School District","=""0850011""","Eligible For Reduced Lunch",6.3,13.2,14.7,"*","*"
"Montville School District","=""0860011""","Eligible For Free Lunch",15.2,13.7,13.8,15.3,13.5
"Montville School District","=""0860011""","Not Eligible For Lunch",5.9,4.7,4.4,3.0,3.8
"Montville School District","=""0860011""","Eligible For Reduced Lunch",8.1,4.0,6.1,3.8,2.9
"Naugatuck School District","=""0880011""","Eligible For Free Lunch",20.2,21.8,20.6,18.4,17.1
"Naugatuck School District","=""0880011""","Not Eligible For Lunch",8.1,9.3,8.7,5.6,6.8
"Naugatuck School District","=""0880011""","Eligible For Reduced Lunch",12.4,12.1,14.6,8.4,11.6
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible For Free Lunch",10.5,11.8,11.6,21.7,8.2
"New Beginnings Inc., Family Academy District","=""2800013""","Not Eligible For Lunch","*","*","*","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"New Britain School District","=""0890011""","Eligible For Free Lunch",29.8,27.6,21.5,23.5,20.3
"New Britain School District","=""0890011""","Not Eligible For Lunch",20.7,17.2,14.0,12.4,11.6
"New Britain School District","=""0890011""","Eligible For Reduced Lunch",15.7,13.0,10.8,9.5,10.5
"New Canaan School District","=""0900011""","Not Eligible For Lunch",9.1,4.3,2.7,2.8,2.4
"New Fairfield School District","=""0910011""","Eligible For Free Lunch",14.8,12.9,8.5,12.2,11.0
