"Chronic Absenteeism, 2012-13"
", English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Danbury School District","=""0340011""","Non-ELL",10.7
"Darien School District","=""0350011""","ELL","*"
"Darien School District","=""0350011""","Non-ELL",3.6
"Deep River School District","=""0360011""","ELL","*"
"Deep River School District","=""0360011""","Non-ELL",3.2
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*"
"Derby School District","=""0370011""","ELL",15.2
"Derby School District","=""0370011""","Non-ELL",14.2
"East Granby School District","=""0400011""","ELL","*"
"East Granby School District","=""0400011""","Non-ELL",6.9
"East Haddam School District","=""0410011""","ELL","*"
"East Haddam School District","=""0410011""","Non-ELL",7.6
"East Hampton School District","=""0420011""","ELL","*"
"East Hampton School District","=""0420011""","Non-ELL",5.8
"East Hartford School District","=""0430011""","ELL",22.8
"East Hartford School District","=""0430011""","Non-ELL",18.6
"East Haven School District","=""0440011""","ELL",8.0
"East Haven School District","=""0440011""","Non-ELL",16.7
"East Lyme School District","=""0450011""","ELL",0.0
"East Lyme School District","=""0450011""","Non-ELL",4.9
"East Windsor School District","=""0470011""","ELL","*"
"East Windsor School District","=""0470011""","Non-ELL",10.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL",70.9
"Eastford School District","=""0390011""","Non-ELL",5.9
"Easton School District","=""0460011""","ELL","*"
"Easton School District","=""0460011""","Non-ELL",3.2
"Education Connection","=""2420014""","Non-ELL",58.1
"Ellington School District","=""0480011""","ELL",14.0
"Ellington School District","=""0480011""","Non-ELL",5.5
"Elm City College Preparatory School District","=""2890013""","ELL",0.0
"Elm City College Preparatory School District","=""2890013""","Non-ELL",3.7
"Enfield School District","=""0490011""","ELL",9.3
"Enfield School District","=""0490011""","Non-ELL",11.5
"Essex School District","=""0500011""","ELL","*"
"Essex School District","=""0500011""","Non-ELL",2.1
"Explorations District","=""2720013""","Non-ELL",39.5
"Fairfield School District","=""0510011""","ELL",3.8
"Fairfield School District","=""0510011""","Non-ELL",3.4
"Farmington School District","=""0520011""","ELL",9.8
"Farmington School District","=""0520011""","Non-ELL",6.9
"Franklin School District","=""0530011""","Non-ELL",8.3
"Glastonbury School District","=""0540011""","ELL","*"
"Glastonbury School District","=""0540011""","Non-ELL",3.3
"Granby School District","=""0560011""","ELL","*"
"Granby School District","=""0560011""","Non-ELL",4.7
"Greenwich School District","=""0570011""","ELL",9.3
"Greenwich School District","=""0570011""","Non-ELL",8.0
"Griswold School District","=""0580011""","ELL","*"
"Griswold School District","=""0580011""","Non-ELL",10.6
"Groton School District","=""0590011""","ELL",15.0
"Groton School District","=""0590011""","Non-ELL",12.3
"Guilford School District","=""0600011""","ELL","*"
"Guilford School District","=""0600011""","Non-ELL",7.0
"Hamden School District","=""0620011""","ELL",15.1
"Hamden School District","=""0620011""","Non-ELL",15.1
"Hampton School District","=""0630011""","Non-ELL","*"
"Hartford School District","=""0640011""","ELL",33.6
"Hartford School District","=""0640011""","Non-ELL",23.1
"Hartland School District","=""0650011""","Non-ELL",5.6
"Hebron School District","=""0670011""","ELL","*"
"Hebron School District","=""0670011""","Non-ELL",3.5
"Highville Charter School District","=""2860013""","Non-ELL",5.7
"Integrated Day Charter School District","=""2640013""","ELL","*"
"Integrated Day Charter School District","=""2640013""","Non-ELL",6.7
"Interdistrict School for Arts and Comm District","=""2650013""","ELL","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Non-ELL",9.8
"Jumoke Academy District","=""2610013""","Non-ELL",6.1
"Kent School District","=""0680011""","ELL","*"
"Kent School District","=""0680011""","Non-ELL",3.8
"Killingly School District","=""0690011""","ELL","*"
"Killingly School District","=""0690011""","Non-ELL",16.3
"Learn","=""2450014""","ELL",43.2
"Learn","=""2450014""","Non-ELL",30.6
"Lebanon School District","=""0710011""","ELL","*"
"Lebanon School District","=""0710011""","Non-ELL",12.8
"Ledyard School District","=""0720011""","ELL","*"
"Ledyard School District","=""0720011""","Non-ELL",8.4
"Lisbon School District","=""0730011""","ELL","*"
"Lisbon School District","=""0730011""","Non-ELL",7.9
"Litchfield School District","=""0740011""","ELL","*"
"Litchfield School District","=""0740011""","Non-ELL",7.9
"Madison School District","=""0760011""","ELL","*"
"Madison School District","=""0760011""","Non-ELL",3.5
"Manchester School District","=""0770011""","ELL",15.7
"Manchester School District","=""0770011""","Non-ELL",13.1
"Mansfield School District","=""0780011""","ELL","*"
"Mansfield School District","=""0780011""","Non-ELL",5.8
"Marlborough School District","=""0790011""","ELL","*"
"Marlborough School District","=""0790011""","Non-ELL",3.6
"Meriden School District","=""0800011""","ELL",18.4
"Meriden School District","=""0800011""","Non-ELL",15.9
"Middletown School District","=""0830011""","ELL",14.2
"Middletown School District","=""0830011""","Non-ELL",11.1
"Milford School District","=""0840011""","ELL",16.8
"Milford School District","=""0840011""","Non-ELL",12.7
"Monroe School District","=""0850011""","ELL","*"
"Monroe School District","=""0850011""","Non-ELL",6.0
"Montville School District","=""0860011""","ELL","*"
"Montville School District","=""0860011""","Non-ELL",7.1
"Naugatuck School District","=""0880011""","ELL",11.7
"Naugatuck School District","=""0880011""","Non-ELL",14.0
"New Beginnings Inc., Family Academy District","=""2800013""","ELL","*"
"New Beginnings Inc., Family Academy District","=""2800013""","Non-ELL",9.3
"New Britain School District","=""0890011""","ELL",26.7
"New Britain School District","=""0890011""","Non-ELL",24.2
"New Canaan School District","=""0900011""","ELL","*"
"New Canaan School District","=""0900011""","Non-ELL",4.3
"New Fairfield School District","=""0910011""","ELL","*"
"New Fairfield School District","=""0910011""","Non-ELL",5.9
"New Hartford School District","=""0920011""","ELL","*"
"New Hartford School District","=""0920011""","Non-ELL",4.5
"New Haven School District","=""0930011""","ELL",16.0
"New Haven School District","=""0930011""","Non-ELL",16.1
"New London School District","=""0950011""","ELL",17.9
"New London School District","=""0950011""","Non-ELL",20.0
"New Milford School District","=""0960011""","ELL",13.7
"New Milford School District","=""0960011""","Non-ELL",9.4
"Newington School District","=""0940011""","ELL",4.3
"Newington School District","=""0940011""","Non-ELL",3.6
"Newtown School District","=""0970011""","ELL","*"
"Newtown School District","=""0970011""","Non-ELL",5.0
"Norfolk School District","=""0980011""","Non-ELL",12.3
"North Branford School District","=""0990011""","ELL","*"
"North Branford School District","=""0990011""","Non-ELL",14.5
"North Canaan School District","=""1000011""","ELL","*"
"North Canaan School District","=""1000011""","Non-ELL",14.9
"North Haven School District","=""1010011""","ELL",10.3
"North Haven School District","=""1010011""","Non-ELL",9.9
"North Stonington School District","=""1020011""","Non-ELL",11.3
"Norwalk School District","=""1030011""","ELL",11.4
"Norwalk School District","=""1030011""","Non-ELL",11.6
"Norwich Free Academy District","=""9010022""","ELL",8.7
"Norwich Free Academy District","=""9010022""","Non-ELL",11.6
"Norwich School District","=""1040011""","ELL",13.1
"Norwich School District","=""1040011""","Non-ELL",13.5
"Odyssey Community School District","=""2630013""","Non-ELL",9.4
"Old Saybrook School District","=""1060011""","ELL",0.0
"Old Saybrook School District","=""1060011""","Non-ELL",16.5
"Orange School District","=""1070011""","ELL",21.4
"Orange School District","=""1070011""","Non-ELL",4.2
"Oxford School District","=""1080011""","ELL","*"
"Oxford School District","=""1080011""","Non-ELL",8.2
"Park City Prep Charter School District","=""2830013""","ELL","*"
"Park City Prep Charter School District","=""2830013""","Non-ELL",5.0
"Plainfield School District","=""1090011""","ELL","*"
"Plainfield School District","=""1090011""","Non-ELL",12.1
"Plainville School District","=""1100011""","ELL","*"
"Plainville School District","=""1100011""","Non-ELL",11.5
"Plymouth School District","=""1110011""","ELL","*"
"Plymouth School District","=""1110011""","Non-ELL",9.6
"Pomfret School District","=""1120011""","ELL","*"
"Pomfret School District","=""1120011""","Non-ELL",3.8
"Portland School District","=""1130011""","ELL","*"
"Portland School District","=""1130011""","Non-ELL",5.8
"Preston School District","=""1140011""","ELL","*"
"Preston School District","=""1140011""","Non-ELL",9.0
"Putnam School District","=""1160011""","ELL",32.3
"Putnam School District","=""1160011""","Non-ELL",13.8
"Redding School District","=""1170011""","ELL","*"
"Redding School District","=""1170011""","Non-ELL",5.5
"Regional School District 01","=""2010012""","ELL","*"
"Regional School District 01","=""2010012""","Non-ELL",4.8
"Regional School District 04","=""2040012""","ELL","*"
"Regional School District 04","=""2040012""","Non-ELL",10.1
"Regional School District 05","=""2050012""","ELL","*"
"Regional School District 05","=""2050012""","Non-ELL",11.1
"Regional School District 06","=""2060012""","ELL","*"
"Regional School District 06","=""2060012""","Non-ELL",5.9
"Regional School District 07","=""2070012""","Non-ELL",6.7
"Regional School District 08","=""2080012""","ELL","*"
"Regional School District 08","=""2080012""","Non-ELL",17.4
"Regional School District 09","=""2090012""","ELL","*"
"Regional School District 09","=""2090012""","Non-ELL",13.3
"Regional School District 10","=""2100012""","ELL","*"
"Regional School District 10","=""2100012""","Non-ELL",5.3
"Regional School District 11","=""2110012""","Non-ELL",10.2
"Regional School District 12","=""2120012""","ELL","*"
"Regional School District 12","=""2120012""","Non-ELL",10.7
"Regional School District 13","=""2130012""","ELL","*"
"Regional School District 13","=""2130012""","Non-ELL",4.6
"Regional School District 14","=""2140012""","ELL",0.0
"Regional School District 14","=""2140012""","Non-ELL",4.2
"Regional School District 15","=""2150012""","ELL",0.0
"Regional School District 15","=""2150012""","Non-ELL",5.7
"Regional School District 16","=""2160012""","ELL","*"
"Regional School District 16","=""2160012""","Non-ELL",6.7
"Regional School District 17","=""2170012""","ELL","*"
"Regional School District 17","=""2170012""","Non-ELL",3.3
"Regional School District 18","=""2180012""","ELL","*"
"Regional School District 18","=""2180012""","Non-ELL",4.6
"Regional School District 19","=""2190012""","ELL","*"
"Regional School District 19","=""2190012""","Non-ELL",15.8
"Ridgefield School District","=""1180011""","ELL",12.8
"Ridgefield School District","=""1180011""","Non-ELL",6.6
"Rocky Hill School District","=""1190011""","ELL",20.7
"Rocky Hill School District","=""1190011""","Non-ELL",7.8
"Salem School District","=""1210011""","ELL","*"
"Salem School District","=""1210011""","Non-ELL",3.6
"Salisbury School District","=""1220011""","Non-ELL",7.0
"Scotland School District","=""1230011""","Non-ELL",5.3
"Seymour School District","=""1240011""","ELL",11.4
"Seymour School District","=""1240011""","Non-ELL",11.8
"Sharon School District","=""1250011""","Non-ELL",5.0
"Shelton School District","=""1260011""","ELL",9.4
"Shelton School District","=""1260011""","Non-ELL",13.3
"Sherman School District","=""1270011""","ELL","*"
"Sherman School District","=""1270011""","Non-ELL",7.1
"Side By Side Charter School District","=""2700013""","ELL","*"
"Side By Side Charter School District","=""2700013""","Non-ELL",8.9
"Simsbury School District","=""1280011""","ELL","*"
"Simsbury School District","=""1280011""","Non-ELL",6.3
"Somers School District","=""1290011""","ELL","*"
"Somers School District","=""1290011""","Non-ELL",13.4
"South Windsor School District","=""1320011""","ELL",11.6
"South Windsor School District","=""1320011""","Non-ELL",5.7
"Southington School District","=""1310011""","ELL","*"
"Southington School District","=""1310011""","Non-ELL",6.8
"Sprague School District","=""1330011""","ELL","*"
"Sprague School District","=""1330011""","Non-ELL",8.4
"Stafford School District","=""1340011""","ELL","*"
"Stafford School District","=""1340011""","Non-ELL",7.1
"Stamford Academy District","=""2820013""","Non-ELL",97.3
"Stamford School District","=""1350011""","ELL",17.6
"Stamford School District","=""1350011""","Non-ELL",14.0
"State Level","=""0000000""","ELL",18.4
"State Level","=""0000000""","Non-ELL",11.1
"Sterling School District","=""1360011""","Non-ELL",5.1
"Stonington School District","=""1370011""","ELL","*"
"Stonington School District","=""1370011""","Non-ELL",6.4
"Stratford School District","=""1380011""","ELL",10.0
"Stratford School District","=""1380011""","Non-ELL",12.6
"Suffield School District","=""1390011""","ELL","*"
"Suffield School District","=""1390011""","Non-ELL",5.7
"The Bridge Academy District","=""2690013""","ELL","*"
"The Bridge Academy District","=""2690013""","Non-ELL",5.4
"The Gilbert School District","=""9020022""","ELL","*"
"The Gilbert School District","=""9020022""","Non-ELL",15.1
"Thomaston School District","=""1400011""","ELL","*"
"Thomaston School District","=""1400011""","Non-ELL",6.7
"Thompson School District","=""1410011""","Non-ELL",8.3
"Tolland School District","=""1420011""","ELL","*"
"Tolland School District","=""1420011""","Non-ELL",5.7
"Torrington School District","=""1430011""","ELL",7.3
"Torrington School District","=""1430011""","Non-ELL",14.5
"Trailblazers Academy District","=""2780013""","Non-ELL","*"
"Trumbull School District","=""1440011""","ELL",7.3
"Trumbull School District","=""1440011""","Non-ELL",4.1
"Unified School District #1","=""3360015""","Non-ELL",43.0
"Unified School District #2","=""3470015""","Non-ELL",21.8
"Union School District","=""1450011""","Non-ELL",0.0
"Vernon School District","=""1460011""","ELL","*"
"Vernon School District","=""1460011""","Non-ELL",8.1
"Voluntown School District","=""1470011""","Non-ELL",8.8
"Wallingford School District","=""1480011""","ELL",6.9
"Wallingford School District","=""1480011""","Non-ELL",9.8
"Waterbury School District","=""1510011""","ELL",23.5
"Waterbury School District","=""1510011""","Non-ELL",19.3
"Waterford School District","=""1520011""","ELL","*"
"Waterford School District","=""1520011""","Non-ELL",7.5
"Watertown School District","=""1530011""","ELL",10.5
"Watertown School District","=""1530011""","Non-ELL",10.3
"West Hartford School District","=""1550011""","ELL",13.5
"West Hartford School District","=""1550011""","Non-ELL",5.6
"West Haven School District","=""1560011""","ELL",13.7
"West Haven School District","=""1560011""","Non-ELL",16.9
"Westbrook School District","=""1540011""","ELL","*"
"Westbrook School District","=""1540011""","Non-ELL",7.3
"Weston School District","=""1570011""","ELL","*"
"Weston School District","=""1570011""","Non-ELL",7.8
"Westport School District","=""1580011""","ELL","*"
"Westport School District","=""1580011""","Non-ELL",2.5
"Wethersfield School District","=""1590011""","ELL",11.4
"Wethersfield School District","=""1590011""","Non-ELL",9.3
"Willington School District","=""1600011""","ELL","*"
"Willington School District","=""1600011""","Non-ELL",5.0
"Wilton School District","=""1610011""","ELL","*"
"Wilton School District","=""1610011""","Non-ELL",16.8
"Winchester School District","=""1620011""","ELL","*"
"Winchester School District","=""1620011""","Non-ELL",6.5
"Windham School District","=""1630011""","ELL",23.1
"Windham School District","=""1630011""","Non-ELL",17.0
"Windsor Locks School District","=""1650011""","ELL","*"
"Windsor Locks School District","=""1650011""","Non-ELL",10.5
"Windsor School District","=""1640011""","ELL",14.4
"Windsor School District","=""1640011""","Non-ELL",8.6
"Wolcott School District","=""1660011""","ELL","*"
"Wolcott School District","=""1660011""","Non-ELL",3.1
"Woodbridge School District","=""1670011""","ELL","*"
"Woodbridge School District","=""1670011""","Non-ELL",5.0
"Woodstock Academy District","=""9030022""","ELL","*"
"Woodstock Academy District","=""9030022""","Non-ELL",6.2
"Woodstock School District","=""1690011""","ELL","*"
"Woodstock School District","=""1690011""","Non-ELL",5.0

