"Chronic Absenteeism, 2014-15"
", English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Path Academy District","=""2930013""","Non-ELL",85.2
"Plainfield School District","=""1090011""","ELL","*"
"Plainfield School District","=""1090011""","Non-ELL",9.6
"Plainville School District","=""1100011""","ELL","*"
"Plainville School District","=""1100011""","Non-ELL",8.1
"Plymouth School District","=""1110011""","ELL","*"
"Plymouth School District","=""1110011""","Non-ELL",12.7
"Pomfret School District","=""1120011""","ELL","*"
"Pomfret School District","=""1120011""","Non-ELL",3.3
"Portland School District","=""1130011""","ELL","*"
"Portland School District","=""1130011""","Non-ELL",7.4
"Preston School District","=""1140011""","ELL","*"
"Preston School District","=""1140011""","Non-ELL",8.3
"Putnam School District","=""1160011""","ELL","*"
"Putnam School District","=""1160011""","Non-ELL",14.5
"Redding School District","=""1170011""","ELL","*"
"Redding School District","=""1170011""","Non-ELL",3.1
"Regional School District 01","=""2010012""","ELL","*"
"Regional School District 01","=""2010012""","Non-ELL",15.7
"Regional School District 04","=""2040012""","ELL","*"
"Regional School District 04","=""2040012""","Non-ELL",7.9
"Regional School District 05","=""2050012""","ELL","*"
"Regional School District 05","=""2050012""","Non-ELL",10.7
"Regional School District 06","=""2060012""","ELL","*"
"Regional School District 06","=""2060012""","Non-ELL",4.6
"Regional School District 07","=""2070012""","ELL","*"
"Regional School District 07","=""2070012""","Non-ELL",5.5
"Regional School District 08","=""2080012""","ELL","*"
"Regional School District 08","=""2080012""","Non-ELL",12.5
"Regional School District 09","=""2090012""","ELL","*"
"Regional School District 09","=""2090012""","Non-ELL",9.0
"Regional School District 10","=""2100012""","ELL","*"
"Regional School District 10","=""2100012""","Non-ELL",6.4
"Regional School District 11","=""2110012""","ELL","*"
"Regional School District 11","=""2110012""","Non-ELL",7.2
"Regional School District 12","=""2120012""","ELL","*"
"Regional School District 12","=""2120012""","Non-ELL",8.8
"Regional School District 13","=""2130012""","ELL","*"
"Regional School District 13","=""2130012""","Non-ELL",4.1
"Regional School District 14","=""2140012""","ELL","*"
"Regional School District 14","=""2140012""","Non-ELL",1.9
"Regional School District 15","=""2150012""","ELL","*"
"Regional School District 15","=""2150012""","Non-ELL",4.4
"Regional School District 16","=""2160012""","ELL","*"
"Regional School District 16","=""2160012""","Non-ELL",8.7
"Regional School District 17","=""2170012""","ELL","*"
"Regional School District 17","=""2170012""","Non-ELL",5.0
"Regional School District 18","=""2180012""","ELL","*"
"Regional School District 18","=""2180012""","Non-ELL",7.1
"Regional School District 19","=""2190012""","ELL","*"
"Regional School District 19","=""2190012""","Non-ELL",6.9
"Ridgefield School District","=""1180011""","ELL","*"
"Ridgefield School District","=""1180011""","Non-ELL",5.5
"Rocky Hill School District","=""1190011""","ELL",12.2
"Rocky Hill School District","=""1190011""","Non-ELL",7.4
"Salem School District","=""1210011""","Non-ELL",4.6
"Salisbury School District","=""1220011""","ELL","*"
"Salisbury School District","=""1220011""","Non-ELL",6.7
"Scotland School District","=""1230011""","Non-ELL","*"
"Seymour School District","=""1240011""","ELL",11.5
"Seymour School District","=""1240011""","Non-ELL",6.2
"Sharon School District","=""1250011""","ELL","*"
"Sharon School District","=""1250011""","Non-ELL",3.5
"Shelton School District","=""1260011""","ELL",10.3
"Shelton School District","=""1260011""","Non-ELL",12.1
"Sherman School District","=""1270011""","ELL","*"
"Sherman School District","=""1270011""","Non-ELL",6.8
"Side By Side Charter School District","=""2700013""","ELL","*"
"Side By Side Charter School District","=""2700013""","Non-ELL",10.6
"Simsbury School District","=""1280011""","ELL","*"
"Simsbury School District","=""1280011""","Non-ELL",5.3
"Somers School District","=""1290011""","ELL","*"
"Somers School District","=""1290011""","Non-ELL",11.8
"South Windsor School District","=""1320011""","ELL",11.6
"South Windsor School District","=""1320011""","Non-ELL",3.5
"Southington School District","=""1310011""","ELL",10.5
"Southington School District","=""1310011""","Non-ELL",6.0
"Sprague School District","=""1330011""","ELL","*"
"Sprague School District","=""1330011""","Non-ELL",12.0
"Stafford School District","=""1340011""","ELL","*"
"Stafford School District","=""1340011""","Non-ELL",8.6
"Stamford Academy District","=""2820013""","Non-ELL",86.9
"Stamford School District","=""1350011""","ELL",15.7
"Stamford School District","=""1350011""","Non-ELL",13.7
"State Level","=""0000000""","ELL",17.5
"State Level","=""0000000""","Non-ELL",10.2
"Sterling School District","=""1360011""","Non-ELL",7.0
"Stonington School District","=""1370011""","ELL","*"
"Stonington School District","=""1370011""","Non-ELL",8.3
"Stratford School District","=""1380011""","ELL",9.6
"Stratford School District","=""1380011""","Non-ELL",10.3
"Suffield School District","=""1390011""","ELL","*"
"Suffield School District","=""1390011""","Non-ELL",1.2
"The Bridge Academy District","=""2690013""","ELL","*"
"The Bridge Academy District","=""2690013""","Non-ELL",7.5
"The Gilbert School District","=""9020022""","ELL","*"
"The Gilbert School District","=""9020022""","Non-ELL",23.7
"Thomaston School District","=""1400011""","ELL","*"
"Thomaston School District","=""1400011""","Non-ELL",6.8
"Thompson School District","=""1410011""","ELL","*"
"Thompson School District","=""1410011""","Non-ELL",5.6
"Tolland School District","=""1420011""","ELL","*"
"Tolland School District","=""1420011""","Non-ELL",4.4
"Torrington School District","=""1430011""","ELL",6.7
"Torrington School District","=""1430011""","Non-ELL",11.1
"Trailblazers Academy District","=""2780013""","Non-ELL",65.9
"Trumbull School District","=""1440011""","ELL",9.3
"Trumbull School District","=""1440011""","Non-ELL",3.3
"Unified School District #1","=""3360015""","Non-ELL",31.8
"Unified School District #2","=""3470015""","Non-ELL",3.3
"Union School District","=""1450011""","Non-ELL",7.8
"Vernon School District","=""1460011""","ELL",9.6
"Vernon School District","=""1460011""","Non-ELL",9.0
"Voluntown School District","=""1470011""","Non-ELL",6.8
"Wallingford School District","=""1480011""","ELL",5.3
"Wallingford School District","=""1480011""","Non-ELL",5.2
"Waterbury School District","=""1510011""","ELL",25.0
"Waterbury School District","=""1510011""","Non-ELL",17.7
"Waterford School District","=""1520011""","ELL","*"
"Waterford School District","=""1520011""","Non-ELL",6.0
"Watertown School District","=""1530011""","ELL",11.0
"Watertown School District","=""1530011""","Non-ELL",9.3
"West Hartford School District","=""1550011""","ELL",7.8
"West Hartford School District","=""1550011""","Non-ELL",5.1
"West Haven School District","=""1560011""","ELL",10.2
"West Haven School District","=""1560011""","Non-ELL",17.2
"Westbrook School District","=""1540011""","ELL","*"
"Westbrook School District","=""1540011""","Non-ELL",3.5
"Weston School District","=""1570011""","ELL","*"
"Weston School District","=""1570011""","Non-ELL",5.8
"Westport School District","=""1580011""","ELL",0.0
"Westport School District","=""1580011""","Non-ELL",1.8
"Wethersfield School District","=""1590011""","ELL",9.3
"Wethersfield School District","=""1590011""","Non-ELL",3.7
"Willington School District","=""1600011""","ELL","*"
"Willington School District","=""1600011""","Non-ELL",7.1
"Wilton School District","=""1610011""","ELL","*"
"Wilton School District","=""1610011""","Non-ELL",4.1
"Winchester School District","=""1620011""","ELL","*"
"Winchester School District","=""1620011""","Non-ELL",7.0
"Windham School District","=""1630011""","ELL",19.2
"Windham School District","=""1630011""","Non-ELL",13.8
"Windsor Locks School District","=""1650011""","ELL",13.1
"Windsor Locks School District","=""1650011""","Non-ELL",13.3
"Windsor School District","=""1640011""","ELL",8.4
"Windsor School District","=""1640011""","Non-ELL",7.9
"Wolcott School District","=""1660011""","ELL","*"
"Wolcott School District","=""1660011""","Non-ELL",3.9
"Woodbridge School District","=""1670011""","ELL","*"
"Woodbridge School District","=""1670011""","Non-ELL",5.1
"Woodstock Academy District","=""9030022""","ELL","*"
"Woodstock Academy District","=""9030022""","Non-ELL",7.9
"Woodstock School District","=""1690011""","ELL","*"
"Woodstock School District","=""1690011""","Non-ELL",5.4

