"Chronic Absenteeism, 2012-13"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Ansonia School District","=""0020011""","Grade   7",13.3
"Ansonia School District","=""0020011""","Grade   8",17.0
"Ansonia School District","=""0020011""","Grade   9",15.3
"Ansonia School District","=""0020011""","Grade 10",18.6
"Ansonia School District","=""0020011""","Grade 11",28.6
"Ansonia School District","=""0020011""","Grade 12",16.4
"Area Cooperative Educational Services","=""2440014""","Kindergarten",14.9
"Area Cooperative Educational Services","=""2440014""","Grade   1",17.6
"Area Cooperative Educational Services","=""2440014""","Grade   2",16.0
"Area Cooperative Educational Services","=""2440014""","Grade   3",12.5
"Area Cooperative Educational Services","=""2440014""","Grade   4",17.6
"Area Cooperative Educational Services","=""2440014""","Grade   5",18.5
"Area Cooperative Educational Services","=""2440014""","Grade   6",15.5
"Area Cooperative Educational Services","=""2440014""","Grade   7",13.0
"Area Cooperative Educational Services","=""2440014""","Grade   8",14.5
"Area Cooperative Educational Services","=""2440014""","Grade   9",40.5
"Area Cooperative Educational Services","=""2440014""","Grade 10",60.5
"Area Cooperative Educational Services","=""2440014""","Grade 11",58.2
"Area Cooperative Educational Services","=""2440014""","Grade 12",40.7
"Ashford School District","=""0030011""","Kindergarten","*"
"Ashford School District","=""0030011""","Grade   1","*"
"Ashford School District","=""0030011""","Grade   2","*"
"Ashford School District","=""0030011""","Grade   3","*"
"Ashford School District","=""0030011""","Grade   4","*"
"Ashford School District","=""0030011""","Grade   5","*"
"Ashford School District","=""0030011""","Grade   6","*"
"Ashford School District","=""0030011""","Grade   7","*"
"Ashford School District","=""0030011""","Grade   8",14.8
"Avon School District","=""0040011""","Kindergarten",8.3
"Avon School District","=""0040011""","Grade   1",6.0
"Avon School District","=""0040011""","Grade   2",5.3
"Avon School District","=""0040011""","Grade   3",4.6
"Avon School District","=""0040011""","Grade   4",2.7
"Avon School District","=""0040011""","Grade   5",6.4
"Avon School District","=""0040011""","Grade   6",6.3
"Avon School District","=""0040011""","Grade   7",3.5
"Avon School District","=""0040011""","Grade   8",6.5
"Avon School District","=""0040011""","Grade   9",6.9
"Avon School District","=""0040011""","Grade 10",4.1
"Avon School District","=""0040011""","Grade 11",3.9
"Avon School District","=""0040011""","Grade 12","*"
"Barkhamsted School District","=""0050011""","Kindergarten","*"
"Barkhamsted School District","=""0050011""","Grade   1","*"
"Barkhamsted School District","=""0050011""","Grade   2","*"
"Barkhamsted School District","=""0050011""","Grade   3","*"
"Barkhamsted School District","=""0050011""","Grade   4","*"
"Barkhamsted School District","=""0050011""","Grade   5","*"
"Barkhamsted School District","=""0050011""","Grade   6","*"
"Berlin School District","=""0070011""","Kindergarten",4.6
"Berlin School District","=""0070011""","Grade   1",3.4
"Berlin School District","=""0070011""","Grade   2",3.3
"Berlin School District","=""0070011""","Grade   3","*"
"Berlin School District","=""0070011""","Grade   4",2.4
"Berlin School District","=""0070011""","Grade   5",3.7
"Berlin School District","=""0070011""","Grade   6",4.7
"Berlin School District","=""0070011""","Grade   7",8.6
"Berlin School District","=""0070011""","Grade   8",11.5
"Berlin School District","=""0070011""","Grade   9",5.8
"Berlin School District","=""0070011""","Grade 10",7.4
"Berlin School District","=""0070011""","Grade 11",6.3
"Berlin School District","=""0070011""","Grade 12",9.5
"Bethany School District","=""0080011""","Kindergarten","*"
"Bethany School District","=""0080011""","Grade   1","*"
"Bethany School District","=""0080011""","Grade   2","*"
"Bethany School District","=""0080011""","Grade   3","*"
"Bethany School District","=""0080011""","Grade   4",8.2
"Bethany School District","=""0080011""","Grade   5","*"
"Bethany School District","=""0080011""","Grade   6","*"
"Bethel School District","=""0090011""","Kindergarten",6.4
"Bethel School District","=""0090011""","Grade   1",5.3
"Bethel School District","=""0090011""","Grade   2","*"
"Bethel School District","=""0090011""","Grade   3","*"
"Bethel School District","=""0090011""","Grade   4",4.8
"Bethel School District","=""0090011""","Grade   5",6.2
"Bethel School District","=""0090011""","Grade   6",7.1
"Bethel School District","=""0090011""","Grade   7",8.7
"Bethel School District","=""0090011""","Grade   8",9.4
"Bethel School District","=""0090011""","Grade   9",6.3
"Bethel School District","=""0090011""","Grade 10",8.4
"Bethel School District","=""0090011""","Grade 11",9.8
"Bethel School District","=""0090011""","Grade 12",10.5
"Bloomfield School District","=""0110011""","Kindergarten",10.3
"Bloomfield School District","=""0110011""","Grade   1",5.8
"Bloomfield School District","=""0110011""","Grade   2",6.3
"Bloomfield School District","=""0110011""","Grade   3",5.4
"Bloomfield School District","=""0110011""","Grade   4","*"
"Bloomfield School District","=""0110011""","Grade   5","*"
"Bloomfield School District","=""0110011""","Grade   6",7.3
"Bloomfield School District","=""0110011""","Grade   7",6.7
"Bloomfield School District","=""0110011""","Grade   8",6.6
"Bloomfield School District","=""0110011""","Grade   9",13.1
"Bloomfield School District","=""0110011""","Grade 10",11.5
"Bloomfield School District","=""0110011""","Grade 11",9.8
"Bloomfield School District","=""0110011""","Grade 12",10.7
"Bolton School District","=""0120011""","Kindergarten",14.6
"Bolton School District","=""0120011""","Grade   1","*"
"Bolton School District","=""0120011""","Grade   2","*"
"Bolton School District","=""0120011""","Grade   3","*"
"Bolton School District","=""0120011""","Grade   4","*"
"Bolton School District","=""0120011""","Grade   5","*"
"Bolton School District","=""0120011""","Grade   6","*"
"Bolton School District","=""0120011""","Grade   7","*"
"Bolton School District","=""0120011""","Grade   8","*"
"Bolton School District","=""0120011""","Grade   9","*"
"Bolton School District","=""0120011""","Grade 10","*"
"Bolton School District","=""0120011""","Grade 11","*"
"Bolton School District","=""0120011""","Grade 12","*"
"Bozrah School District","=""0130011""","Kindergarten","*"
"Bozrah School District","=""0130011""","Grade   1","*"
"Bozrah School District","=""0130011""","Grade   2","*"
"Bozrah School District","=""0130011""","Grade   3","*"
"Bozrah School District","=""0130011""","Grade   4","*"
"Bozrah School District","=""0130011""","Grade   5","*"
"Bozrah School District","=""0130011""","Grade   6","*"
"Bozrah School District","=""0130011""","Grade   7","*"
"Bozrah School District","=""0130011""","Grade   8","*"
"Bozrah School District","=""0130011""","Grade 12","*"
"Branford School District","=""0140011""","Kindergarten",6.8
"Branford School District","=""0140011""","Grade   1",3.6
"Branford School District","=""0140011""","Grade   2",5.4
"Branford School District","=""0140011""","Grade   3",6.5
"Branford School District","=""0140011""","Grade   4",4.4
"Branford School District","=""0140011""","Grade   5",3.8
"Branford School District","=""0140011""","Grade   6",5.9
"Branford School District","=""0140011""","Grade   7",5.7
"Branford School District","=""0140011""","Grade   8",11.7
"Branford School District","=""0140011""","Grade   9",6.1
"Branford School District","=""0140011""","Grade 10",10.2
"Branford School District","=""0140011""","Grade 11",14.3
"Branford School District","=""0140011""","Grade 12",13.9
"Bridgeport Achievement First District","=""2850013""","Kindergarten","*"
"Bridgeport Achievement First District","=""2850013""","Grade   1",0.0
"Bridgeport Achievement First District","=""2850013""","Grade   2",0.0
"Bridgeport Achievement First District","=""2850013""","Grade   5","*"
"Bridgeport Achievement First District","=""2850013""","Grade   6",0.0
"Bridgeport Achievement First District","=""2850013""","Grade   7","*"
"Bridgeport Achievement First District","=""2850013""","Grade   8","*"
"Bridgeport Achievement First District","=""2850013""","Grade   9",11.8
"Bridgeport Achievement First District","=""2850013""","Grade 10",0.0
"Bridgeport School District","=""0150011""","Kindergarten",25.3
"Bridgeport School District","=""0150011""","Grade   1",20.3
"Bridgeport School District","=""0150011""","Grade   2",18.2
"Bridgeport School District","=""0150011""","Grade   3",14.8
"Bridgeport School District","=""0150011""","Grade   4",14.5
"Bridgeport School District","=""0150011""","Grade   5",12.7
"Bridgeport School District","=""0150011""","Grade   6",15.7
"Bridgeport School District","=""0150011""","Grade   7",19.6
"Bridgeport School District","=""0150011""","Grade   8",21.3
"Bridgeport School District","=""0150011""","Grade   9",44.3
"Bridgeport School District","=""0150011""","Grade 10",52.4
"Bridgeport School District","=""0150011""","Grade 11",47.0
"Bridgeport School District","=""0150011""","Grade 12",48.0
"Bristol School District","=""0170011""","Kindergarten",14.7
"Bristol School District","=""0170011""","Grade   1",10.8
"Bristol School District","=""0170011""","Grade   2",6.2
"Bristol School District","=""0170011""","Grade   3",4.7
"Bristol School District","=""0170011""","Grade   4",6.6
"Bristol School District","=""0170011""","Grade   5",6.4
"Bristol School District","=""0170011""","Grade   6",8.0
"Bristol School District","=""0170011""","Grade   7",7.4
"Bristol School District","=""0170011""","Grade   8",7.0
"Bristol School District","=""0170011""","Grade   9",17.8
"Bristol School District","=""0170011""","Grade 10",12.7
"Bristol School District","=""0170011""","Grade 11",14.5
"Bristol School District","=""0170011""","Grade 12",13.4
"Brookfield School District","=""0180011""","Kindergarten","*"
"Brookfield School District","=""0180011""","Grade   1",2.9
"Brookfield School District","=""0180011""","Grade   2","*"
"Brookfield School District","=""0180011""","Grade   3","*"
"Brookfield School District","=""0180011""","Grade   4","*"
"Brookfield School District","=""0180011""","Grade   5",5.1
"Brookfield School District","=""0180011""","Grade   6",2.7
"Brookfield School District","=""0180011""","Grade   7",2.8
"Brookfield School District","=""0180011""","Grade   8","*"
"Brookfield School District","=""0180011""","Grade   9","*"
"Brookfield School District","=""0180011""","Grade 10","*"
"Brookfield School District","=""0180011""","Grade 11","*"
"Brookfield School District","=""0180011""","Grade 12","*"
"Brooklyn School District","=""0190011""","Kindergarten",22.6
"Brooklyn School District","=""0190011""","Grade   1","*"
"Brooklyn School District","=""0190011""","Grade   2","*"
"Brooklyn School District","=""0190011""","Grade   3","*"
"Brooklyn School District","=""0190011""","Grade   4","*"
"Brooklyn School District","=""0190011""","Grade   5","*"
"Brooklyn School District","=""0190011""","Grade   6",6.7
"Brooklyn School District","=""0190011""","Grade   7",7.8
"Brooklyn School District","=""0190011""","Grade   8",7.5
"Brooklyn School District","=""0190011""","Grade   9","*"
"Brooklyn School District","=""0190011""","Grade 10","*"
"Brooklyn School District","=""0190011""","Grade 11","*"
"Brooklyn School District","=""0190011""","Grade 12","*"
"Canaan School District","=""0210011""","Kindergarten","*"
"Canaan School District","=""0210011""","Grade   1","*"
"Canaan School District","=""0210011""","Grade   2","*"
"Canaan School District","=""0210011""","Grade   3","*"
"Canaan School District","=""0210011""","Grade   4","*"
"Canaan School District","=""0210011""","Grade   5","*"
"Canaan School District","=""0210011""","Grade   6","*"
"Canaan School District","=""0210011""","Grade   7","*"
"Canaan School District","=""0210011""","Grade   8","*"
"Canterbury School District","=""0220011""","Kindergarten",13.6
"Canterbury School District","=""0220011""","Grade   1",0.0
"Canterbury School District","=""0220011""","Grade   2","*"
"Canterbury School District","=""0220011""","Grade   3","*"
"Canterbury School District","=""0220011""","Grade   4","*"
"Canterbury School District","=""0220011""","Grade   5","*"
"Canterbury School District","=""0220011""","Grade   6","*"
"Canterbury School District","=""0220011""","Grade   7","*"
"Canterbury School District","=""0220011""","Grade   8",15.8
"Canterbury School District","=""0220011""","Grade   9","*"
"Canterbury School District","=""0220011""","Grade 12","*"
"Canton School District","=""0230011""","Kindergarten",7.3
"Canton School District","=""0230011""","Grade   1","*"
"Canton School District","=""0230011""","Grade   2",5.8
"Canton School District","=""0230011""","Grade   3","*"
"Canton School District","=""0230011""","Grade   4","*"
"Canton School District","=""0230011""","Grade   5",7.0
"Canton School District","=""0230011""","Grade   6","*"
"Canton School District","=""0230011""","Grade   7","*"
"Canton School District","=""0230011""","Grade   8",9.8
"Canton School District","=""0230011""","Grade   9",7.0
"Canton School District","=""0230011""","Grade 10","*"
"Canton School District","=""0230011""","Grade 11","*"
"Canton School District","=""0230011""","Grade 12",5.6
"Capitol Region Education Council","=""2410014""","Kindergarten",16.6
"Capitol Region Education Council","=""2410014""","Grade   1",9.3
"Capitol Region Education Council","=""2410014""","Grade   2",9.0
"Capitol Region Education Council","=""2410014""","Grade   3",7.1
"Capitol Region Education Council","=""2410014""","Grade   4",9.9
"Capitol Region Education Council","=""2410014""","Grade   5",5.4
"Capitol Region Education Council","=""2410014""","Grade   6",6.3
"Capitol Region Education Council","=""2410014""","Grade   7",7.8
"Capitol Region Education Council","=""2410014""","Grade   8",9.0
"Capitol Region Education Council","=""2410014""","Grade   9",21.0
"Capitol Region Education Council","=""2410014""","Grade 10",25.1
"Capitol Region Education Council","=""2410014""","Grade 11",28.3
"Capitol Region Education Council","=""2410014""","Grade 12",35.5
"Chaplin School District","=""0240011""","Kindergarten","*"
"Chaplin School District","=""0240011""","Grade   1","*"
"Chaplin School District","=""0240011""","Grade   2","*"
"Chaplin School District","=""0240011""","Grade   3","*"
"Chaplin School District","=""0240011""","Grade   4","*"
"Chaplin School District","=""0240011""","Grade   5","*"
"Chaplin School District","=""0240011""","Grade   6","*"
"Cheshire School District","=""0250011""","Kindergarten",0.0
"Cheshire School District","=""0250011""","Grade   1","*"
"Cheshire School District","=""0250011""","Grade   2",0.0
"Cheshire School District","=""0250011""","Grade   3",0.0
"Cheshire School District","=""0250011""","Grade   4","*"
"Cheshire School District","=""0250011""","Grade   5",0.0
"Cheshire School District","=""0250011""","Grade   6",0.0
"Cheshire School District","=""0250011""","Grade   7",7.7
"Cheshire School District","=""0250011""","Grade   8",4.2
"Cheshire School District","=""0250011""","Grade   9",6.3
"Cheshire School District","=""0250011""","Grade 10",6.7
"Cheshire School District","=""0250011""","Grade 11",10.6
"Cheshire School District","=""0250011""","Grade 12",13.7
"Chester School District","=""0260011""","Kindergarten","*"
"Chester School District","=""0260011""","Grade   1","*"
"Chester School District","=""0260011""","Grade   2","*"
"Chester School District","=""0260011""","Grade   3","*"
"Chester School District","=""0260011""","Grade   4","*"
"Chester School District","=""0260011""","Grade   5","*"
"Chester School District","=""0260011""","Grade   6","*"
"Clinton School District","=""0270011""","Kindergarten",4.5
"Clinton School District","=""0270011""","Grade   1",7.6
"Clinton School District","=""0270011""","Grade   2",3.9
"Clinton School District","=""0270011""","Grade   3",4.2
"Clinton School District","=""0270011""","Grade   4",4.1
"Clinton School District","=""0270011""","Grade   5","*"
"Clinton School District","=""0270011""","Grade   6",3.8
"Clinton School District","=""0270011""","Grade   7",6.9
"Clinton School District","=""0270011""","Grade   8",5.4
"Clinton School District","=""0270011""","Grade   9",11.4
"Clinton School District","=""0270011""","Grade 10",13.8
"Clinton School District","=""0270011""","Grade 11",10.4
"Clinton School District","=""0270011""","Grade 12",23.9
"Colchester School District","=""0280011""","Kindergarten",3.6
"Colchester School District","=""0280011""","Grade   1",3.6
"Colchester School District","=""0280011""","Grade   2",3.6
"Colchester School District","=""0280011""","Grade   3","*"
"Colchester School District","=""0280011""","Grade   4","*"
"Colchester School District","=""0280011""","Grade   5","*"
"Colchester School District","=""0280011""","Grade   6",3.9
"Colchester School District","=""0280011""","Grade   7",7.7
"Colchester School District","=""0280011""","Grade   8",6.6
"Colchester School District","=""0280011""","Grade   9",6.2
"Colchester School District","=""0280011""","Grade 10",6.9
"Colchester School District","=""0280011""","Grade 11",9.6
"Colchester School District","=""0280011""","Grade 12",17.3
"Colebrook School District","=""0290011""","Kindergarten","*"
"Colebrook School District","=""0290011""","Grade   1","*"
"Colebrook School District","=""0290011""","Grade   2","*"
"Colebrook School District","=""0290011""","Grade   3","*"
"Colebrook School District","=""0290011""","Grade   4","*"
"Colebrook School District","=""0290011""","Grade   5","*"
"Colebrook School District","=""0290011""","Grade   6",0.0
"Columbia School District","=""0300011""","Kindergarten","*"
"Columbia School District","=""0300011""","Grade   1","*"
"Columbia School District","=""0300011""","Grade   2","*"
"Columbia School District","=""0300011""","Grade   3","*"
"Columbia School District","=""0300011""","Grade   4","*"
"Columbia School District","=""0300011""","Grade   5","*"
"Columbia School District","=""0300011""","Grade   6","*"
"Columbia School District","=""0300011""","Grade   7","*"
"Columbia School District","=""0300011""","Grade   8","*"
"Columbia School District","=""0300011""","Grade   9","*"
"Columbia School District","=""0300011""","Grade 10","*"
"Columbia School District","=""0300011""","Grade 11","*"
"Columbia School District","=""0300011""","Grade 12","*"
"Common Ground High School District","=""2680013""","Grade   9",10.7
"Common Ground High School District","=""2680013""","Grade 10",16.3
"Common Ground High School District","=""2680013""","Grade 11","*"
"Common Ground High School District","=""2680013""","Grade 12",25.0
"Connecticut Technical High School System","=""9000016""","Grade   9",7.7
"Connecticut Technical High School System","=""9000016""","Grade 10",10.8
"Connecticut Technical High School System","=""9000016""","Grade 11",14.2
"Connecticut Technical High School System","=""9000016""","Grade 12",16.5
"Cooperative Educational Services","=""2430014""","Kindergarten",15.5
"Cooperative Educational Services","=""2430014""","Grade   1","*"
"Cooperative Educational Services","=""2430014""","Grade   2","*"
"Cooperative Educational Services","=""2430014""","Grade   3",16.4
"Cooperative Educational Services","=""2430014""","Grade   4",15.8
"Cooperative Educational Services","=""2430014""","Grade   5",12.1
"Cooperative Educational Services","=""2430014""","Grade   6",13.3
"Cooperative Educational Services","=""2430014""","Grade   7",9.7
"Cooperative Educational Services","=""2430014""","Grade   8",31.6
"Cooperative Educational Services","=""2430014""","Grade   9",32.1
"Cooperative Educational Services","=""2430014""","Grade 10",47.1
"Cooperative Educational Services","=""2430014""","Grade 11",57.1
"Cooperative Educational Services","=""2430014""","Grade 12",25.8
"Cornwall School District","=""0310011""","Kindergarten","*"
"Cornwall School District","=""0310011""","Grade   1","*"
"Cornwall School District","=""0310011""","Grade   2","*"
"Cornwall School District","=""0310011""","Grade   3","*"
"Cornwall School District","=""0310011""","Grade   4","*"
"Cornwall School District","=""0310011""","Grade   5","*"
"Cornwall School District","=""0310011""","Grade   6","*"
"Cornwall School District","=""0310011""","Grade   7","*"
"Cornwall School District","=""0310011""","Grade   8","*"
"Coventry School District","=""0320011""","Kindergarten",8.9
"Coventry School District","=""0320011""","Grade   1",5.6
"Coventry School District","=""0320011""","Grade   2","*"
"Coventry School District","=""0320011""","Grade   3","*"
"Coventry School District","=""0320011""","Grade   4","*"
"Coventry School District","=""0320011""","Grade   5","*"
"Coventry School District","=""0320011""","Grade   6",0.0
"Coventry School District","=""0320011""","Grade   7",5.3
"Coventry School District","=""0320011""","Grade   8","*"
"Coventry School District","=""0320011""","Grade   9",7.4
"Coventry School District","=""0320011""","Grade 10",14.7
"Coventry School District","=""0320011""","Grade 11",12.4
"Coventry School District","=""0320011""","Grade 12",22.4
"Cromwell School District","=""0330011""","Kindergarten",0.0
"Cromwell School District","=""0330011""","Grade   1",0.0
"Cromwell School District","=""0330011""","Grade   2",0.0
"Cromwell School District","=""0330011""","Grade   3",0.0
"Cromwell School District","=""0330011""","Grade   4",0.0
"Cromwell School District","=""0330011""","Grade   5",0.0
"Cromwell School District","=""0330011""","Grade   6",3.6
"Cromwell School District","=""0330011""","Grade   7",8.2
"Cromwell School District","=""0330011""","Grade   8",7.7
"Cromwell School District","=""0330011""","Grade   9",4.9
"Cromwell School District","=""0330011""","Grade 10",7.8
"Cromwell School District","=""0330011""","Grade 11",15.9
"Cromwell School District","=""0330011""","Grade 12",13.7
"Danbury School District","=""0340011""","Kindergarten",13.5
"Danbury School District","=""0340011""","Grade   1",5.1
"Danbury School District","=""0340011""","Grade   2",4.9
"Danbury School District","=""0340011""","Grade   3",4.6
"Danbury School District","=""0340011""","Grade   4",4.3
"Danbury School District","=""0340011""","Grade   5",6.2
"Danbury School District","=""0340011""","Grade   6",7.8
"Danbury School District","=""0340011""","Grade   7",10.3
"Danbury School District","=""0340011""","Grade   8",11.8
"Danbury School District","=""0340011""","Grade   9",21.8
"Danbury School District","=""0340011""","Grade 10",16.0
"Danbury School District","=""0340011""","Grade 11",17.6
"Danbury School District","=""0340011""","Grade 12",24.3
"Darien School District","=""0350011""","Kindergarten",4.7
"Darien School District","=""0350011""","Grade   1",2.6
"Darien School District","=""0350011""","Grade   2",2.9
"Darien School District","=""0350011""","Grade   3",1.8
"Darien School District","=""0350011""","Grade   4",1.9
"Darien School District","=""0350011""","Grade   5",3.6
"Darien School District","=""0350011""","Grade   6",4.5
"Darien School District","=""0350011""","Grade   7",6.1
"Darien School District","=""0350011""","Grade   8",4.0
"Darien School District","=""0350011""","Grade   9",3.4
"Darien School District","=""0350011""","Grade 10",4.8
"Darien School District","=""0350011""","Grade 11",1.8
"Darien School District","=""0350011""","Grade 12",4.7
"Deep River School District","=""0360011""","Kindergarten","*"
"Deep River School District","=""0360011""","Grade   1",0.0
"Deep River School District","=""0360011""","Grade   2","*"
"Deep River School District","=""0360011""","Grade   3",0.0
"Deep River School District","=""0360011""","Grade   4","*"
"Deep River School District","=""0360011""","Grade   5","*"
"Deep River School District","=""0360011""","Grade   6","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 10","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 11","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 12","*"
"Derby School District","=""0370011""","Kindergarten",11.5
"Derby School District","=""0370011""","Grade   1",9.8
"Derby School District","=""0370011""","Grade   2",15.7
"Derby School District","=""0370011""","Grade   3",8.1
"Derby School District","=""0370011""","Grade   4",9.7
"Derby School District","=""0370011""","Grade   5",12.1
"Derby School District","=""0370011""","Grade   6",11.3
"Derby School District","=""0370011""","Grade   7",15.6
"Derby School District","=""0370011""","Grade   8",14.5
"Derby School District","=""0370011""","Grade   9",21.9
"Derby School District","=""0370011""","Grade 10",20.5
"Derby School District","=""0370011""","Grade 11",20.2
"Derby School District","=""0370011""","Grade 12",22.1
"East Granby School District","=""0400011""","Kindergarten",13.8
"East Granby School District","=""0400011""","Grade   1","*"
"East Granby School District","=""0400011""","Grade   2","*"
"East Granby School District","=""0400011""","Grade   3","*"
"East Granby School District","=""0400011""","Grade   4","*"
"East Granby School District","=""0400011""","Grade   5","*"
"East Granby School District","=""0400011""","Grade   6","*"
"East Granby School District","=""0400011""","Grade   7","*"
"East Granby School District","=""0400011""","Grade   8","*"
"East Granby School District","=""0400011""","Grade   9","*"
"East Granby School District","=""0400011""","Grade 10","*"
"East Granby School District","=""0400011""","Grade 11",15.6
"East Granby School District","=""0400011""","Grade 12",20.0
"East Haddam School District","=""0410011""","Kindergarten",7.7
"East Haddam School District","=""0410011""","Grade   1","*"
"East Haddam School District","=""0410011""","Grade   2","*"
"East Haddam School District","=""0410011""","Grade   3","*"
"East Haddam School District","=""0410011""","Grade   4",8.4
"East Haddam School District","=""0410011""","Grade   5","*"
"East Haddam School District","=""0410011""","Grade   6","*"
"East Haddam School District","=""0410011""","Grade   7",8.1
"East Haddam School District","=""0410011""","Grade   8",6.5
"East Haddam School District","=""0410011""","Grade   9",6.9
"East Haddam School District","=""0410011""","Grade 10",12.1
"East Haddam School District","=""0410011""","Grade 11",10.1
"East Haddam School District","=""0410011""","Grade 12",13.9
"East Hampton School District","=""0420011""","Kindergarten","*"
"East Hampton School District","=""0420011""","Grade   1",5.6
"East Hampton School District","=""0420011""","Grade   2",6.5
"East Hampton School District","=""0420011""","Grade   3",4.8
"East Hampton School District","=""0420011""","Grade   4",5.6
"East Hampton School District","=""0420011""","Grade   5",5.5
"East Hampton School District","=""0420011""","Grade   6",6.5
"East Hampton School District","=""0420011""","Grade   7",9.4
"East Hampton School District","=""0420011""","Grade   8",6.7
"East Hampton School District","=""0420011""","Grade   9",6.8
"East Hampton School District","=""0420011""","Grade 10","*"
"East Hampton School District","=""0420011""","Grade 11",6.5
"East Hampton School District","=""0420011""","Grade 12",5.3
"East Hartford School District","=""0430011""","Kindergarten",21.3
"East Hartford School District","=""0430011""","Grade   1",14.9
"East Hartford School District","=""0430011""","Grade   2",14.5
"East Hartford School District","=""0430011""","Grade   3",10.1
"East Hartford School District","=""0430011""","Grade   4",8.9
"East Hartford School District","=""0430011""","Grade   5",11.8
"East Hartford School District","=""0430011""","Grade   6",14.5
"East Hartford School District","=""0430011""","Grade   7",32.3
"East Hartford School District","=""0430011""","Grade   8",37.0
"East Hartford School District","=""0430011""","Grade   9",24.2
"East Hartford School District","=""0430011""","Grade 10",20.2
"East Hartford School District","=""0430011""","Grade 11",22.0
"East Hartford School District","=""0430011""","Grade 12",17.8
"East Haven School District","=""0440011""","Kindergarten",8.3
"East Haven School District","=""0440011""","Grade   1",10.1
"East Haven School District","=""0440011""","Grade   2",4.5
"East Haven School District","=""0440011""","Grade   3",6.9
"East Haven School District","=""0440011""","Grade   4",8.3
"East Haven School District","=""0440011""","Grade   5",10.5
"East Haven School District","=""0440011""","Grade   6",10.8
"East Haven School District","=""0440011""","Grade   7",18.9
"East Haven School District","=""0440011""","Grade   8",19.4
"East Haven School District","=""0440011""","Grade   9",27.6
"East Haven School District","=""0440011""","Grade 10",25.0
"East Haven School District","=""0440011""","Grade 11",25.8
"East Haven School District","=""0440011""","Grade 12",31.0
"East Lyme School District","=""0450011""","Kindergarten","*"
"East Lyme School District","=""0450011""","Grade   1",4.3
"East Lyme School District","=""0450011""","Grade   2",5.5
"East Lyme School District","=""0450011""","Grade   3",4.2
"East Lyme School District","=""0450011""","Grade   4",4.4
"East Lyme School District","=""0450011""","Grade   5","*"
"East Lyme School District","=""0450011""","Grade   6",4.6
"East Lyme School District","=""0450011""","Grade   7",9.9
"East Lyme School District","=""0450011""","Grade   8",7.7
"East Lyme School District","=""0450011""","Grade   9",3.9
"East Lyme School District","=""0450011""","Grade 10",3.6
"East Lyme School District","=""0450011""","Grade 11",5.6
"East Lyme School District","=""0450011""","Grade 12",5.0
"East Windsor School District","=""0470011""","Kindergarten",16.3
"East Windsor School District","=""0470011""","Grade   1",6.4
"East Windsor School District","=""0470011""","Grade   2","*"
"East Windsor School District","=""0470011""","Grade   3",9.0
"East Windsor School District","=""0470011""","Grade   4",6.9
"East Windsor School District","=""0470011""","Grade   5",11.7
"East Windsor School District","=""0470011""","Grade   6",13.3
"East Windsor School District","=""0470011""","Grade   7",13.5
