"Chronic Absenteeism, 2012-13"
", All Students"

"District","District Code","% Chronically Absent"
"Plainfield School District","=""1090011""",12.1
"Plainville School District","=""1100011""",11.2
"Plymouth School District","=""1110011""",9.6
"Pomfret School District","=""1120011""",3.8
"Portland School District","=""1130011""",5.9
"Preston School District","=""1140011""",8.8
"Putnam School District","=""1160011""",14.3
"Redding School District","=""1170011""",5.4
"Regional School District 01","=""2010012""",4.8
"Regional School District 04","=""2040012""",10.2
"Regional School District 05","=""2050012""",11.0
"Regional School District 06","=""2060012""",5.9
"Regional School District 07","=""2070012""",6.7
"Regional School District 08","=""2080012""",17.3
"Regional School District 09","=""2090012""",13.3
"Regional School District 10","=""2100012""",5.4
"Regional School District 11","=""2110012""",10.2
"Regional School District 12","=""2120012""",10.7
"Regional School District 13","=""2130012""",4.6
"Regional School District 14","=""2140012""",4.2
"Regional School District 15","=""2150012""",5.7
"Regional School District 16","=""2160012""",6.7
"Regional School District 17","=""2170012""",3.4
"Regional School District 18","=""2180012""",4.7
"Regional School District 19","=""2190012""",15.6
"Ridgefield School District","=""1180011""",6.6
"Rocky Hill School District","=""1190011""",8.3
"Salem School District","=""1210011""",3.9
"Salisbury School District","=""1220011""",7.0
"Scotland School District","=""1230011""",5.3
"Seymour School District","=""1240011""",11.7
"Sharon School District","=""1250011""",5.0
"Shelton School District","=""1260011""",13.2
"Sherman School District","=""1270011""",7.1
"Side By Side Charter School District","=""2700013""",8.3
"Simsbury School District","=""1280011""",6.4
"Somers School District","=""1290011""",13.3
"South Windsor School District","=""1320011""",5.8
"Southington School District","=""1310011""",6.8
"Sprague School District","=""1330011""",8.3
"Stafford School District","=""1340011""",7.1
"Stamford Academy District","=""2820013""",97.3
"Stamford School District","=""1350011""",14.5
"Sterling School District","=""1360011""",5.1
"Stonington School District","=""1370011""",6.4
"Stratford School District","=""1380011""",12.5
"Suffield School District","=""1390011""",5.8
"The Bridge Academy District","=""2690013""",5.3
"The Gilbert School District","=""9020022""",14.9
"Thomaston School District","=""1400011""",6.7
"Thompson School District","=""1410011""",8.3
"Tolland School District","=""1420011""",5.7
"Torrington School District","=""1430011""",13.9
"Trailblazers Academy District","=""2780013""","*"
"Trumbull School District","=""1440011""",4.1
"Unified School District #1","=""3360015""",43.0
"Unified School District #2","=""3470015""",21.8
"Union School District","=""1450011""",0.0
"Vernon School District","=""1460011""",8.1
"Voluntown School District","=""1470011""",8.8
"Wallingford School District","=""1480011""",9.7
"Waterbury School District","=""1510011""",19.8
"Waterford School District","=""1520011""",7.5
"Watertown School District","=""1530011""",10.3
"West Hartford School District","=""1550011""",6.0
"West Haven School District","=""1560011""",16.6
"Westbrook School District","=""1540011""",7.2
"Weston School District","=""1570011""",7.8
"Westport School District","=""1580011""",2.5
"Wethersfield School District","=""1590011""",9.4
"Willington School District","=""1600011""",5.2
"Wilton School District","=""1610011""",16.8
"Winchester School District","=""1620011""",6.5
"Windham School District","=""1630011""",18.7
"Windsor Locks School District","=""1650011""",10.4
"Windsor School District","=""1640011""",8.8
"Wolcott School District","=""1660011""",3.2
"Woodbridge School District","=""1670011""",5.2
"Woodstock Academy District","=""9030022""",6.2
"Woodstock School District","=""1690011""",5.0

