"Chronic Absenteeism, 2013-14"
", All Students"

"District","District Code","% Chronically Absent"
"New Britain School District","=""0890011""",19.2
"New Canaan School District","=""0900011""",2.7
"New Fairfield School District","=""0910011""",4.5
"New Hartford School District","=""0920011""",5.5
"New Haven School District","=""0930011""",24.7
"New London School District","=""0950011""",22.1
"New Milford School District","=""0960011""",8.8
"Newington School District","=""0940011""",7.1
"Newtown School District","=""0970011""",4.4
"Norfolk School District","=""0980011""",5.6
"North Branford School District","=""0990011""",5.2
"North Canaan School District","=""1000011""",6.1
"North Haven School District","=""1010011""",8.9
"North Stonington School District","=""1020011""",7.1
"Norwalk School District","=""1030011""",10.8
"Norwich Free Academy District","=""9010022""",31.0
"Norwich School District","=""1040011""",14.9
"Odyssey Community School District","=""2630013""",11.7
"Old Saybrook School District","=""1060011""",6.1
"Orange School District","=""1070011""",4.9
"Oxford School District","=""1080011""",8.1
"Park City Prep Charter School District","=""2830013""",6.3
"Plainfield School District","=""1090011""",12.4
"Plainville School District","=""1100011""",7.7
"Plymouth School District","=""1110011""",9.8
"Pomfret School District","=""1120011""",2.2
"Portland School District","=""1130011""",5.4
"Preston School District","=""1140011""","*"
"Putnam School District","=""1160011""",13.7
"Redding School District","=""1170011""",1.9
"Regional School District 01","=""2010012""",3.3
"Regional School District 04","=""2040012""",9.9
"Regional School District 05","=""2050012""",11.2
"Regional School District 06","=""2060012""",4.4
"Regional School District 07","=""2070012""",6.3
"Regional School District 08","=""2080012""",12.4
"Regional School District 09","=""2090012""",9.9
"Regional School District 10","=""2100012""",7.3
"Regional School District 11","=""2110012""",6.1
"Regional School District 12","=""2120012""",7.0
"Regional School District 13","=""2130012""",4.2
"Regional School District 14","=""2140012""",7.5
"Regional School District 15","=""2150012""",4.2
"Regional School District 16","=""2160012""",4.9
"Regional School District 17","=""2170012""",4.2
"Regional School District 18","=""2180012""",6.1
"Regional School District 19","=""2190012""",15.9
"Ridgefield School District","=""1180011""",6.1
"Rocky Hill School District","=""1190011""",6.3
"Salem School District","=""1210011""",4.3
"Salisbury School District","=""1220011""",4.2
"Scotland School District","=""1230011""",5.3
"Seymour School District","=""1240011""",9.1
"Sharon School District","=""1250011""","*"
"Shelton School District","=""1260011""",12.1
"Sherman School District","=""1270011""",7.0
"Side By Side Charter School District","=""2700013""",6.2
"Simsbury School District","=""1280011""",6.1
"Somers School District","=""1290011""",10.1
"South Windsor School District","=""1320011""",3.6
"Southington School District","=""1310011""",6.6
"Sprague School District","=""1330011""",8.3
"Stafford School District","=""1340011""",7.4
"Stamford Academy District","=""2820013""","*"
"Stamford School District","=""1350011""",10.0
"Sterling School District","=""1360011""",6.9
"Stonington School District","=""1370011""",8.8
"Stratford School District","=""1380011""",11.3
"Suffield School District","=""1390011""",6.8
"The Bridge Academy District","=""2690013""",8.4
"The Gilbert School District","=""9020022""",15.8
"Thomaston School District","=""1400011""",5.5
"Thompson School District","=""1410011""",5.7
"Tolland School District","=""1420011""",3.4
"Torrington School District","=""1430011""",14.2
"Trailblazers Academy District","=""2780013""",0.0
"Trumbull School District","=""1440011""",2.2
"Unified School District #1","=""3360015""",21.9
"Unified School District #2","=""3470015""","*"
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",7.2
"Voluntown School District","=""1470011""",9.3
"Wallingford School District","=""1480011""",5.6
"Waterbury School District","=""1510011""",20.6
"Waterford School District","=""1520011""",5.8
"Watertown School District","=""1530011""",10.4
"West Hartford School District","=""1550011""",5.1
"West Haven School District","=""1560011""",14.8
"Westbrook School District","=""1540011""",5.0
"Weston School District","=""1570011""",5.5
"Westport School District","=""1580011""",2.8
"Wethersfield School District","=""1590011""",4.4
"Willington School District","=""1600011""",4.3
"Wilton School District","=""1610011""",13.5
"Winchester School District","=""1620011""",8.8
"Windham School District","=""1630011""",17.7
"Windsor Locks School District","=""1650011""",10.1
"Windsor School District","=""1640011""",10.8
"Wolcott School District","=""1660011""",3.5
"Woodbridge School District","=""1670011""",6.4
"Woodstock Academy District","=""9030022""",6.4
"Woodstock School District","=""1690011""",4.6

