"Chronic Absenteeism, 2011-12"
", All Students"

"District","District Code","% Chronically Absent"
"Farmington School District","=""0520011""",5.5
"Franklin School District","=""0530011""","*"
"Glastonbury School District","=""0540011""",3.4
"Granby School District","=""0560011""",4.6
"Greenwich School District","=""0570011""",5.7
"Griswold School District","=""0580011""",11.5
"Groton School District","=""0590011""",13.4
"Guilford School District","=""0600011""",6.3
"Hamden School District","=""0620011""",13.1
"Hampton School District","=""0630011""",5.8
"Hartford School District","=""0640011""",26.0
"Hartland School District","=""0650011""",3.3
"Hebron School District","=""0670011""",3.7
"Highville Charter School District","=""2860013""",4.4
"Integrated Day Charter School District","=""2640013""",6.8
"Interdistrict School for Arts and Comm District","=""2650013""",8.8
"Jumoke Academy District","=""2610013""",2.5
"Kent School District","=""0680011""",6.8
"Killingly School District","=""0690011""",14.2
"Learn","=""2450014""",14.5
"Lebanon School District","=""0710011""",9.9
"Ledyard School District","=""0720011""",8.2
"Lisbon School District","=""0730011""",6.1
"Litchfield School District","=""0740011""",6.8
"Madison School District","=""0760011""",4.1
"Manchester School District","=""0770011""",21.1
"Mansfield School District","=""0780011""",5.1
"Marlborough School District","=""0790011""",4.1
"Meriden School District","=""0800011""",12.2
"Middletown School District","=""0830011""",11.5
"Milford School District","=""0840011""",10.4
"Monroe School District","=""0850011""",6.3
"Montville School District","=""0860011""",8.2
"Naugatuck School District","=""0880011""",12.7
"New Beginnings Inc., Family Academy District","=""2800013""",8.1
"New Britain School District","=""0890011""",26.6
"New Canaan School District","=""0900011""",9.1
"New Fairfield School District","=""0910011""",7.9
"New Hartford School District","=""0920011""",4.8
"New Haven School District","=""0930011""",20.2
"New London School District","=""0950011""",25.8
"New Milford School District","=""0960011""",10.4
"Newington School District","=""0940011""",4.8
"Newtown School District","=""0970011""",2.7
"Norfolk School District","=""0980011""",10.7
"North Branford School District","=""0990011""",15.2
"North Canaan School District","=""1000011""",12.8
"North Haven School District","=""1010011""",7.4
"North Stonington School District","=""1020011""",9.4
"Norwalk School District","=""1030011""",11.6
"Norwich Free Academy District","=""9010022""",10.7
"Norwich School District","=""1040011""",14.4
"Odyssey Community School District","=""2630013""",8.9
"Old Saybrook School District","=""1060011""",15.9
"Orange School District","=""1070011""",4.0
"Oxford School District","=""1080011""",6.0
"Park City Prep Charter School District","=""2830013""",9.1
"Plainfield School District","=""1090011""",12.1
"Plainville School District","=""1100011""",10.4
"Plymouth School District","=""1110011""",8.6
"Pomfret School District","=""1120011""",2.8
"Portland School District","=""1130011""",4.5
"Preston School District","=""1140011""","*"
"Putnam School District","=""1160011""",12.3
"Redding School District","=""1170011""",5.3
"Regional School District 01","=""2010012""",6.8
"Regional School District 04","=""2040012""",8.6
"Regional School District 05","=""2050012""",8.8
"Regional School District 06","=""2060012""",4.3
"Regional School District 07","=""2070012""",18.8
"Regional School District 08","=""2080012""",15.7
"Regional School District 09","=""2090012""",14.1
"Regional School District 10","=""2100012""",8.8
"Regional School District 11","=""2110012""",6.5
"Regional School District 12","=""2120012""",8.3
"Regional School District 13","=""2130012""",4.4
"Regional School District 14","=""2140012""",3.2
"Regional School District 15","=""2150012""",4.5
"Regional School District 16","=""2160012""",7.4
"Regional School District 17","=""2170012""",4.5
"Regional School District 18","=""2180012""",4.7
"Regional School District 19","=""2190012""",15.6
"Ridgefield School District","=""1180011""",5.3
"Rocky Hill School District","=""1190011""",7.4
"Salem School District","=""1210011""",3.7
"Salisbury School District","=""1220011""",7.2
"Scotland School District","=""1230011""",4.8
"Seymour School District","=""1240011""",7.7
"Sharon School District","=""1250011""",7.1
"Shelton School District","=""1260011""",7.3
"Sherman School District","=""1270011""",5.9
"Side By Side Charter School District","=""2700013""",7.4
"Simsbury School District","=""1280011""",4.7
"Somers School District","=""1290011""",14.5
"South Windsor School District","=""1320011""",14.4
"Southington School District","=""1310011""",7.0
"Sprague School District","=""1330011""",8.0
"Stafford School District","=""1340011""",7.8
"Stamford Academy District","=""2820013""","*"
"Stamford School District","=""1350011""",9.6
"Sterling School District","=""1360011""",8.2
"Stonington School District","=""1370011""",16.8
"Stratford School District","=""1380011""",9.3
"Suffield School District","=""1390011""",7.6
"The Bridge Academy District","=""2690013""",4.2
"The Gilbert School District","=""9020022""",12.9
"Thomaston School District","=""1400011""",5.9
"Thompson School District","=""1410011""",11.9
"Tolland School District","=""1420011""",5.8
"Torrington School District","=""1430011""",14.1
"Trailblazers Academy District","=""2780013""",6.5
"Trumbull School District","=""1440011""",6.1
"Unified School District #1","=""3360015""",46.8
"Unified School District #2","=""3470015""",19.3
"Union School District","=""1450011""",0.0
"Vernon School District","=""1460011""",10.0
"Voluntown School District","=""1470011""",7.8
"Wallingford School District","=""1480011""",11.3
"Waterbury School District","=""1510011""",18.1
"Waterford School District","=""1520011""",7.1
"Watertown School District","=""1530011""",11.3
"West Hartford School District","=""1550011""",5.5
"West Haven School District","=""1560011""",14.4
"Westbrook School District","=""1540011""",5.3
"Weston School District","=""1570011""",11.1
"Westport School District","=""1580011""",2.0
"Wethersfield School District","=""1590011""",4.8
"Willington School District","=""1600011""",4.7
"Wilton School District","=""1610011""",15.5
"Winchester School District","=""1620011""",10.9
"Windham School District","=""1630011""",18.3
"Windsor Locks School District","=""1650011""",11.2
"Windsor School District","=""1640011""",7.9
"Wolcott School District","=""1660011""",3.5
"Woodbridge School District","=""1670011""",3.8
"Woodstock Academy District","=""9030022""",6.0
"Woodstock School District","=""1690011""",4.9

