"Chronic Absenteeism, Trend"
", Grade"

"",,,"% Chronically Absent",,,,
"Andover School District","=""0010011""","Grade   5","*","*",0.0,0.0,"*"
"Andover School District","=""0010011""","Grade   6",0.0,"*",0.0,"*","*"
"Ansonia School District","=""0020011""","Kindergarten",23.3,18.8,13.9,18.6,16.5
"Ansonia School District","=""0020011""","Grade   1",12.6,13.5,13.0,10.7,13.8
"Ansonia School District","=""0020011""","Grade   2",7.7,10.2,5.8,9.8,12.9
"Ansonia School District","=""0020011""","Grade   3",10.3,6.0,6.2,7.3,10.3
"Ansonia School District","=""0020011""","Grade   4",11.9,11.9,4.7,12.8,8.9
"Ansonia School District","=""0020011""","Grade   5",7.1,8.3,8.9,7.9,10.6
"Ansonia School District","=""0020011""","Grade   6",8.2,13.7,6.6,13.9,10.1
"Ansonia School District","=""0020011""","Grade   7",17.1,13.3,11.1,13.0,17.4
"Ansonia School District","=""0020011""","Grade   8",14.8,17.0,16.5,20.6,12.5
"Ansonia School District","=""0020011""","Grade   9",17.0,15.3,23.2,27.3,17.9
"Ansonia School District","=""0020011""","Grade 10",13.1,18.6,16.4,23.2,19.2
"Ansonia School District","=""0020011""","Grade 11",8.5,28.6,11.5,17.9,18.2
"Ansonia School District","=""0020011""","Grade 12",8.4,16.4,7.1,30.4,22.8
"Area Cooperative Educational Services","=""2440014""","Kindergarten",8.2,14.9,10.1,16.2,12.9
"Area Cooperative Educational Services","=""2440014""","Grade   1",9.9,17.6,18.0,"*",7.1
"Area Cooperative Educational Services","=""2440014""","Grade   2",15.2,16.0,17.0,19.8,11.3
"Area Cooperative Educational Services","=""2440014""","Grade   3",14.2,12.5,21.1,15.1,6.7
"Area Cooperative Educational Services","=""2440014""","Grade   4",16.4,17.6,18.9,19.5,17.2
"Area Cooperative Educational Services","=""2440014""","Grade   5",16.5,18.5,20.5,14.0,20.0
"Area Cooperative Educational Services","=""2440014""","Grade   6",10.5,15.5,15.9,10.4,10.2
"Area Cooperative Educational Services","=""2440014""","Grade   7",14.1,13.0,16.9,22.4,13.1
"Area Cooperative Educational Services","=""2440014""","Grade   8",17.5,14.5,18.5,18.2,17.2
"Area Cooperative Educational Services","=""2440014""","Grade   9",63.6,40.5,37.5,42.9,48.0
"Area Cooperative Educational Services","=""2440014""","Grade 10",51.0,60.5,54.2,44.3,49.0
"Area Cooperative Educational Services","=""2440014""","Grade 11",49.1,58.2,53.8,51.1,47.5
"Area Cooperative Educational Services","=""2440014""","Grade 12",40.6,40.7,48.1,47.1,46.6
"Ashford School District","=""0030011""","Kindergarten",10.9,"*","*","*","*"
"Ashford School District","=""0030011""","Grade   1","*","*","*","*","*"
"Ashford School District","=""0030011""","Grade   2","*","*",0.0,"*",14.0
"Ashford School District","=""0030011""","Grade   3","*","*","*","*","*"
"Ashford School District","=""0030011""","Grade   4","*","*","*","*","*"
"Ashford School District","=""0030011""","Grade   5","*","*","*","*",0.0
"Ashford School District","=""0030011""","Grade   6",12.0,"*","*","*","*"
"Ashford School District","=""0030011""","Grade   7",11.5,"*","*","*","*"
"Ashford School District","=""0030011""","Grade   8",13.7,14.8,16.7,12.2,0.0
"Avon School District","=""0040011""","Kindergarten",8.1,8.3,8.1,3.2,13.0
"Avon School District","=""0040011""","Grade   1",5.2,6.0,4.6,2.8,6.5
"Avon School District","=""0040011""","Grade   2",2.3,5.3,4.4,2.7,"*"
"Avon School District","=""0040011""","Grade   3",4.2,4.6,6.0,"*","*"
"Avon School District","=""0040011""","Grade   4",3.9,2.7,4.7,"*",2.7
"Avon School District","=""0040011""","Grade   5",6.4,6.4,4.4,5.0,3.3
"Avon School District","=""0040011""","Grade   6",3.9,6.3,5.3,3.9,2.9
"Avon School District","=""0040011""","Grade   7",4.1,3.5,6.2,0.0,2.2
"Avon School District","=""0040011""","Grade   8",7.6,6.5,4.1,"*",4.3
"Avon School District","=""0040011""","Grade   9",3.2,6.9,3.4,4.5,5.8
"Avon School District","=""0040011""","Grade 10",3.8,4.1,4.0,3.5,5.6
"Avon School District","=""0040011""","Grade 11",3.7,3.9,5.6,4.9,5.2
"Avon School District","=""0040011""","Grade 12","*","*",3.2,6.0,4.9
"Barkhamsted School District","=""0050011""","Kindergarten","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Grade   1","*","*","*",0.0,"*"
"Barkhamsted School District","=""0050011""","Grade   2",0.0,"*","*","*","*"
"Barkhamsted School District","=""0050011""","Grade   3","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Grade   4","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Grade   5","*","*",0.0,0.0,"*"
"Barkhamsted School District","=""0050011""","Grade   6","*","*","*",0.0,0.0
"Berlin School District","=""0070011""","Kindergarten","*",4.6,4.2,"*","*"
"Berlin School District","=""0070011""","Grade   1",2.6,3.4,"*",3.0,"*"
"Berlin School District","=""0070011""","Grade   2","*",3.3,"*","*","*"
"Berlin School District","=""0070011""","Grade   3",3.3,"*","*",3.2,"*"
"Berlin School District","=""0070011""","Grade   4",3.4,2.4,"*","*",3.2
"Berlin School District","=""0070011""","Grade   5",4.2,3.7,3.2,"*",2.4
"Berlin School District","=""0070011""","Grade   6",4.6,4.7,"*",3.3,"*"
"Berlin School District","=""0070011""","Grade   7",10.3,8.6,2.9,"*",2.8
"Berlin School District","=""0070011""","Grade   8",9.2,11.5,6.2,3.7,3.7
"Berlin School District","=""0070011""","Grade   9",7.1,5.8,10.1,6.8,3.8
"Berlin School District","=""0070011""","Grade 10",6.7,7.4,7.7,15.2,4.1
"Berlin School District","=""0070011""","Grade 11",5.7,6.3,6.7,11.2,8.4
"Berlin School District","=""0070011""","Grade 12",11.3,9.5,12.9,20.0,7.7
"Bethany School District","=""0080011""","Kindergarten","*","*","*","*","*"
"Bethany School District","=""0080011""","Grade   1","*","*","*","*","*"
"Bethany School District","=""0080011""","Grade   2","*","*","*","*","*"
"Bethany School District","=""0080011""","Grade   3","*","*","*","*","*"
"Bethany School District","=""0080011""","Grade   4","*",8.2,"*","*","*"
"Bethany School District","=""0080011""","Grade   5","*","*",8.3,"*",0.0
"Bethany School District","=""0080011""","Grade   6","*","*","*","*",11.1
"Bethel School District","=""0090011""","Kindergarten",9.9,6.4,2.8,7.3,4.0
"Bethel School District","=""0090011""","Grade   1","*",5.3,3.6,2.7,"*"
"Bethel School District","=""0090011""","Grade   2","*","*",3.2,2.8,2.6
"Bethel School District","=""0090011""","Grade   3",3.1,"*","*",5.0,3.1
"Bethel School District","=""0090011""","Grade   4",3.7,4.8,16.9,"*",13.6
"Bethel School District","=""0090011""","Grade   5",3.8,6.2,13.0,3.8,14.4
"Bethel School District","=""0090011""","Grade   6",5.9,7.1,"*",4.1,4.2
"Bethel School District","=""0090011""","Grade   7",6.3,8.7,6.2,6.0,2.8
"Bethel School District","=""0090011""","Grade   8",10.0,9.4,4.9,8.6,4.5
"Bethel School District","=""0090011""","Grade   9",8.8,6.3,6.6,"*",6.7
"Bethel School District","=""0090011""","Grade 10",6.6,8.4,7.9,3.3,6.1
"Bethel School District","=""0090011""","Grade 11",10.6,9.8,13.2,4.0,12.1
"Bethel School District","=""0090011""","Grade 12",5.4,10.5,12.7,7.4,13.7
"Bloomfield School District","=""0110011""","Kindergarten",7.8,10.3,15.3,10.3,10.7
"Bloomfield School District","=""0110011""","Grade   1",8.4,5.8,5.1,9.3,4.9
"Bloomfield School District","=""0110011""","Grade   2",5.0,6.3,"*",4.7,14.0
"Bloomfield School District","=""0110011""","Grade   3","*",5.4,"*",5.8,4.1
"Bloomfield School District","=""0110011""","Grade   4",4.5,"*","*",4.7,7.0
"Bloomfield School District","=""0110011""","Grade   5","*","*","*",8.6,6.3
"Bloomfield School District","=""0110011""","Grade   6",4.7,7.3,"*",5.6,"*"
"Bloomfield School District","=""0110011""","Grade   7",7.6,6.7,7.2,9.4,6.7
"Bloomfield School District","=""0110011""","Grade   8",10.7,6.6,7.9,6.3,7.6
"Bloomfield School District","=""0110011""","Grade   9",8.3,13.1,12.4,15.7,12.1
"Bloomfield School District","=""0110011""","Grade 10",7.9,11.5,9.9,7.6,13.9
"Bloomfield School District","=""0110011""","Grade 11",13.3,9.8,10.4,11.4,12.8
"Bloomfield School District","=""0110011""","Grade 12",10.2,10.7,11.7,14.8,8.1
"Bolton School District","=""0120011""","Kindergarten",0.0,14.6,"*","*","*"
"Bolton School District","=""0120011""","Grade   1","*","*",14.5,10.9,"*"
"Bolton School District","=""0120011""","Grade   2","*","*","*",10.9,"*"
"Bolton School District","=""0120011""","Grade   3",0.0,"*","*","*","*"
"Bolton School District","=""0120011""","Grade   4","*","*","*","*","*"
"Bolton School District","=""0120011""","Grade   5","*","*","*","*","*"
"Bolton School District","=""0120011""","Grade   6","*","*","*","*","*"
"Bolton School District","=""0120011""","Grade   7","*","*","*",11.5,"*"
"Bolton School District","=""0120011""","Grade   8","*","*","*","*","*"
"Bolton School District","=""0120011""","Grade   9","*","*","*",8.1,0.0
"Bolton School District","=""0120011""","Grade 10","*","*","*","*","*"
"Bolton School District","=""0120011""","Grade 11","*","*","*","*","*"
"Bolton School District","=""0120011""","Grade 12","*","*","*","*","*"
"Booker T. Washington Academy District","=""2950013""","Kindergarten","N/A","N/A","N/A",43.4,27.6
"Booker T. Washington Academy District","=""2950013""","Grade   1","N/A","N/A","N/A","*",18.4
"Booker T. Washington Academy District","=""2950013""","Grade   2","N/A","N/A","N/A","N/A","*"
"Bozrah School District","=""0130011""","Kindergarten","*","*","*","*","*"
"Bozrah School District","=""0130011""","Grade   1","*","*","*","*","*"
"Bozrah School District","=""0130011""","Grade   2",0.0,"*",0.0,"*","*"
"Bozrah School District","=""0130011""","Grade   3","*","*","*",0.0,"*"
"Bozrah School District","=""0130011""","Grade   4","*","*","*",0.0,0.0
"Bozrah School District","=""0130011""","Grade   5",0.0,"*","*",0.0,"*"
"Bozrah School District","=""0130011""","Grade   6",0.0,"*","*","*",0.0
"Bozrah School District","=""0130011""","Grade   7","*","*","*",0.0,"*"
"Bozrah School District","=""0130011""","Grade   8","*","*","*",0.0,"*"
"Bozrah School District","=""0130011""","Grade 11","N/A","N/A","*","N/A","N/A"
"Bozrah School District","=""0130011""","Grade 12","*","*","*","*","*"
"Branford School District","=""0140011""","Kindergarten",4.2,6.8,8.8,4.0,11.6
"Branford School District","=""0140011""","Grade   1",7.2,3.6,5.6,5.1,6.8
"Branford School District","=""0140011""","Grade   2",4.3,5.4,3.9,3.9,3.3
"Branford School District","=""0140011""","Grade   3",3.9,6.5,"*",3.6,4.6
"Branford School District","=""0140011""","Grade   4",3.3,4.4,6.6,3.4,7.3
"Branford School District","=""0140011""","Grade   5",6.7,3.8,3.7,6.2,4.8
"Branford School District","=""0140011""","Grade   6",5.6,5.9,6.9,7.9,6.7
"Branford School District","=""0140011""","Grade   7",8.6,5.7,7.4,8.2,8.4
"Branford School District","=""0140011""","Grade   8",10.2,11.7,8.4,10.5,9.1
"Branford School District","=""0140011""","Grade   9",6.8,6.1,10.3,10.6,10.7
"Branford School District","=""0140011""","Grade 10",11.8,10.2,10.6,11.8,11.3
"Branford School District","=""0140011""","Grade 11",9.3,14.3,12.3,16.2,15.4
"Branford School District","=""0140011""","Grade 12",11.6,13.9,22.0,24.6,19.8
"Brass City Charter School District","=""2900013""","Kindergarten","N/A","N/A","*","*","*"
"Brass City Charter School District","=""2900013""","Grade   1","N/A","N/A","*",18.4,"*"
"Brass City Charter School District","=""2900013""","Grade   2","N/A","N/A","N/A","*","*"
"Brass City Charter School District","=""2900013""","Grade   3","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","=""2850013""","Kindergarten","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Grade   1",0.0,0.0,"*","*","*"
"Bridgeport Achievement First District","=""2850013""","Grade   2","N/A",0.0,"*","*","*"
"Bridgeport Achievement First District","=""2850013""","Grade   3","N/A","N/A","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Grade   4","N/A","N/A","N/A",0.0,"*"
"Bridgeport Achievement First District","=""2850013""","Grade   5","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Grade   6","*",0.0,"*",6.7,"*"
"Bridgeport Achievement First District","=""2850013""","Grade   7","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Grade   8",0.0,"*","*","*",7.8
"Bridgeport Achievement First District","=""2850013""","Grade   9","*",11.8,"*",0.0,"*"
"Bridgeport Achievement First District","=""2850013""","Grade 10","N/A",0.0,"*","*",14.0
"Bridgeport Achievement First District","=""2850013""","Grade 11","N/A","N/A","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Grade 12","N/A","N/A","N/A","*","*"
"Bridgeport School District","=""0150011""","Kindergarten",21.5,25.3,24.0,22.1,18.8
"Bridgeport School District","=""0150011""","Grade   1",15.4,20.3,19.8,17.6,16.3
"Bridgeport School District","=""0150011""","Grade   2",14.2,18.2,15.5,15.1,12.6
"Bridgeport School District","=""0150011""","Grade   3",12.9,14.8,15.2,11.8,11.8
"Bridgeport School District","=""0150011""","Grade   4",13.3,14.5,14.5,13.1,11.6
"Bridgeport School District","=""0150011""","Grade   5",12.3,12.7,14.2,14.0,12.3
"Bridgeport School District","=""0150011""","Grade   6",12.3,15.7,16.8,13.7,14.5
"Bridgeport School District","=""0150011""","Grade   7",21.2,19.6,19.1,17.5,15.0
"Bridgeport School District","=""0150011""","Grade   8",20.9,21.3,19.4,17.5,16.4
"Bridgeport School District","=""0150011""","Grade   9",35.2,44.3,29.2,25.1,27.3
"Bridgeport School District","=""0150011""","Grade 10",26.5,52.4,32.7,30.8,25.4
"Bridgeport School District","=""0150011""","Grade 11",31.2,47.0,33.4,29.4,25.1
"Bridgeport School District","=""0150011""","Grade 12",31.6,48.0,34.1,26.7,25.0
"Bristol School District","=""0170011""","Kindergarten",14.9,14.7,14.3,13.8,10.1
"Bristol School District","=""0170011""","Grade   1",8.2,10.8,10.2,10.2,4.2
"Bristol School District","=""0170011""","Grade   2",8.3,6.2,9.9,8.4,6.7
"Bristol School District","=""0170011""","Grade   3",7.6,4.7,7.4,6.0,4.8
"Bristol School District","=""0170011""","Grade   4",7.7,6.6,9.4,6.6,4.9
"Bristol School District","=""0170011""","Grade   5",8.3,6.4,7.3,7.3,4.6
"Bristol School District","=""0170011""","Grade   6",8.1,8.0,10.4,8.3,6.2
"Bristol School District","=""0170011""","Grade   7",7.8,7.4,10.0,11.7,10.0
"Bristol School District","=""0170011""","Grade   8",10.5,7.0,11.9,9.7,9.6
"Bristol School District","=""0170011""","Grade   9",19.5,17.8,16.9,16.0,14.9
"Bristol School District","=""0170011""","Grade 10",14.8,12.7,14.0,12.0,12.4
"Bristol School District","=""0170011""","Grade 11",16.6,14.5,15.7,15.8,10.0
"Bristol School District","=""0170011""","Grade 12",15.3,13.4,15.4,14.3,14.1
"Brookfield School District","=""0180011""","Kindergarten",5.0,"*",4.5,4.3,4.2
"Brookfield School District","=""0180011""","Grade   1",4.4,2.9,"*","*","*"
"Brookfield School District","=""0180011""","Grade   2","*","*",3.2,"*","*"
"Brookfield School District","=""0180011""","Grade   3",3.3,"*","*","*","*"
"Brookfield School District","=""0180011""","Grade   4",4.1,"*","*",3.7,"*"
"Brookfield School District","=""0180011""","Grade   5",3.3,5.1,"*",2.7,"*"
"Brookfield School District","=""0180011""","Grade   6",3.4,2.7,"*","*",2.6
"Brookfield School District","=""0180011""","Grade   7",3.3,2.8,5.7,3.0,3.3
"Brookfield School District","=""0180011""","Grade   8",5.6,"*",7.7,5.3,4.0
"Brookfield School District","=""0180011""","Grade   9",6.0,"*",3.9,4.1,0.0
"Brookfield School District","=""0180011""","Grade 10",10.3,"*",5.0,3.0,"*"
"Brookfield School District","=""0180011""","Grade 11",10.0,"*",4.8,6.9,0.0
"Brookfield School District","=""0180011""","Grade 12",2.3,"*",6.4,9.7,2.7
"Brooklyn School District","=""0190011""","Kindergarten",11.3,22.6,"*",8.7,"*"
"Brooklyn School District","=""0190011""","Grade   1","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Grade   2","*","*","*",0.0,"*"
"Brooklyn School District","=""0190011""","Grade   3","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Grade   4","*","*","*",6.1,0.0
"Brooklyn School District","=""0190011""","Grade   5",6.8,"*","*","*","*"
"Brooklyn School District","=""0190011""","Grade   6",8.1,6.7,"*","*","*"
"Brooklyn School District","=""0190011""","Grade   7",6.8,7.8,"*",5.5,"*"
"Brooklyn School District","=""0190011""","Grade   8",15.5,7.5,"*",11.0,"*"
"Brooklyn School District","=""0190011""","Grade   9","N/A","*","*","*","N/A"
"Brooklyn School District","=""0190011""","Grade 10","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Grade 11","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Grade 12","*","*","*","*","*"
"Canaan School District","=""0210011""","Kindergarten","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   1","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   2","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   3","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   4","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   5","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   6","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   7","*","*","*","*","*"
"Canaan School District","=""0210011""","Grade   8","*","*","*","*","*"
"Canterbury School District","=""0220011""","Kindergarten","*",13.6,"*",14.0,"*"
"Canterbury School District","=""0220011""","Grade   1","*",0.0,"*",0.0,"*"
"Canterbury School District","=""0220011""","Grade   2","*","*","*",0.0,0.0
"Canterbury School District","=""0220011""","Grade   3","*","*","*",0.0,0.0
"Canterbury School District","=""0220011""","Grade   4","*","*",0.0,"*","*"
"Canterbury School District","=""0220011""","Grade   5","*","*","*","*","*"
"Canterbury School District","=""0220011""","Grade   6","*","*","*","*","*"
"Canterbury School District","=""0220011""","Grade   7","*","*","*","*","*"
"Canterbury School District","=""0220011""","Grade   8","*",15.8,"*","*","*"
"Canterbury School District","=""0220011""","Grade   9","N/A","*","*","N/A","*"
"Canterbury School District","=""0220011""","Grade 10","*","N/A","N/A","*","N/A"
"Canterbury School District","=""0220011""","Grade 11","N/A","N/A","*","N/A","N/A"
"Canterbury School District","=""0220011""","Grade 12","*","*","*","*","N/A"
"Canton School District","=""0230011""","Kindergarten",8.0,7.3,11.2,17.0,6.5
"Canton School District","=""0230011""","Grade   1",5.1,"*",12.3,16.7,8.7
"Canton School District","=""0230011""","Grade   2",5.3,5.8,10.7,13.8,6.2
"Canton School District","=""0230011""","Grade   3","*","*",12.7,11.0,8.5
"Canton School District","=""0230011""","Grade   4",6.3,"*",8.3,19.1,5.1
"Canton School District","=""0230011""","Grade   5",5.2,7.0,12.9,12.0,5.0
"Canton School District","=""0230011""","Grade   6","*","*",16.0,12.7,"*"
"Canton School District","=""0230011""","Grade   7","*","*","*",4.1,4.8
"Canton School District","=""0230011""","Grade   8","*",9.8,7.4,6.3,"*"
"Canton School District","=""0230011""","Grade   9","*",7.0,6.5,4.7,5.5
"Canton School District","=""0230011""","Grade 10",4.2,"*","*","*",5.5
"Canton School District","=""0230011""","Grade 11","*","*","*","*",7.6
"Canton School District","=""0230011""","Grade 12",7.4,5.6,7.3,"*",6.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   6","N/A","N/A","N/A","N/A","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   7","N/A","N/A","N/A","N/A","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   8","N/A","N/A","N/A","N/A","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   9","N/A","N/A","N/A","N/A","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade 10","N/A","N/A","N/A","N/A",21.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade 11","N/A","N/A","N/A","N/A",29.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade 12","N/A","N/A","N/A","N/A","*"
"Capitol Region Education Council","=""2410014""","Kindergarten",9.5,16.6,16.7,16.2,9.8
"Capitol Region Education Council","=""2410014""","Grade   1",6.4,9.3,10.7,12.6,10.3
"Capitol Region Education Council","=""2410014""","Grade   2",5.9,9.0,9.5,10.8,8.3
"Capitol Region Education Council","=""2410014""","Grade   3",7.8,7.1,9.9,11.7,5.8
"Capitol Region Education Council","=""2410014""","Grade   4","*",9.9,7.3,10.1,7.5
"Capitol Region Education Council","=""2410014""","Grade   5",5.1,5.4,9.5,6.8,6.9
"Capitol Region Education Council","=""2410014""","Grade   6",6.9,6.3,8.2,10.5,6.1
"Capitol Region Education Council","=""2410014""","Grade   7",7.8,7.8,9.3,9.8,8.4
"Capitol Region Education Council","=""2410014""","Grade   8",11.3,9.0,10.5,15.2,9.6
"Capitol Region Education Council","=""2410014""","Grade   9",24.0,21.0,16.9,17.7,15.8
"Capitol Region Education Council","=""2410014""","Grade 10",25.4,25.1,19.4,23.3,16.2
"Capitol Region Education Council","=""2410014""","Grade 11",28.3,28.3,24.1,22.1,20.5
"Capitol Region Education Council","=""2410014""","Grade 12",34.4,35.5,28.4,28.3,25.1
"Chaplin School District","=""0240011""","Kindergarten","*","*","*","*","*"
"Chaplin School District","=""0240011""","Grade   1","*","*","*","*","*"
"Chaplin School District","=""0240011""","Grade   2","*","*","*",26.1,"*"
"Chaplin School District","=""0240011""","Grade   3","*","*","*","*",26.1
"Chaplin School District","=""0240011""","Grade   4","*","*","*","*","*"
"Chaplin School District","=""0240011""","Grade   5",0.0,"*","*","*",0.0
"Chaplin School District","=""0240011""","Grade   6","*","*",0.0,"*","*"
"Cheshire School District","=""0250011""","Kindergarten",9.2,0.0,"*","*",4.2
"Cheshire School District","=""0250011""","Grade   1",3.1,"*",2.5,"*",5.1
"Cheshire School District","=""0250011""","Grade   2",2.5,0.0,3.1,"*",2.7
"Cheshire School District","=""0250011""","Grade   3",2.8,0.0,2.1,"*",2.6
"Cheshire School District","=""0250011""","Grade   4","*","*",2.6,"*",5.7
"Cheshire School District","=""0250011""","Grade   5",3.0,0.0,2.2,"*",2.3
"Cheshire School District","=""0250011""","Grade   6",4.0,0.0,4.6,"*",4.5
"Cheshire School District","=""0250011""","Grade   7",4.3,7.7,4.3,0.0,5.4
"Cheshire School District","=""0250011""","Grade   8",7.0,4.2,4.4,0.0,5.0
"Cheshire School District","=""0250011""","Grade   9",4.8,6.3,4.4,6.6,4.1
"Cheshire School District","=""0250011""","Grade 10",7.7,6.7,7.3,6.5,5.8
"Cheshire School District","=""0250011""","Grade 11",7.6,10.6,9.3,8.9,7.3
"Cheshire School District","=""0250011""","Grade 12",12.6,13.7,15.2,17.1,10.8
"Chester School District","=""0260011""","Kindergarten","*","*","*","*","*"
"Chester School District","=""0260011""","Grade   1","*","*","*","*","*"
"Chester School District","=""0260011""","Grade   2","*","*",0.0,0.0,0.0
"Chester School District","=""0260011""","Grade   3","*","*","*","*","*"
"Chester School District","=""0260011""","Grade   4","*","*",0.0,0.0,"*"
"Chester School District","=""0260011""","Grade   5","*","*","*",0.0,0.0
"Chester School District","=""0260011""","Grade   6","*","*","*","*","*"
"Clinton School District","=""0270011""","Kindergarten",10.3,4.5,7.6,7.1,"*"
"Clinton School District","=""0270011""","Grade   1",3.3,7.6,"*","*","*"
"Clinton School District","=""0270011""","Grade   2",7.6,3.9,"*","*","*"
"Clinton School District","=""0270011""","Grade   3",4.9,4.2,"*","*","*"
"Clinton School District","=""0270011""","Grade   4",3.6,4.1,6.8,0.0,"*"
"Clinton School District","=""0270011""","Grade   5","*","*",3.9,4.2,"*"
"Clinton School District","=""0270011""","Grade   6",6.9,3.8,3.7,"*",5.8
"Clinton School District","=""0270011""","Grade   7",6.5,6.9,4.6,6.1,4.1
"Clinton School District","=""0270011""","Grade   8",10.1,5.4,8.8,5.8,3.7
"Clinton School District","=""0270011""","Grade   9",16.0,11.4,11.3,13.9,6.3
"Clinton School District","=""0270011""","Grade 10",14.5,13.8,9.6,14.6,9.1
"Clinton School District","=""0270011""","Grade 11",27.5,10.4,11.7,9.0,15.6
"Clinton School District","=""0270011""","Grade 12",28.6,23.9,15.8,22.2,11.4
"Colchester School District","=""0280011""","Kindergarten",3.3,3.6,5.6,7.4,6.2
"Colchester School District","=""0280011""","Grade   1","*",3.6,3.6,4.3,4.0
"Colchester School District","=""0280011""","Grade   2","*",3.6,"*","*","*"
"Colchester School District","=""0280011""","Grade   3","*","*",4.0,"*","*"
"Colchester School District","=""0280011""","Grade   4","*","*","*","*","*"
"Colchester School District","=""0280011""","Grade   5","*","*",3.4,3.7,3.4
"Colchester School District","=""0280011""","Grade   6",4.6,3.9,3.4,4.4,3.8
"Colchester School District","=""0280011""","Grade   7",4.4,7.7,5.2,6.6,5.4
"Colchester School District","=""0280011""","Grade   8",6.7,6.6,8.9,9.4,5.2
"Colchester School District","=""0280011""","Grade   9","*",6.2,5.3,"*",8.3
