"Chronic Absenteeism, 2014-15"
", All Students"

"District","District Code","% Chronically Absent"
"Education Connection","=""2420014""",65.4
"Ellington School District","=""0480011""",4.5
"Elm City College Preparatory School District","=""2890013""",4.5
"Elm City Montessori School District","=""2910013""","*"
"Enfield School District","=""0490011""",12.0
"Essex School District","=""0500011""",2.7
"Explorations District","=""2720013""",28.4
"Fairfield School District","=""0510011""",3.7
"Farmington School District","=""0520011""",5.8
"Franklin School District","=""0530011""",4.3
"Glastonbury School District","=""0540011""",3.0
"Granby School District","=""0560011""",4.7
"Great Oaks Charter School District","=""2940013""",21.1
"Greenwich School District","=""0570011""",3.2
"Griswold School District","=""0580011""",10.4
"Groton School District","=""0590011""",11.4
"Guilford School District","=""0600011""",4.9
"Hamden School District","=""0620011""",14.7
"Hampton School District","=""0630011""",6.8
"Hartford School District","=""0640011""",25.7
"Hartland School District","=""0650011""",3.2
"Hebron School District","=""0670011""",2.2
"Highville Charter School District","=""2860013""",6.6
"Integrated Day Charter School District","=""2640013""",5.4
"Interdistrict School for Arts and Comm District","=""2650013""",12.3
"Jumoke Academy District","=""2610013""",7.9
"Kent School District","=""0680011""",2.5
"Killingly School District","=""0690011""",9.7
"Learn","=""2450014""",16.0
"Lebanon School District","=""0710011""",7.6
"Ledyard School District","=""0720011""",3.6
"Lisbon School District","=""0730011""",6.5
"Litchfield School District","=""0740011""",6.3
"Madison School District","=""0760011""",2.9
"Manchester School District","=""0770011""",13.3
"Mansfield School District","=""0780011""",4.8
"Marlborough School District","=""0790011""",5.0
"Meriden School District","=""0800011""",16.6
"Middletown School District","=""0830011""",9.5
"Milford School District","=""0840011""",8.5
"Monroe School District","=""0850011""",2.8
"Montville School District","=""0860011""",6.5
"Naugatuck School District","=""0880011""",11.0
"New Beginnings Inc., Family Academy District","=""2800013""",17.1
"New Britain School District","=""0890011""",20.7
"New Canaan School District","=""0900011""",2.8
"New Fairfield School District","=""0910011""",2.9
"New Hartford School District","=""0920011""",2.7
"New Haven School District","=""0930011""",25.6
"New London School District","=""0950011""",17.8
"New Milford School District","=""0960011""",6.4
"Newington School District","=""0940011""",6.5
"Newtown School District","=""0970011""",3.7
"Norfolk School District","=""0980011""","*"
"North Branford School District","=""0990011""",4.0
"North Canaan School District","=""1000011""",6.0
"North Haven School District","=""1010011""",17.5
"North Stonington School District","=""1020011""",1.8
"Norwalk School District","=""1030011""",8.3
"Norwich Free Academy District","=""9010022""",15.2
"Norwich School District","=""1040011""",13.4
"Odyssey Community School District","=""2630013""",7.2
"Old Saybrook School District","=""1060011""",11.7
"Orange School District","=""1070011""",3.1
"Oxford School District","=""1080011""",7.3
"Park City Prep Charter School District","=""2830013""",8.1
"Path Academy District","=""2930013""",82.8
"Plainfield School District","=""1090011""",9.6
"Plainville School District","=""1100011""",8.0
"Plymouth School District","=""1110011""",12.5
"Pomfret School District","=""1120011""",3.8
"Portland School District","=""1130011""",7.4
"Preston School District","=""1140011""",8.4
"Putnam School District","=""1160011""",14.3
"Redding School District","=""1170011""",3.0
"Regional School District 01","=""2010012""",15.6
"Regional School District 04","=""2040012""",7.8
"Regional School District 05","=""2050012""",10.7
"Regional School District 06","=""2060012""",4.7
"Regional School District 07","=""2070012""",5.6
"Regional School District 08","=""2080012""",12.5
"Regional School District 09","=""2090012""",9.0
"Regional School District 10","=""2100012""",6.3
"Regional School District 11","=""2110012""",7.1
"Regional School District 12","=""2120012""",8.7
"Regional School District 13","=""2130012""",4.2
"Regional School District 14","=""2140012""",2.0
"Regional School District 15","=""2150012""",4.4
"Regional School District 16","=""2160012""",8.8
"Regional School District 17","=""2170012""",5.0
"Regional School District 18","=""2180012""",7.0
"Regional School District 19","=""2190012""",6.9
"Ridgefield School District","=""1180011""",5.5
"Rocky Hill School District","=""1190011""",7.7
"Salem School District","=""1210011""",4.6
"Salisbury School District","=""1220011""",7.0
"Scotland School District","=""1230011""","*"
"Seymour School District","=""1240011""",6.3
"Sharon School District","=""1250011""",3.4
"Shelton School District","=""1260011""",12.0
"Sherman School District","=""1270011""",6.8
"Side By Side Charter School District","=""2700013""",9.8
"Simsbury School District","=""1280011""",5.3
"Somers School District","=""1290011""",11.8
"South Windsor School District","=""1320011""",3.7
"Southington School District","=""1310011""",6.0
"Sprague School District","=""1330011""",11.8
"Stafford School District","=""1340011""",8.7
"Stamford Academy District","=""2820013""",86.9
"Stamford School District","=""1350011""",13.9
"Sterling School District","=""1360011""",7.0
"Stonington School District","=""1370011""",8.4
"Stratford School District","=""1380011""",10.3
"Suffield School District","=""1390011""",1.2
"The Bridge Academy District","=""2690013""",7.7
"The Gilbert School District","=""9020022""",23.5
"Thomaston School District","=""1400011""",6.8
"Thompson School District","=""1410011""",5.5
"Tolland School District","=""1420011""",4.4
"Torrington School District","=""1430011""",10.8
"Trailblazers Academy District","=""2780013""",65.9
"Trumbull School District","=""1440011""",3.4
"Unified School District #1","=""3360015""",31.8
"Unified School District #2","=""3470015""",3.3
"Union School District","=""1450011""",7.8
"Vernon School District","=""1460011""",9.0
"Voluntown School District","=""1470011""",6.8
"Wallingford School District","=""1480011""",5.2
"Waterbury School District","=""1510011""",18.6
"Waterford School District","=""1520011""",5.9
"Watertown School District","=""1530011""",9.3
"West Hartford School District","=""1550011""",5.3
"West Haven School District","=""1560011""",16.3
"Westbrook School District","=""1540011""",3.7
"Weston School District","=""1570011""",5.9
"Westport School District","=""1580011""",1.8
"Wethersfield School District","=""1590011""",4.0
"Willington School District","=""1600011""",7.1
"Wilton School District","=""1610011""",4.2
"Winchester School District","=""1620011""",6.8
"Windham School District","=""1630011""",15.3
"Windsor Locks School District","=""1650011""",13.3
"Windsor School District","=""1640011""",7.9
"Wolcott School District","=""1660011""",3.9
"Woodbridge School District","=""1670011""",5.0
"Woodstock Academy District","=""9030022""",7.9
"Woodstock School District","=""1690011""",5.7

