"Chronic Absenteeism, 2013-14"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Ansonia School District","=""0020011""","Grade   6",6.6
"Ansonia School District","=""0020011""","Grade   7",11.1
"Ansonia School District","=""0020011""","Grade   8",16.5
"Ansonia School District","=""0020011""","Grade   9",23.2
"Ansonia School District","=""0020011""","Grade 10",16.4
"Ansonia School District","=""0020011""","Grade 11",11.5
"Ansonia School District","=""0020011""","Grade 12",7.1
"Area Cooperative Educational Services","=""2440014""","Kindergarten",10.1
"Area Cooperative Educational Services","=""2440014""","Grade   1",18.0
"Area Cooperative Educational Services","=""2440014""","Grade   2",17.0
"Area Cooperative Educational Services","=""2440014""","Grade   3",21.1
"Area Cooperative Educational Services","=""2440014""","Grade   4",18.9
"Area Cooperative Educational Services","=""2440014""","Grade   5",20.5
"Area Cooperative Educational Services","=""2440014""","Grade   6",15.9
"Area Cooperative Educational Services","=""2440014""","Grade   7",16.9
"Area Cooperative Educational Services","=""2440014""","Grade   8",18.5
"Area Cooperative Educational Services","=""2440014""","Grade   9",37.5
"Area Cooperative Educational Services","=""2440014""","Grade 10",54.2
"Area Cooperative Educational Services","=""2440014""","Grade 11",53.8
"Area Cooperative Educational Services","=""2440014""","Grade 12",48.1
"Ashford School District","=""0030011""","Kindergarten","*"
"Ashford School District","=""0030011""","Grade   1","*"
"Ashford School District","=""0030011""","Grade   2",0.0
"Ashford School District","=""0030011""","Grade   3","*"
"Ashford School District","=""0030011""","Grade   4","*"
"Ashford School District","=""0030011""","Grade   5","*"
"Ashford School District","=""0030011""","Grade   6","*"
"Ashford School District","=""0030011""","Grade   7","*"
"Ashford School District","=""0030011""","Grade   8",16.7
"Avon School District","=""0040011""","Kindergarten",8.1
"Avon School District","=""0040011""","Grade   1",4.6
"Avon School District","=""0040011""","Grade   2",4.4
"Avon School District","=""0040011""","Grade   3",6.0
"Avon School District","=""0040011""","Grade   4",4.7
"Avon School District","=""0040011""","Grade   5",4.4
"Avon School District","=""0040011""","Grade   6",5.3
"Avon School District","=""0040011""","Grade   7",6.2
"Avon School District","=""0040011""","Grade   8",4.1
"Avon School District","=""0040011""","Grade   9",3.4
"Avon School District","=""0040011""","Grade 10",4.0
"Avon School District","=""0040011""","Grade 11",5.6
"Avon School District","=""0040011""","Grade 12",3.2
"Barkhamsted School District","=""0050011""","Kindergarten","*"
"Barkhamsted School District","=""0050011""","Grade   1","*"
"Barkhamsted School District","=""0050011""","Grade   2","*"
"Barkhamsted School District","=""0050011""","Grade   3","*"
"Barkhamsted School District","=""0050011""","Grade   4","*"
"Barkhamsted School District","=""0050011""","Grade   5",0.0
"Barkhamsted School District","=""0050011""","Grade   6","*"
"Berlin School District","=""0070011""","Kindergarten",4.2
"Berlin School District","=""0070011""","Grade   1","*"
"Berlin School District","=""0070011""","Grade   2","*"
"Berlin School District","=""0070011""","Grade   3","*"
"Berlin School District","=""0070011""","Grade   4","*"
"Berlin School District","=""0070011""","Grade   5",3.2
"Berlin School District","=""0070011""","Grade   6","*"
"Berlin School District","=""0070011""","Grade   7",2.9
"Berlin School District","=""0070011""","Grade   8",6.2
"Berlin School District","=""0070011""","Grade   9",10.1
"Berlin School District","=""0070011""","Grade 10",7.7
"Berlin School District","=""0070011""","Grade 11",6.7
"Berlin School District","=""0070011""","Grade 12",12.9
"Bethany School District","=""0080011""","Kindergarten","*"
"Bethany School District","=""0080011""","Grade   1","*"
"Bethany School District","=""0080011""","Grade   2","*"
"Bethany School District","=""0080011""","Grade   3","*"
"Bethany School District","=""0080011""","Grade   4","*"
"Bethany School District","=""0080011""","Grade   5",8.3
"Bethany School District","=""0080011""","Grade   6","*"
"Bethel School District","=""0090011""","Kindergarten",2.8
"Bethel School District","=""0090011""","Grade   1",3.6
"Bethel School District","=""0090011""","Grade   2",3.2
"Bethel School District","=""0090011""","Grade   3","*"
"Bethel School District","=""0090011""","Grade   4",16.9
"Bethel School District","=""0090011""","Grade   5",13.0
"Bethel School District","=""0090011""","Grade   6","*"
"Bethel School District","=""0090011""","Grade   7",6.2
"Bethel School District","=""0090011""","Grade   8",4.9
"Bethel School District","=""0090011""","Grade   9",6.6
"Bethel School District","=""0090011""","Grade 10",7.9
"Bethel School District","=""0090011""","Grade 11",13.2
"Bethel School District","=""0090011""","Grade 12",12.7
"Bloomfield School District","=""0110011""","Kindergarten",15.3
"Bloomfield School District","=""0110011""","Grade   1",5.1
"Bloomfield School District","=""0110011""","Grade   2","*"
"Bloomfield School District","=""0110011""","Grade   3","*"
"Bloomfield School District","=""0110011""","Grade   4","*"
"Bloomfield School District","=""0110011""","Grade   5","*"
"Bloomfield School District","=""0110011""","Grade   6","*"
"Bloomfield School District","=""0110011""","Grade   7",7.2
"Bloomfield School District","=""0110011""","Grade   8",7.9
"Bloomfield School District","=""0110011""","Grade   9",12.4
"Bloomfield School District","=""0110011""","Grade 10",9.9
"Bloomfield School District","=""0110011""","Grade 11",10.4
"Bloomfield School District","=""0110011""","Grade 12",11.7
"Bolton School District","=""0120011""","Kindergarten","*"
"Bolton School District","=""0120011""","Grade   1",14.5
"Bolton School District","=""0120011""","Grade   2","*"
"Bolton School District","=""0120011""","Grade   3","*"
"Bolton School District","=""0120011""","Grade   4","*"
"Bolton School District","=""0120011""","Grade   5","*"
"Bolton School District","=""0120011""","Grade   6","*"
"Bolton School District","=""0120011""","Grade   7","*"
"Bolton School District","=""0120011""","Grade   8","*"
"Bolton School District","=""0120011""","Grade   9","*"
"Bolton School District","=""0120011""","Grade 10","*"
"Bolton School District","=""0120011""","Grade 11","*"
"Bolton School District","=""0120011""","Grade 12","*"
"Bozrah School District","=""0130011""","Kindergarten","*"
"Bozrah School District","=""0130011""","Grade   1","*"
"Bozrah School District","=""0130011""","Grade   2",0.0
"Bozrah School District","=""0130011""","Grade   3","*"
"Bozrah School District","=""0130011""","Grade   4","*"
"Bozrah School District","=""0130011""","Grade   5","*"
"Bozrah School District","=""0130011""","Grade   6","*"
"Bozrah School District","=""0130011""","Grade   7","*"
"Bozrah School District","=""0130011""","Grade   8","*"
"Bozrah School District","=""0130011""","Grade 11","*"
"Bozrah School District","=""0130011""","Grade 12","*"
"Branford School District","=""0140011""","Kindergarten",8.8
"Branford School District","=""0140011""","Grade   1",5.6
"Branford School District","=""0140011""","Grade   2",3.9
"Branford School District","=""0140011""","Grade   3","*"
"Branford School District","=""0140011""","Grade   4",6.6
"Branford School District","=""0140011""","Grade   5",3.7
"Branford School District","=""0140011""","Grade   6",6.9
"Branford School District","=""0140011""","Grade   7",7.4
"Branford School District","=""0140011""","Grade   8",8.4
"Branford School District","=""0140011""","Grade   9",10.3
"Branford School District","=""0140011""","Grade 10",10.6
"Branford School District","=""0140011""","Grade 11",12.3
"Branford School District","=""0140011""","Grade 12",22.0
"Brass City Charter School District","=""2900013""","Kindergarten","*"
"Brass City Charter School District","=""2900013""","Grade   1","*"
"Bridgeport Achievement First District","=""2850013""","Kindergarten","*"
"Bridgeport Achievement First District","=""2850013""","Grade   1","*"
"Bridgeport Achievement First District","=""2850013""","Grade   2","*"
"Bridgeport Achievement First District","=""2850013""","Grade   3","*"
"Bridgeport Achievement First District","=""2850013""","Grade   5","*"
"Bridgeport Achievement First District","=""2850013""","Grade   6","*"
"Bridgeport Achievement First District","=""2850013""","Grade   7","*"
"Bridgeport Achievement First District","=""2850013""","Grade   8","*"
"Bridgeport Achievement First District","=""2850013""","Grade   9","*"
"Bridgeport Achievement First District","=""2850013""","Grade 10","*"
"Bridgeport Achievement First District","=""2850013""","Grade 11","*"
"Bridgeport School District","=""0150011""","Kindergarten",24.0
"Bridgeport School District","=""0150011""","Grade   1",19.8
"Bridgeport School District","=""0150011""","Grade   2",15.5
"Bridgeport School District","=""0150011""","Grade   3",15.2
"Bridgeport School District","=""0150011""","Grade   4",14.5
"Bridgeport School District","=""0150011""","Grade   5",14.2
"Bridgeport School District","=""0150011""","Grade   6",16.8
"Bridgeport School District","=""0150011""","Grade   7",19.1
"Bridgeport School District","=""0150011""","Grade   8",19.4
"Bridgeport School District","=""0150011""","Grade   9",29.2
"Bridgeport School District","=""0150011""","Grade 10",32.7
"Bridgeport School District","=""0150011""","Grade 11",33.4
"Bridgeport School District","=""0150011""","Grade 12",34.1
"Bristol School District","=""0170011""","Kindergarten",14.3
"Bristol School District","=""0170011""","Grade   1",10.2
"Bristol School District","=""0170011""","Grade   2",9.9
"Bristol School District","=""0170011""","Grade   3",7.4
"Bristol School District","=""0170011""","Grade   4",9.4
"Bristol School District","=""0170011""","Grade   5",7.3
"Bristol School District","=""0170011""","Grade   6",10.4
"Bristol School District","=""0170011""","Grade   7",10.0
"Bristol School District","=""0170011""","Grade   8",11.9
"Bristol School District","=""0170011""","Grade   9",16.9
"Bristol School District","=""0170011""","Grade 10",14.0
"Bristol School District","=""0170011""","Grade 11",15.7
"Bristol School District","=""0170011""","Grade 12",15.4
"Brookfield School District","=""0180011""","Kindergarten",4.5
"Brookfield School District","=""0180011""","Grade   1","*"
"Brookfield School District","=""0180011""","Grade   2",3.2
"Brookfield School District","=""0180011""","Grade   3","*"
"Brookfield School District","=""0180011""","Grade   4","*"
"Brookfield School District","=""0180011""","Grade   5","*"
"Brookfield School District","=""0180011""","Grade   6","*"
"Brookfield School District","=""0180011""","Grade   7",5.7
"Brookfield School District","=""0180011""","Grade   8",7.7
"Brookfield School District","=""0180011""","Grade   9",3.9
"Brookfield School District","=""0180011""","Grade 10",5.0
"Brookfield School District","=""0180011""","Grade 11",4.8
"Brookfield School District","=""0180011""","Grade 12",6.4
"Brooklyn School District","=""0190011""","Kindergarten","*"
"Brooklyn School District","=""0190011""","Grade   1","*"
"Brooklyn School District","=""0190011""","Grade   2","*"
"Brooklyn School District","=""0190011""","Grade   3","*"
"Brooklyn School District","=""0190011""","Grade   4","*"
"Brooklyn School District","=""0190011""","Grade   5","*"
"Brooklyn School District","=""0190011""","Grade   6","*"
"Brooklyn School District","=""0190011""","Grade   7","*"
"Brooklyn School District","=""0190011""","Grade   8","*"
"Brooklyn School District","=""0190011""","Grade   9","*"
"Brooklyn School District","=""0190011""","Grade 10","*"
"Brooklyn School District","=""0190011""","Grade 11","*"
"Brooklyn School District","=""0190011""","Grade 12","*"
"Canaan School District","=""0210011""","Kindergarten","*"
"Canaan School District","=""0210011""","Grade   1","*"
"Canaan School District","=""0210011""","Grade   2","*"
"Canaan School District","=""0210011""","Grade   3","*"
"Canaan School District","=""0210011""","Grade   4","*"
"Canaan School District","=""0210011""","Grade   5","*"
"Canaan School District","=""0210011""","Grade   6","*"
"Canaan School District","=""0210011""","Grade   7","*"
"Canaan School District","=""0210011""","Grade   8","*"
"Canterbury School District","=""0220011""","Kindergarten","*"
"Canterbury School District","=""0220011""","Grade   1","*"
"Canterbury School District","=""0220011""","Grade   2","*"
"Canterbury School District","=""0220011""","Grade   3","*"
"Canterbury School District","=""0220011""","Grade   4",0.0
"Canterbury School District","=""0220011""","Grade   5","*"
"Canterbury School District","=""0220011""","Grade   6","*"
"Canterbury School District","=""0220011""","Grade   7","*"
"Canterbury School District","=""0220011""","Grade   8","*"
"Canterbury School District","=""0220011""","Grade   9","*"
"Canterbury School District","=""0220011""","Grade 11","*"
"Canterbury School District","=""0220011""","Grade 12","*"
"Canton School District","=""0230011""","Kindergarten",11.2
"Canton School District","=""0230011""","Grade   1",12.3
"Canton School District","=""0230011""","Grade   2",10.7
"Canton School District","=""0230011""","Grade   3",12.7
"Canton School District","=""0230011""","Grade   4",8.3
"Canton School District","=""0230011""","Grade   5",12.9
"Canton School District","=""0230011""","Grade   6",16.0
"Canton School District","=""0230011""","Grade   7","*"
"Canton School District","=""0230011""","Grade   8",7.4
"Canton School District","=""0230011""","Grade   9",6.5
"Canton School District","=""0230011""","Grade 10","*"
"Canton School District","=""0230011""","Grade 11","*"
"Canton School District","=""0230011""","Grade 12",7.3
"Capitol Region Education Council","=""2410014""","Kindergarten",16.7
"Capitol Region Education Council","=""2410014""","Grade   1",10.7
"Capitol Region Education Council","=""2410014""","Grade   2",9.5
"Capitol Region Education Council","=""2410014""","Grade   3",9.9
"Capitol Region Education Council","=""2410014""","Grade   4",7.3
"Capitol Region Education Council","=""2410014""","Grade   5",9.5
"Capitol Region Education Council","=""2410014""","Grade   6",8.2
"Capitol Region Education Council","=""2410014""","Grade   7",9.3
"Capitol Region Education Council","=""2410014""","Grade   8",10.5
"Capitol Region Education Council","=""2410014""","Grade   9",16.9
"Capitol Region Education Council","=""2410014""","Grade 10",19.4
"Capitol Region Education Council","=""2410014""","Grade 11",24.1
"Capitol Region Education Council","=""2410014""","Grade 12",28.4
"Chaplin School District","=""0240011""","Kindergarten","*"
"Chaplin School District","=""0240011""","Grade   1","*"
"Chaplin School District","=""0240011""","Grade   2","*"
"Chaplin School District","=""0240011""","Grade   3","*"
"Chaplin School District","=""0240011""","Grade   4","*"
"Chaplin School District","=""0240011""","Grade   5","*"
"Chaplin School District","=""0240011""","Grade   6",0.0
"Cheshire School District","=""0250011""","Kindergarten","*"
"Cheshire School District","=""0250011""","Grade   1",2.5
"Cheshire School District","=""0250011""","Grade   2",3.1
"Cheshire School District","=""0250011""","Grade   3",2.1
"Cheshire School District","=""0250011""","Grade   4",2.6
"Cheshire School District","=""0250011""","Grade   5",2.2
"Cheshire School District","=""0250011""","Grade   6",4.6
"Cheshire School District","=""0250011""","Grade   7",4.3
"Cheshire School District","=""0250011""","Grade   8",4.4
"Cheshire School District","=""0250011""","Grade   9",4.4
"Cheshire School District","=""0250011""","Grade 10",7.3
"Cheshire School District","=""0250011""","Grade 11",9.3
"Cheshire School District","=""0250011""","Grade 12",15.2
"Chester School District","=""0260011""","Kindergarten","*"
"Chester School District","=""0260011""","Grade   1","*"
"Chester School District","=""0260011""","Grade   2",0.0
"Chester School District","=""0260011""","Grade   3","*"
"Chester School District","=""0260011""","Grade   4",0.0
"Chester School District","=""0260011""","Grade   5","*"
"Chester School District","=""0260011""","Grade   6","*"
"Clinton School District","=""0270011""","Kindergarten",7.6
"Clinton School District","=""0270011""","Grade   1","*"
"Clinton School District","=""0270011""","Grade   2","*"
"Clinton School District","=""0270011""","Grade   3","*"
"Clinton School District","=""0270011""","Grade   4",6.8
"Clinton School District","=""0270011""","Grade   5",3.9
"Clinton School District","=""0270011""","Grade   6",3.7
"Clinton School District","=""0270011""","Grade   7",4.6
"Clinton School District","=""0270011""","Grade   8",8.8
"Clinton School District","=""0270011""","Grade   9",11.3
"Clinton School District","=""0270011""","Grade 10",9.6
"Clinton School District","=""0270011""","Grade 11",11.7
"Clinton School District","=""0270011""","Grade 12",15.8
"Colchester School District","=""0280011""","Kindergarten",5.6
"Colchester School District","=""0280011""","Grade   1",3.6
"Colchester School District","=""0280011""","Grade   2","*"
"Colchester School District","=""0280011""","Grade   3",4.0
"Colchester School District","=""0280011""","Grade   4","*"
"Colchester School District","=""0280011""","Grade   5",3.4
"Colchester School District","=""0280011""","Grade   6",3.4
"Colchester School District","=""0280011""","Grade   7",5.2
"Colchester School District","=""0280011""","Grade   8",8.9
"Colchester School District","=""0280011""","Grade   9",5.3
"Colchester School District","=""0280011""","Grade 10",8.4
"Colchester School District","=""0280011""","Grade 11",5.2
"Colchester School District","=""0280011""","Grade 12",8.8
"Colebrook School District","=""0290011""","Kindergarten","*"
"Colebrook School District","=""0290011""","Grade   1","*"
"Colebrook School District","=""0290011""","Grade   2","*"
"Colebrook School District","=""0290011""","Grade   3","*"
"Colebrook School District","=""0290011""","Grade   4","*"
"Colebrook School District","=""0290011""","Grade   5","*"
"Colebrook School District","=""0290011""","Grade   6","*"
"Columbia School District","=""0300011""","Kindergarten",0.0
"Columbia School District","=""0300011""","Grade   1",0.0
"Columbia School District","=""0300011""","Grade   2",0.0
"Columbia School District","=""0300011""","Grade   3",0.0
"Columbia School District","=""0300011""","Grade   4",0.0
"Columbia School District","=""0300011""","Grade   5",0.0
"Columbia School District","=""0300011""","Grade   6",0.0
"Columbia School District","=""0300011""","Grade   7","*"
"Columbia School District","=""0300011""","Grade   8",0.0
"Columbia School District","=""0300011""","Grade 10","*"
"Columbia School District","=""0300011""","Grade 11","*"
"Columbia School District","=""0300011""","Grade 12","*"
"Common Ground High School District","=""2680013""","Grade   9",19.0
"Common Ground High School District","=""2680013""","Grade 10",21.1
"Common Ground High School District","=""2680013""","Grade 11","*"
"Common Ground High School District","=""2680013""","Grade 12","*"
"Connecticut Technical High School System","=""9000016""","Grade   9",9.5
"Connecticut Technical High School System","=""9000016""","Grade 10",12.3
"Connecticut Technical High School System","=""9000016""","Grade 11",13.5
"Connecticut Technical High School System","=""9000016""","Grade 12",17.3
"Cooperative Educational Services","=""2430014""","Kindergarten",18.2
"Cooperative Educational Services","=""2430014""","Grade   1","*"
"Cooperative Educational Services","=""2430014""","Grade   2","*"
"Cooperative Educational Services","=""2430014""","Grade   3","*"
"Cooperative Educational Services","=""2430014""","Grade   4",13.4
"Cooperative Educational Services","=""2430014""","Grade   5",14.5
"Cooperative Educational Services","=""2430014""","Grade   6",21.0
"Cooperative Educational Services","=""2430014""","Grade   7",11.4
"Cooperative Educational Services","=""2430014""","Grade   8",18.6
"Cooperative Educational Services","=""2430014""","Grade   9",30.4
"Cooperative Educational Services","=""2430014""","Grade 10",31.3
"Cooperative Educational Services","=""2430014""","Grade 11",37.1
"Cooperative Educational Services","=""2430014""","Grade 12",20.3
"Cornwall School District","=""0310011""","Kindergarten","*"
"Cornwall School District","=""0310011""","Grade   1","*"
"Cornwall School District","=""0310011""","Grade   2","*"
"Cornwall School District","=""0310011""","Grade   3","*"
"Cornwall School District","=""0310011""","Grade   4","*"
"Cornwall School District","=""0310011""","Grade   5","*"
"Cornwall School District","=""0310011""","Grade   6","*"
"Cornwall School District","=""0310011""","Grade   7","*"
"Cornwall School District","=""0310011""","Grade   8","*"
"Coventry School District","=""0320011""","Kindergarten","*"
"Coventry School District","=""0320011""","Grade   1",4.8
"Coventry School District","=""0320011""","Grade   2","*"
"Coventry School District","=""0320011""","Grade   3","*"
"Coventry School District","=""0320011""","Grade   4","*"
"Coventry School District","=""0320011""","Grade   5","*"
"Coventry School District","=""0320011""","Grade   6",4.3
"Coventry School District","=""0320011""","Grade   7",5.2
"Coventry School District","=""0320011""","Grade   8",8.8
"Coventry School District","=""0320011""","Grade   9",4.5
"Coventry School District","=""0320011""","Grade 10",6.2
"Coventry School District","=""0320011""","Grade 11",6.7
"Coventry School District","=""0320011""","Grade 12",12.6
"Cromwell School District","=""0330011""","Kindergarten",4.9
"Cromwell School District","=""0330011""","Grade   1","*"
"Cromwell School District","=""0330011""","Grade   2","*"
"Cromwell School District","=""0330011""","Grade   3",0.0
"Cromwell School District","=""0330011""","Grade   4","*"
"Cromwell School District","=""0330011""","Grade   5","*"
"Cromwell School District","=""0330011""","Grade   6",5.6
"Cromwell School District","=""0330011""","Grade   7",4.2
"Cromwell School District","=""0330011""","Grade   8","*"
"Cromwell School District","=""0330011""","Grade   9",14.6
"Cromwell School District","=""0330011""","Grade 10",7.7
"Cromwell School District","=""0330011""","Grade 11",8.9
"Cromwell School District","=""0330011""","Grade 12",14.4
"Danbury School District","=""0340011""","Kindergarten",9.3
"Danbury School District","=""0340011""","Grade   1",6.4
"Danbury School District","=""0340011""","Grade   2",4.0
"Danbury School District","=""0340011""","Grade   3",3.8
"Danbury School District","=""0340011""","Grade   4",5.4
"Danbury School District","=""0340011""","Grade   5",5.1
"Danbury School District","=""0340011""","Grade   6",5.4
"Danbury School District","=""0340011""","Grade   7",7.7
"Danbury School District","=""0340011""","Grade   8",8.7
"Danbury School District","=""0340011""","Grade   9",6.1
"Danbury School District","=""0340011""","Grade 10",6.6
"Danbury School District","=""0340011""","Grade 11",3.6
"Danbury School District","=""0340011""","Grade 12",6.5
"Darien School District","=""0350011""","Kindergarten",2.2
"Darien School District","=""0350011""","Grade   1",2.4
"Darien School District","=""0350011""","Grade   2","*"
"Darien School District","=""0350011""","Grade   3","*"
"Darien School District","=""0350011""","Grade   4",2.6
"Darien School District","=""0350011""","Grade   5",3.5
"Darien School District","=""0350011""","Grade   6",1.6
"Darien School District","=""0350011""","Grade   7",6.9
"Darien School District","=""0350011""","Grade   8",7.2
"Darien School District","=""0350011""","Grade   9",3.7
"Darien School District","=""0350011""","Grade 10",3.5
"Darien School District","=""0350011""","Grade 11",4.8
"Darien School District","=""0350011""","Grade 12",6.7
"Deep River School District","=""0360011""","Kindergarten","*"
"Deep River School District","=""0360011""","Grade   1",0.0
"Deep River School District","=""0360011""","Grade   2","*"
"Deep River School District","=""0360011""","Grade   3","*"
"Deep River School District","=""0360011""","Grade   4","*"
"Deep River School District","=""0360011""","Grade   5",0.0
"Deep River School District","=""0360011""","Grade   6","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 10","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 11","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 12","*"
"Derby School District","=""0370011""","Kindergarten",25.2
"Derby School District","=""0370011""","Grade   1",6.2
"Derby School District","=""0370011""","Grade   2",9.0
"Derby School District","=""0370011""","Grade   3",10.6
"Derby School District","=""0370011""","Grade   4",7.6
"Derby School District","=""0370011""","Grade   5",11.2
"Derby School District","=""0370011""","Grade   6",14.1
"Derby School District","=""0370011""","Grade   7",13.4
"Derby School District","=""0370011""","Grade   8",26.0
"Derby School District","=""0370011""","Grade   9",21.0
"Derby School District","=""0370011""","Grade 10",24.2
"Derby School District","=""0370011""","Grade 11",21.8
"Derby School District","=""0370011""","Grade 12",25.7
"East Granby School District","=""0400011""","Kindergarten","*"
"East Granby School District","=""0400011""","Grade   1",8.3
"East Granby School District","=""0400011""","Grade   2","*"
"East Granby School District","=""0400011""","Grade   3","*"
"East Granby School District","=""0400011""","Grade   4",17.9
"East Granby School District","=""0400011""","Grade   5",0.0
"East Granby School District","=""0400011""","Grade   6",0.0
"East Granby School District","=""0400011""","Grade   7","*"
"East Granby School District","=""0400011""","Grade   8",8.3
"East Granby School District","=""0400011""","Grade   9","*"
"East Granby School District","=""0400011""","Grade 10","*"
"East Granby School District","=""0400011""","Grade 11","*"
"East Granby School District","=""0400011""","Grade 12","*"
"East Haddam School District","=""0410011""","Kindergarten","*"
"East Haddam School District","=""0410011""","Grade   1","*"
"East Haddam School District","=""0410011""","Grade   2",0.0
"East Haddam School District","=""0410011""","Grade   3","*"
"East Haddam School District","=""0410011""","Grade   4",0.0
"East Haddam School District","=""0410011""","Grade   5","*"
"East Haddam School District","=""0410011""","Grade   6","*"
"East Haddam School District","=""0410011""","Grade   7","*"
"East Haddam School District","=""0410011""","Grade   8",7.8
"East Haddam School District","=""0410011""","Grade   9","*"
"East Haddam School District","=""0410011""","Grade 10",7.1
"East Haddam School District","=""0410011""","Grade 11",14.2
"East Haddam School District","=""0410011""","Grade 12",18.4
"East Hampton School District","=""0420011""","Kindergarten",6.4
"East Hampton School District","=""0420011""","Grade   1",7.1
"East Hampton School District","=""0420011""","Grade   2",6.9
"East Hampton School District","=""0420011""","Grade   3",5.1
"East Hampton School District","=""0420011""","Grade   4",5.8
"East Hampton School District","=""0420011""","Grade   5",8.5
"East Hampton School District","=""0420011""","Grade   6","*"
"East Hampton School District","=""0420011""","Grade   7",5.1
"East Hampton School District","=""0420011""","Grade   8",12.3
"East Hampton School District","=""0420011""","Grade   9",4.6
"East Hampton School District","=""0420011""","Grade 10",10.0
"East Hampton School District","=""0420011""","Grade 11",7.1
"East Hampton School District","=""0420011""","Grade 12",9.4
"East Hartford School District","=""0430011""","Kindergarten",20.2
"East Hartford School District","=""0430011""","Grade   1",14.4
"East Hartford School District","=""0430011""","Grade   2",14.9
"East Hartford School District","=""0430011""","Grade   3",11.9
"East Hartford School District","=""0430011""","Grade   4",8.4
"East Hartford School District","=""0430011""","Grade   5",9.5
"East Hartford School District","=""0430011""","Grade   6",12.9
"East Hartford School District","=""0430011""","Grade   7",15.2
"East Hartford School District","=""0430011""","Grade   8",17.5
"East Hartford School District","=""0430011""","Grade   9",10.7
"East Hartford School District","=""0430011""","Grade 10",12.1
"East Hartford School District","=""0430011""","Grade 11",10.6
"East Hartford School District","=""0430011""","Grade 12",9.6
"East Haven School District","=""0440011""","Kindergarten",13.8
"East Haven School District","=""0440011""","Grade   1",8.3
"East Haven School District","=""0440011""","Grade   2",4.0
"East Haven School District","=""0440011""","Grade   3",10.7
"East Haven School District","=""0440011""","Grade   4",8.5
"East Haven School District","=""0440011""","Grade   5",10.0
"East Haven School District","=""0440011""","Grade   6","*"
"East Haven School District","=""0440011""","Grade   7",5.8
"East Haven School District","=""0440011""","Grade   8",2.8
"East Haven School District","=""0440011""","Grade   9",24.7
"East Haven School District","=""0440011""","Grade 10",22.6
"East Haven School District","=""0440011""","Grade 11",19.2
"East Haven School District","=""0440011""","Grade 12",26.4
"East Lyme School District","=""0450011""","Kindergarten",6.0
"East Lyme School District","=""0450011""","Grade   1","*"
"East Lyme School District","=""0450011""","Grade   2","*"
"East Lyme School District","=""0450011""","Grade   3",4.8
"East Lyme School District","=""0450011""","Grade   4","*"
"East Lyme School District","=""0450011""","Grade   5",4.2
"East Lyme School District","=""0450011""","Grade   6",5.3
"East Lyme School District","=""0450011""","Grade   7",8.2
"East Lyme School District","=""0450011""","Grade   8",11.1
"East Lyme School District","=""0450011""","Grade   9",6.0
"East Lyme School District","=""0450011""","Grade 10",4.4
"East Lyme School District","=""0450011""","Grade 11",4.0
"East Lyme School District","=""0450011""","Grade 12",4.3
"East Windsor School District","=""0470011""","Kindergarten",15.1
