"Chronic Absenteeism, 2014-15"
", Free/Reduced Price Meal Eligibility"

"District","District Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Deep River School District","=""0360011""","Eligible For Free Lunch",0.0
"Deep River School District","=""0360011""","Not Eligible For Lunch","*"
"Deep River School District","=""0360011""","Eligible For Reduced Lunch","*"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible For Free Lunch","*"
"Derby School District","=""0370011""","Eligible For Free Lunch",23.5
"Derby School District","=""0370011""","Not Eligible For Lunch",9.5
"Derby School District","=""0370011""","Eligible For Reduced Lunch",7.0
"East Granby School District","=""0400011""","Eligible For Free Lunch",18.6
"East Granby School District","=""0400011""","Not Eligible For Lunch",5.6
"East Granby School District","=""0400011""","Eligible For Reduced Lunch","*"
"East Haddam School District","=""0410011""","Eligible For Free Lunch",15.2
"East Haddam School District","=""0410011""","Not Eligible For Lunch",5.4
"East Haddam School District","=""0410011""","Eligible For Reduced Lunch","*"
"East Hampton School District","=""0420011""","Eligible For Free Lunch",20.3
"East Hampton School District","=""0420011""","Not Eligible For Lunch",5.8
"East Hampton School District","=""0420011""","Eligible For Reduced Lunch","*"
"East Hartford School District","=""0430011""","Eligible For Free Lunch",20.1
"East Hartford School District","=""0430011""","Not Eligible For Lunch",9.3
"East Hartford School District","=""0430011""","Eligible For Reduced Lunch",9.6
"East Haven School District","=""0440011""","Eligible For Free Lunch",14.3
"East Haven School District","=""0440011""","Not Eligible For Lunch",9.6
"East Haven School District","=""0440011""","Eligible For Reduced Lunch",6.5
"East Lyme School District","=""0450011""","Eligible For Free Lunch",13.8
"East Lyme School District","=""0450011""","Not Eligible For Lunch",4.3
"East Lyme School District","=""0450011""","Eligible For Reduced Lunch",11.2
"East Windsor School District","=""0470011""","Eligible For Free Lunch",18.1
"East Windsor School District","=""0470011""","Not Eligible For Lunch",6.1
"East Windsor School District","=""0470011""","Eligible For Reduced Lunch",7.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Free Lunch",41.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Not Eligible For Lunch",28.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Reduced Lunch","*"
"Eastford School District","=""0390011""","Eligible For Free Lunch","*"
"Eastford School District","=""0390011""","Not Eligible For Lunch",5.8
"Easton School District","=""0460011""","Eligible For Free Lunch","*"
"Easton School District","=""0460011""","Not Eligible For Lunch",2.5
"Easton School District","=""0460011""","Eligible For Reduced Lunch","*"
"Education Connection","=""2420014""","Eligible For Free Lunch","*"
"Education Connection","=""2420014""","Not Eligible For Lunch","*"
"Ellington School District","=""0480011""","Eligible For Free Lunch",13.0
"Ellington School District","=""0480011""","Not Eligible For Lunch",3.6
"Ellington School District","=""0480011""","Eligible For Reduced Lunch","*"
"Elm City College Preparatory School District","=""2890013""","Eligible For Free Lunch",5.6
"Elm City College Preparatory School District","=""2890013""","Not Eligible For Lunch","*"
"Elm City College Preparatory School District","=""2890013""","Eligible For Reduced Lunch","*"
"Elm City Montessori School District","=""2910013""","Eligible For Free Lunch","*"
"Elm City Montessori School District","=""2910013""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Eligible For Free Lunch",19.4
"Enfield School District","=""0490011""","Not Eligible For Lunch",8.2
"Enfield School District","=""0490011""","Eligible For Reduced Lunch",13.8
"Essex School District","=""0500011""","Eligible For Free Lunch","*"
"Essex School District","=""0500011""","Not Eligible For Lunch",2.4
"Essex School District","=""0500011""","Eligible For Reduced Lunch","*"
"Explorations District","=""2720013""","Eligible For Free Lunch",28.6
"Explorations District","=""2720013""","Not Eligible For Lunch",27.6
"Explorations District","=""2720013""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Eligible For Free Lunch",11.0
"Fairfield School District","=""0510011""","Not Eligible For Lunch",3.1
"Fairfield School District","=""0510011""","Eligible For Reduced Lunch",5.8
"Farmington School District","=""0520011""","Eligible For Free Lunch",17.9
"Farmington School District","=""0520011""","Not Eligible For Lunch",4.6
"Farmington School District","=""0520011""","Eligible For Reduced Lunch",12.0
"Franklin School District","=""0530011""","Eligible For Free Lunch","*"
"Franklin School District","=""0530011""","Not Eligible For Lunch","*"
"Franklin School District","=""0530011""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","Eligible For Free Lunch",9.6
"Glastonbury School District","=""0540011""","Not Eligible For Lunch",2.4
"Glastonbury School District","=""0540011""","Eligible For Reduced Lunch",8.8
"Granby School District","=""0560011""","Eligible For Free Lunch",16.8
"Granby School District","=""0560011""","Not Eligible For Lunch",3.7
"Granby School District","=""0560011""","Eligible For Reduced Lunch","*"
"Great Oaks Charter School District","=""2940013""","Eligible For Free Lunch",24.7
"Great Oaks Charter School District","=""2940013""","Not Eligible For Lunch","*"
"Great Oaks Charter School District","=""2940013""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Eligible For Free Lunch",8.5
"Greenwich School District","=""0570011""","Not Eligible For Lunch",2.5
"Greenwich School District","=""0570011""","Eligible For Reduced Lunch",3.5
"Griswold School District","=""0580011""","Eligible For Free Lunch",20.0
"Griswold School District","=""0580011""","Not Eligible For Lunch",5.4
"Griswold School District","=""0580011""","Eligible For Reduced Lunch",11.0
"Groton School District","=""0590011""","Eligible For Free Lunch",17.8
"Groton School District","=""0590011""","Not Eligible For Lunch",7.6
"Groton School District","=""0590011""","Eligible For Reduced Lunch",8.9
"Guilford School District","=""0600011""","Eligible For Free Lunch",8.2
"Guilford School District","=""0600011""","Not Eligible For Lunch",4.6
"Guilford School District","=""0600011""","Eligible For Reduced Lunch","*"
"Hamden School District","=""0620011""","Eligible For Free Lunch",24.2
"Hamden School District","=""0620011""","Not Eligible For Lunch",9.6
"Hamden School District","=""0620011""","Eligible For Reduced Lunch",13.1
"Hampton School District","=""0630011""","Eligible For Free Lunch","*"
"Hampton School District","=""0630011""","Not Eligible For Lunch","*"
"Hampton School District","=""0630011""","Eligible For Reduced Lunch","*"
"Hartford School District","=""0640011""","Eligible For Free Lunch",29.0
"Hartford School District","=""0640011""","Not Eligible For Lunch",12.4
"Hartford School District","=""0640011""","Eligible For Reduced Lunch",6.9
"Hartland School District","=""0650011""","Eligible For Free Lunch","*"
"Hartland School District","=""0650011""","Not Eligible For Lunch","*"
"Hartland School District","=""0650011""","Eligible For Reduced Lunch","*"
"Hebron School District","=""0670011""","Eligible For Free Lunch","*"
"Hebron School District","=""0670011""","Not Eligible For Lunch",1.9
"Hebron School District","=""0670011""","Eligible For Reduced Lunch","*"
"Highville Charter School District","=""2860013""","Eligible For Free Lunch",7.4
"Highville Charter School District","=""2860013""","Not Eligible For Lunch",5.6
"Highville Charter School District","=""2860013""","Eligible For Reduced Lunch","*"
"Integrated Day Charter School District","=""2640013""","Eligible For Free Lunch",9.8
"Integrated Day Charter School District","=""2640013""","Not Eligible For Lunch",3.6
"Integrated Day Charter School District","=""2640013""","Eligible For Reduced Lunch","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Free Lunch",17.0
"Interdistrict School for Arts and Comm District","=""2650013""","Not Eligible For Lunch","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Reduced Lunch","*"
"Jumoke Academy District","=""2610013""","Eligible For Free Lunch",9.0
"Jumoke Academy District","=""2610013""","Not Eligible For Lunch",7.1
"Jumoke Academy District","=""2610013""","Eligible For Reduced Lunch","*"
"Kent School District","=""0680011""","Eligible For Free Lunch","*"
"Kent School District","=""0680011""","Not Eligible For Lunch","*"
"Kent School District","=""0680011""","Eligible For Reduced Lunch","*"
"Killingly School District","=""0690011""","Eligible For Free Lunch",14.9
"Killingly School District","=""0690011""","Not Eligible For Lunch",6.3
"Killingly School District","=""0690011""","Eligible For Reduced Lunch",9.9
"Learn","=""2450014""","Eligible For Free Lunch",23.9
"Learn","=""2450014""","Not Eligible For Lunch",9.1
"Learn","=""2450014""","Eligible For Reduced Lunch",13.0
"Lebanon School District","=""0710011""","Eligible For Free Lunch",6.9
"Lebanon School District","=""0710011""","Not Eligible For Lunch",7.5
"Lebanon School District","=""0710011""","Eligible For Reduced Lunch","*"
"Ledyard School District","=""0720011""","Eligible For Free Lunch",8.1
"Ledyard School District","=""0720011""","Not Eligible For Lunch",2.7
"Ledyard School District","=""0720011""","Eligible For Reduced Lunch","*"
"Lisbon School District","=""0730011""","Eligible For Free Lunch",11.5
"Lisbon School District","=""0730011""","Not Eligible For Lunch",5.3
"Lisbon School District","=""0730011""","Eligible For Reduced Lunch","*"
"Litchfield School District","=""0740011""","Eligible For Free Lunch",16.3
"Litchfield School District","=""0740011""","Not Eligible For Lunch",5.4
"Litchfield School District","=""0740011""","Eligible For Reduced Lunch","*"
"Madison School District","=""0760011""","Eligible For Free Lunch",6.4
"Madison School District","=""0760011""","Not Eligible For Lunch",2.8
"Madison School District","=""0760011""","Eligible For Reduced Lunch","*"
"Manchester School District","=""0770011""","Eligible For Free Lunch",18.9
"Manchester School District","=""0770011""","Not Eligible For Lunch",7.8
"Manchester School District","=""0770011""","Eligible For Reduced Lunch",8.8
"Mansfield School District","=""0780011""","Eligible For Free Lunch",9.9
"Mansfield School District","=""0780011""","Not Eligible For Lunch",3.3
"Mansfield School District","=""0780011""","Eligible For Reduced Lunch","*"
"Marlborough School District","=""0790011""","Eligible For Free Lunch",18.6
"Marlborough School District","=""0790011""","Not Eligible For Lunch",3.8
"Marlborough School District","=""0790011""","Eligible For Reduced Lunch","*"
"Meriden School District","=""0800011""","Eligible For Free Lunch",21.8
"Meriden School District","=""0800011""","Not Eligible For Lunch",8.1
"Meriden School District","=""0800011""","Eligible For Reduced Lunch",9.6
"Middletown School District","=""0830011""","Eligible For Free Lunch",15.4
"Middletown School District","=""0830011""","Not Eligible For Lunch",5.5
"Middletown School District","=""0830011""","Eligible For Reduced Lunch",5.0
"Milford School District","=""0840011""","Eligible For Free Lunch",19.2
"Milford School District","=""0840011""","Not Eligible For Lunch",6.3
"Milford School District","=""0840011""","Eligible For Reduced Lunch",10.0
"Monroe School District","=""0850011""","Eligible For Free Lunch",10.1
"Monroe School District","=""0850011""","Not Eligible For Lunch",2.3
"Monroe School District","=""0850011""","Eligible For Reduced Lunch","*"
"Montville School District","=""0860011""","Eligible For Free Lunch",15.3
"Montville School District","=""0860011""","Not Eligible For Lunch",3.0
"Montville School District","=""0860011""","Eligible For Reduced Lunch",3.8
"Naugatuck School District","=""0880011""","Eligible For Free Lunch",18.4
"Naugatuck School District","=""0880011""","Not Eligible For Lunch",5.6
"Naugatuck School District","=""0880011""","Eligible For Reduced Lunch",8.4
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible For Free Lunch",21.7
"New Beginnings Inc., Family Academy District","=""2800013""","Not Eligible For Lunch","*"
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible For Reduced Lunch","*"
"New Britain School District","=""0890011""","Eligible For Free Lunch",23.5
"New Britain School District","=""0890011""","Not Eligible For Lunch",12.4
"New Britain School District","=""0890011""","Eligible For Reduced Lunch",9.5
"New Canaan School District","=""0900011""","Not Eligible For Lunch",2.8
"New Fairfield School District","=""0910011""","Eligible For Free Lunch",12.2
"New Fairfield School District","=""0910011""","Not Eligible For Lunch",2.1
"New Fairfield School District","=""0910011""","Eligible For Reduced Lunch","*"
"New Hartford School District","=""0920011""","Eligible For Free Lunch","*"
"New Hartford School District","=""0920011""","Not Eligible For Lunch",2.7
"New Hartford School District","=""0920011""","Eligible For Reduced Lunch","*"
"New Haven School District","=""0930011""","Eligible For Free Lunch",32.1
"New Haven School District","=""0930011""","Not Eligible For Lunch",17.6
"New Haven School District","=""0930011""","Eligible For Reduced Lunch",16.1
"New London School District","=""0950011""","Eligible For Free Lunch",20.3
"New London School District","=""0950011""","Not Eligible For Lunch",10.4
"New London School District","=""0950011""","Eligible For Reduced Lunch",9.0
"New Milford School District","=""0960011""","Eligible For Free Lunch",16.4
"New Milford School District","=""0960011""","Not Eligible For Lunch",4.4
"New Milford School District","=""0960011""","Eligible For Reduced Lunch",6.6
"Newington School District","=""0940011""","Eligible For Free Lunch",13.8
"Newington School District","=""0940011""","Not Eligible For Lunch",5.1
"Newington School District","=""0940011""","Eligible For Reduced Lunch",6.3
"Newtown School District","=""0970011""","Eligible For Free Lunch",10.8
"Newtown School District","=""0970011""","Not Eligible For Lunch",3.3
"Newtown School District","=""0970011""","Eligible For Reduced Lunch","*"
"Norfolk School District","=""0980011""","Eligible For Free Lunch","*"
"Norfolk School District","=""0980011""","Not Eligible For Lunch","*"
"Norfolk School District","=""0980011""","Eligible For Reduced Lunch","*"
"North Branford School District","=""0990011""","Eligible For Free Lunch",12.2
"North Branford School District","=""0990011""","Not Eligible For Lunch",2.9
"North Branford School District","=""0990011""","Eligible For Reduced Lunch",0.0
"North Canaan School District","=""1000011""","Eligible For Free Lunch",11.9
"North Canaan School District","=""1000011""","Not Eligible For Lunch",4.2
"North Canaan School District","=""1000011""","Eligible For Reduced Lunch","*"
"North Haven School District","=""1010011""","Eligible For Free Lunch",27.5
"North Haven School District","=""1010011""","Not Eligible For Lunch",16.2
"North Haven School District","=""1010011""","Eligible For Reduced Lunch",18.5
"North Stonington School District","=""1020011""","Eligible For Free Lunch","*"
"North Stonington School District","=""1020011""","Not Eligible For Lunch",1.4
"North Stonington School District","=""1020011""","Eligible For Reduced Lunch","*"
"Norwalk School District","=""1030011""","Eligible For Free Lunch",11.1
"Norwalk School District","=""1030011""","Not Eligible For Lunch",6.3
"Norwalk School District","=""1030011""","Eligible For Reduced Lunch",6.3
"Norwich Free Academy District","=""9010022""","Eligible For Free Lunch",23.4
"Norwich Free Academy District","=""9010022""","Not Eligible For Lunch",9.6
"Norwich Free Academy District","=""9010022""","Eligible For Reduced Lunch",12.2
"Norwich School District","=""1040011""","Eligible For Free Lunch",14.8
"Norwich School District","=""1040011""","Not Eligible For Lunch",12.2
"Norwich School District","=""1040011""","Eligible For Reduced Lunch",7.3
"Odyssey Community School District","=""2630013""","Eligible For Free Lunch",8.2
"Odyssey Community School District","=""2630013""","Not Eligible For Lunch",7.1
"Odyssey Community School District","=""2630013""","Eligible For Reduced Lunch","*"
"Old Saybrook School District","=""1060011""","Eligible For Free Lunch",15.6
"Old Saybrook School District","=""1060011""","Not Eligible For Lunch",11.5
"Old Saybrook School District","=""1060011""","Eligible For Reduced Lunch","*"
"Orange School District","=""1070011""","Eligible For Free Lunch",18.0
"Orange School District","=""1070011""","Not Eligible For Lunch",2.3
"Orange School District","=""1070011""","Eligible For Reduced Lunch","*"
"Oxford School District","=""1080011""","Eligible For Free Lunch",20.2
"Oxford School District","=""1080011""","Not Eligible For Lunch",6.2
"Oxford School District","=""1080011""","Eligible For Reduced Lunch",12.2
"Park City Prep Charter School District","=""2830013""","Eligible For Free Lunch",12.5
"Park City Prep Charter School District","=""2830013""","Not Eligible For Lunch","*"
"Park City Prep Charter School District","=""2830013""","Eligible For Reduced Lunch",0.0
"Path Academy District","=""2930013""","Eligible For Free Lunch",82.5
"Path Academy District","=""2930013""","Not Eligible For Lunch","*"
"Path Academy District","=""2930013""","Eligible For Reduced Lunch","*"
"Plainfield School District","=""1090011""","Eligible For Free Lunch",15.7
"Plainfield School District","=""1090011""","Not Eligible For Lunch",4.9
"Plainfield School District","=""1090011""","Eligible For Reduced Lunch",11.0
"Plainville School District","=""1100011""","Eligible For Free Lunch",16.8
"Plainville School District","=""1100011""","Not Eligible For Lunch",4.7
"Plainville School District","=""1100011""","Eligible For Reduced Lunch",7.4
"Plymouth School District","=""1110011""","Eligible For Free Lunch",22.7
"Plymouth School District","=""1110011""","Not Eligible For Lunch",8.5
"Plymouth School District","=""1110011""","Eligible For Reduced Lunch",17.6
"Pomfret School District","=""1120011""","Eligible For Free Lunch",18.9
"Pomfret School District","=""1120011""","Not Eligible For Lunch","*"
"Pomfret School District","=""1120011""","Eligible For Reduced Lunch","*"
"Portland School District","=""1130011""","Eligible For Free Lunch",20.9
"Portland School District","=""1130011""","Not Eligible For Lunch",4.1
"Portland School District","=""1130011""","Eligible For Reduced Lunch",13.0
"Preston School District","=""1140011""","Eligible For Free Lunch",20.0
"Preston School District","=""1140011""","Not Eligible For Lunch",5.3
"Preston School District","=""1140011""","Eligible For Reduced Lunch","*"
"Putnam School District","=""1160011""","Eligible For Free Lunch",18.7
"Putnam School District","=""1160011""","Not Eligible For Lunch",8.5
"Putnam School District","=""1160011""","Eligible For Reduced Lunch",15.9
"Redding School District","=""1170011""","Eligible For Free Lunch","*"
"Redding School District","=""1170011""","Not Eligible For Lunch",3.0
"Redding School District","=""1170011""","Eligible For Reduced Lunch","*"
"Regional School District 01","=""2010012""","Eligible For Free Lunch",25.0
"Regional School District 01","=""2010012""","Not Eligible For Lunch",14.2
"Regional School District 01","=""2010012""","Eligible For Reduced Lunch","*"
"Regional School District 04","=""2040012""","Eligible For Free Lunch",19.2
"Regional School District 04","=""2040012""","Not Eligible For Lunch",6.8
"Regional School District 04","=""2040012""","Eligible For Reduced Lunch","*"
"Regional School District 05","=""2050012""","Eligible For Free Lunch",26.2
"Regional School District 05","=""2050012""","Not Eligible For Lunch",10.0
"Regional School District 05","=""2050012""","Eligible For Reduced Lunch","*"
"Regional School District 06","=""2060012""","Eligible For Free Lunch",7.1
"Regional School District 06","=""2060012""","Not Eligible For Lunch",3.9
"Regional School District 06","=""2060012""","Eligible For Reduced Lunch",13.7
"Regional School District 07","=""2070012""","Eligible For Free Lunch",12.9
"Regional School District 07","=""2070012""","Not Eligible For Lunch",5.0
"Regional School District 07","=""2070012""","Eligible For Reduced Lunch","*"
"Regional School District 08","=""2080012""","Eligible For Free Lunch",32.4
"Regional School District 08","=""2080012""","Not Eligible For Lunch",11.4
"Regional School District 08","=""2080012""","Eligible For Reduced Lunch",20.0
"Regional School District 09","=""2090012""","Eligible For Free Lunch","*"
"Regional School District 09","=""2090012""","Not Eligible For Lunch",8.8
"Regional School District 09","=""2090012""","Eligible For Reduced Lunch","*"
"Regional School District 10","=""2100012""","Eligible For Free Lunch",16.5
"Regional School District 10","=""2100012""","Not Eligible For Lunch",5.6
"Regional School District 10","=""2100012""","Eligible For Reduced Lunch","*"
"Regional School District 11","=""2110012""","Eligible For Free Lunch",12.6
"Regional School District 11","=""2110012""","Not Eligible For Lunch",3.9
"Regional School District 11","=""2110012""","Eligible For Reduced Lunch","*"
"Regional School District 12","=""2120012""","Eligible For Free Lunch",19.1
"Regional School District 12","=""2120012""","Not Eligible For Lunch",7.7
"Regional School District 12","=""2120012""","Eligible For Reduced Lunch","*"
"Regional School District 13","=""2130012""","Eligible For Free Lunch",11.9
"Regional School District 13","=""2130012""","Not Eligible For Lunch",3.6
"Regional School District 13","=""2130012""","Eligible For Reduced Lunch","*"
"Regional School District 14","=""2140012""","Eligible For Free Lunch","*"
"Regional School District 14","=""2140012""","Not Eligible For Lunch",1.9
"Regional School District 14","=""2140012""","Eligible For Reduced Lunch","*"
"Regional School District 15","=""2150012""","Eligible For Free Lunch",11.0
"Regional School District 15","=""2150012""","Not Eligible For Lunch",4.0
"Regional School District 15","=""2150012""","Eligible For Reduced Lunch","*"
"Regional School District 16","=""2160012""","Eligible For Free Lunch",25.1
"Regional School District 16","=""2160012""","Not Eligible For Lunch",6.3
"Regional School District 16","=""2160012""","Eligible For Reduced Lunch",15.9
"Regional School District 17","=""2170012""","Eligible For Free Lunch",16.4
"Regional School District 17","=""2170012""","Not Eligible For Lunch",3.8
"Regional School District 17","=""2170012""","Eligible For Reduced Lunch",16.7
"Regional School District 18","=""2180012""","Eligible For Free Lunch",20.0
"Regional School District 18","=""2180012""","Not Eligible For Lunch",6.0
"Regional School District 18","=""2180012""","Eligible For Reduced Lunch","*"
"Regional School District 19","=""2190012""","Eligible For Free Lunch",20.4
"Regional School District 19","=""2190012""","Not Eligible For Lunch",4.4
