"Overall Expenditures, 2014-15"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="Easton School District",10964816,196570,377679,190862,2052088,1464775,1057692,278720,3741,16586943
="Ellington School District",20267777,710186,1574661,3743886,2872119,3439316,1892298,1277747,486510,36264500
="Elm City College Preparatory School District",3838899,1002399,316975,870766,2967283,496358,127041,N/A,409223,10028944
="Elm City Montessori School District",597554,375533,149475,236285,223724,135376,0,N/A,41082,1759029
="Enfield School District",47687462,953255,1368309,1066039,10525057,7309869,4526038,4417519,1180994,79034542
="Essex School District",4348646,143168,73507,1050648,948451,705971,310563,276089,92089,7949132
="Explorations District",810969,10604,32132,68569,203042,231105,53568,N/A,5743,1415732
="Fairfield School District",93155073,1344439,10502002,12446649,18267033,15874357,8750829,6822720,2008728,169171830
="Farmington School District",39531073,1583372,2504917,4509279,4471952,8005389,3206646,2242055,151450,66206133
="Franklin School District",1633990,23178,134231,170999,379453,337586,230435,152663,0,3062535
="Glastonbury School District",54028403,3227715,5249586,5809798,10336850,10880864,5763671,4418181,1343737,101058805
="Granby School District",15852576,987884,1063566,2201090,3100786,3266047,1234580,1414461,645610,29766600
="Great Oaks Charter School District",633266,180270,455164,37564,436455,137098,0,N/A,73238,1953055
="Greenwich School District",130429647,3098319,4181162,12661559,18243564,13656932,5411923,4742011,0,192425117
="Griswold School District",14709221,207975,245204,1057836,3847432,4647320,1548753,1022921,462697,27749359
="Groton School District",40873799,700759,4063634,8243814,7920192,7126092,4679582,5109722,0,78717594
="Guilford School District",33177744,986891,1934301,3631027,5883276,5319533,3333638,3870103,819023,58955536
="Hamden School District",64680783,2424480,1490911,8423414,10062741,11500979,7741532,10748783,1038045,118111668
="Hampton School District",1262688,26700,62648,241497,315131,240254,154536,19525,15809,2338788
="Hartland School District",1812861,46098,224069,437905,441634,326015,273734,272800,145790,3980906
="Hebron School District",7498877,184181,745738,982234,1373787,1190436,544563,225867,0,12745683
="Highville Charter School District",2140361,72078,146975,102222,1125767,733512,7675,N/A,297946,4626536
="Integrated Day Charter School District",2108599,145660,157613,185258,811075,426766,11378,N/A,206773,4053122
="Interdistrict School for Arts and Comm District",1854176,57470,259046,160589,665322,408001,9796,N/A,0,3414400
="Jumoke Academy District",4301188,472372,78197,1168841,1584330,913359,1545,N/A,371,8520203
="Kent School District",3554169,157149,120486,280631,578683,542920,410550,0,30547,5675135
="Killingly School District",20311837,420966,2280771,2157515,4548733,4513885,3179496,5881300,0,43294503
="Lebanon School District",10376100,552134,402108,568008,1480452,2412567,1303626,1660174,451386,19206555
="Ledyard School District",20976013,922276,1145780,2184766,4896392,3360855,2435412,2112350,371866,38405710
="Lisbon School District",4002987,155342,77428,581861,676903,815418,652162,537492,28329,7527922
="Litchfield School District",9282921,322591,1055300,1517648,1754519,1836805,1147286,809256,479422,18205748
="Madison School District",28307267,1022589,2570372,4250157,4027412,5825125,3439856,1720777,1491187,52654742
="Manchester School District",63536721,1816268,8044070,7554389,12204899,11145906,5277222,6451138,1343307,117373920
="Mansfield School District",14166825,742792,577831,1355209,2896824,1581540,1008862,480637,93093,22903613
="Marlborough School District",4916149,263072,295986,138220,748541,723765,340462,131115,0,7557310
="Meriden School District",68926265,2647809,867472,8535035,10771398,12743603,6478189,11720541,1043435,123733747
="Middletown School District",47064130,1375902,1843516,4227024,6284871,8615782,7281449,7128222,1628192,85449088
="Milford School District",71823884,3592245,2136010,3467188,11552185,12265846,4474450,4638394,1289549,115239751
="Monroe School District",31029104,460348,2944666,3772788,5651739,5262401,2861481,2180682,546804,54710013
="Montville School District",22388678,945535,791977,2257282,3281786,3881166,2751946,1413777,582625,38294772
="Naugatuck School District",41384538,1019535,1035146,4807363,8900205,7207299,3450070,1693026,596483,70093665
="New Britain School District",96095979,1694201,3349700,2716857,12113539,10584755,12546388,13788279,0,152889698
="New Canaan School District",45547782,792219,3367708,7453072,7908001,10219986,4612200,3420343,1598712,84920023
="New Fairfield School District",23192012,1121988,1165846,2830721,4032329,3502511,1933845,742566,584077,39105895
="New Hartford School District",5036859,120998,69802,335388,734752,948550,653529,436576,13391,8349845
="New Haven School District",213092648,7996114,9201327,5211194,36509839,31543987,25241913,17656254,3383613,349836889
="New London School District",26444537,2555111,1517113,3894964,8955905,5873649,4131761,5271038,514226,59158304
="New Milford School District",35048578,999088,1229290,4153186,8101969,5935472,4675640,2391249,1067399,63601871
="Newington School District",38528465,2169481,2038572,3860822,7244346,8669427,4144992,3373653,735505,70765263
="Newtown School District",39529977,1143599,1769134,7947030,8377343,10741155,4423498,3398782,853901,78184419
="Norfolk School District",1280533,29775,128656,56860,583619,334047,201130,80195,2152,2696967
="North Branford School District",14987928,388515,1795586,2458850,3181997,3825604,2476038,1059253,873686,31047457
="North Canaan School District",3650206,120217,53786,323218,582336,568285,397190,28595,18703,5742536
="North Haven School District",26221609,629427,1141558,4996394,7107267,4186683,2988536,3175248,578957,51025679
="North Stonington School District",7197752,535549,171036,740506,1778080,1282245,915680,318378,0,12939226
="Norwalk School District",117586743,2475463,1050323,14459247,25000427,17982611,7368804,10212428,1550411,197686457
="Norwich School District",33467329,2680743,316309,5219550,4151448,4698968,6687996,8792475,0,66014818
="Odyssey Community School District",2117359,58831,93489,59926,592748,492553,0,N/A,0,3414906
="Old Saybrook School District",12944748,904230,1270581,1610763,2495023,2785392,1451850,1275708,598574,25336869
="Orange School District",11793631,458895,877907,1248946,2054973,2194498,1024690,421615,136772,20211927
="Oxford School District",17119283,523953,187697,1966225,3525070,2034136,1764751,1411774,542310,29075199
="Park City Prep Charter School District",1386811,697100,207415,351518,822206,819515,0,N/A,0,4284565
="Path Academy District",767584,97062,138008,351744,374017,196984,1209,N/A,63300,1989908
="Plainfield School District",18825456,476252,705456,2655236,3665488,3479379,3232283,2163174,335465,35538189
="Plainville School District",22794513,853189,1252550,1727799,3589548,3321424,2269899,1806143,0,37615065
="Plymouth School District",14089452,667266,430010,748322,2558553,2439251,1891817,1518021,462558,24805250
="Pomfret School District",4194768,166274,179642,136237,712081,672361,795544,942094,32083,7831084
="Portland School District",11081128,565125,495794,1187544,1999026,2882330,943002,855800,449529,20459278
="Preston School District",5086760,73103,105879,483269,823792,749625,911042,908738,36802,9179010
="Putnam School District",10415462,572178,232155,2327937,2155763,2182536,1201008,1659406,263459,21009904
="Redding School District",15039819,410633,590033,224630,1928712,2330216,1254452,139984,1775,21920254
="Regional School District 01",5364020,415224,686494,628124,1056127,1330067,235940,740739,416899,10873634
="Regional School District 04",8452026,151638,351457,989514,2151440,1855364,745578,1257869,908037,16862923
="Regional School District 05",20024117,574618,1163350,2621906,5577849,3577448,2665739,3127149,1014265,40346441
="Regional School District 06",9609942,395678,782661,1206818,2165117,1931750,1000775,411423,315020,17819184
="Regional School District 07",10031327,429828,214658,788066,2197431,2108324,1654896,1086534,497159,19008223
="Regional School District 08",13462958,218621,821066,1908059,2631622,2687423,1465121,1772717,544832,25512419
="Regional School District 09",13560551,364588,469621,147667,1770263,2093520,1352019,1472660,177,21231066
="Regional School District 10",19942353,699355,2375601,2105555,3305089,4024825,2427816,1684830,0,36565424
="Regional School District 11",2702983,76708,113979,384165,986289,649878,467661,935843,222193,6539699
="Regional School District 12",9782166,705642,915097,1718198,2259663,3272575,1504113,619887,447388,21224729
="Regional School District 13",18778823,369927,1062685,3076920,4383365,3379996,1845026,1005513,587587,34489842
="Regional School District 14",15755291,487333,1621244,2833892,3090852,4032194,1899548,1517255,785371,32022980
="Regional School District 15",36128051,453137,1443635,5694103,6451899,6219222,4110429,2357142,1305996,64163614
="Regional School District 16",18042460,640706,2010723,2247189,4250640,5308598,2434034,1352442,572406,36859198
="Regional School District 17",20415394,494891,723086,1951058,4231547,4757811,3327550,1525034,733215,38159586
="Regional School District 18",13554579,367110,1515844,2018535,3153454,4398820,1374717,505122,588030,27476211
="Regional School District 19",11566001,636601,304794,1210610,2666905,1721181,1442410,932121,826386,21307009
="Ridgefield School District",50807603,989808,5525935,4758522,6812303,9398145,4739824,4118831,1343213,88494184
="Rocky Hill School District",23128239,703427,2370215,2380518,2979221,4721072,1549041,1600881,0,39432614
="Salem School District",3000813,43150,95692,990660,978371,1363571,849027,1221242,88,8542614
="Salisbury School District",3874717,81892,196504,203299,590930,975900,493243,2050,7287,6425822
="Scotland School District",1477899,46616,108135,170455,369847,353867,164250,80010,20032,2791111
="Seymour School District",17736420,371996,927339,2327539,4324714,3786444,1935525,2145886,482554,34038417
="Sharon School District",2726823,95932,85821,300498,674894,568125,364491,11619,43840,4872043
="Shelton School District",42901771,1712752,1475150,2724005,7300421,7889306,3788176,2314611,746088,70852280
="Sherman School District",4375326,123868,413136,54599,576696,657871,514811,355103,45640,7117050
="Side By Side Charter School District",1525600,83172,4818,281933,588743,311944,0,N/A,0,2796210
="Simsbury School District",39569080,925253,3900417,5028114,5919193,7217177,2808444,2674759,758747,68801184
="Somers School District",12771742,489007,482981,1448317,1988914,2367489,1020911,999245,303187,21871793
="South Windsor School District",39383509,1622987,2826640,5268066,7378908,6306263,3421942,4669379,1796315,72674009
="Southington School District",55085249,1240980,1379263,6784333,9848760,8162797,3895329,5281420,880310,92558441
="Sprague School District",3338694,155860,28946,99156,550266,409760,485188,347339,0,5415209
="Stafford School District",15320234,468482,562768,1805390,3191974,3710904,2184840,1213491,144222,28602305
="Stamford Academy District",1050120,28319,0,466980,1270676,34493,59106,N/A,77015,2986709
="Stamford School District",158994460,2737579,17241365,16774748,34391143,24305629,13947920,14801344,0,283194188
="Sterling School District",3186348,182893,273575,179956,607922,506042,646281,796309,25140,6404466
="Stonington School District",19646769,190722,1735793,1974833,4381898,4019054,2395573,2348382,462529,37155553
="Stratford School District",59385884,885138,2750347,10497077,10197398,9569077,5072559,6179785,1748858,106286123
="Suffield School District",20879831,872465,443559,2507592,4327268,2911461,1416539,1395132,521104,35274951
="The Bridge Academy District",2281505,110601,29340,337878,398495,239899,1644,N/A,148920,3548282
="Thomaston School District",7938584,256383,29601,901025,2125848,1725498,1139732,1080410,189810,15386891
="Thompson School District",8063231,168777,290887,1290374,1874377,2227450,1038530,2129003,14892,17097521
="Tolland School District",22613912,596677,1510920,1481249,3865637,3601242,2459697,3348595,126225,39604154
="Torrington School District",42142161,534267,1391746,4785278,7517497,5851146,4505085,7053030,623931,74404141
="Trailblazers Academy District",1164747,22992,0,490329,2021353,297351,6668,N/A,103448,4106888
="Trumbull School District",59027980,1510697,4710345,8074542,11198627,8111415,5564459,3476752,1218663,102893480
="Union School District",977687,62936,19333,39253,258247,138521,169796,27952,0,1693725
="Vernon School District",31307291,1005574,2633597,3401982,5045363,5069725,3032148,3153198,530899,55179777
="Voluntown School District",2741744,109256,133088,538502,700767,414277,389556,515604,60789,5603583
="Wallingford School District",55215886,624555,3131581,6003479,13272818,8994816,6647223,5476728,1762610,101129696
="Waterbury School District",169833692,5002314,20907086,8691732,24854463,22259477,13181661,6268550,10160661,281159636
="Waterford School District",27112264,933662,536938,3096009,4484844,4945320,2518060,2873643,885568,47386308
="Watertown School District",22782234,400779,738711,2679164,5067734,5017161,3108042,1606151,0,41399976
="West Hartford School District",86195070,2510593,6999327,10271373,18279660,13667892,7399747,7161452,1379546,153864660
="West Haven School District",49060089,1595250,2611100,4452071,6250627,15499756,5244584,9282170,1730826,95726473
="Westbrook School District",10570862,432807,321461,311142,1622952,1792607,594742,492523,528882,16667978
="Weston School District",27642779,462753,3349762,3179952,3879523,5789512,1765402,2198357,1012305,49280345
="Westport School District",65667758,3670181,3068704,10239004,11307290,13345705,4887355,2751641,1695931,116633569
="Wethersfield School District",32889332,2024104,1027751,3679280,4890584,5847433,2892412,5319822,542881,59113599
="Willington School District",4852821,125787,283489,461182,1084529,786665,528941,192721,1200,8317335
="Wilton School District",47257696,925049,3087637,8206854,8278863,6602153,3879760,3989650,0,82227662
="Windham School District",32500419,1406983,1394504,5123755,5959574,6892430,3518275,4904268,87169,61787377
="Windsor Locks School District",18338580,1183938,1349529,1880688,3371724,3641600,1291234,1355562,522416,32935271
="Windsor School District",36244231,984632,2865867,5013820,7640364,5165881,4452793,6441039,642695,69451322
="Wolcott School District",21096780,646167,718869,1383667,3781598,3649192,2060096,1011331,756652,35104352
="Woodbridge School District",8679380,313319,71708,185530,2163893,982778,567722,275617,0,13239947
="Woodstock School District",7100494,168338,129340,614702,977945,1356609,986549,512548,19579,11866104

