"Overall Expenditures, 2013-14"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="New Haven School District",208691145,8960888,6063572,4886338,36830590,30149243,24242453,16828974,3749212,340402415
="New London School District",25171006,2333681,1501902,3927465,8049109,5627313,4033159,5102878,413162,56159675
="New Milford School District",34587881,1003322,1210133,4268776,6955575,6161964,4799011,2307049,1020647,62314358
="Newington School District",38124090,2066207,2172679,3532461,6838990,8507068,3313218,3324101,768050,68646864
="Newtown School District",39615365,1140860,1875352,8139349,8048778,10605487,4437714,3251443,873360,77987708
="Norfolk School District",1387177,31922,84251,51910,572687,329469,193036,76192,2577,2729221
="North Branford School District",14898377,381040,1789750,2358812,3163200,3567639,2430053,816356,841219,30246446
="North Canaan School District",3366036,119407,50428,411909,565839,547644,374786,61738,18266,5516053
="North Haven School District",25728359,588389,961392,4611396,7103735,4306882,3001993,2989393,582106,49873645
="North Stonington School District",7170934,632965,216614,716448,1751386,1145038,953153,405989,942,12993469
="Norwalk School District",117031010,2138111,964037,13493813,24716044,15760247,6985688,8654312,1230659,190973921
="Norwich School District",34023698,2028911,603180,5843041,3679002,5701828,6325738,6503674,0,64709072
="Odyssey Community School District",2024293,81743,93900,53076,595379,464495,0,N/A,0,3312886
="Old Saybrook School District",13060728,799803,1218431,1589263,2594363,2612305,1101488,1054865,534511,24565757
="Orange School District",11897709,366789,829336,1227223,1769587,1688085,986155,327123,179008,19271015
="Oxford School District",16984149,605647,140771,1807293,3524718,2295005,1887731,1046573,996918,29288805
="Park City Prep Charter School District",1092983,228811,56191,315176,839112,820283,0,N/A,0,3352556
="Plainfield School District",18776209,890097,695787,2602007,3813279,3436583,2509633,1915934,336075,34975604
="Plainville School District",22374045,641830,1215904,1702298,3963353,3693201,1843041,1607056,0,37040728
="Plymouth School District",14206466,756252,516713,715607,2104610,2601258,2053003,1435159,368702,24757770
="Pomfret School District",4465871,166650,152945,186382,662645,738081,627490,886160,30372,7916596
="Portland School District",10956184,768771,515119,1171201,2078183,2484582,888934,709813,357218,19930005
="Preston School District",4608448,141650,109449,392430,939348,807838,870608,1221706,46801,9138278
="Putnam School District",10153535,494268,261365,2261732,2086458,2291322,1201160,1568856,259972,20578668
="Redding School District",15321184,269531,509851,219837,2001376,2236315,1203737,224659,4024,21990514
="Regional School District 01",4858755,320873,464417,714385,1023294,1324617,238398,427392,418798,9790929
="Regional School District 04",8415351,325836,365346,976934,2164205,1897057,793264,680549,794241,16412783
="Regional School District 05",19875716,700890,1200542,2594273,5579648,3895690,2401201,2794796,999531,40042287
="Regional School District 06",9605885,482962,750854,1144007,2002375,1911899,893001,302782,300753,17394518
="Regional School District 07",9742536,556763,251924,783730,2006091,2141790,1566432,936137,465461,18450864
="Regional School District 08",14213330,202615,660901,1499174,2573612,2496353,1448021,1166897,503323,24764226
="Regional School District 09",13063183,351406,446896,134841,1828407,2302203,1429654,1446305,43,21002938
="Regional School District 10",20073077,735431,2193516,2103228,3265405,3782493,2300829,2026890,0,36480869
="Regional School District 11",2634053,75692,113585,406063,1004396,924640,462258,787600,205600,6613887
="Regional School District 12",9987032,881759,1010003,1874429,2208900,2695966,1455011,642147,409136,21164383
="Regional School District 13",18612645,404214,886142,3095097,4121623,3584653,1679349,1023348,659527,34066598
="Regional School District 14",15652312,523358,1641754,2763881,2978023,3654258,1948319,1688734,792821,31643460
="Regional School District 15",35391627,488823,1233671,5117364,5995733,5955119,3955999,2510700,1275344,61924380
="Regional School District 16",17639215,478378,2120347,2384379,4348602,3180172,2397348,1331913,663585,34543939
="Regional School District 17",19650473,547004,648504,1760570,4064021,4952701,3476606,1490662,676394,37266935
="Regional School District 18",13371969,454716,1255736,2007912,3096120,4161528,1389820,821462,538501,27097764
="Regional School District 19",10859468,653816,412255,1164489,2409541,1552916,1530628,842536,770276,20195925
="Ridgefield School District",50394509,1023919,5116173,4250323,6694331,9338772,4631885,3634813,1230793,86315518
="Rocky Hill School District",21657679,631165,2682394,2368699,2790509,4827716,1625091,1479299,0,38062552
="Salem School District",3963628,202043,23428,130610,1117819,2154445,915978,896581,28,9404560
="Salisbury School District",3695770,117630,222208,289430,553626,872654,462707,30546,1599,6246170
="Scotland School District",1499426,62834,128644,169725,346385,294189,176775,20250,20434,2718662
="Seymour School District",17285607,750515,785933,2247845,4277869,3564721,1799767,1790020,432948,32935225
="Sharon School District",2524927,93192,93027,339749,640175,693326,352294,25985,23648,4786323
="Shelton School District",42704128,849623,1373349,2141703,7093334,7939140,4373408,2177662,737972,69390319
="Sherman School District",4296872,92851,361519,53435,596464,641203,481505,285457,40146,6849452
="Side By Side Charter School District",1572555,60175,11972,340100,575220,284346,0,N/A,0,2844368
="Simsbury School District",40201535,823973,3983598,4630492,5793092,7094781,2796432,2846055,718060,68888018
="Somers School District",12616796,465117,478968,1321352,2037295,2166865,1075665,1114802,279373,21556233
="South Windsor School District",38705597,2179527,2728053,5076484,6972422,6760820,3352111,4498176,1791190,72064380
="Southington School District",53487675,1279768,1455039,6506542,9606217,7964414,3786048,5345157,864269,90295129
="Sprague School District",3314828,197421,81776,100423,500852,489755,463283,297968,0,5446306
="Stafford School District",15873140,473980,1150879,1786890,3090071,3120478,2141305,1065967,87521,28790231
="Stamford Academy District",974401,10852,0,522728,1261728,38911,64724,N/A,86264,2959608
="Stamford School District",157850660,4380930,13620520,16677708,33350704,24137287,13069625,12351201,0,275438635
="Sterling School District",3759319,50668,212832,174639,597398,485486,660935,786156,29538,6756971
="Stonington School District",19545603,122143,1575742,2186462,3808987,3600283,2405434,2280636,477191,36002481
="Stratford School District",55918610,1051081,2858152,10225186,9848749,9121805,4819315,6014338,1605250,101462486
="Suffield School District",20191207,1249934,410848,2334344,4026734,2538546,1531776,1771012,497315,34551716
="The Bridge Academy District",2168121,181413,38846,309522,368550,246809,2574,N/A,130741,3446576
="Thomaston School District",8339452,305453,26037,779473,1896825,3360928,1055848,1136141,197617,17097774
="Thompson School District",8804201,188717,171323,1261217,1754770,2341717,968129,1791882,48241,17330197
="Tolland School District",21857142,546957,1540746,1465031,3813920,4177534,2388401,3110556,114972,39015259
="Torrington School District",41673104,1495040,1583032,3963244,6568840,6250949,4229766,6470832,564958,72799765
="Trailblazers Academy District",1357434,36100,0,526528,1932936,354390,4336,N/A,123306,4335030
="Trumbull School District",57252834,1174876,4327895,8310242,11388692,9201271,5175951,3604248,423793,100859802
="Union School District",757060,63377,6204,45063,259773,131703,167522,68971,0,1499673
="Vernon School District",31126475,546062,2359883,3517209,4663387,4851205,2907359,3271193,532209,53774982
="Voluntown School District",2709111,117930,82682,565081,705134,447854,387035,428220,59439,5502486
="Wallingford School District",53918190,1063340,3438494,6013874,12567160,18442862,6512715,5336578,1542901,108836114
="Waterbury School District",158193631,6963543,24228974,10424274,24067357,21436579,12130687,6016327,9768069,273229441
="Waterford School District",27299171,776052,491311,2995522,4469517,4693251,2515731,2714313,885146,46840014
="Watertown School District",21374872,468140,656172,2675009,6355006,5277539,2564008,973492,46973,40391211
="West Hartford School District",83075607,1732500,7918810,9791723,17467245,13425659,7000077,6324184,1294217,148030022
="West Haven School District",48817697,1550930,2516862,4329337,6075378,15275625,4958609,7924459,1694629,93143526
="Westbrook School District",9875645,1120451,329609,285658,1526195,1654219,719624,707219,572091,16790711
="Weston School District",25653138,425920,3849451,3378221,3761979,6207412,1752160,1913969,1262135,48204385
="Westport School District",64273126,3455662,3104572,9774989,10582318,11656010,4568048,2826905,1642045,111883675
="Wethersfield School District",28396328,1525494,1350610,7927515,4354067,4859583,2929095,4667930,692972,56703594
="Willington School District",5024140,183670,302844,448941,1026230,765128,558310,131134,1200,8441597
="Wilton School District",45566873,864008,2944129,7475190,8072913,6797132,3521011,3616982,0,78858238
="Windham School District",31965061,1584758,1533164,4439202,6166932,4416660,2952779,4254773,74153,57387482
="Windsor Locks School District",17530171,1170057,1405955,1605162,3165785,4003495,1344345,1788276,512388,32525634
="Windsor School District",40404112,1741200,902918,1947838,6401027,5123090,4320978,6042677,724061,67607901
="Wolcott School District",20910713,568470,892146,1297473,3439906,3779958,1989555,816410,721618,34416249
="Woodbridge School District",8317043,409090,96280,194118,2172416,1436467,550289,215148,0,13390851
="Woodstock School District",7090139,287482,171677,579852,916483,1206322,1025670,635620,6949,11920194

