"Overall Expenditures, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="New Hartford School District",3989884,90155,46452,375837,753735,790398,570003,111559,14110,6742133
="New Haven School District",170061705,5452542,9187517,9703744,32161415,29587457,15147872,13391015,2398007,287091274
="New London School District",24145146,1234201,1062333,2830268,4974597,4469503,2018047,2445592,383518,43563205
="New Milford School District",31012345,771926,1132255,3265939,4754584,4939512,3882069,1781651,406451,51946732
="Newington School District",28398140,1186980,1752258,2850758,5280388,6467459,2141027,1619699,620305,50317014
="Newtown School District",32567682,1616667,1948481,4058426,5244806,7135626,4213326,1609877,724015,59118906
="Norfolk School District",1254969,23868,69709,45183,366447,344845,170369,59904,0,2335294
="North Branford School District",12624850,631520,1359849,2158812,2623519,2803245,1757890,1197439,492492,25649616
="North Canaan School District",2991950,125073,9548,220562,559885,504319,269804,0,0,4681141
="North Haven School District",21580081,614582,1194377,3271403,4642725,3431963,2482174,1990163,448487,39655955
="North Stonington School District",6704428,539456,125040,620288,1258352,1045594,847919,353002,0,11494079
="Norwalk School District",92563145,3383515,2033477,8477079,15345579,14385077,5256053,4706134,1338525,147488584
="Norwich School District",27104545,656601,330607,4224625,3403538,3587395,4430469,4630705,0,48368485
="Odyssey Community School District",760017,62743,62358,24951,164813,180545,0,N/A,0,1255427
="Old Saybrook School District",9847480,230358,1220863,1080953,1899065,1823926,744980,549263,345447,17742335
="Orange School District",9498516,401631,239233,1450653,1521883,1171678,772828,168979,39620,15265021
="Oxford School District",9376809,225704,287519,676590,2023367,1474939,1263771,905314,69103,16303116
="Plainfield School District",17287599,481532,656070,2320402,2905999,2966405,2165226,1761086,244329,30788648
="Plainville School District",17364592,594634,1142905,1387492,3103785,2769950,1659556,2091131,381576,30495621
="Plymouth School District",11467561,426923,402017,1486269,1820794,2048921,1969868,1591919,252623,21466895
="Pomfret School District",3523952,157836,86842,100812,384438,470171,513773,461836,0,5699660
="Portland School District",9199708,306375,718511,1084949,1721786,2299360,749843,488904,167370,16736806
="Preston School District",4163010,159753,0,384176,726204,664593,689277,646236,35941,7469190
="Putnam School District",8845079,400589,273224,1601299,1716807,1467524,557471,791862,252725,15906580
="Redding School District",11611990,289488,289325,253895,1501270,1796407,1193643,149690,1934,17087642
="Regional School District 01",4785655,212454,380720,623112,923597,1111948,135513,535284,331806,9040089
="Regional School District 04",6428519,273703,349848,712941,2286227,1388252,447798,572723,6629,12466640
="Regional School District 05",17074849,411666,1001134,1279061,4468829,2848070,1908249,1512638,722467,31226963
="Regional School District 06",7683626,240531,640844,1004393,1359693,1626992,731594,417328,157959,13862960
="Regional School District 07",8090904,540408,264689,725704,1575883,1775825,1168746,324488,313531,14780178
="Regional School District 08",10307220,271798,727456,989987,1627837,1718044,1072531,922932,271326,17909131
="Regional School District 09",9545378,337924,198601,123720,1243421,1643469,783215,915415,0,14791143
="Regional School District 10",15316925,825846,2114371,1679750,2374607,3201609,2036933,892836,0,28442877
="Regional School District 11",3234429,238414,82585,553994,765120,965734,332429,301742,149965,6624412
="Regional School District 12",9516560,703522,709293,1254031,1677937,2043246,1129891,283608,312975,17631063
="Regional School District 13",14501123,341524,1193661,2195875,2113788,3053458,1733018,780611,370941,26283999
="Regional School District 14",13809412,975039,800455,1881692,2478553,2520734,1365974,1370165,542773,25744797
="Regional School District 15",29073824,548989,1343999,4602204,4144196,5219121,2969917,798099,951975,49652324
="Regional School District 16",14093033,517904,1495012,1872371,2852259,2944522,1645022,970549,394135,26784807
="Regional School District 17",16535935,633382,914807,1626708,2759503,3534472,2020195,604590,450453,29080045
="Regional School District 18",11437106,463162,1055123,1510433,3115819,3404064,1087744,975024,495834,23544309
="Regional School District 19",8734982,276168,326504,1031531,1772742,1191663,1028124,804830,566820,15733364
="Ridgefield School District",38081215,1085661,3247087,3105124,5012749,8096360,4233476,1794077,975198,65630947
="Rocky Hill School District",16364666,490123,1301913,1542110,2152812,3256926,1118247,941626,37946,27206369
="Salem School District",4030752,287814,42248,134127,897428,760380,599619,336274,0,7088642
="Salisbury School District",3114444,99453,173119,184593,480943,594857,327244,0,2000,4976653
="Scotland School District",1171898,106444,14683,125618,287124,133383,166288,53288,2000,2060726
="Seymour School District",15204920,703495,627124,1858608,3715857,3033245,1152526,729053,432379,27457207
="Sharon School District",2239263,76170,128266,255522,468729,419968,244458,81675,29400,3943451
="Shelton School District",33647652,1152690,2610756,4507458,5486099,5936019,2738645,1284436,631978,57995733
="Sherman School District",3534979,83947,333959,37654,383161,387942,408150,341175,30755,5541722
="Side By Side Charter School District",1129396,35963,33701,266493,342737,224971,0,N/A,0,2033261
="Simsbury School District",32441930,1274486,2546156,3750329,4444437,5361173,2165179,1671315,656377,54311382
="Somers School District",10503388,311150,410136,869882,1584588,1598240,898629,641612,181908,16999533
="South Windsor School District",30691071,1496638,1789035,3539104,5201443,4715713,2934991,2546487,956581,53871063
="Southington School District",43264888,2207427,1249644,4930805,7375462,6838295,2885435,3433708,599212,72784876
="Sprague School District",2415114,155179,44667,217249,458206,348805,494696,654239,0,4788155
="Stafford School District",12788528,603602,359164,1391302,2441045,1997521,1606316,931658,54573,22173709
="Stamford Academy District",908794,53236,0,441121,352822,322914,13075,N/A,75374,2167336
="Stamford School District",127052181,5806921,10092895,12680697,25751273,19904833,10237227,5061716,0,216587743
="Sterling School District",3295936,237337,23718,167989,469468,369847,524207,308927,31845,5429274
="Stonington School District",15730626,355396,1672278,1880123,2525752,3227762,1739293,950801,387070,28469101
="Stratford School District",47644008,691785,2179431,6129591,6988053,8177821,4076293,4435837,1217194,81540013
="Suffield School District",15923774,340433,154023,1122348,2770462,2279211,906691,840755,141156,24478853
="The Bridge Academy District",842168,64898,13053,72252,232694,201340,24272,N/A,67556,1518233
="Thomaston School District",8145022,333644,26475,709320,1667312,1286213,833607,509796,179105,13690494
="Thompson School District",7610025,250741,240482,896937,2376704,1209645,929848,1032597,276252,14823231
="Tolland School District",17818712,766674,949966,2260947,2876916,2417364,1632377,1784687,343245,30850888
="Torrington School District",31063577,480122,1625630,3116718,5367047,5395600,2730258,3593872,559694,53932518
="Trailblazers Academy District",1074728,72930,0,355011,427523,278868,16119,N/A,99853,2325032
="Trumbull School District",43248941,1277800,3232198,5402765,8702167,7263418,3516839,1889273,979110,75512511
="Union School District",378605,20189,49280,58004,143035,61316,155242,1625,0,867296
="Vernon School District",27007020,889990,1383952,2867235,4079071,3874045,2044251,2738681,488157,45372402
="Voluntown School District",2077880,48498,24665,349687,516360,285529,428133,494853,40022,4265627
="Wallingford School District",43036059,940422,2491262,5021458,10677141,6096220,4586530,3692516,1187488,77729096
="Waterbury School District",113782896,4089964,21214204,10294848,15773001,18562063,9216418,6193492,7212198,206339084
="Waterford School District",20950684,1300546,640080,2494227,3569413,4473150,1855911,1612597,718815,37615423
="Watertown School District",18451281,240396,507827,1212114,3706066,3765675,1477453,646825,0,30007637
="West Hartford School District",64945491,1485960,6375497,6618859,11213598,12566068,4023618,2628548,1078977,110936616
="West Haven School District",44285524,959623,4543439,4746348,6672048,9395225,3718364,5721617,1117622,81159810
="Westbrook School District",6491300,414487,211353,953806,1292085,1270843,359610,144953,382045,11520482
="Weston School District",22135315,771429,1504402,2214099,3338328,5272535,1649295,1582690,966292,39434385
="Westport School District",44279205,1825942,4200483,5541715,8679723,10244914,3770515,2328998,1123918,81995413
="Wethersfield School District",24900726,956348,1005983,2723772,3717504,5012532,2216875,1442218,681250,42657208
="Willington School District",4328968,209075,307251,355863,870838,596139,323302,0,0,6991436
="Wilton School District",32529538,929029,2860084,4970763,5736116,5733492,2539811,1372247,0,56671080
="Winchester School District",7328855,112533,289403,1247680,1694829,959744,921591,983388,49618,13587641
="Windham School District",28636800,1043240,962062,2854969,3906513,3785924,2101112,1984310,536180,45811110
="Windsor Locks School District",13741686,472243,853713,1325601,1869481,3084797,993204,1190216,398659,23929600
="Windsor School District",30214946,873497,2197212,4201706,6875900,5039429,2552794,2663913,541669,55161066
="Wolcott School District",17841403,626280,488107,1154295,3028175,3181083,1505671,1080879,559887,29465780
="Woodbridge School District",6689178,362135,143162,128933,1443393,979403,497734,396653,12000,10652591
="Woodstock School District",5831172,183886,109660,506611,779598,766672,657204,429302,0,9264105

