"Overall Expenditures, 2008-09"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="Clinton School District",18904530,945372,845443,1922250,2142037,2969196,1487428,971459,298540,30486255
="Colchester School District",20541839,658138,812854,2697562,3681919,3364042,2361198,1443950,461744,36023246
="Colebrook School District",1083341,18662,48585,35453,241708,191623,119256,90827,11885,1841340
="Columbia School District",4234395,207467,162714,1619713,1018864,637956,797999,430086,36257,9145451
="Common Ground High School District",1129912,252140,6283,103236,263727,117368,6157,N/A,164672,2043495
="Cornwall School District",1429873,79447,157480,146537,359317,346524,208560,103081,450,2831269
="Coventry School District",13762744,423933,510835,2199054,2134518,2239776,1796283,1432194,932063,25431400
="Cromwell School District",16084089,633861,263029,1064599,3022272,2777932,1127941,756104,375735,26105562
="Danbury School District",79346246,3260218,4644833,7623942,10637428,9508497,6909305,2258810,847083,125036362
="Darien School District",44095436,1209329,2629616,2292666,6999516,8377219,3110011,1646948,1826493,72187234
="Deep River School District",2732623,60553,67366,592836,650333,539972,208208,127405,0,4979296
="Derby School District",9753406,209111,130071,1872632,2056668,1814694,809726,1614875,239417,18500600
="East Granby School District",7200921,495990,662933,658355,1569186,1430894,537381,373810,189987,13119457
="East Haddam School District",9877289,572280,369426,996912,2015334,2586446,1298452,1388399,7416,19111954
="East Hampton School District",15619146,483390,693459,1704563,2663747,3064668,1469904,879184,19434,26597495
="East Hartford School District",63727520,1582082,1280861,2905771,11290008,8609006,4385799,3739218,659603,98179868
="East Haven School District",24344822,539034,691499,4082422,6276084,5361627,2446735,5518290,1119432,50379945
="East Lyme School District",23997490,526143,1698252,1453520,4004370,4737622,1818782,2055000,732490,41023669
="East Windsor School District",11318196,468119,344258,634648,2432639,1880049,1391029,1630330,455199,20554467
="Eastford School District",1523839,98113,51946,222210,335066,290794,193901,100663,0,2816532
="Easton School District",10034067,188097,276785,205372,1655090,1501448,976528,289375,171022,15297784
="Ellington School District",18095609,531359,935395,1455611,2207873,3224611,1704275,1070818,407339,29632890
="Elm City College Preparatory School District",2916748,393355,153818,294650,1726951,314043,452487,N/A,329429,6581481
="Enfield School District",45533549,791268,1797500,5659720,8647967,7730872,3539177,2304634,1398748,77403435
="Essex School District",4124226,169779,104653,726339,938471,598388,271851,42080,0,6975787
="Explorations District",534456,7403,20290,40518,204243,162873,13209,N/A,5900,988892
="Fairfield School District",81036334,2340434,9131917,10834929,16697547,16131186,6736170,3704498,1983299,148596314
="Farmington School District",30942039,1267029,1600471,3813816,3822565,5446473,2729465,2204128,180006,52005992
="Franklin School District",1897263,34924,647,157051,374589,346601,205557,224237,7000,3247869
="Glastonbury School District",46612305,1575952,4307802,4776608,8913168,9574332,4745473,4496879,1161517,86164036
="Granby School District",15295384,1178491,889662,1706738,2712956,3055148,1096638,816788,607812,27359617
="Greenwich School District",101322345,3330649,3237862,10364138,14974063,17116598,4559994,3192628,0,158098277
="Griswold School District",13527111,895259,416066,941827,3555317,3150322,1446002,489609,503298,24924811
="Groton School District",40818158,2362843,3207705,6229499,7332408,8168701,3869608,2873231,2868,74865021
="Guilford School District",27610236,1006641,1096205,3197343,6118471,4957646,3208612,2589454,699220,50483828
="Hamden School District",56067390,1180243,508976,5560526,9209054,10426050,6408142,11644397,1237157,102241935
="Hampton School District",1308836,71936,70198,173558,317234,262699,143874,0,27383,2375718
="Hartford School District",179068770,9350191,8901844,26873705,44377885,39263902,30507662,30132916,0,368476875
="Hartland School District",1538603,71552,144604,404392,383906,291855,251252,147608,118120,3351892
="Hebron School District",7631594,261484,425096,860914,1094014,1260875,548210,32822,0,12115009
="Highville Charter School District",1417881,76970,53377,153262,557196,513759,18502,N/A,157969,2948916
="Integrated Day Charter School District",1843091,63739,162246,82635,511197,405235,1564,N/A,81269,3150976
="Interdistrict School for Arts and Comm District",1256448,41775,88934,57816,424350,191157,6579,N/A,0,2067059
="Jumoke Academy District",2118587,258235,124609,457677,873600,528407,200,N/A,312,4361627
="Kent School District",2570138,144653,105085,259351,451968,497460,305331,158236,31732,4523954
="Killingly School District",20365189,533813,1923724,1948608,4019643,3506521,2177115,2728595,0,37203208
="Lebanon School District",9367759,338075,398987,1161010,1761644,1884362,1229538,1175313,275208,17591896
="Ledyard School District",20217326,748911,966389,1950266,3818553,2848244,2243697,1621637,437277,34852300
="Lisbon School District",4201850,151632,41473,597334,798730,504618,541192,364584,0,7201413
="Litchfield School District",8708030,369962,1035046,1225480,1540261,1971076,883460,555809,356342,16645466
="Madison School District",24988546,1220767,1783732,3453274,3653915,5034541,2942306,2179800,1314775,46571656
="Manchester School District",57110157,1625889,3558659,6458310,10680057,11145074,3748878,5937028,1342882,101606934
="Mansfield School District",12923793,812115,591682,1300411,2668968,1962051,853841,324086,71478,21508425
="Marlborough School District",4880269,88001,206538,193915,794371,666669,341240,187917,0,7358920
="Meriden School District",62193319,1799592,1360497,8138829,11513154,10842065,4976103,14194624,715446,115733629
="Middletown School District",41626099,1290649,1822646,3419674,5377363,8960411,6065065,5152852,1332639,75047398
="Milford School District",66108249,3379946,2005037,3271498,9020751,11871025,3696192,2931165,886551,103170414
="Monroe School District",29874703,916834,2032332,3578267,4349597,5753137,2651808,1239187,490258,50886123
="Montville School District",21142802,1137464,829323,2117850,3199256,4393967,2274247,1037203,509527,36641639
="Naugatuck School District",40643546,849329,585587,4268973,6964148,7336014,3198966,1789297,646228,66282088
="New Beginnings Inc., Family Academy District",1969617,284735,50197,236685,721645,348071,9716,N/A,255952,3876618
="New Britain School District",82888689,2537932,3141227,4492375,11301130,11845337,10561844,9146756,508567,136423857
="New Canaan School District",39261480,664595,1267664,6280278,8196279,9268420,4069579,2064707,1089419,72162421
="New Fairfield School District",20775644,864395,982935,2549476,3386491,3446464,1302262,610595,492002,34410264
="New Hartford School District",4789624,129823,41792,266364,732705,1173591,565571,23335,11636,7734441
="New Haven School District",186455108,4809404,11168989,9420349,36768970,34232543,19208987,14073015,4503501,320640866
="New London School District",26066577,1073627,1747503,3121733,5385616,5434282,2689767,3331672,399636,49250413
="New Milford School District",34023549,925979,1185599,4089454,5800636,6201588,4556386,2251406,1002357,60036954
="Newington School District",31696922,2379980,1854891,3408701,5556209,7960450,2580723,2305409,776943,58520228
="Newtown School District",38030808,1600693,1815347,4250416,6292262,9271385,5119160,2063562,856538,69300171
="Norfolk School District",1316175,38349,105896,50876,416431,351732,179373,62550,15641,2537023
="North Branford School District",14246509,582366,1610005,2313464,2909478,3459010,2040350,1055355,593252,28809789
="North Canaan School District",3285150,154633,12998,276503,673910,585165,324369,21502,1295,5335525
="North Haven School District",23728735,477044,1173506,4165344,5410487,4156163,3023657,2070029,459197,44664162
="North Stonington School District",7370698,384305,148822,583921,1510877,1045651,791955,242933,21501,12100663
="Norwalk School District",99983188,1909264,2064425,14977499,21747582,15290507,5895113,5540938,1448875,168857391
="Norwich School District",31333604,710061,388244,5076063,3820174,5576600,5033221,5449784,0,57387751
="Odyssey Community School District",979688,98057,196227,32210,238274,234945,0,N/A,0,1779401
="Old Saybrook School District",11542477,232042,1193857,1239385,2044929,2550932,865812,671404,423044,20763882
="Orange School District",11136311,326674,450830,1424816,1796690,1467326,978901,640766,95032,18317346
="Oxford School District",13193168,406073,343510,1242206,3319988,2856925,1436020,524804,452644,23775338
="Park City Prep Charter School District",849030,71978,5395,233909,538746,337859,0,N/A,0,2036917
="Plainfield School District",18534702,579567,917715,2413104,3594811,3328937,2324780,1845521,289968,33829105
="Plainville School District",19958935,576614,1133941,1616618,3485617,3704344,1783352,2053882,0,34313303
="Plymouth School District",12354882,616664,412811,1105709,1921460,2949951,2304138,1617486,304518,23587619
="Pomfret School District",4099359,156178,153878,120130,562731,588747,620847,629947,6199,6938016
="Portland School District",10129855,454852,610116,1162008,2060246,2289802,862704,569978,283778,18423339
="Preston School District",4481027,354313,83146,412150,600854,715101,903957,922468,51127,8524143
="Putnam School District",9304467,486951,302269,1894315,2283565,1753572,708892,892949,284667,17911647
="Redding School District",13674273,333508,382004,222539,1775975,2095587,1332126,584340,161797,20562149
="Regional School District 01",5209444,220758,439417,785891,1006581,1398845,195684,800793,319778,10377191
="Regional School District 04",7425844,320300,333574,789257,2648898,1810698,630560,849253,50928,14859312
="Regional School District 05",19123568,621129,1200864,1757955,5240139,3613205,2215512,1714081,857366,36343819
="Regional School District 06",8608806,446334,673524,1088119,1814870,2232544,798653,177079,237895,16077824
="Regional School District 07",9154526,514358,232839,798062,1589976,1787687,1384721,786788,410940,16659897
="Regional School District 08",12689049,218782,868698,1022698,1910509,1986069,1372181,1179075,357396,21604457
="Regional School District 09",11198023,388207,418467,161534,1582586,2076366,931681,1267845,120000,18144709
="Regional School District 10",18217622,676388,2224913,1939077,2821254,3587516,2643981,1232662,0,33343413
="Regional School District 11",2759067,150721,105434,297484,900938,627327,382662,965218,210549,6399400
="Regional School District 12",10660286,595573,862554,1474146,1872611,2438560,1274338,437662,399500,20015230
="Regional School District 13",15395802,459925,1096206,3518198,2931544,3637345,1887542,1218011,505911,30650484
="Regional School District 14",14875037,564526,1258948,2406878,2581616,3460214,1607584,2075073,615608,29445484
="Regional School District 15",32292640,916727,1383970,5111369,5270283,6525385,3549569,1478043,1184036,57712022
="Regional School District 16",16568053,754666,2110829,2173424,3497597,3665661,2154341,1122816,507629,32555016
="Regional School District 17",18578779,954455,580136,1919450,3771925,4769342,1835537,717492,577312,33704428
="Regional School District 18",12625799,515178,1482319,2015554,2758673,4097878,1486074,1334308,511161,26826944
="Regional School District 19",10229407,415349,295532,1108365,2069777,1533249,1203202,970824,816387,18642092
="Ridgefield School District",44199394,1010007,3114526,3831022,5808759,9051584,5381360,3271202,1521954,77189808
="Rocky Hill School District",18778749,600877,1628619,1996020,2730140,3576559,1216328,1167709,0,31695001
="Salem School District",4460554,213714,9795,137797,1110846,755940,722972,484296,0,7895914
="Salisbury School District",3451139,90562,159202,254467,537190,942177,355356,21696,1118,5812907
="Scotland School District",1625514,127660,38246,150069,249198,231100,158063,0,22990,2602840
="Seymour School District",16026010,812756,794200,1970555,4109383,3647267,1446761,804312,381500,29992744
="Sharon School District",2344006,89262,155095,304359,593781,491439,279705,1302,10772,4269721
="Shelton School District",37502793,1794078,2697286,5218246,6543730,7889147,3603478,1767693,688445,67704896
="Sherman School District",4021759,149907,309533,48760,698607,556362,441459,232829,36605,6495821
="Side By Side Charter School District",1391362,97926,27545,256247,418508,367163,0,N/A,0,2558751
="Simsbury School District",36001193,1446283,3732398,3995821,5359762,6439137,2771251,1891179,642218,62279242
="Somers School District",12072005,296707,397497,1152021,1859800,1982764,1142779,955997,229944,20089514
="South Windsor School District",35511709,1297856,1699267,4128453,6150164,5306476,3623216,3287021,1268095,62272257
="Southington School District",50703710,1009105,955551,5613490,8464137,7275719,3161281,3489324,689287,81361604
="Sprague School District",2424684,191280,39477,179829,748276,695016,429335,335760,24658,5068315
="Stafford School District",14475597,432609,477771,1914172,2631199,2555615,2050764,1587945,53834,26179506
="Stamford Academy District",1289562,17040,0,485655,746895,192644,42559,N/A,58104,2832459
="Stamford School District",138666021,4052665,15617896,15736154,27216066,22285153,11207302,9501062,0,244282319
="Sterling School District",3892887,147313,105422,159626,509604,551913,541413,483002,19785,6410965
="Stonington School District",17564043,308402,1736496,1949010,2720084,3528396,2070484,1539649,456975,31873539
="Stratford School District",52036380,1558057,2834527,8070788,8414035,9787672,4135834,5388400,1648063,93873756
="Suffield School District",18328505,734004,235667,1855468,3837771,3213949,1371503,1190116,103201,30870184
="The Bridge Academy District",1995653,118822,8980,210519,231747,143541,14597,N/A,87211,2811070
="Thomaston School District",8563321,300730,20713,688301,1769380,1624821,1062790,844297,261384,15135737
="Thompson School District",8337852,404915,218817,1031325,2410824,1876377,983016,1510793,254369,17028288
="Tolland School District",20895364,658438,1309383,1351800,3156129,3705278,2236251,2026692,22506,35361841
="Torrington School District",38175074,478533,1203708,3515162,5352699,5784481,3831377,6111663,582249,65034946
="Trailblazers Academy District",1705198,9800,0,556641,795701,81416,30198,N/A,109668,3288622
="Trumbull School District",47140106,1415835,3909292,6668270,9764308,9083197,4597037,3331083,715375,86624503
="Union School District",662992,41411,17436,51502,126289,56721,187203,40061,0,1183615
="Vernon School District",27688823,1109361,1551247,3252589,3726569,5418433,2508444,2403240,530062,48188768
="Voluntown School District",2532214,138083,76101,477847,568029,409415,435448,454431,45969,5137537
="Wallingford School District",47583730,939344,2987611,5670895,11562238,8850889,5180041,5044756,1416605,89236109
="Waterbury School District",126726951,5847195,22696060,11791051,23211475,21910881,11035297,6977446,7695517,237891873
="Waterford School District",23429036,1579316,482548,2653384,3677973,4412186,2388282,2374868,810078,41807671
="Watertown School District",20573690,633034,588231,1494511,4654356,4573608,1738317,1299636,40283,35595666
="West Hartford School District",71603172,2367779,6490095,8338901,14901194,13821562,5454377,4231121,1189802,128398003
="West Haven School District",46758104,1463314,2928314,4691867,6037222,14254354,3974260,5701658,1096159,86905252
="Westbrook School District",7670827,376864,189458,1125953,1529704,1625995,426838,169268,440575,13555482
="Weston School District",24471274,604310,3903000,2547594,3615240,6096292,1969053,1345713,950505,45502981
="Westport School District",52498385,3033354,4708665,7311854,9239911,12855572,4368826,2636228,1355981,98008776
="Wethersfield School District",30103196,794810,885578,2675350,4038489,5268598,3104125,2611804,1702864,51184814
="Willington School District",4828637,206416,192401,393489,914069,672629,471568,96854,0,7776063
="Wilton School District",39922908,796640,3207129,6334792,7108575,7176335,3161370,2309564,0,70017313
="Winchester School District",7413393,119534,209597,975018,1659857,1240785,1050847,1433536,41130,14143697
="Windham School District",30501631,917652,1231808,3203278,4242052,4360071,2586480,2529642,494506,50067120
="Windsor Locks School District",15928921,500632,1213371,1752468,2594078,3689894,1063824,1200548,475015,28418751
="Windsor School District",32540561,1008847,2313659,4771284,7186773,6026608,3440793,4220418,613316,62122259
="Wolcott School District",20011988,818543,641965,1152261,3259034,4240545,1788063,648041,802185,33362625
="Woodbridge School District",7768646,466139,80424,152904,1641909,1093722,509578,202681,23000,11939003
="Woodstock School District",6501723,325378,164565,662074,821822,1016029,886998,364346,19208,10762143

