"Overall Expenditures, 2009-10"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="Charter School for Young Children on Asylum Hill District",1444168,185021,13846,79658,454441,410873,0,N/A,63087,2651094
="Cheshire School District",35526460,1045778,2188982,3906677,5732720,5657276,3693002,1833034,909414,60493343
="Chester School District",2511565,58665,34851,607513,600934,352771,159382,18204,0,4343885
="Clinton School District",19347573,730800,943121,2014718,2489898,1815432,1514967,1100217,226109,30182835
="Colchester School District",22052624,605503,562261,2501272,3294741,3039689,2524584,1973313,431644,36985631
="Colebrook School District",1110638,9413,34643,36540,240206,162451,114034,130911,11603,1850439
="Columbia School District",4227669,45687,164165,1699939,918740,559281,722889,446031,62257,8846658
="Common Ground High School District",1012062,60301,25949,160484,401979,141614,8521,N/A,180257,1991167
="Cornwall School District",1507272,70665,160747,152558,338755,304168,272494,90444,0,2897103
="Coventry School District",14969065,440241,347739,1476770,2090699,2130703,1721028,1779560,745798,25701603
="Cromwell School District",16072003,646386,331665,1147992,3281489,2407582,1260143,711131,425990,26284381
="Danbury School District",81264841,3918511,3994509,6703668,10663747,9037576,6651045,2262057,885554,125381508
="Darien School District",46835488,1209118,2636211,2370544,7687711,6946391,2895301,1275498,1841531,73697793
="Deep River School District",2922952,72796,49105,496430,647261,450151,284053,358128,0,5280876
="Derby School District",10144162,295957,75491,1340730,2475765,1907318,935681,1769816,212754,19157674
="East Granby School District",7746964,594852,720631,721777,1538144,1453441,555200,408241,200219,13939469
="East Haddam School District",10455572,337746,370460,1037495,1982838,2290941,1289276,1371368,17498,19153194
="East Hampton School District",16090437,454916,737514,1692176,2784233,2586393,1448284,925505,23931,26743389
="East Hartford School District",62737440,1713313,1987147,2919982,10403367,8967803,4695036,3850110,682258,97956456
="East Haven School District",25978629,546328,206467,4309661,6452482,5153940,2490462,5214977,937539,51290485
="East Lyme School District",24612862,362722,1684220,1431857,3727877,4855152,1733044,2275252,735820,41418806
="East Windsor School District",11599556,614627,317354,687424,2451262,1605787,1344892,1370851,87600,20079353
="Eastford School District",1611892,51360,81053,413883,331336,186143,188729,73492,0,2937888
="Easton School District",10153582,264196,343907,180811,1638498,1490720,1000431,175247,12998,15260390
="Ellington School District",18137931,657519,843732,1929614,2184180,2953845,1603497,940498,361989,29612805
="Elm City College Preparatory School District",3145592,282679,180009,317224,1865751,396020,0,N/A,374777,6562052
="Enfield School District",45919798,1214886,1216970,5449983,6859759,7890768,3040179,2804434,1229372,75626149
="Essex School District",4489417,133107,90363,720061,925314,581200,309236,56095,15567,7320360
="Explorations District",556751,15343,14385,45384,216273,160398,14958,N/A,6225,1029717
="Fairfield School District",83267174,2367633,9301796,10841129,16427100,14911886,7445457,4626719,2015996,151204890
="Farmington School District",32914246,1006271,1671022,3688521,4246215,5674725,2729131,1921695,383461,54235287
="Franklin School District",2091410,16853,1620,148837,358316,321988,192355,238841,5000,3375220
="Glastonbury School District",49340604,1904077,4467315,4798240,8915037,9465780,4679327,4293402,1058135,88921917
="Granby School District",16123752,1225721,894696,1652501,2815590,2931480,1155783,922976,583551,28306050
="Greenwich School District",102868223,3333418,2298037,10344394,14558572,16748197,4594622,3635235,0,158380698
="Griswold School District",16832545,240922,392450,986057,3137405,2587851,1484457,613495,358013,26633195
="Groton School District",42727045,1986603,2792547,6270263,7527302,8227716,4055785,3057136,0,76644397
="Guilford School District",29325986,1313236,1547773,3178009,5165522,4420357,3158978,2489321,706304,51305486
="Hamden School District",60410934,1486951,1210032,6797753,8020762,9505280,6489463,11812604,750734,106484513
="Hampton School District",1345423,70604,74164,182994,314194,237145,148801,0,18123,2391448
="Hartford School District",187001452,19734630,5828265,25244642,49239763,39158914,27248740,32642581,232765,386331752
="Hartland School District",1504140,66746,189608,369416,389469,256096,287220,132443,120548,3315686
="Hebron School District",7845690,272107,437372,911081,1117398,1238934,627002,67787,0,12517371
="Highville Charter School District",1505834,141908,38721,202544,561366,565263,31909,N/A,164366,3211911
="Integrated Day Charter School District",1896167,66680,148824,90326,495886,389878,839,N/A,110884,3199484
="Interdistrict School for Arts and Comm District",1358746,42957,74485,78508,380177,189059,4871,N/A,0,2128803
="Jumoke Academy District",2303945,90574,126039,385621,792621,575904,0,N/A,27,4274731
="Kent School District",2830378,130033,110452,297867,488214,471719,333643,191462,8500,4862268
="Killingly School District",20780407,710674,1849599,2063936,4041860,3223087,2287208,3386962,0,38343733
="Lebanon School District",9886104,225938,290196,1391031,1907320,1823197,1224024,925254,203762,17876826
="Ledyard School District",20280165,838316,1048695,1964768,3889065,2838924,2275922,1712928,386957,35235740
="Lisbon School District",4545212,159447,26514,615768,677485,507333,575024,465567,0,7572350
="Litchfield School District",8818870,212144,996065,1380384,1611411,1724856,955291,701255,400906,16801182
="Madison School District",26628326,1253984,1934255,3942565,3740380,5441789,3029491,1575144,1257048,48802982
="Manchester School District",59798379,1835554,3499123,6917378,10209588,11055194,3712390,5468452,1216547,103712605
="Mansfield School District",13286556,497179,627722,1022790,2709354,2006260,841178,258726,70365,21320130
="Marlborough School District",4888062,189689,188871,270099,703904,607597,333354,5553,0,7187129
="Meriden School District",63754400,2083604,1553616,8363926,10285972,10471614,5102837,14269810,884374,116770153
="Middletown School District",43582154,677461,1694417,3716888,5021321,7783309,6542476,4949462,890552,74858040
="Milford School District",69310113,2835192,1984691,3230575,8968205,11339152,3540328,2956108,911084,105075448
="Monroe School District",32190310,598198,1818933,3795953,4925081,5708532,2312511,1095896,424365,52869779
="Montville School District",21687299,1241948,758681,2255084,3377238,4479048,2319220,902162,522272,37542952
="Naugatuck School District",39982919,1016402,751126,4270833,6931694,5551467,2896552,1429755,737048,63567796
="New Beginnings Inc., Family Academy District",2057316,232604,91317,193012,723916,469987,25212,N/A,292003,4085367
="New Britain School District",82380490,3937684,3772278,5296983,11046085,12117813,11081926,10183560,165276,139982095
="New Canaan School District",40121000,731054,1392386,6902988,8492021,8464823,4192746,2244153,1170184,73711355
="New Fairfield School District",21526657,845035,984470,2756138,4004657,3479906,1407143,807011,506687,36317704
="New Hartford School District",5401931,109599,34081,298209,751363,888823,603338,114506,3052,8204902
="New Haven School District",197387682,7256692,7345184,9343327,40192277,33199024,18697078,14505726,3829355,331756345
="New London School District",25874749,1208530,1812420,3042822,5435864,5501358,2855848,3293413,449644,49474648
="New Milford School District",34550870,1223898,1121668,3689719,5566789,5643210,4033247,2224539,1138066,59192006
="Newington School District",36178039,1570507,1823312,3457025,5961212,7405970,2706162,2695129,755723,62553079
="Newtown School District",38618676,1728536,1808123,4600016,6679321,8857212,4792880,2370197,884764,70339725
="Norfolk School District",1349130,39995,138241,53955,428832,358079,163924,6479,2128,2540763
="North Branford School District",15024027,666191,1582216,2367295,3122100,3557787,1898052,992523,651772,29861963
="North Canaan School District",3324397,108269,19497,286840,645741,497547,335462,51188,0,5268941
="North Haven School District",24186072,484326,1128195,4294452,6540489,4018257,2583635,2333219,477293,46045938
="North Stonington School District",7450223,328751,167195,660217,1480723,1169564,804964,400254,0,12461891
="Norwalk School District",110957897,1375965,1700325,8629182,22753177,14519064,5866521,6104434,1784953,173691518
="Norwich School District",31643940,633956,449265,5136280,4723863,4517975,5053925,5491315,0,57650519
="Odyssey Community School District",1076147,41052,199847,33605,229576,234938,0,N/A,0,1815165
="Old Saybrook School District",12336851,268462,1084491,1237154,2093214,2400484,848105,954743,426278,21649782
="Orange School District",11593705,324655,775900,1281238,1713300,1388167,912544,472250,27725,18489484
="Oxford School District",15027027,611814,14215,1900321,3193469,2486311,1348105,1127456,455963,26164681
="Park City Prep Charter School District",985843,284158,48319,198837,620843,457392,0,N/A,0,2595392
="Plainfield School District",20802778,449812,542376,2574291,3611229,3654850,2575862,2114916,276710,36602824
="Plainville School District",20744187,732451,1086218,1578777,3325329,3611899,1595311,2234199,0,34908371
="Plymouth School District",13016549,677593,415693,1082558,1993824,2854249,2171984,1557775,378195,24148420
="Pomfret School District",4662014,194458,117732,114654,583683,662848,659608,760670,0,7755667
="Portland School District",10657237,227684,483387,1038072,1965181,2331230,797037,478221,255452,18233501
="Preston School District",4405853,254696,137149,384379,780468,725542,1003992,1195530,265,8887874
="Putnam School District",10441214,233455,310111,1580287,1780431,2284265,765294,1027184,252401,18674642
="Redding School District",14594016,311565,429327,212645,1769942,1780000,1324686,173424,18069,20613674
="Regional School District 01",5489700,198509,356490,881271,1012897,1157855,224507,575990,325160,10222379
="Regional School District 04",7759887,168006,328885,844504,2571071,1720776,589205,787128,80751,14850213
="Regional School District 05",19088031,521145,1207593,2024894,5205485,3316574,2194245,1811272,849874,36219113
="Regional School District 06",8878417,580110,621400,1017337,1843463,1839399,867395,411480,276567,16335568
="Regional School District 07",9238358,523789,226141,769460,1675937,1754454,1399329,677631,422571,16687670
="Regional School District 08",12737491,219334,886285,1102801,1918868,2059705,1451748,1379299,333270,22088801
="Regional School District 09",11749781,368914,455574,130400,1469818,1873274,890563,1816109,12159,18766592
="Regional School District 10",18903229,672761,1896581,2220322,2898837,3151670,2505663,1529618,0,33778681
="Regional School District 11",2863740,157584,109120,282306,857430,623065,405646,999356,223697,6521944
="Regional School District 12",10901897,598529,832436,1571403,2061504,2033539,1385330,535444,398758,20318840
="Regional School District 13",16185983,432525,931719,3735118,3327652,3346514,1710887,995300,582473,31248171
="Regional School District 14",15224190,621330,1484552,2666856,2558554,3426840,1623415,1987461,710496,30303694
="Regional School District 15",34071698,1025182,1868845,5096718,5307037,6087922,3526854,1606594,1192294,59783144
="Regional School District 16",18983321,517025,1991088,2350572,3558340,3171820,1888779,1068238,453589,33982772
="Regional School District 17",19728004,544083,599649,1793312,3708638,4492323,2180828,975979,577531,34600347
="Regional School District 18",12663678,452747,1472884,1937064,2759295,3761426,1325986,1219588,583191,26175859
="Regional School District 19",10586535,405731,272084,1091137,2126978,1458191,1383327,951585,679123,18954691
="Ridgefield School District",46985643,927269,4167669,3867043,6196997,8481139,4708724,2937246,1317312,79589042
="Rocky Hill School District",19688076,760007,1909368,1934221,2694212,3813443,1355691,1264783,0,33419801
="Salem School District",4707415,348124,49407,134976,1087039,745814,698417,437850,0,8209042
="Salisbury School District",3669338,88699,152852,281354,508197,640899,431203,80000,0,5852542
="Scotland School District",1632321,63907,44116,168921,250415,202007,150594,0,28417,2540698
="Seymour School District",16504677,790569,767070,1966786,4095763,3678956,1411462,817269,395161,30427713
="Sharon School District",2511089,82355,98876,311481,527793,488724,282146,11125,7500,4321089
="Shelton School District",38294207,1616611,2824294,5641075,5934442,6701678,3288843,2275168,713471,67289789
="Sherman School District",4310212,42151,248798,49353,590640,495929,429522,253076,37700,6457381
="Side By Side Charter School District",1468992,23784,20875,287501,412345,245580,0,N/A,0,2459077
="Simsbury School District",37500466,1446433,3736213,4416357,5216943,7259634,2772484,2186748,667427,65202705
="Somers School District",11949740,359540,431375,1230010,1845010,1812902,1063784,995654,267003,19955018
="South Windsor School District",36073842,1630062,1708013,4348312,6097937,5655328,3312670,3309774,1204924,63340862
="Southington School District",52859846,1709478,971454,5851903,8632847,7040617,3448350,3842595,703585,85060675
="Sprague School District",2875527,114225,52591,207259,700512,486763,451372,286006,41026,5215281
="Stafford School District",14970955,385315,419200,1921702,2773916,2375123,2017415,1606911,82799,26553336
="Stamford Academy District",1013803,5562,0,330584,1106729,82518,60019,N/A,69016,2668231
="Stamford School District",144358099,4033463,14231294,16390120,26461893,21699769,11388090,10187242,0,248749970
="Sterling School District",3740696,160692,317342,167859,525389,480121,552050,448175,18600,6410924
="Stonington School District",18621255,392030,1350058,2130948,2763447,3907741,1964431,1622323,444160,33196393
="Stratford School District",54963755,1405740,3190042,8807272,8059011,8716517,4144039,5726830,1536257,96549463
="Suffield School District",19255908,765664,220648,1902182,3936288,2234300,1277089,1793947,172049,31558075
="The Bridge Academy District",1901107,89601,12011,207096,223956,148293,28009,N/A,92880,2702953
="Thomaston School District",8679949,279576,15743,643141,1751788,1532240,1075237,994715,290227,15262616
="Thompson School District",8488742,143019,219842,1198933,2170676,1851773,997269,1642302,263624,16976180
="Tolland School District",21700396,518573,1482577,1463628,3215324,3391663,1811040,2059250,105454,35747905
="Torrington School District",39064691,912170,1225330,3185972,5321731,5884737,4126786,6461801,459250,66642468
="Trailblazers Academy District",1385791,10100,0,322198,1836817,377409,28983,N/A,109316,4070614
="Trumbull School District",49964439,2063385,3552246,6558628,10464370,9450635,4661315,3205096,835677,90755791
="Union School District",690525,85577,4071,52796,169827,65261,189941,40570,0,1298568
="Vernon School District",27648164,1750630,1697226,3072938,3817291,4860868,2353647,2653622,549980,48404366
="Voluntown School District",2556822,177970,88609,424775,566546,436355,421424,382110,56300,5110911
="Wallingford School District",50888580,333853,2417700,5628410,11293699,8561355,5498756,5076044,1326038,91024435
="Waterbury School District",136104112,5791820,34219011,12249410,22618078,21388657,11036677,6577700,7763685,257749150
="Waterford School District",24667400,984680,481317,2789200,4075563,4109816,2422419,2502786,775532,42808713
="Watertown School District",23507304,847773,473230,1445060,4563027,4083684,1778489,1103857,0,37802424
="West Hartford School District",75278088,2033243,6149396,8699984,15056651,13087990,5646710,5047608,1187819,132187489
="West Haven School District",50265475,1375414,2689695,4779071,6752810,15543705,4621671,6984851,1626271,94638963
="Westbrook School District",8360825,499886,252953,737797,1474449,1636680,481196,228198,385377,14057361
="Weston School District",25281848,552279,3606392,2582793,3563385,5788194,1655921,1637294,1083629,45751735
="Westport School District",55189566,2697854,4406110,7390532,9579092,12291230,4060049,3050751,1361246,100026430
="Wethersfield School District",30862891,1021663,1237757,2998618,4513643,6025813,2300600,3091323,672578,52724886
="Willington School District",4936794,146270,240234,414800,1019767,602847,489261,206495,0,8056468
="Wilton School District",42122691,831063,3200425,6522556,7218763,6213352,3341342,1970594,0,71420786
="Winchester School District",7972136,79353,265662,900460,1866492,1139812,1059077,1895112,4111,15182215
="Windham School District",32008409,827797,1084652,3497547,2802026,4352464,2698819,2686488,548747,50506949
="Windsor Locks School District",17348724,471361,1045918,1457921,2885994,3314268,1157937,1382598,472181,29536902
="Windsor School District",33500937,1019683,2430293,5105982,7169967,5792907,3280462,4801312,574949,63676492
="Wolcott School District",21084677,566842,401515,1255617,3317371,3648897,1777189,833919,731965,33617992
="Woodbridge School District",8136511,478941,67566,154380,1641063,692633,531759,226848,7000,11936701
="Woodstock School District",6784444,248256,172253,709574,820492,831448,777761,436950,5407,10786585

