"Primary Disability (K-12), Trend"
"All Districts, Emotional Disturbance"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"North Canaan School District","=""1000011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""",41,1.1,12.0,43,1.2,12.2,45,1.3,12.1,49,1.5,12.7,43,1.3,12.0
"North Stonington School District","=""1020011""",0,0,0,"*","*","*",0,0,0,"*","*","*","*","*","*"
"Norwalk School District","=""1030011""",39,0.3,3.6,42,0.4,3.5,56,0.5,4.6,58,0.5,4.4,81,0.7,5.7
"Norwich School District","=""1040011""",127,2.3,14.7,123,2.2,13.8,113,2.1,12.9,112,2.0,12.2,104,1.9,11.9
"Old Saybrook School District","=""1060011""","*","*","*","*","*","*","*","*","*",11,0.8,5.5,15,1.1,8.5
"Orange School District","=""1070011""",0,0,0,0,0,0,0,0,0,"*","*","*","*","*","*"
"Oxford School District","=""1080011""","*","*","*",6,0.3,3.9,15,0.7,7.2,15,0.7,6.5,17,0.8,6.9
"Plainfield School District","=""1090011""",36,1.5,12.0,42,1.8,14.3,42,1.8,15.2,38,1.7,12.3,38,1.7,12.6
"Plainville School District","=""1100011""",27,1.1,8.8,"*","*","*","*","*","*","*","*","*",29,1.2,9.5
"Plymouth School District","=""1110011""",34,1.9,14.2,29,1.7,11.7,29,1.7,12.4,27,1.6,11.5,26,1.6,11.0
"Pomfret School District","=""1120011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""",8,0.6,7.1,12,0.8,9.7,"*","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""",11,0.9,6.5,14,1.2,8.0,19,1.6,9.9,17,1.5,9.4,19,1.7,10.0
"Redding School District","=""1170011""","*","*","*",6,0.6,4.5,"*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""",7,1.5,10.8,"*","*","*",6,1.4,9.8,8,2.0,11.8,8,1.9,11.4
"Regional School District 04","=""2040012""","*","*","*",6,0.6,4.3,10,1.0,6.9,13,1.3,9.8,16,1.7,11.2
"Regional School District 05","=""2050012""",9,0.4,3.2,11,0.5,4.0,19,0.8,7.1,20,0.9,7.4,27,1.2,9.7
"Regional School District 06","=""2060012""",9,1.0,7.7,"*","*","*",9,1.1,8.1,9,1.1,8.3,9,1.1,7.6
"Regional School District 07","=""2070012""",17,1.6,12.7,11,1.0,9.7,16,1.5,13.2,15,1.5,12.9,15,1.5,12.5
"Regional School District 08","=""2080012""",27,1.4,11.3,22,1.2,9.7,20,1.1,9.1,24,1.4,10.9,21,1.2,10.4
"Regional School District 09","=""2090012""",10,1.0,8.0,8,0.8,6.5,8,0.7,6.4,10,0.9,8.3,11,1.0,8.5
"Regional School District 10","=""2100012""",25,0.9,9.5,18,0.7,6.9,17,0.7,6.7,19,0.8,7.5,13,0.5,5.3
"Regional School District 11","=""2110012""",11,3.3,15.7,11,3.3,15.9,9,2.8,14.3,9,2.9,12.7,8,2.8,13.1
"Regional School District 12","=""2120012""","*","*","*",7,0.9,5.6,12,1.6,9.5,12,1.7,10.4,6,0.9,5.4
"Regional School District 13","=""2130012""",13,0.7,4.7,15,0.8,5.4,13,0.7,4.8,"*","*","*","*","*","*"
"Regional School District 14","=""2140012""",7,0.4,3.4,7,0.4,3.5,10,0.6,5.4,14,0.9,8.0,11,0.7,6.7
"Regional School District 15","=""2150012""",13,0.3,2.6,"*","*","*","*","*","*","*","*","*",20,0.5,4.0
"Regional School District 16","=""2160012""",8,0.3,3.2,15,0.6,5.6,11,0.5,3.8,7,0.3,2.2,7,0.3,2.2
"Regional School District 17","=""2170012""",29,1.2,9.3,28,1.2,9.0,29,1.3,9.1,"*","*","*",24,1.1,6.9
"Regional School District 18","=""2180012""",13,0.9,8.5,15,1.1,9.5,11,0.8,6.8,14,1.1,8.5,15,1.1,9.5
"Regional School District 19","=""2190012""",24,2.1,13.6,21,1.9,12.1,21,2.0,12.6,24,2.4,14.5,25,2.6,14.5
"Ridgefield School District","=""1180011""",42,0.8,10.0,45,0.9,10.1,49,0.9,10.9,52,1.0,11.1,56,1.1,12.4
"Rocky Hill School District","=""1190011""","*","*","*","*","*","*",11,0.4,4.9,15,0.6,6.2,16,0.6,6.1
"Salem School District","=""1210011""","*","*","*",6,0.9,9.7,"*","*","*",7,1.1,9.1,7,1.1,7.4
"Salisbury School District","=""1220011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""",14,0.6,5.9,13,0.5,5.3,13,0.5,5.1,20,0.9,7.5,18,0.8,6.7
"Sharon School District","=""1250011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""",34,0.6,6.3,33,0.6,5.8,28,0.6,4.6,29,0.6,4.7,35,0.7,5.4
"Sherman School District","=""1270011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Simsbury School District","=""1280011""",25,0.5,4.5,21,0.5,3.9,25,0.6,4.7,27,0.6,4.8,25,0.6,4.6
"Somers School District","=""1290011""",11,0.7,6.7,"*","*","*",18,1.2,10.5,"*","*","*",13,0.9,8.0
"South Windsor School District","=""1320011""",12,0.3,2.3,17,0.4,3.2,17,0.4,3.1,13,0.3,2.4,22,0.5,4.2
"Southington School District","=""1310011""",68,1.0,9.4,64,1.0,8.3,50,0.7,6.4,44,0.7,5.5,49,0.7,6.3
"Sprague School District","=""1330011""",6,1.3,14.6,"*","*","*",6,1.4,13.3,11,2.5,18.3,11,2.4,16.4
"Stafford School District","=""1340011""",23,1.3,13.7,24,1.5,13.1,22,1.4,12.1,23,1.5,12.4,23,1.5,12.1
"Stamford School District","=""1350011""",41,0.3,2.8,38,0.2,2.5,37,0.2,2.2,45,0.3,2.6,46,0.3,2.5
"Sterling School District","=""1360011""",7,1.2,10.1,11,1.8,12.1,11,1.8,12.4,10,1.7,12.8,12,2.1,15.4
"Stonington School District","=""1370011""",25,1.0,8.2,25,1.0,8.2,21,0.9,6.8,16,0.7,4.8,13,0.6,3.9
"Stratford School District","=""1380011""",42,0.6,6.0,42,0.6,5.8,44,0.6,5.8,49,0.7,6.3,61,0.9,7.3
"Suffield School District","=""1390011""",8,0.3,3.2,7,0.3,2.8,7,0.3,2.9,"*","*","*",7,0.3,2.8
"Thomaston School District","=""1400011""",11,0.9,8.0,6,0.5,4.2,7,0.7,5.0,6,0.6,4.4,"*","*","*"
"Thompson School District","=""1410011""",11,0.9,8.3,12,1.0,9.3,10,0.9,8.5,11,1.1,9.0,12,1.2,9.7
"Tolland School District","=""1420011""",25,0.8,8.0,20,0.7,6.3,16,0.6,5.4,18,0.7,5.8,13,0.5,4.2
"Torrington School District","=""1430011""",70,1.5,9.1,63,1.4,8.6,61,1.4,8.3,60,1.3,7.9,57,1.3,7.0
"Trumbull School District","=""1440011""",44,0.7,7.8,38,0.6,6.3,28,0.4,4.7,40,0.6,6.3,45,0.7,6.6
"Unified School District #1","=""3360015""",127,17.1,42.9,99,15.4,40.6,86,16.0,36.9,59,14.4,33.7,62,15.9,37.1
"Unified School District #2","=""3470015""",129,49.0,64.8,106,46.7,60.6,94,41.2,60.6,93,43.3,62.0,84,48.6,62.2
"Union School District","=""1450011""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""",48,1.3,11.3,55,1.5,12.3,71,2.0,15.1,56,1.6,11.2,57,1.7,11.2
"Voluntown School District","=""1470011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""",47,0.7,5.9,48,0.8,6.3,40,0.7,5.6,42,0.7,6.1,39,0.7,5.6
"Waterbury School District","=""1510011""",222,1.3,7.9,236,1.4,8.0,243,1.4,7.9,257,1.4,7.9,266,1.5,8.0
"Waterford School District","=""1520011""",38,1.3,11.2,30,1.1,8.5,33,1.2,8.9,33,1.2,8.4,40,1.5,10.3
"Watertown School District","=""1530011""",25,0.8,7.5,21,0.7,6.1,23,0.8,6.6,25,0.9,7.3,30,1.1,8.5
"West Hartford School District","=""1550011""",55,0.5,5.1,57,0.6,5.2,60,0.6,5.3,70,0.7,6.0,70,0.7,6.0
"West Haven School District","=""1560011""",59,0.8,7.1,57,0.8,6.6,67,1.0,7.4,61,0.9,6.3,63,0.9,6.2
"Westbrook School District","=""1540011""","*","*","*",9,1.1,10.3,14,1.7,16.9,12,1.5,13.3,11,1.5,11.7
"Weston School District","=""1570011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Westport School District","=""1580011""",31,0.5,5.5,32,0.6,5.5,30,0.5,5.4,54,0.9,9.4,49,0.9,8.5
"Wethersfield School District","=""1590011""",24,0.6,5.7,29,0.8,6.4,29,0.7,6.1,35,0.9,6.8,29,0.7,5.6
"Willington School District","=""1600011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","=""1610011""",17,0.4,3.7,28,0.7,5.6,"*","*","*","*","*","*","*","*","*"
"Winchester School District","=""1620011""",28,2.1,10.8,28,2.2,11.2,26,2.1,10.9,21,1.7,9.1,23,1.9,9.2
"Windham School District","=""1630011""",89,2.9,16.9,84,2.7,16.5,73,2.4,15.0,67,2.2,13.4,64,2.0,12.1
"Windsor Locks School District","=""1650011""",14,0.8,6.6,13,0.7,6.3,19,1.1,9.1,24,1.4,11.7,21,1.3,8.8
"Windsor School District","=""1640011""",39,1.0,7.2,41,1.0,7.0,37,1.0,6.5,44,1.2,7.5,46,1.2,7.6
"Wolcott School District","=""1660011""",19,0.7,7.7,20,0.7,8.7,24,0.9,10.6,22,0.9,9.6,19,0.8,7.4
"Woodbridge School District","=""1670011""",7,1.0,10.9,7,1.0,10.8,"*","*","*","*","*","*","*","*","*"
"Woodstock School District","=""1690011""","*","*","*","*","*","*",6,0.5,5.7,"*","*","*","*","*","*"

