"Primary Disability (K-12), Trend"
"All Districts, Autism"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"Suffield School District","=""1390011""",37,1.5,15.0,38,1.6,15.4,46,2.0,18.9,53,2.3,22.8,55,2.4,22.3
"Thomaston School District","=""1400011""","*","*","*",6,0.5,4.2,9,0.8,6.5,13,1.3,9.5,17,1.7,11.9
"Thompson School District","=""1410011""",7,0.6,5.3,7,0.6,5.4,9,0.8,7.6,13,1.2,10.7,14,1.4,11.3
"Tolland School District","=""1420011""",46,1.5,14.8,50,1.7,15.9,48,1.7,16.2,55,2.0,17.7,52,2.0,16.7
"Torrington School District","=""1430011""",55,1.2,7.1,68,1.5,9.3,71,1.6,9.6,69,1.5,9.1,79,1.8,9.7
"Trumbull School District","=""1440011""",87,1.3,15.4,94,1.4,15.7,90,1.4,15.0,95,1.5,15.0,99,1.5,14.6
"Unified School District #1","=""3360015""",0,0,0,0,0,0,"*","*","*","*","*","*",0,0,0
"Unified School District #2","=""3470015""","*","*","*",7,3.1,4.0,6,2.6,3.9,"*","*","*","*","*","*"
"Union School District","=""1450011""",0,0,0,0,0,0,0,0,0,"*","*","*","*","*","*"
"Vernon School District","=""1460011""",39,1.1,9.2,51,1.4,11.4,56,1.6,11.9,62,1.8,12.4,63,1.9,12.3
"Voluntown School District","=""1470011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""",86,1.4,10.8,87,1.4,11.4,88,1.5,12.3,83,1.4,12.1,90,1.5,13.0
"Waterbury School District","=""1510011""",179,1.1,6.4,188,1.1,6.4,201,1.1,6.5,217,1.2,6.7,225,1.3,6.8
"Waterford School District","=""1520011""",28,1.0,8.2,31,1.1,8.8,42,1.5,11.3,51,1.9,13.0,48,1.8,12.4
"Watertown School District","=""1530011""",30,1.0,9.0,35,1.2,10.1,42,1.4,12.1,45,1.6,13.2,49,1.7,14.0
"West Hartford School District","=""1550011""",154,1.5,14.1,170,1.7,15.6,183,1.8,16.2,198,2.0,17.1,210,2.1,17.9
"West Haven School District","=""1560011""",73,1.0,8.8,76,1.1,8.8,78,1.1,8.6,85,1.2,8.7,98,1.4,9.6
"Westbrook School District","=""1540011""",9,1.0,12.0,13,1.5,14.9,15,1.8,18.1,18,2.3,20.0,15,2.0,16.0
"Weston School District","=""1570011""",36,1.5,16.5,34,1.4,16.0,33,1.4,16.3,34,1.4,17.0,38,1.6,18.2
"Westport School District","=""1580011""",55,1.0,9.7,60,1.0,10.4,52,0.9,9.4,55,1.0,9.6,52,0.9,9.0
"Wethersfield School District","=""1590011""",58,1.5,13.8,63,1.6,13.8,64,1.6,13.5,63,1.6,12.3,62,1.6,12.0
"Willington School District","=""1600011""",6,1.3,10.0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","=""1610011""",54,1.3,11.7,53,1.2,10.6,53,1.2,10.4,65,1.5,11.9,70,1.7,13.0
"Winchester School District","=""1620011""",41,3.1,15.8,38,2.9,15.2,32,2.5,13.4,37,3.1,15.9,36,3.1,14.5
"Windham School District","=""1630011""",38,1.2,7.2,46,1.5,9.1,45,1.5,9.3,50,1.6,10.0,51,1.6,9.7
"Windsor Locks School District","=""1650011""",23,1.3,10.8,21,1.2,10.2,22,1.2,10.6,18,1.1,8.8,28,1.7,11.7
"Windsor School District","=""1640011""",52,1.3,9.6,57,1.4,9.7,50,1.3,8.8,59,1.6,10.0,66,1.7,10.9
"Wolcott School District","=""1660011""",22,0.8,8.9,21,0.8,9.1,21,0.8,9.3,23,0.9,10.0,26,1.1,10.1
"Woodbridge School District","=""1670011""",9,1.3,14.1,8,1.1,12.3,6,0.8,10.2,6,0.8,9.5,7,0.9,11.1
"Woodstock School District","=""1690011""",9,0.7,10.5,9,0.7,10.3,15,1.2,14.2,14,1.1,12.4,14,1.1,12.1

