"Primary Disability (K-12), Trend"
"All Districts, Other Health Impairment"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"Vernon School District","=""1460011""",59,1.6,13.9,66,1.9,14.8,62,1.8,13.2,65,1.9,13.0,66,2.0,12.9
"Voluntown School District","=""1470011""","*","*","*","*","*","*","*","*","*",7,1.8,11.7,6,1.6,9.2
"Wallingford School District","=""1480011""",193,3.1,24.2,194,3.1,25.4,181,3.0,25.2,172,2.9,25.0,167,2.9,24.1
"Waterbury School District","=""1510011""",545,3.2,19.4,623,3.6,21.1,669,3.8,21.6,671,3.8,20.7,704,4.0,21.3
"Waterford School District","=""1520011""",87,3.1,25.6,99,3.5,28.0,105,3.8,28.2,117,4.3,29.8,116,4.3,29.9
"Watertown School District","=""1530011""",92,3.0,27.6,96,3.2,27.7,106,3.6,30.5,106,3.7,31.0,106,3.8,30.2
"West Hartford School District","=""1550011""",234,2.3,21.5,235,2.3,21.6,243,2.4,21.5,258,2.6,22.3,263,2.7,22.4
"West Haven School District","=""1560011""",111,1.6,13.4,115,1.6,13.3,117,1.7,12.8,138,2.0,14.2,130,1.9,12.8
"Westbrook School District","=""1540011""",11,1.2,14.7,10,1.2,11.5,10,1.2,12.0,11,1.4,12.2,15,2.0,16.0
"Weston School District","=""1570011""",55,2.2,25.2,51,2.1,24.1,43,1.8,21.3,43,1.8,21.5,42,1.8,20.1
"Westport School District","=""1580011""",87,1.5,15.3,102,1.8,17.7,107,1.9,19.3,116,2.0,20.2,116,2.0,20.0
"Wethersfield School District","=""1590011""",57,1.5,13.5,64,1.7,14.0,71,1.8,15.0,101,2.6,19.7,98,2.5,19.0
"Willington School District","=""1600011""",11,2.3,18.3,11,2.4,17.5,9,2.0,15.3,10,2.4,17.5,17,4.0,24.3
"Wilton School District","=""1610011""",94,2.2,20.3,99,2.3,19.8,113,2.7,22.1,122,2.9,22.4,130,3.2,24.1
"Winchester School District","=""1620011""",42,3.2,16.2,45,3.5,18.0,47,3.7,19.7,49,4.1,21.1,52,4.4,20.9
"Windham School District","=""1630011""",88,2.8,16.7,82,2.7,16.1,85,2.7,17.5,82,2.7,16.4,91,2.9,17.3
"Windsor Locks School District","=""1650011""",35,1.9,16.5,39,2.1,19.0,40,2.3,19.2,39,2.3,19.0,46,2.7,19.2
"Windsor School District","=""1640011""",73,1.8,13.5,83,2.1,14.2,80,2.1,14.0,89,2.4,15.1,102,2.7,16.9
"Wolcott School District","=""1660011""",58,2.1,23.5,53,2.0,22.9,51,2.0,22.5,50,2.0,21.8,53,2.2,20.6
"Woodbridge School District","=""1670011""",15,2.1,23.4,14,1.9,21.5,15,2.0,25.4,17,2.2,27.0,13,1.7,20.6
"Woodstock School District","=""1690011""",7,0.5,8.1,7,0.6,8.0,12,0.9,11.3,12,1.0,10.6,11,0.9,9.5

