"Primary Disability (K-12), Trend"
"All Districts, Speech Language Impairment"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"Watertown School District","=""1530011""",37,1.2,11.1,43,1.4,12.4,35,1.2,10.1,38,1.3,11.1,35,1.2,10.0
"West Hartford School District","=""1550011""",186,1.8,17.1,184,1.8,16.9,200,2.0,17.7,206,2.1,17.8,192,1.9,16.3
"West Haven School District","=""1560011""",197,2.8,23.7,197,2.8,22.8,203,2.9,22.3,202,2.9,20.8,196,2.9,19.2
"Westbrook School District","=""1540011""",8,0.9,10.7,8,0.9,9.2,9,1.1,10.8,11,1.4,12.2,9,1.2,9.6
"Weston School District","=""1570011""",36,1.5,16.5,38,1.6,17.9,36,1.5,17.8,33,1.4,16.5,32,1.3,15.3
"Westport School District","=""1580011""",93,1.6,16.4,92,1.6,15.9,81,1.4,14.6,79,1.4,13.7,84,1.5,14.5
"Wethersfield School District","=""1590011""",114,3.0,27.1,116,3.0,25.4,112,2.9,23.6,100,2.6,19.5,106,2.7,20.5
"Willington School District","=""1600011""",16,3.4,26.7,18,3.9,28.6,19,4.3,32.2,14,3.4,24.6,15,3.6,21.4
"Wilton School District","=""1610011""",54,1.3,11.7,74,1.7,14.8,71,1.7,13.9,64,1.5,11.7,56,1.4,10.4
"Winchester School District","=""1620011""",48,3.6,18.5,39,3.0,15.6,35,2.8,14.6,38,3.1,16.4,41,3.5,16.5
"Windham School District","=""1630011""",78,2.5,14.8,89,2.9,17.5,87,2.8,17.9,90,2.9,18.0,93,2.9,17.6
"Windsor Locks School District","=""1650011""",12,0.7,5.7,12,0.7,5.9,16,0.9,7.7,13,0.8,6.3,18,1.1,7.5
"Windsor School District","=""1640011""",58,1.5,10.7,71,1.8,12.1,47,1.2,8.2,56,1.5,9.5,45,1.2,7.5
"Wolcott School District","=""1660011""",39,1.4,15.8,37,1.4,16.0,36,1.4,15.9,24,1.0,10.5,26,1.1,10.1
"Woodbridge School District","=""1670011""",18,2.5,28.1,18,2.5,27.7,19,2.5,32.2,14,1.8,22.2,12,1.6,19.0
"Woodstock School District","=""1690011""",15,1.2,17.4,13,1.0,14.9,13,1.0,12.3,14,1.1,12.4,17,1.4,14.7

