"Primary Disability (K-12), Trend"
"All Districts, Other Disabilities"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"Canterbury School District","=""0220011""",9,1.3,12.9,7,1.0,10.4,10,1.5,14.9,8,1.2,11.3,"*","*","*"
"Canton School District","=""0230011""",13,0.7,8.0,"*","*","*","*","*","*",13,0.8,7.5,16,1.0,8.8
"Chaplin School District","=""0240011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",31,0.7,6.6,32,0.7,6.9,31,0.7,6.6,32,0.7,6.8,36,0.8,7.4
"Chester School District","=""0260011""","*","*","*","*","*","*",0,0,0,"*","*","*","*","*","*"
"Clinton School District","=""0270011""",15,0.8,7.0,"*","*","*",12,0.6,5.9,14,0.7,6.9,14,0.8,6.9
"Colchester School District","=""0280011""",12,0.4,3.5,11,0.4,3.2,12,0.4,3.3,12,0.4,3.3,9,0.3,2.5
"Colebrook School District","=""0290011""",0,0,0,"*","*","*",0,0,0,"*","*","*","*","*","*"
"Columbia School District","=""0300011""",7,1.0,12.3,7,1.0,10.1,8,1.1,11.6,6,0.9,8.0,9,1.3,9.9
"Connecticut Technical High School System","=""9000016""","*","*","*","*","*","*","*","*","*",10,0.1,1.0,"*","*","*"
"Cornwall School District","=""0310011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Coventry School District","=""0320011""",23,1.2,11.3,22,1.2,10.4,23,1.3,10.8,20,1.2,9.8,20,1.2,9.6
"Cromwell School District","=""0330011""",22,1.1,10.8,25,1.2,12.6,22,1.1,10.7,16,0.8,7.5,19,0.9,8.6
"Danbury School District","=""0340011""",111,1.1,10.2,108,1.0,9.6,126,1.2,10.5,110,1.0,8.9,116,1.1,8.9
"Darien School District","=""0350011""",61,1.3,10.5,53,1.1,9.1,43,0.9,8.2,48,1.0,8.7,46,1.0,7.8
"Deep River School District","=""0360011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*","*",0,0,0,0,0,0,0,0,0
"Derby School District","=""0370011""",12,0.8,7.4,9,0.6,4.8,14,0.9,6.8,23,1.5,10.8,21,1.4,10.1
"East Granby School District","=""0400011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""",7,0.5,4.3,"*","*","*",12,1.0,6.9,9,0.8,5.3,"*","*","*"
"East Hampton School District","=""0420011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""",90,1.1,8.2,94,1.2,8.6,120,1.5,10.7,105,1.3,9.5,104,1.3,9.0
"East Haven School District","=""0440011""",46,1.3,10.6,46,1.3,10.4,45,1.3,10.3,36,1.1,8.4,39,1.2,8.9
"East Lyme School District","=""0450011""",19,0.7,5.7,17,0.6,5.2,16,0.6,4.8,17,0.7,5.0,10,0.4,3.1
"East Windsor School District","=""0470011""",13,1.0,7.8,14,1.1,6.9,12,0.9,6.1,14,1.1,6.4,12,1.0,6.3
"Eastford School District","=""0390011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","*","*","*","*","*","*",14,1.5,16.5,12,1.3,13.5,9,1.0,10.6
"Ellington School District","=""0480011""",36,1.3,13.2,34,1.2,11.8,37,1.4,12.5,29,1.1,10.0,30,1.1,10.1
"Enfield School District","=""0490011""",75,1.3,10.0,55,1.0,7.4,61,1.1,8.1,61,1.1,8.0,61,1.1,7.8
"Essex School District","=""0500011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""",45,0.4,4.3,41,0.4,3.7,53,0.5,4.9,44,0.4,4.0,44,0.4,4.1
"Farmington School District","=""0520011""",27,0.7,6.7,26,0.6,5.9,24,0.6,5.5,23,0.6,4.9,23,0.6,4.8
"Franklin School District","=""0530011""",0,0,0,"*","*","*",0,0,0,"*","*","*","*","*","*"
"Glastonbury School District","=""0540011""",50,0.7,8.1,42,0.6,6.9,39,0.6,6.4,41,0.7,6.6,35,0.6,5.5
"Granby School District","=""0560011""",6,0.3,3.2,"*","*","*","*","*","*","*","*","*",7,0.4,3.3
"Greenwich School District","=""0570011""",27,0.3,3.1,37,0.4,4.3,28,0.3,3.3,29,0.3,3.3,24,0.3,2.7
"Griswold School District","=""0580011""",15,0.8,6.7,"*","*","*",14,0.8,5.5,15,0.9,6.1,11,0.6,4.5
"Groton School District","=""0590011""",77,1.5,11.3,71,1.4,10.1,73,1.5,10.0,76,1.6,10.5,67,1.4,9.1
"Guilford School District","=""0600011""",16,0.4,4.3,17,0.5,4.6,20,0.6,5.4,23,0.7,5.9,25,0.7,6.3
"Hamden School District","=""0620011""",56,0.8,6.9,61,0.9,7.6,62,0.9,7.1,49,0.8,5.2,54,0.8,5.3
"Hampton School District","=""0630011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""",226,1.1,7.2,252,1.2,7.4,256,1.3,7.5,288,1.4,8.1,292,1.4,7.8
"Hartland School District","=""0650011""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""",10,1.0,9.4,13,1.4,12.3,"*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""",42,1.7,11.7,36,1.5,9.8,29,1.2,7.7,30,1.3,7.5,30,1.3,7.7
"Lebanon School District","=""0710011""",7,0.6,5.0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""",37,1.5,11.8,42,1.7,12.6,46,1.9,13.4,41,1.7,11.6,40,1.7,11.1
"Lisbon School District","=""0730011""","*","*","*","*","*","*",11,1.8,12.9,9,1.5,12.9,6,1.1,9.4
"Litchfield School District","=""0740011""",7,0.6,5.8,7,0.7,5.8,6,0.6,5.5,9,0.9,7.9,12,1.3,10.6
"Madison School District","=""0760011""",16,0.5,4.6,19,0.6,5.4,14,0.4,3.9,17,0.5,4.7,14,0.5,4.0
"Manchester School District","=""0770011""",75,1.0,7.7,83,1.2,8.8,94,1.3,10.5,101,1.4,11.3,91,1.3,10.4
"Mansfield School District","=""0780011""",22,1.8,14.5,14,1.1,9.9,9,0.8,6.4,8,0.7,5.6,7,0.6,5.1
"Marlborough School District","=""0790011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""",137,1.5,10.8,132,1.5,10.2,141,1.6,10.0,132,1.5,8.9,129,1.5,8.5
"Middletown School District","=""0830011""",48,0.9,7.8,45,0.9,7.6,38,0.7,6.3,42,0.8,6.6,51,1.0,7.9
"Milford School District","=""0840011""",65,0.9,7.9,70,1.0,8.4,70,1.1,8.7,68,1.1,8.9,65,1.1,8.7
"Monroe School District","=""0850011""",18,0.5,5.3,14,0.4,3.8,16,0.5,4.5,22,0.7,6.3,11,0.3,3.1
"Montville School District","=""0860011""",28,1.1,10.0,24,1.0,8.4,"*","*","*","*","*","*",33,1.4,10.0
"Naugatuck School District","=""0880011""",42,0.9,7.5,39,0.9,6.7,36,0.8,6.0,35,0.8,5.5,37,0.8,5.5
"New Britain School District","=""0890011""",170,1.6,11.1,163,1.5,10.1,191,1.8,11.7,177,1.6,10.5,189,1.7,10.8
"New Canaan School District","=""0900011""",21,0.5,5.3,25,0.6,6.5,22,0.5,6.1,28,0.7,7.3,28,0.7,7.0
"New Fairfield School District","=""0910011""",38,1.4,13.6,36,1.3,13.1,29,1.1,11.3,31,1.2,12.8,27,1.1,11.7
"New Hartford School District","=""0920011""","*","*","*","*","*","*",6,1.1,11.3,6,1.2,11.3,"*","*","*"
"New Haven School District","=""0930011""",141,0.8,6.4,141,0.8,6.0,140,0.7,5.8,154,0.8,5.8,153,0.8,5.5
"New London School District","=""0950011""",37,1.1,6.3,36,1.0,5.8,34,1.0,5.3,29,0.8,4.4,37,1.1,5.6
"New Milford School District","=""0960011""",58,1.3,9.5,59,1.3,10.0,54,1.2,9.3,57,1.3,10.1,60,1.5,10.8
"Newington School District","=""0940011""",53,1.2,10.2,56,1.3,10.4,46,1.1,8.6,38,0.9,7.2,40,1.0,7.8
"Newtown School District","=""0970011""",34,0.6,8.4,28,0.5,7.1,31,0.6,7.6,35,0.7,8.0,26,0.6,5.5
"Norfolk School District","=""0980011""",0,0,0,"*","*","*",0,0,0,"*","*","*",0,0,0
"North Branford School District","=""0990011""",10,0.4,3.8,15,0.7,5.4,12,0.6,4.2,16,0.8,5.5,14,0.7,5.0
"North Canaan School District","=""1000011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""",19,0.5,5.5,15,0.4,4.2,21,0.6,5.7,26,0.8,6.7,23,0.7,6.4
"North Stonington School District","=""1020011""","*","*","*","*","*","*","*","*","*","*","*","*",6,0.8,9.1
"Norwalk School District","=""1030011""",84,0.7,7.7,101,0.9,8.5,108,1.0,8.8,130,1.1,9.9,127,1.1,8.9
"Norwich School District","=""1040011""",89,1.6,10.3,86,1.6,9.7,85,1.5,9.7,74,1.3,8.1,63,1.2,7.2
"Old Saybrook School District","=""1060011""",12,0.8,6.5,14,1.0,6.8,18,1.3,8.6,17,1.2,8.5,"*","*","*"
"Orange School District","=""1070011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""",10,0.5,7.5,11,0.5,7.1,7,0.3,3.4,14,0.7,6.0,8,0.4,3.3
"Plainfield School District","=""1090011""",30,1.2,10.0,28,1.2,9.6,25,1.1,9.1,26,1.2,8.4,22,1.0,7.3
"Plainville School District","=""1100011""",39,1.6,12.7,39,1.6,12.5,39,1.6,12.0,45,1.9,14.3,38,1.6,12.5
"Plymouth School District","=""1110011""",12,0.7,5.0,13,0.7,5.3,14,0.8,6.0,"*","*","*",15,0.9,6.4
"Pomfret School District","=""1120011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","*","*","*","*","*","*","*","*","*",11,0.8,8.0,10,0.7,7.1
"Preston School District","=""1140011""",12,1.9,13.0,9,1.5,11.0,8,1.3,8.8,10,1.7,9.7,7,1.1,7.1
"Putnam School District","=""1160011""",9,0.8,5.4,10,0.8,5.7,15,1.3,7.9,12,1.0,6.7,13,1.1,6.8
"Redding School District","=""1170011""",8,0.7,5.4,6,0.6,4.5,"*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""",9,1.9,13.8,6,1.4,10.3,8,1.9,13.1,"*","*","*","*","*","*"
"Regional School District 04","=""2040012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""",15,0.6,5.4,15,0.6,5.4,14,0.6,5.2,15,0.6,5.6,16,0.7,5.8
"Regional School District 06","=""2060012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","*","*","*",6,0.6,5.3,6,0.6,5.0,"*","*","*",7,0.7,5.8
"Regional School District 08","=""2080012""","*","*","*",7,0.4,3.1,6,0.3,2.7,7,0.4,3.2,7,0.4,3.5
"Regional School District 09","=""2090012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""",16,0.6,6.1,16,0.6,6.1,12,0.5,4.8,20,0.8,7.9,21,0.9,8.5
"Regional School District 11","=""2110012""","*","*","*",7,2.1,10.1,6,1.9,9.5,8,2.6,11.3,8,2.8,13.1
"Regional School District 12","=""2120012""",10,1.2,7.8,7,0.9,5.6,8,1.1,6.3,"*","*","*","*","*","*"
"Regional School District 13","=""2130012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""",8,0.5,3.9,10,0.6,5.0,8,0.5,4.3,"*","*","*","*","*","*"
"Regional School District 15","=""2150012""",44,1.0,8.7,37,0.9,7.5,32,0.8,6.8,43,1.1,9.1,38,1.0,7.6
"Regional School District 16","=""2160012""",23,0.9,9.2,21,0.9,7.9,22,0.9,7.7,19,0.8,6.0,24,1.1,7.6
"Regional School District 17","=""2170012""",23,1.0,7.4,22,1.0,7.1,21,0.9,6.6,27,1.2,8.2,30,1.4,8.7
"Regional School District 18","=""2180012""",11,0.8,7.2,6,0.4,3.8,10,0.7,6.2,9,0.7,5.5,7,0.5,4.4
"Regional School District 19","=""2190012""",8,0.7,4.5,7,0.6,4.0,8,0.8,4.8,8,0.8,4.8,"*","*","*"
"Ridgefield School District","=""1180011""",13,0.2,3.1,14,0.3,3.1,10,0.2,2.2,19,0.4,4.1,18,0.4,4.0
"Rocky Hill School District","=""1190011""",17,0.7,8.0,20,0.8,9.2,22,0.9,9.7,18,0.7,7.5,23,0.8,8.8
"Salem School District","=""1210011""","*","*","*","*","*","*","*","*","*",6,0.9,7.8,"*","*","*"
"Salisbury School District","=""1220011""",8,2.7,28.6,7,2.4,20.0,"*","*","*","*","*","*","*","*","*"
"Scotland School District","=""1230011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""",14,0.6,5.9,11,0.5,4.5,15,0.6,5.9,12,0.5,4.5,14,0.6,5.2
"Sharon School District","=""1250011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Shelton School District","=""1260011""",23,0.4,4.3,23,0.4,4.0,22,0.4,3.6,28,0.6,4.5,28,0.6,4.3
"Sherman School District","=""1270011""","*","*","*",8,1.5,11.6,7,1.3,10.6,8,1.6,11.1,"*","*","*"
"Simsbury School District","=""1280011""",20,0.4,3.6,17,0.4,3.2,20,0.5,3.7,23,0.5,4.1,22,0.5,4.0
"Somers School District","=""1290011""",13,0.8,7.9,15,1.0,9.1,20,1.3,11.7,15,1.0,9.4,"*","*","*"
"South Windsor School District","=""1320011""",52,1.2,10.1,46,1.0,8.5,57,1.3,10.3,55,1.3,10.1,46,1.1,8.7
"Southington School District","=""1310011""",60,0.9,8.3,77,1.1,9.9,85,1.3,10.9,82,1.2,10.3,63,1.0,8.1
"Sprague School District","=""1330011""","*","*","*","*","*","*","*","*","*",7,1.6,11.7,9,2.0,13.4
"Stafford School District","=""1340011""",10,0.6,6.0,19,1.2,10.4,"*","*","*",16,1.0,8.6,"*","*","*"
"Stamford School District","=""1350011""",177,1.1,12.1,172,1.1,11.2,174,1.1,10.5,188,1.2,10.8,166,1.1,9.2
"Sterling School District","=""1360011""",12,2.0,17.4,"*","*","*",12,2.0,13.5,"*","*","*","*","*","*"
"Stonington School District","=""1370011""",16,0.7,5.3,12,0.5,3.9,11,0.5,3.6,13,0.6,3.9,13,0.6,3.9
"Stratford School District","=""1380011""",70,1.0,10.0,73,1.0,10.1,71,1.0,9.4,70,1.0,9.0,89,1.2,10.6
"Suffield School District","=""1390011""",6,0.3,2.4,7,0.3,2.8,6,0.3,2.5,9,0.4,3.9,14,0.6,5.7
"Thomaston School District","=""1400011""",18,1.5,13.1,21,1.8,14.7,18,1.7,12.9,20,2.0,14.6,18,1.8,12.6
"Thompson School District","=""1410011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","=""1420011""",19,0.6,6.1,25,0.9,7.9,22,0.8,7.4,26,0.9,8.4,29,1.1,9.3
"Torrington School District","=""1430011""",95,2.1,12.3,82,1.8,11.2,85,1.9,11.5,71,1.6,9.4,82,1.9,10.1
"Trumbull School District","=""1440011""",54,0.8,9.6,52,0.8,8.7,61,0.9,10.1,53,0.8,8.3,71,1.1,10.5
"Unified School District #1","=""3360015""","*","*","*",10,1.6,4.1,"*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""",21,8.0,10.6,18,7.9,10.3,11,4.8,7.1,13,6.0,8.7,14,8.1,10.4
"Union School District","=""1450011""",0,0,0,0,0,0,0,0,0,"*","*","*",0,0,0
"Vernon School District","=""1460011""",39,1.1,9.2,41,1.2,9.2,39,1.1,8.3,42,1.2,8.4,45,1.3,8.8
"Voluntown School District","=""1470011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""",60,1.0,7.5,61,1.0,8.0,50,0.8,7.0,49,0.8,7.1,47,0.8,6.8
"Waterbury School District","=""1510011""",239,1.4,8.5,264,1.5,8.9,259,1.5,8.4,230,1.3,7.1,234,1.3,7.1
"Waterford School District","=""1520011""",22,0.8,6.5,25,0.9,7.1,17,0.6,4.6,14,0.5,3.6,14,0.5,3.6
"Watertown School District","=""1530011""",19,0.6,5.7,26,0.9,7.5,20,0.7,5.8,14,0.5,4.1,16,0.6,4.6
"West Hartford School District","=""1550011""",123,1.2,11.3,116,1.1,10.6,108,1.1,9.6,102,1.0,8.8,105,1.1,8.9
"West Haven School District","=""1560011""",131,1.9,15.8,136,1.9,15.7,151,2.2,16.6,170,2.5,17.5,176,2.6,17.3
"Westbrook School District","=""1540011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""",11,0.4,5.0,13,0.5,6.1,17,0.7,8.4,17,0.7,8.5,22,0.9,10.5
"Westport School District","=""1580011""",43,0.8,7.6,32,0.6,5.5,40,0.7,7.2,"*","*","*","*","*","*"
"Wethersfield School District","=""1590011""",45,1.2,10.7,49,1.3,10.7,53,1.4,11.2,52,1.3,10.2,58,1.5,11.2
"Willington School District","=""1600011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","=""1610011""",24,0.6,5.2,"*","*","*",25,0.6,4.9,32,0.8,5.9,28,0.7,5.2
"Winchester School District","=""1620011""",13,1.0,5.0,16,1.2,6.4,22,1.7,9.2,15,1.2,6.5,16,1.4,6.4
"Windham School District","=""1630011""",46,1.5,8.7,32,1.0,6.3,32,1.0,6.6,43,1.4,8.6,43,1.4,8.2
"Windsor Locks School District","=""1650011""",11,0.6,5.2,10,0.6,4.9,11,0.6,5.3,6,0.4,2.9,14,0.8,5.9
"Windsor School District","=""1640011""",110,2.8,20.3,122,3.1,20.8,150,3.9,26.3,149,3.9,25.3,148,3.9,24.5
"Wolcott School District","=""1660011""",16,0.6,6.5,13,0.5,5.6,10,0.4,4.4,10,0.4,4.4,17,0.7,6.6
"Woodbridge School District","=""1670011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock School District","=""1690011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"

