"Chronic Absenteeism, Trend"
", English Learner Status"

"",,,"% Chronically Absent",,,,
"Eastford School District","=""0390011""","Non-ELL",5.7,5.9,5.2,5.8,"*"
"Easton School District","=""0460011""","ELL","*","*","*","*","*"
"Easton School District","=""0460011""","Non-ELL",4.0,3.2,2.2,2.3,1.7
"Education Connection","=""2420014""","Non-ELL",50.0,58.1,58.3,65.4,"*"
"Ellington School District","=""0480011""","ELL","*",14.0,"*",20.0,"*"
"Ellington School District","=""0480011""","Non-ELL",4.3,5.5,3.8,4.3,4.2
"Elm City College Preparatory School District","=""2890013""","ELL","*",0.0,0.0,"*",0.0
"Elm City College Preparatory School District","=""2890013""","Non-ELL",1.6,3.7,4.9,4.6,5.9
"Elm City Montessori School District","=""2910013""","ELL","N/A","N/A","N/A","*","*"
"Elm City Montessori School District","=""2910013""","Non-ELL","N/A","N/A","N/A","*",17.9
"Enfield School District","=""0490011""","ELL",9.3,9.3,10.5,10.3,6.0
"Enfield School District","=""0490011""","Non-ELL",11.7,11.5,12.0,12.0,12.0
"Essex School District","=""0500011""","ELL","*","*","*","*","*"
"Essex School District","=""0500011""","Non-ELL",2.9,2.1,2.2,2.7,3.3
"Explorations District","=""2720013""","Non-ELL",20.3,39.5,29.1,28.4,30.6
"Fairfield School District","=""0510011""","ELL",8.6,3.8,3.7,4.3,5.2
"Fairfield School District","=""0510011""","Non-ELL",5.1,3.4,3.6,3.7,3.8
"Farmington School District","=""0520011""","ELL","*",9.8,8.0,"*","*"
"Farmington School District","=""0520011""","Non-ELL",5.4,6.9,6.4,5.9,4.6
"Franklin School District","=""0530011""","Non-ELL","*",8.3,"*",4.3,"*"
"Glastonbury School District","=""0540011""","ELL",9.3,"*",10.3,10.6,"*"
"Glastonbury School District","=""0540011""","Non-ELL",3.3,3.3,2.7,2.9,2.7
"Granby School District","=""0560011""","ELL","*","*","*","*","*"
"Granby School District","=""0560011""","Non-ELL",4.5,4.7,5.0,4.7,5.2
"Great Oaks Charter School District","=""2940013""","ELL","N/A","N/A","N/A","*","*"
"Great Oaks Charter School District","=""2940013""","Non-ELL","N/A","N/A","N/A",20.6,15.3
"Greenwich School District","=""0570011""","ELL",6.1,9.3,6.1,3.9,2.9
"Greenwich School District","=""0570011""","Non-ELL",5.7,8.0,4.6,3.1,3.8
"Griswold School District","=""0580011""","ELL","*","*","*","*","*"
"Griswold School District","=""0580011""","Non-ELL",11.6,10.6,10.6,10.4,9.1
"Groton School District","=""0590011""","ELL",19.0,15.0,10.6,16.2,10.2
"Groton School District","=""0590011""","Non-ELL",13.3,12.3,11.9,11.2,11.1
"Guilford School District","=""0600011""","ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","Non-ELL",6.3,7.0,5.9,4.9,4.6
"Hamden School District","=""0620011""","ELL",10.7,15.1,13.0,15.1,19.7
"Hamden School District","=""0620011""","Non-ELL",13.2,15.1,14.5,14.6,18.3
"Hampton School District","=""0630011""","Non-ELL",5.8,"*","*",6.8,7.9
"Hartford School District","=""0640011""","ELL",34.6,33.6,35.0,33.9,29.1
"Hartford School District","=""0640011""","Non-ELL",24.1,23.1,24.7,23.7,20.7
"Hartland School District","=""0650011""","Non-ELL",3.3,5.6,5.1,3.2,"*"
"Hebron School District","=""0670011""","ELL","*","*","*","*","*"
"Hebron School District","=""0670011""","Non-ELL",3.7,3.5,2.1,2.2,1.6
"Highville Charter School District","=""2860013""","ELL","N/A","N/A","N/A","N/A","*"
"Highville Charter School District","=""2860013""","Non-ELL",4.4,5.7,2.9,6.6,7.1
"Integrated Day Charter School District","=""2640013""","ELL","*","*",0.0,"*","*"
"Integrated Day Charter School District","=""2640013""","Non-ELL",6.7,6.7,6.7,5.5,4.1
"Interdistrict School for Arts and Comm District","=""2650013""","ELL","*","*","*",25.8,"*"
"Interdistrict School for Arts and Comm District","=""2650013""","Non-ELL",7.4,9.8,11.3,10.4,6.8
"Jumoke Academy District","=""2610013""","ELL","*","N/A","N/A","N/A","N/A"
"Jumoke Academy District","=""2610013""","Non-ELL",2.5,6.1,6.2,7.9,6.3
"Kent School District","=""0680011""","ELL","N/A","*","*","*","*"
"Kent School District","=""0680011""","Non-ELL",6.8,3.8,2.7,2.5,2.7
"Killingly School District","=""0690011""","ELL",15.3,"*","*","*","*"
"Killingly School District","=""0690011""","Non-ELL",14.1,16.3,13.0,9.8,11.4
"Learn","=""2450014""","ELL",17.1,43.2,11.2,12.0,10.5
"Learn","=""2450014""","Non-ELL",14.2,30.6,16.6,16.3,10.1
"Lebanon School District","=""0710011""","ELL","*","*","N/A","*","*"
"Lebanon School District","=""0710011""","Non-ELL",9.8,12.8,7.7,7.6,6.5
"Ledyard School District","=""0720011""","ELL","*","*","*",0.0,"*"
"Ledyard School District","=""0720011""","Non-ELL",8.2,8.4,5.6,3.6,7.2
"Lisbon School District","=""0730011""","ELL","*","*","*","*","*"
"Lisbon School District","=""0730011""","Non-ELL",6.1,7.9,4.6,6.5,5.0
"Litchfield School District","=""0740011""","ELL","*","*","*","*","*"
"Litchfield School District","=""0740011""","Non-ELL",6.8,7.9,7.4,6.3,9.2
"Madison School District","=""0760011""","ELL","*","*","*","*","*"
"Madison School District","=""0760011""","Non-ELL",4.1,3.5,2.2,2.9,1.9
"Manchester School District","=""0770011""","ELL",19.5,15.7,17.3,14.8,18.0
"Manchester School District","=""0770011""","Non-ELL",21.2,13.1,12.1,13.1,14.2
"Mansfield School District","=""0780011""","ELL","*","*",16.7,"*",8.2
"Mansfield School District","=""0780011""","Non-ELL",5.0,5.8,3.6,4.7,4.8
"Marlborough School District","=""0790011""","ELL","*","*","*","*","N/A"
"Marlborough School District","=""0790011""","Non-ELL",4.2,3.6,2.0,5.0,3.6
"Meriden School District","=""0800011""","ELL",17.1,18.4,19.4,19.4,13.4
"Meriden School District","=""0800011""","Non-ELL",11.6,15.9,14.9,16.1,12.6
"Middletown School District","=""0830011""","ELL",9.7,14.2,17.6,15.2,11.7
"Middletown School District","=""0830011""","Non-ELL",11.6,11.1,9.9,9.3,9.0
"Milford School District","=""0840011""","ELL",14.0,16.8,16.8,9.3,9.9
"Milford School District","=""0840011""","Non-ELL",10.3,12.7,10.6,8.5,7.3
"Monroe School District","=""0850011""","ELL","*","*","*","*","*"
"Monroe School District","=""0850011""","Non-ELL",6.3,6.0,4.0,2.8,2.6
"Montville School District","=""0860011""","ELL","*","*","*","*","*"
"Montville School District","=""0860011""","Non-ELL",8.3,7.1,7.0,6.6,6.7
"Naugatuck School District","=""0880011""","ELL",14.4,11.7,9.8,7.9,10.2
"Naugatuck School District","=""0880011""","Non-ELL",12.6,14.0,13.8,11.1,11.4
"New Beginnings Inc., Family Academy District","=""2800013""","ELL","N/A","*","*","*","N/A"
"New Beginnings Inc., Family Academy District","=""2800013""","Non-ELL",8.1,9.3,9.8,17.1,7.4
"New Britain School District","=""0890011""","ELL",34.2,26.7,25.9,25.7,23.1
"New Britain School District","=""0890011""","Non-ELL",25.0,24.2,17.7,19.5,16.9
"New Canaan School District","=""0900011""","ELL","*","*",0.0,"*","*"
"New Canaan School District","=""0900011""","Non-ELL",9.0,4.3,2.8,2.7,2.4
"New Fairfield School District","=""0910011""","ELL","*","*","*","*",0.0
"New Fairfield School District","=""0910011""","Non-ELL",7.9,5.9,4.4,2.9,3.2
"New Hartford School District","=""0920011""","ELL","*","*","*","*","*"
"New Hartford School District","=""0920011""","Non-ELL",4.8,4.5,5.5,2.7,3.7
"New Haven School District","=""0930011""","ELL",21.5,16.0,26.5,25.5,19.3
"New Haven School District","=""0930011""","Non-ELL",20.0,16.1,24.3,25.7,20.0
"New London School District","=""0950011""","ELL",27.2,17.9,20.3,17.9,17.5
"New London School District","=""0950011""","Non-ELL",25.4,20.0,22.6,17.7,17.6
"New Milford School District","=""0960011""","ELL",7.7,13.7,9.2,7.1,7.2
"New Milford School District","=""0960011""","Non-ELL",10.5,9.4,8.8,6.4,5.5
"Newington School District","=""0940011""","ELL",5.7,4.3,4.0,5.9,"*"
"Newington School District","=""0940011""","Non-ELL",4.8,3.6,7.2,6.5,5.2
"Newtown School District","=""0970011""","ELL","*","*","*","*","*"
"Newtown School District","=""0970011""","Non-ELL",2.7,5.0,4.4,3.7,4.5
"Norfolk School District","=""0980011""","Non-ELL",10.7,12.3,5.6,"*","*"
"North Branford School District","=""0990011""","ELL","*","*","*","*",0.0
"North Branford School District","=""0990011""","Non-ELL",15.3,14.5,5.2,4.1,5.0
"North Canaan School District","=""1000011""","ELL","*","*","*","*","*"
"North Canaan School District","=""1000011""","Non-ELL",12.7,14.9,6.2,5.4,5.1
"North Haven School District","=""1010011""","ELL","*",10.3,14.5,12.9,"*"
"North Haven School District","=""1010011""","Non-ELL",7.5,9.9,8.8,17.6,4.0
"North Stonington School District","=""1020011""","ELL","N/A","N/A","*","*","*"
"North Stonington School District","=""1020011""","Non-ELL",9.4,11.3,7.1,1.8,4.3
"Norwalk School District","=""1030011""","ELL",9.4,11.4,10.4,9.1,9.5
"Norwalk School District","=""1030011""","Non-ELL",11.9,11.6,10.9,8.2,10.3
"Norwich Free Academy District","=""9010022""","ELL",13.7,8.7,19.9,14.0,15.0
"Norwich Free Academy District","=""9010022""","Non-ELL",10.6,11.6,31.9,15.3,10.6
"Norwich School District","=""1040011""","ELL",14.5,13.1,11.8,10.9,7.8
"Norwich School District","=""1040011""","Non-ELL",14.3,13.5,15.4,13.8,10.1
"Odyssey Community School District","=""2630013""","ELL","N/A","N/A","N/A","*","*"
"Odyssey Community School District","=""2630013""","Non-ELL",8.9,9.4,11.7,7.0,4.6
"Old Saybrook School District","=""1060011""","ELL","*",0.0,"*","*","*"
"Old Saybrook School District","=""1060011""","Non-ELL",16.3,16.5,6.1,11.9,6.5
"Orange School District","=""1070011""","ELL","*",21.4,"*","*",9.8
"Orange School District","=""1070011""","Non-ELL",4.0,4.2,4.7,3.0,2.8
"Oxford School District","=""1080011""","ELL","*","*","*","*",0.0
"Oxford School District","=""1080011""","Non-ELL",6.0,8.2,8.0,7.3,7.0
"Park City Prep Charter School District","=""2830013""","ELL","*","*","*","N/A","*"
"Park City Prep Charter School District","=""2830013""","Non-ELL",9.3,5.0,6.3,8.1,6.4
"Path Academy District","=""2930013""","ELL","N/A","N/A","N/A",77.1,100.0
"Path Academy District","=""2930013""","Non-ELL","N/A","N/A","N/A",85.2,100.0
"Plainfield School District","=""1090011""","ELL","*","*",30.8,"*","*"
"Plainfield School District","=""1090011""","Non-ELL",12.1,12.1,12.2,9.6,11.9
"Plainville School District","=""1100011""","ELL",15.2,"*",8.3,"*",11.9
"Plainville School District","=""1100011""","Non-ELL",10.2,11.5,7.6,8.1,8.0
"Plymouth School District","=""1110011""","ELL","*","*","*","*","*"
"Plymouth School District","=""1110011""","Non-ELL",8.6,9.6,9.9,12.7,11.0
"Pomfret School District","=""1120011""","ELL","*","*","*","*","*"
"Pomfret School District","=""1120011""","Non-ELL",2.8,3.8,2.2,3.3,2.6
"Portland School District","=""1130011""","ELL","*","*","*","*","*"
"Portland School District","=""1130011""","Non-ELL",4.4,5.8,5.4,7.4,6.0
"Preston School District","=""1140011""","ELL","*","*","*","*","*"
"Preston School District","=""1140011""","Non-ELL",0.0,9.0,"*",8.3,4.7
"Putnam School District","=""1160011""","ELL","*",32.3,20.7,"*","*"
"Putnam School District","=""1160011""","Non-ELL",12.1,13.8,13.5,14.5,14.8
"Redding School District","=""1170011""","ELL","*","*","*","*","*"
"Redding School District","=""1170011""","Non-ELL",5.2,5.5,1.9,3.1,3.1
"Regional School District 01","=""2010012""","ELL","N/A","*","*","*","*"
"Regional School District 01","=""2010012""","Non-ELL",6.8,4.8,3.3,15.7,9.9
"Regional School District 04","=""2040012""","ELL","*","*","*","*","*"
"Regional School District 04","=""2040012""","Non-ELL",8.6,10.1,9.8,7.9,6.8
"Regional School District 05","=""2050012""","ELL","*","*","*","*","*"
"Regional School District 05","=""2050012""","Non-ELL",8.9,11.1,11.2,10.7,2.7
"Regional School District 06","=""2060012""","ELL","*","*","*","*","*"
"Regional School District 06","=""2060012""","Non-ELL",4.4,5.9,4.4,4.6,4.9
"Regional School District 07","=""2070012""","ELL","*","N/A","*","*","N/A"
"Regional School District 07","=""2070012""","Non-ELL",18.8,6.7,6.3,5.5,4.6
"Regional School District 08","=""2080012""","ELL","*","*","*","*","N/A"
"Regional School District 08","=""2080012""","Non-ELL",15.7,17.4,12.4,12.5,6.9
"Regional School District 09","=""2090012""","ELL","*","*","*","*","*"
"Regional School District 09","=""2090012""","Non-ELL",14.2,13.3,9.9,9.0,9.4
"Regional School District 10","=""2100012""","ELL",0.0,"*","*","*",0.0
"Regional School District 10","=""2100012""","Non-ELL",8.9,5.3,7.4,6.4,6.3
"Regional School District 11","=""2110012""","ELL","N/A","N/A","*","*","*"
"Regional School District 11","=""2110012""","Non-ELL",6.5,10.2,6.1,7.2,9.4
"Regional School District 12","=""2120012""","ELL","*","*","*","*","*"
"Regional School District 12","=""2120012""","Non-ELL",8.4,10.7,7.0,8.8,5.8
"Regional School District 13","=""2130012""","ELL","*","*","*","*","*"
"Regional School District 13","=""2130012""","Non-ELL",4.5,4.6,4.2,4.1,5.1
"Regional School District 14","=""2140012""","ELL",0.0,0.0,"*","*",0.0
"Regional School District 14","=""2140012""","Non-ELL",3.2,4.2,7.5,1.9,6.4
"Regional School District 15","=""2150012""","ELL","*",0.0,"*","*","*"
"Regional School District 15","=""2150012""","Non-ELL",4.5,5.7,4.1,4.4,3.0
"Regional School District 16","=""2160012""","ELL","*","*","*","*","*"
"Regional School District 16","=""2160012""","Non-ELL",7.5,6.7,4.9,8.7,7.1
"Regional School District 17","=""2170012""","ELL","*","*","*","*","*"
"Regional School District 17","=""2170012""","Non-ELL",4.5,3.3,4.2,5.0,4.3
"Regional School District 18","=""2180012""","ELL","*","*","*","*","*"
"Regional School District 18","=""2180012""","Non-ELL",4.6,4.6,6.1,7.1,6.8
"Regional School District 19","=""2190012""","ELL","*","*","*","*","*"
"Regional School District 19","=""2190012""","Non-ELL",15.7,15.8,15.8,6.9,9.0
"Ridgefield School District","=""1180011""","ELL","*",12.8,"*","*","*"
"Ridgefield School District","=""1180011""","Non-ELL",5.3,6.6,6.1,5.5,4.6
"Rocky Hill School District","=""1190011""","ELL",15.5,20.7,11.2,12.2,13.0
"Rocky Hill School District","=""1190011""","Non-ELL",7.2,7.8,6.1,7.4,7.9
"Salem School District","=""1210011""","ELL","*","*","*","N/A","N/A"
"Salem School District","=""1210011""","Non-ELL",3.7,3.6,4.3,4.6,5.0
"Salisbury School District","=""1220011""","ELL","N/A","N/A","N/A","*","*"
"Salisbury School District","=""1220011""","Non-ELL",7.2,7.0,4.2,6.7,4.5
"Scotland School District","=""1230011""","Non-ELL",4.8,5.3,5.3,"*","*"
"Seymour School District","=""1240011""","ELL","*",11.4,18.1,11.5,"*"
"Seymour School District","=""1240011""","Non-ELL",7.8,11.8,8.8,6.2,8.6
"Sharon School District","=""1250011""","ELL","N/A","N/A","N/A","*","N/A"
"Sharon School District","=""1250011""","Non-ELL",7.1,5.0,"*",3.5,5.1
"Shelton School District","=""1260011""","ELL",6.2,9.4,9.2,10.3,13.9
"Shelton School District","=""1260011""","Non-ELL",7.3,13.3,12.2,12.1,13.4
"Sherman School District","=""1270011""","ELL","*","*","*","*","*"
"Sherman School District","=""1270011""","Non-ELL",5.9,7.1,7.0,6.8,5.8
"Side By Side Charter School District","=""2700013""","ELL","*","*","*","*","*"
"Side By Side Charter School District","=""2700013""","Non-ELL",7.1,8.9,6.7,10.6,4.5
"Simsbury School District","=""1280011""","ELL","*","*","*","*","*"
"Simsbury School District","=""1280011""","Non-ELL",4.8,6.3,6.2,5.3,4.7
"Somers School District","=""1290011""","ELL","*","*","*","*","*"
"Somers School District","=""1290011""","Non-ELL",14.5,13.4,10.1,11.8,10.9
"South Windsor School District","=""1320011""","ELL",16.0,11.6,8.2,11.6,7.3
"South Windsor School District","=""1320011""","Non-ELL",14.3,5.7,3.5,3.5,3.8
"Southington School District","=""1310011""","ELL",8.4,"*",7.5,10.5,5.8
"Southington School District","=""1310011""","Non-ELL",7.0,6.8,6.6,6.0,6.3
"Sprague School District","=""1330011""","ELL","*","*","*","*","*"
"Sprague School District","=""1330011""","Non-ELL",8.1,8.4,8.3,12.0,8.4
"Stafford School District","=""1340011""","ELL","*","*","*","*","*"
"Stafford School District","=""1340011""","Non-ELL",7.8,7.1,7.4,8.6,8.0
"Stamford Academy District","=""2820013""","Non-ELL","*",97.3,"*",86.9,99.3
"Stamford Charter School for Excellence District","=""2960013""","Non-ELL","N/A","N/A","N/A","N/A",8.2
"Stamford School District","=""1350011""","ELL",11.6,17.6,13.2,15.7,13.6
"Stamford School District","=""1350011""","Non-ELL",9.3,14.0,9.5,13.7,11.4
"State Level","=""0000000""","ELL",18.5,18.4,18.2,17.5,14.9
"State Level","=""0000000""","Non-ELL",10.6,11.1,10.3,10.2,9.2
"Sterling School District","=""1360011""","Non-ELL",8.2,5.1,6.9,7.0,8.6
"Stonington School District","=""1370011""","ELL","*","*",50.0,"*","*"
"Stonington School District","=""1370011""","Non-ELL",16.7,6.4,8.4,8.3,6.1
"Stratford School District","=""1380011""","ELL",6.9,10.0,10.0,9.6,11.4
"Stratford School District","=""1380011""","Non-ELL",9.4,12.6,11.3,10.3,11.8
"Suffield School District","=""1390011""","ELL","*","*","*","*","*"
"Suffield School District","=""1390011""","Non-ELL",7.6,5.7,6.7,1.2,6.1
"The Bridge Academy District","=""2690013""","ELL","N/A","*","*","*","*"
"The Bridge Academy District","=""2690013""","Non-ELL",4.2,5.4,8.5,7.5,8.0
"The Gilbert School District","=""9020022""","ELL","*","*","*","*","*"
"The Gilbert School District","=""9020022""","Non-ELL",12.9,15.1,16.1,23.7,4.7
"Thomaston School District","=""1400011""","ELL","*","*","*","*","*"
"Thomaston School District","=""1400011""","Non-ELL",5.9,6.7,5.5,6.8,6.9
"Thompson School District","=""1410011""","ELL","*","N/A","*","*","*"
"Thompson School District","=""1410011""","Non-ELL",11.8,8.3,5.7,5.6,7.8
"Tolland School District","=""1420011""","ELL","*","*","*","*","*"
"Tolland School District","=""1420011""","Non-ELL",5.8,5.7,3.4,4.4,4.9
"Torrington School District","=""1430011""","ELL",7.9,7.3,10.6,6.7,3.2
"Torrington School District","=""1430011""","Non-ELL",14.6,14.5,14.6,11.1,10.4
"Trailblazers Academy District","=""2780013""","ELL","N/A","N/A","N/A","N/A","*"
"Trailblazers Academy District","=""2780013""","Non-ELL",6.5,"*",0.0,65.9,18.3
"Trumbull School District","=""1440011""","ELL",13.8,7.3,"*",9.3,10.3
"Trumbull School District","=""1440011""","Non-ELL",5.9,4.1,2.1,3.3,4.7
"Unified School District #1","=""3360015""","Non-ELL",46.8,43.0,21.9,31.8,34.3
"Unified School District #2","=""3470015""","ELL","*","N/A","*","N/A","N/A"
"Unified School District #2","=""3470015""","Non-ELL",19.4,21.8,"*",3.3,9.1
"Union School District","=""1450011""","Non-ELL",0.0,0.0,"*",7.8,"*"
"Vernon School District","=""1460011""","ELL",16.7,"*",14.9,9.6,13.8
"Vernon School District","=""1460011""","Non-ELL",9.8,8.1,7.0,9.0,9.9
"Voluntown School District","=""1470011""","Non-ELL",7.8,8.8,9.3,6.8,3.1
"Wallingford School District","=""1480011""","ELL",10.1,6.9,4.9,5.3,7.3
"Wallingford School District","=""1480011""","Non-ELL",11.3,9.8,5.6,5.2,5.0
"Waterbury School District","=""1510011""","ELL",23.7,23.5,25.4,25.0,19.7
"Waterbury School District","=""1510011""","Non-ELL",17.4,19.3,19.9,17.7,15.7
"Waterford School District","=""1520011""","ELL",21.7,"*","*","*","*"
"Waterford School District","=""1520011""","Non-ELL",6.9,7.5,5.9,6.0,5.7
