"Chronic Absenteeism, 2015-16"
", Free/Reduced Price Meal Eligibility"

"District","District Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Booker T. Washington Academy District","=""2950013""","Not Eligible For Lunch","*"
"Bozrah School District","=""0130011""","Eligible For Free Lunch","*"
"Bozrah School District","=""0130011""","Eligible For Reduced Lunch","*"
"Bozrah School District","=""0130011""","Not Eligible For Lunch",6.1
"Branford School District","=""0140011""","Eligible For Free Lunch",17.6
"Branford School District","=""0140011""","Eligible For Reduced Lunch",12.6
"Branford School District","=""0140011""","Not Eligible For Lunch",6.8
"Brass City Charter School District","=""2900013""","Eligible For Free Lunch",9.3
"Brass City Charter School District","=""2900013""","Eligible For Reduced Lunch","*"
"Brass City Charter School District","=""2900013""","Not Eligible For Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Eligible For Free Lunch",5.7
"Bridgeport Achievement First District","=""2850013""","Eligible For Reduced Lunch",0.0
"Bridgeport Achievement First District","=""2850013""","Not Eligible For Lunch",3.7
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",17.4
"Bristol School District","=""0170011""","Eligible For Free Lunch",15.7
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",6.1
"Bristol School District","=""0170011""","Not Eligible For Lunch",3.8
"Brookfield School District","=""0180011""","Eligible For Free Lunch",3.5
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",2.1
"Brooklyn School District","=""0190011""","Eligible For Free Lunch",4.6
"Brooklyn School District","=""0190011""","Eligible For Reduced Lunch","*"
"Brooklyn School District","=""0190011""","Not Eligible For Lunch",1.5
"Canaan School District","=""0210011""","Eligible For Free Lunch","*"
"Canaan School District","=""0210011""","Not Eligible For Lunch",10.3
"Canterbury School District","=""0220011""","Eligible For Free Lunch",12.5
"Canterbury School District","=""0220011""","Eligible For Reduced Lunch",0.0
"Canterbury School District","=""0220011""","Not Eligible For Lunch",1.8
"Canton School District","=""0230011""","Eligible For Free Lunch",16.6
"Canton School District","=""0230011""","Eligible For Reduced Lunch","*"
"Canton School District","=""0230011""","Not Eligible For Lunch",4.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Eligible For Free Lunch",20.0
"Capital Preparatory Harbor School Inc. District","=""2970013""","Eligible For Reduced Lunch","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Not Eligible For Lunch",9.4
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",18.0
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",7.4
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",6.2
"Chaplin School District","=""0240011""","Eligible For Free Lunch",12.7
"Chaplin School District","=""0240011""","Eligible For Reduced Lunch","*"
"Chaplin School District","=""0240011""","Not Eligible For Lunch",9.5
"Cheshire School District","=""0250011""","Eligible For Free Lunch",17.3
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch",8.6
"Cheshire School District","=""0250011""","Not Eligible For Lunch",4.3
"Chester School District","=""0260011""","Eligible For Free Lunch","*"
"Chester School District","=""0260011""","Eligible For Reduced Lunch","*"
"Chester School District","=""0260011""","Not Eligible For Lunch","*"
"Clinton School District","=""0270011""","Eligible For Free Lunch",10.6
"Clinton School District","=""0270011""","Eligible For Reduced Lunch",10.0
"Clinton School District","=""0270011""","Not Eligible For Lunch",4.0
"Colchester School District","=""0280011""","Eligible For Free Lunch",12.9
"Colchester School District","=""0280011""","Eligible For Reduced Lunch","*"
"Colchester School District","=""0280011""","Not Eligible For Lunch",4.7
"Colebrook School District","=""0290011""","Eligible For Free Lunch","*"
"Colebrook School District","=""0290011""","Eligible For Reduced Lunch","*"
"Colebrook School District","=""0290011""","Not Eligible For Lunch",0.0
"Columbia School District","=""0300011""","Eligible For Free Lunch","*"
"Columbia School District","=""0300011""","Eligible For Reduced Lunch","*"
"Columbia School District","=""0300011""","Not Eligible For Lunch",3.4
"Common Ground High School District","=""2680013""","Eligible For Free Lunch",22.6
"Common Ground High School District","=""2680013""","Eligible For Reduced Lunch","*"
"Common Ground High School District","=""2680013""","Not Eligible For Lunch","*"
"Connecticut Technical High School System","=""9000016""","Eligible For Free Lunch",18.6
"Connecticut Technical High School System","=""9000016""","Eligible For Reduced Lunch",9.5
"Connecticut Technical High School System","=""9000016""","Not Eligible For Lunch",8.3
"Cooperative Educational Services","=""2430014""","Eligible For Free Lunch",27.6
"Cooperative Educational Services","=""2430014""","Eligible For Reduced Lunch",18.8
"Cooperative Educational Services","=""2430014""","Not Eligible For Lunch",12.1
"Cornwall School District","=""0310011""","Eligible For Free Lunch","*"
"Cornwall School District","=""0310011""","Not Eligible For Lunch","*"
"Coventry School District","=""0320011""","Eligible For Free Lunch",14.7
"Coventry School District","=""0320011""","Eligible For Reduced Lunch","*"
"Coventry School District","=""0320011""","Not Eligible For Lunch",3.9
"Cromwell School District","=""0330011""","Eligible For Free Lunch",4.6
"Cromwell School District","=""0330011""","Eligible For Reduced Lunch","*"
"Cromwell School District","=""0330011""","Not Eligible For Lunch",1.1
"Danbury School District","=""0340011""","Eligible For Free Lunch",8.8
"Danbury School District","=""0340011""","Eligible For Reduced Lunch",5.7
"Danbury School District","=""0340011""","Not Eligible For Lunch",6.5
"Darien School District","=""0350011""","Eligible For Free Lunch",9.6
"Darien School District","=""0350011""","Eligible For Reduced Lunch","*"
"Darien School District","=""0350011""","Not Eligible For Lunch",2.8
"Deep River School District","=""0360011""","Eligible For Free Lunch","*"
"Deep River School District","=""0360011""","Eligible For Reduced Lunch","*"
"Deep River School District","=""0360011""","Not Eligible For Lunch","*"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible For Free Lunch","*"
"Derby School District","=""0370011""","Eligible For Free Lunch",16.6
"Derby School District","=""0370011""","Eligible For Reduced Lunch",11.0
"Derby School District","=""0370011""","Not Eligible For Lunch",8.4
"East Granby School District","=""0400011""","Eligible For Free Lunch",19.4
"East Granby School District","=""0400011""","Not Eligible For Lunch",4.0
"East Haddam School District","=""0410011""","Eligible For Free Lunch",12.9
"East Haddam School District","=""0410011""","Eligible For Reduced Lunch","*"
"East Haddam School District","=""0410011""","Not Eligible For Lunch",5.5
"East Hampton School District","=""0420011""","Eligible For Free Lunch",22.3
"East Hampton School District","=""0420011""","Eligible For Reduced Lunch","*"
"East Hampton School District","=""0420011""","Not Eligible For Lunch",5.5
"East Hartford School District","=""0430011""","Eligible For Free Lunch",16.9
"East Hartford School District","=""0430011""","Eligible For Reduced Lunch",6.2
"East Hartford School District","=""0430011""","Not Eligible For Lunch",6.6
"East Haven School District","=""0440011""","Eligible For Free Lunch",13.3
"East Haven School District","=""0440011""","Eligible For Reduced Lunch",8.5
"East Haven School District","=""0440011""","Not Eligible For Lunch",8.1
"East Lyme School District","=""0450011""","Eligible For Free Lunch",11.4
"East Lyme School District","=""0450011""","Eligible For Reduced Lunch",12.9
"East Lyme School District","=""0450011""","Not Eligible For Lunch",3.4
"East Windsor School District","=""0470011""","Eligible For Free Lunch",20.9
"East Windsor School District","=""0470011""","Eligible For Reduced Lunch","*"
"East Windsor School District","=""0470011""","Not Eligible For Lunch",6.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Free Lunch",40.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Reduced Lunch",30.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Not Eligible For Lunch",29.5
"Eastford School District","=""0390011""","Eligible For Free Lunch",0.0
"Eastford School District","=""0390011""","Not Eligible For Lunch","*"
"Easton School District","=""0460011""","Eligible For Free Lunch","*"
"Easton School District","=""0460011""","Eligible For Reduced Lunch","*"
"Easton School District","=""0460011""","Not Eligible For Lunch",1.6
"Education Connection","=""2420014""","Eligible For Free Lunch","*"
"Education Connection","=""2420014""","Eligible For Reduced Lunch","*"
"Education Connection","=""2420014""","Not Eligible For Lunch","*"
"Ellington School District","=""0480011""","Eligible For Free Lunch",14.5
"Ellington School District","=""0480011""","Eligible For Reduced Lunch","*"
"Ellington School District","=""0480011""","Not Eligible For Lunch",3.3
"Elm City College Preparatory School District","=""2890013""","Eligible For Free Lunch",6.1
"Elm City College Preparatory School District","=""2890013""","Eligible For Reduced Lunch","*"
"Elm City College Preparatory School District","=""2890013""","Not Eligible For Lunch",6.9
"Elm City Montessori School District","=""2910013""","Eligible For Free Lunch","*"
"Elm City Montessori School District","=""2910013""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Eligible For Free Lunch",20.6
"Enfield School District","=""0490011""","Eligible For Reduced Lunch",7.8
"Enfield School District","=""0490011""","Not Eligible For Lunch",7.8
"Essex School District","=""0500011""","Eligible For Free Lunch","*"
"Essex School District","=""0500011""","Eligible For Reduced Lunch","*"
"Essex School District","=""0500011""","Not Eligible For Lunch",2.4
"Explorations District","=""2720013""","Eligible For Free Lunch",42.4
"Explorations District","=""2720013""","Eligible For Reduced Lunch","*"
"Explorations District","=""2720013""","Not Eligible For Lunch",22.4
"Fairfield School District","=""0510011""","Eligible For Free Lunch",8.9
"Fairfield School District","=""0510011""","Eligible For Reduced Lunch",7.1
"Fairfield School District","=""0510011""","Not Eligible For Lunch",3.3
"Farmington School District","=""0520011""","Eligible For Free Lunch",12.7
"Farmington School District","=""0520011""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","Not Eligible For Lunch",3.6
"Franklin School District","=""0530011""","Eligible For Free Lunch",0.0
"Franklin School District","=""0530011""","Eligible For Reduced Lunch","*"
"Franklin School District","=""0530011""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Eligible For Free Lunch",8.6
"Glastonbury School District","=""0540011""","Eligible For Reduced Lunch",8.0
"Glastonbury School District","=""0540011""","Not Eligible For Lunch",2.1
"Granby School District","=""0560011""","Eligible For Free Lunch",20.7
"Granby School District","=""0560011""","Eligible For Reduced Lunch","*"
"Granby School District","=""0560011""","Not Eligible For Lunch",3.8
"Great Oaks Charter School District","=""2940013""","Eligible For Free Lunch",17.2
"Great Oaks Charter School District","=""2940013""","Eligible For Reduced Lunch","*"
"Great Oaks Charter School District","=""2940013""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Eligible For Free Lunch",9.9
"Greenwich School District","=""0570011""","Eligible For Reduced Lunch",4.1
"Greenwich School District","=""0570011""","Not Eligible For Lunch",3.0
"Griswold School District","=""0580011""","Eligible For Free Lunch",17.1
"Griswold School District","=""0580011""","Eligible For Reduced Lunch",14.1
"Griswold School District","=""0580011""","Not Eligible For Lunch",4.5
"Groton School District","=""0590011""","Eligible For Free Lunch",18.4
"Groton School District","=""0590011""","Eligible For Reduced Lunch",10.0
"Groton School District","=""0590011""","Not Eligible For Lunch",6.7
"Guilford School District","=""0600011""","Eligible For Free Lunch",10.6
"Guilford School District","=""0600011""","Eligible For Reduced Lunch","*"
"Guilford School District","=""0600011""","Not Eligible For Lunch",4.2
"Hamden School District","=""0620011""","Eligible For Free Lunch",27.2
"Hamden School District","=""0620011""","Eligible For Reduced Lunch",19.5
"Hamden School District","=""0620011""","Not Eligible For Lunch",13.4
"Hampton School District","=""0630011""","Eligible For Free Lunch","*"
"Hampton School District","=""0630011""","Eligible For Reduced Lunch","*"
"Hampton School District","=""0630011""","Not Eligible For Lunch","*"
"Hartford School District","=""0640011""","Eligible For Free Lunch",26.0
"Hartford School District","=""0640011""","Eligible For Reduced Lunch",6.4
"Hartford School District","=""0640011""","Not Eligible For Lunch",7.7
"Hartland School District","=""0650011""","Eligible For Free Lunch","*"
"Hartland School District","=""0650011""","Eligible For Reduced Lunch","*"
"Hartland School District","=""0650011""","Not Eligible For Lunch","*"
"Hebron School District","=""0670011""","Eligible For Free Lunch","*"
"Hebron School District","=""0670011""","Eligible For Reduced Lunch","*"
"Hebron School District","=""0670011""","Not Eligible For Lunch",1.3
"Highville Charter School District","=""2860013""","Eligible For Free Lunch",3.5
"Highville Charter School District","=""2860013""","Eligible For Reduced Lunch","*"
"Highville Charter School District","=""2860013""","Not Eligible For Lunch",10.7
"Integrated Day Charter School District","=""2640013""","Eligible For Free Lunch",7.6
"Integrated Day Charter School District","=""2640013""","Eligible For Reduced Lunch",0.0
"Integrated Day Charter School District","=""2640013""","Not Eligible For Lunch",3.7
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Free Lunch",9.5
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Reduced Lunch","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Not Eligible For Lunch","*"
"Jumoke Academy District","=""2610013""","Eligible For Free Lunch",7.6
"Jumoke Academy District","=""2610013""","Eligible For Reduced Lunch","*"
"Jumoke Academy District","=""2610013""","Not Eligible For Lunch",4.7
"Kent School District","=""0680011""","Eligible For Free Lunch",0.0
"Kent School District","=""0680011""","Eligible For Reduced Lunch","*"
"Kent School District","=""0680011""","Not Eligible For Lunch",3.1
"Killingly School District","=""0690011""","Eligible For Free Lunch",15.9
"Killingly School District","=""0690011""","Eligible For Reduced Lunch",9.6
"Killingly School District","=""0690011""","Not Eligible For Lunch",8.6
"Learn","=""2450014""","Eligible For Free Lunch",14.3
"Learn","=""2450014""","Eligible For Reduced Lunch",7.9
"Learn","=""2450014""","Not Eligible For Lunch",6.3
"Lebanon School District","=""0710011""","Eligible For Free Lunch",13.9
"Lebanon School District","=""0710011""","Eligible For Reduced Lunch","*"
"Lebanon School District","=""0710011""","Not Eligible For Lunch",5.2
"Ledyard School District","=""0720011""","Eligible For Free Lunch",15.4
"Ledyard School District","=""0720011""","Eligible For Reduced Lunch",5.6
"Ledyard School District","=""0720011""","Not Eligible For Lunch",5.5
"Lisbon School District","=""0730011""","Eligible For Free Lunch",10.1
"Lisbon School District","=""0730011""","Eligible For Reduced Lunch","*"
"Lisbon School District","=""0730011""","Not Eligible For Lunch",3.7
"Litchfield School District","=""0740011""","Eligible For Free Lunch",17.9
"Litchfield School District","=""0740011""","Eligible For Reduced Lunch","*"
"Litchfield School District","=""0740011""","Not Eligible For Lunch",7.8
"Madison School District","=""0760011""","Eligible For Free Lunch","*"
"Madison School District","=""0760011""","Eligible For Reduced Lunch","*"
"Madison School District","=""0760011""","Not Eligible For Lunch",1.8
"Manchester School District","=""0770011""","Eligible For Free Lunch",19.8
"Manchester School District","=""0770011""","Eligible For Reduced Lunch",6.8
"Manchester School District","=""0770011""","Not Eligible For Lunch",9.4
"Mansfield School District","=""0780011""","Eligible For Free Lunch",6.2
"Mansfield School District","=""0780011""","Eligible For Reduced Lunch",12.5
"Mansfield School District","=""0780011""","Not Eligible For Lunch",4.3
"Marlborough School District","=""0790011""","Eligible For Free Lunch",16.3
"Marlborough School District","=""0790011""","Eligible For Reduced Lunch","*"
"Marlborough School District","=""0790011""","Not Eligible For Lunch",2.3
"Meriden School District","=""0800011""","Eligible For Free Lunch",16.8
"Meriden School District","=""0800011""","Eligible For Reduced Lunch",8.6
"Meriden School District","=""0800011""","Not Eligible For Lunch",5.7
"Middletown School District","=""0830011""","Eligible For Free Lunch",15.1
"Middletown School District","=""0830011""","Eligible For Reduced Lunch",6.1
"Middletown School District","=""0830011""","Not Eligible For Lunch",4.9
"Milford School District","=""0840011""","Eligible For Free Lunch",17.1
"Milford School District","=""0840011""","Eligible For Reduced Lunch",5.6
"Milford School District","=""0840011""","Not Eligible For Lunch",5.5
"Monroe School District","=""0850011""","Eligible For Free Lunch",9.0
"Monroe School District","=""0850011""","Eligible For Reduced Lunch","*"
"Monroe School District","=""0850011""","Not Eligible For Lunch",2.2
"Montville School District","=""0860011""","Eligible For Free Lunch",13.5
"Montville School District","=""0860011""","Eligible For Reduced Lunch",2.9
"Montville School District","=""0860011""","Not Eligible For Lunch",3.8
"Naugatuck School District","=""0880011""","Eligible For Free Lunch",17.1
"Naugatuck School District","=""0880011""","Eligible For Reduced Lunch",11.6
"Naugatuck School District","=""0880011""","Not Eligible For Lunch",6.8
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible For Free Lunch",8.2
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible For Reduced Lunch","*"
"New Beginnings Inc., Family Academy District","=""2800013""","Not Eligible For Lunch","*"
"New Britain School District","=""0890011""","Eligible For Free Lunch",20.3
"New Britain School District","=""0890011""","Eligible For Reduced Lunch",10.5
"New Britain School District","=""0890011""","Not Eligible For Lunch",11.6
"New Canaan School District","=""0900011""","Not Eligible For Lunch",2.4
"New Fairfield School District","=""0910011""","Eligible For Free Lunch",11.0
"New Fairfield School District","=""0910011""","Eligible For Reduced Lunch","*"
"New Fairfield School District","=""0910011""","Not Eligible For Lunch",2.7
"New Hartford School District","=""0920011""","Eligible For Free Lunch","*"
"New Hartford School District","=""0920011""","Eligible For Reduced Lunch","*"
"New Hartford School District","=""0920011""","Not Eligible For Lunch",3.1
"New Haven School District","=""0930011""","Eligible For Free Lunch",24.7
"New Haven School District","=""0930011""","Eligible For Reduced Lunch",11.7
"New Haven School District","=""0930011""","Not Eligible For Lunch",14.3
"New London School District","=""0950011""","Eligible For Free Lunch",21.1
"New London School District","=""0950011""","Eligible For Reduced Lunch",9.2
"New London School District","=""0950011""","Not Eligible For Lunch",9.7
"New Milford School District","=""0960011""","Eligible For Free Lunch",12.0
"New Milford School District","=""0960011""","Eligible For Reduced Lunch",6.3
"New Milford School District","=""0960011""","Not Eligible For Lunch",4.2
"Newington School District","=""0940011""","Eligible For Free Lunch",9.3
"Newington School District","=""0940011""","Eligible For Reduced Lunch",6.0
"Newington School District","=""0940011""","Not Eligible For Lunch",4.0
"Newtown School District","=""0970011""","Eligible For Free Lunch",12.5
"Newtown School District","=""0970011""","Eligible For Reduced Lunch",7.4
"Newtown School District","=""0970011""","Not Eligible For Lunch",3.9
"Norfolk School District","=""0980011""","Eligible For Free Lunch","*"
"Norfolk School District","=""0980011""","Eligible For Reduced Lunch","*"
"Norfolk School District","=""0980011""","Not Eligible For Lunch","*"
"North Branford School District","=""0990011""","Eligible For Free Lunch",12.7
"North Branford School District","=""0990011""","Eligible For Reduced Lunch","*"
"North Branford School District","=""0990011""","Not Eligible For Lunch",3.8
"North Canaan School District","=""1000011""","Eligible For Free Lunch","*"
"North Canaan School District","=""1000011""","Eligible For Reduced Lunch","*"
"North Canaan School District","=""1000011""","Not Eligible For Lunch",4.5
"North Haven School District","=""1010011""","Eligible For Free Lunch",12.1
"North Haven School District","=""1010011""","Eligible For Reduced Lunch",4.9
"North Haven School District","=""1010011""","Not Eligible For Lunch",3.1
"North Stonington School District","=""1020011""","Eligible For Free Lunch",11.6
"North Stonington School District","=""1020011""","Eligible For Reduced Lunch","*"
"North Stonington School District","=""1020011""","Not Eligible For Lunch",3.1
"Norwalk School District","=""1030011""","Eligible For Free Lunch",12.5
"Norwalk School District","=""1030011""","Eligible For Reduced Lunch",7.0
"Norwalk School District","=""1030011""","Not Eligible For Lunch",8.7
"Norwich Free Academy District","=""9010022""","Eligible For Free Lunch",16.2
"Norwich Free Academy District","=""9010022""","Eligible For Reduced Lunch",6.4
"Norwich Free Academy District","=""9010022""","Not Eligible For Lunch",7.3
"Norwich School District","=""1040011""","Eligible For Free Lunch",11.8
"Norwich School District","=""1040011""","Eligible For Reduced Lunch",4.9
"Norwich School District","=""1040011""","Not Eligible For Lunch",5.9
"Odyssey Community School District","=""2630013""","Eligible For Free Lunch","*"
"Odyssey Community School District","=""2630013""","Eligible For Reduced Lunch","*"
"Odyssey Community School District","=""2630013""","Not Eligible For Lunch",5.3
"Old Saybrook School District","=""1060011""","Eligible For Free Lunch",8.6
"Old Saybrook School District","=""1060011""","Eligible For Reduced Lunch","*"
"Old Saybrook School District","=""1060011""","Not Eligible For Lunch",6.1
"Orange School District","=""1070011""","Eligible For Free Lunch",10.9
"Orange School District","=""1070011""","Eligible For Reduced Lunch","*"
"Orange School District","=""1070011""","Not Eligible For Lunch",2.8
"Oxford School District","=""1080011""","Eligible For Free Lunch",18.6
"Oxford School District","=""1080011""","Eligible For Reduced Lunch",14.6
"Oxford School District","=""1080011""","Not Eligible For Lunch",5.7
"Park City Prep Charter School District","=""2830013""","Eligible For Free Lunch",7.2
"Park City Prep Charter School District","=""2830013""","Eligible For Reduced Lunch","*"
"Park City Prep Charter School District","=""2830013""","Not Eligible For Lunch","*"
"Path Academy District","=""2930013""","Eligible For Free Lunch",100.0
"Path Academy District","=""2930013""","Eligible For Reduced Lunch","*"
"Path Academy District","=""2930013""","Not Eligible For Lunch","*"
"Plainfield School District","=""1090011""","Eligible For Free Lunch",17.9
"Plainfield School District","=""1090011""","Eligible For Reduced Lunch",14.2
"Plainfield School District","=""1090011""","Not Eligible For Lunch",7.2
"Plainville School District","=""1100011""","Eligible For Free Lunch",17.2
"Plainville School District","=""1100011""","Eligible For Reduced Lunch",7.4
"Plainville School District","=""1100011""","Not Eligible For Lunch",4.9
"Plymouth School District","=""1110011""","Eligible For Free Lunch",20.2
"Plymouth School District","=""1110011""","Eligible For Reduced Lunch",18.0
"Plymouth School District","=""1110011""","Not Eligible For Lunch",7.0
"Pomfret School District","=""1120011""","Eligible For Free Lunch","*"
"Pomfret School District","=""1120011""","Eligible For Reduced Lunch","*"
"Pomfret School District","=""1120011""","Not Eligible For Lunch","*"
"Portland School District","=""1130011""","Eligible For Free Lunch",15.3
"Portland School District","=""1130011""","Eligible For Reduced Lunch",13.3
"Portland School District","=""1130011""","Not Eligible For Lunch",3.6
"Preston School District","=""1140011""","Eligible For Free Lunch",10.7
"Preston School District","=""1140011""","Eligible For Reduced Lunch","*"
"Preston School District","=""1140011""","Not Eligible For Lunch",3.5
"Putnam School District","=""1160011""","Eligible For Free Lunch",19.3
"Putnam School District","=""1160011""","Eligible For Reduced Lunch",17.0
"Putnam School District","=""1160011""","Not Eligible For Lunch",8.4
"Redding School District","=""1170011""","Eligible For Free Lunch",0.0
"Redding School District","=""1170011""","Eligible For Reduced Lunch","*"
"Redding School District","=""1170011""","Not Eligible For Lunch",3.0
"Regional School District 01","=""2010012""","Eligible For Free Lunch",13.6
"Regional School District 01","=""2010012""","Eligible For Reduced Lunch","*"
"Regional School District 01","=""2010012""","Not Eligible For Lunch",9.9
"Regional School District 04","=""2040012""","Eligible For Free Lunch",14.1
"Regional School District 04","=""2040012""","Eligible For Reduced Lunch","*"
"Regional School District 04","=""2040012""","Not Eligible For Lunch",5.9
"Regional School District 05","=""2050012""","Eligible For Free Lunch",6.5
"Regional School District 05","=""2050012""","Eligible For Reduced Lunch","*"
"Regional School District 05","=""2050012""","Not Eligible For Lunch",2.6
"Regional School District 06","=""2060012""","Eligible For Free Lunch",9.4
"Regional School District 06","=""2060012""","Eligible For Reduced Lunch","*"
"Regional School District 06","=""2060012""","Not Eligible For Lunch",3.8
"Regional School District 07","=""2070012""","Eligible For Free Lunch",10.0
"Regional School District 07","=""2070012""","Eligible For Reduced Lunch","*"
"Regional School District 07","=""2070012""","Not Eligible For Lunch",4.0
"Regional School District 08","=""2080012""","Eligible For Free Lunch",22.6
"Regional School District 08","=""2080012""","Eligible For Reduced Lunch","*"
"Regional School District 08","=""2080012""","Not Eligible For Lunch",5.7
"Regional School District 09","=""2090012""","Eligible For Free Lunch","*"
"Regional School District 09","=""2090012""","Eligible For Reduced Lunch","*"
"Regional School District 09","=""2090012""","Not Eligible For Lunch",9.3
"Regional School District 10","=""2100012""","Eligible For Free Lunch",19.3
"Regional School District 10","=""2100012""","Eligible For Reduced Lunch","*"
"Regional School District 10","=""2100012""","Not Eligible For Lunch",5.3
"Regional School District 11","=""2110012""","Eligible For Free Lunch",10.8
"Regional School District 11","=""2110012""","Eligible For Reduced Lunch","*"
"Regional School District 11","=""2110012""","Not Eligible For Lunch",9.0
"Regional School District 12","=""2120012""","Eligible For Free Lunch",12.0
"Regional School District 12","=""2120012""","Eligible For Reduced Lunch","*"
"Regional School District 12","=""2120012""","Not Eligible For Lunch",5.0
"Regional School District 13","=""2130012""","Eligible For Free Lunch",17.9
"Regional School District 13","=""2130012""","Eligible For Reduced Lunch","*"
"Regional School District 13","=""2130012""","Not Eligible For Lunch",4.2
"Regional School District 14","=""2140012""","Eligible For Free Lunch",11.0
"Regional School District 14","=""2140012""","Eligible For Reduced Lunch","*"
"Regional School District 14","=""2140012""","Not Eligible For Lunch",5.6
"Regional School District 15","=""2150012""","Eligible For Free Lunch",6.0
"Regional School District 15","=""2150012""","Eligible For Reduced Lunch","*"
"Regional School District 15","=""2150012""","Not Eligible For Lunch",2.9
"Regional School District 16","=""2160012""","Eligible For Free Lunch",18.1
"Regional School District 16","=""2160012""","Eligible For Reduced Lunch",20.5
"Regional School District 16","=""2160012""","Not Eligible For Lunch",5.4
"Regional School District 17","=""2170012""","Eligible For Free Lunch",13.6
"Regional School District 17","=""2170012""","Eligible For Reduced Lunch","*"
"Regional School District 17","=""2170012""","Not Eligible For Lunch",3.7
"Regional School District 18","=""2180012""","Eligible For Free Lunch",25.6
"Regional School District 18","=""2180012""","Eligible For Reduced Lunch","*"
"Regional School District 18","=""2180012""","Not Eligible For Lunch",5.5
