"Chronic Absenteeism, 2015-16"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Capitol Region Education Council","=""2410014""","Grade   7",8.4
"Capitol Region Education Council","=""2410014""","Grade   8",9.6
"Capitol Region Education Council","=""2410014""","Grade   9",15.8
"Capitol Region Education Council","=""2410014""","Grade 10",16.2
"Capitol Region Education Council","=""2410014""","Grade 11",20.5
"Capitol Region Education Council","=""2410014""","Grade 12",25.1
"Chaplin School District","=""0240011""","Kindergarten","*"
"Chaplin School District","=""0240011""","Grade   1","*"
"Chaplin School District","=""0240011""","Grade   2","*"
"Chaplin School District","=""0240011""","Grade   3",26.1
"Chaplin School District","=""0240011""","Grade   4","*"
"Chaplin School District","=""0240011""","Grade   5",0.0
"Chaplin School District","=""0240011""","Grade   6","*"
"Cheshire School District","=""0250011""","Kindergarten",4.2
"Cheshire School District","=""0250011""","Grade   1",5.1
"Cheshire School District","=""0250011""","Grade   2",2.7
"Cheshire School District","=""0250011""","Grade   3",2.6
"Cheshire School District","=""0250011""","Grade   4",5.7
"Cheshire School District","=""0250011""","Grade   5",2.3
"Cheshire School District","=""0250011""","Grade   6",4.5
"Cheshire School District","=""0250011""","Grade   7",5.4
"Cheshire School District","=""0250011""","Grade   8",5.0
"Cheshire School District","=""0250011""","Grade   9",4.1
"Cheshire School District","=""0250011""","Grade 10",5.8
"Cheshire School District","=""0250011""","Grade 11",7.3
"Cheshire School District","=""0250011""","Grade 12",10.8
"Chester School District","=""0260011""","Kindergarten","*"
"Chester School District","=""0260011""","Grade   1","*"
"Chester School District","=""0260011""","Grade   2",0.0
"Chester School District","=""0260011""","Grade   3","*"
"Chester School District","=""0260011""","Grade   4","*"
"Chester School District","=""0260011""","Grade   5",0.0
"Chester School District","=""0260011""","Grade   6","*"
"Clinton School District","=""0270011""","Kindergarten","*"
"Clinton School District","=""0270011""","Grade   1","*"
"Clinton School District","=""0270011""","Grade   2","*"
"Clinton School District","=""0270011""","Grade   3","*"
"Clinton School District","=""0270011""","Grade   4","*"
"Clinton School District","=""0270011""","Grade   5","*"
"Clinton School District","=""0270011""","Grade   6",5.8
"Clinton School District","=""0270011""","Grade   7",4.1
"Clinton School District","=""0270011""","Grade   8",3.7
"Clinton School District","=""0270011""","Grade   9",6.3
"Clinton School District","=""0270011""","Grade 10",9.1
"Clinton School District","=""0270011""","Grade 11",15.6
"Clinton School District","=""0270011""","Grade 12",11.4
"Colchester School District","=""0280011""","Kindergarten",6.2
"Colchester School District","=""0280011""","Grade   1",4.0
"Colchester School District","=""0280011""","Grade   2","*"
"Colchester School District","=""0280011""","Grade   3","*"
"Colchester School District","=""0280011""","Grade   4","*"
"Colchester School District","=""0280011""","Grade   5",3.4
"Colchester School District","=""0280011""","Grade   6",3.8
"Colchester School District","=""0280011""","Grade   7",5.4
"Colchester School District","=""0280011""","Grade   8",5.2
"Colchester School District","=""0280011""","Grade   9",8.3
"Colchester School District","=""0280011""","Grade 10",6.3
"Colchester School District","=""0280011""","Grade 11",8.9
"Colchester School District","=""0280011""","Grade 12",14.7
"Colebrook School District","=""0290011""","Kindergarten","*"
"Colebrook School District","=""0290011""","Grade   1","*"
"Colebrook School District","=""0290011""","Grade   2","*"
"Colebrook School District","=""0290011""","Grade   3","*"
"Colebrook School District","=""0290011""","Grade   4","*"
"Colebrook School District","=""0290011""","Grade   5","*"
"Colebrook School District","=""0290011""","Grade   6","*"
"Columbia School District","=""0300011""","Kindergarten",0.0
"Columbia School District","=""0300011""","Grade   1","*"
"Columbia School District","=""0300011""","Grade   2","*"
"Columbia School District","=""0300011""","Grade   3","*"
"Columbia School District","=""0300011""","Grade   4","*"
"Columbia School District","=""0300011""","Grade   5","*"
"Columbia School District","=""0300011""","Grade   6","*"
"Columbia School District","=""0300011""","Grade   7","*"
"Columbia School District","=""0300011""","Grade   8","*"
"Columbia School District","=""0300011""","Grade   9","*"
"Columbia School District","=""0300011""","Grade 10","*"
"Columbia School District","=""0300011""","Grade 11","*"
"Columbia School District","=""0300011""","Grade 12","*"
"Common Ground High School District","=""2680013""","Grade   9","*"
"Common Ground High School District","=""2680013""","Grade 10",14.0
"Common Ground High School District","=""2680013""","Grade 11","*"
"Common Ground High School District","=""2680013""","Grade 12",20.0
"Connecticut Technical High School System","=""9000016""","Grade   9",9.4
"Connecticut Technical High School System","=""9000016""","Grade 10",10.6
"Connecticut Technical High School System","=""9000016""","Grade 11",13.1
"Connecticut Technical High School System","=""9000016""","Grade 12",18.3
"Cooperative Educational Services","=""2430014""","Kindergarten",10.2
"Cooperative Educational Services","=""2430014""","Grade   1","*"
"Cooperative Educational Services","=""2430014""","Grade   2","*"
"Cooperative Educational Services","=""2430014""","Grade   3",8.5
"Cooperative Educational Services","=""2430014""","Grade   4",8.0
"Cooperative Educational Services","=""2430014""","Grade   5","*"
"Cooperative Educational Services","=""2430014""","Grade   6",16.7
"Cooperative Educational Services","=""2430014""","Grade   7",23.6
"Cooperative Educational Services","=""2430014""","Grade   8",14.5
"Cooperative Educational Services","=""2430014""","Grade   9",38.2
"Cooperative Educational Services","=""2430014""","Grade 10",37.9
"Cooperative Educational Services","=""2430014""","Grade 11",34.8
"Cooperative Educational Services","=""2430014""","Grade 12",28.6
"Cornwall School District","=""0310011""","Kindergarten","*"
"Cornwall School District","=""0310011""","Grade   1","*"
"Cornwall School District","=""0310011""","Grade   2","*"
"Cornwall School District","=""0310011""","Grade   3","*"
"Cornwall School District","=""0310011""","Grade   4","*"
"Cornwall School District","=""0310011""","Grade   5","*"
"Cornwall School District","=""0310011""","Grade   6","*"
"Cornwall School District","=""0310011""","Grade   7","*"
"Cornwall School District","=""0310011""","Grade   8","*"
"Coventry School District","=""0320011""","Kindergarten","*"
"Coventry School District","=""0320011""","Grade   1","*"
"Coventry School District","=""0320011""","Grade   2","*"
"Coventry School District","=""0320011""","Grade   3","*"
"Coventry School District","=""0320011""","Grade   4","*"
"Coventry School District","=""0320011""","Grade   5","*"
"Coventry School District","=""0320011""","Grade   6","*"
"Coventry School District","=""0320011""","Grade   7",5.9
"Coventry School District","=""0320011""","Grade   8",10.1
"Coventry School District","=""0320011""","Grade   9","*"
"Coventry School District","=""0320011""","Grade 10","*"
"Coventry School District","=""0320011""","Grade 11",14.4
"Coventry School District","=""0320011""","Grade 12",10.7
"Cromwell School District","=""0330011""","Kindergarten","*"
"Cromwell School District","=""0330011""","Grade   1","*"
"Cromwell School District","=""0330011""","Grade   2","*"
"Cromwell School District","=""0330011""","Grade   3","*"
"Cromwell School District","=""0330011""","Grade   4",0.0
"Cromwell School District","=""0330011""","Grade   5",0.0
"Cromwell School District","=""0330011""","Grade   6","*"
"Cromwell School District","=""0330011""","Grade   7","*"
"Cromwell School District","=""0330011""","Grade   8","*"
"Cromwell School District","=""0330011""","Grade   9","*"
"Cromwell School District","=""0330011""","Grade 10",4.0
"Cromwell School District","=""0330011""","Grade 11","*"
"Cromwell School District","=""0330011""","Grade 12","*"
"Danbury School District","=""0340011""","Kindergarten",10.3
"Danbury School District","=""0340011""","Grade   1",5.9
"Danbury School District","=""0340011""","Grade   2",3.4
"Danbury School District","=""0340011""","Grade   3",4.0
"Danbury School District","=""0340011""","Grade   4",4.5
"Danbury School District","=""0340011""","Grade   5",5.3
"Danbury School District","=""0340011""","Grade   6",3.0
"Danbury School District","=""0340011""","Grade   7",3.7
"Danbury School District","=""0340011""","Grade   8",5.3
"Danbury School District","=""0340011""","Grade   9",13.2
"Danbury School District","=""0340011""","Grade 10",12.0
"Danbury School District","=""0340011""","Grade 11",13.2
"Danbury School District","=""0340011""","Grade 12",15.2
"Darien School District","=""0350011""","Kindergarten",1.9
"Darien School District","=""0350011""","Grade   1",2.4
"Darien School District","=""0350011""","Grade   2","*"
"Darien School District","=""0350011""","Grade   3",2.4
"Darien School District","=""0350011""","Grade   4",2.1
"Darien School District","=""0350011""","Grade   5",1.7
"Darien School District","=""0350011""","Grade   6",2.2
"Darien School District","=""0350011""","Grade   7",3.4
"Darien School District","=""0350011""","Grade   8",3.5
"Darien School District","=""0350011""","Grade   9",3.2
"Darien School District","=""0350011""","Grade 10",3.7
"Darien School District","=""0350011""","Grade 11",3.9
"Darien School District","=""0350011""","Grade 12",7.6
"Deep River School District","=""0360011""","Kindergarten","*"
"Deep River School District","=""0360011""","Grade   1",0.0
"Deep River School District","=""0360011""","Grade   2","*"
"Deep River School District","=""0360011""","Grade   3","*"
"Deep River School District","=""0360011""","Grade   4",0.0
"Deep River School District","=""0360011""","Grade   5","*"
"Deep River School District","=""0360011""","Grade   6",0.0
"Department of Mental Health and Addiction Services","=""3370015""","Grade 12","*"
"Derby School District","=""0370011""","Kindergarten",7.3
"Derby School District","=""0370011""","Grade   1","*"
"Derby School District","=""0370011""","Grade   2",9.6
"Derby School District","=""0370011""","Grade   3",12.9
"Derby School District","=""0370011""","Grade   4",5.4
"Derby School District","=""0370011""","Grade   5",7.1
"Derby School District","=""0370011""","Grade   6",8.9
"Derby School District","=""0370011""","Grade   7",9.0
"Derby School District","=""0370011""","Grade   8",24.0
"Derby School District","=""0370011""","Grade   9",30.6
"Derby School District","=""0370011""","Grade 10",17.3
"Derby School District","=""0370011""","Grade 11",16.5
"Derby School District","=""0370011""","Grade 12",23.8
"East Granby School District","=""0400011""","Kindergarten","*"
"East Granby School District","=""0400011""","Grade   1",9.2
"East Granby School District","=""0400011""","Grade   2","*"
"East Granby School District","=""0400011""","Grade   3",8.1
"East Granby School District","=""0400011""","Grade   4","*"
"East Granby School District","=""0400011""","Grade   5","*"
"East Granby School District","=""0400011""","Grade   6","*"
"East Granby School District","=""0400011""","Grade   7",0.0
"East Granby School District","=""0400011""","Grade   8","*"
"East Granby School District","=""0400011""","Grade   9","*"
"East Granby School District","=""0400011""","Grade 10","*"
"East Granby School District","=""0400011""","Grade 11",14.3
"East Granby School District","=""0400011""","Grade 12",8.2
"East Haddam School District","=""0410011""","Kindergarten","*"
"East Haddam School District","=""0410011""","Grade   1","*"
"East Haddam School District","=""0410011""","Grade   2","*"
"East Haddam School District","=""0410011""","Grade   3","*"
"East Haddam School District","=""0410011""","Grade   4",8.0
"East Haddam School District","=""0410011""","Grade   5","*"
"East Haddam School District","=""0410011""","Grade   6","*"
"East Haddam School District","=""0410011""","Grade   7","*"
"East Haddam School District","=""0410011""","Grade   8",7.7
"East Haddam School District","=""0410011""","Grade   9",8.0
"East Haddam School District","=""0410011""","Grade 10","*"
"East Haddam School District","=""0410011""","Grade 11",12.9
"East Haddam School District","=""0410011""","Grade 12",10.7
"East Hampton School District","=""0420011""","Kindergarten","*"
"East Hampton School District","=""0420011""","Grade   1",8.1
"East Hampton School District","=""0420011""","Grade   2","*"
"East Hampton School District","=""0420011""","Grade   3","*"
"East Hampton School District","=""0420011""","Grade   4",5.1
"East Hampton School District","=""0420011""","Grade   5","*"
"East Hampton School District","=""0420011""","Grade   6","*"
"East Hampton School District","=""0420011""","Grade   7",11.1
"East Hampton School District","=""0420011""","Grade   8",8.1
"East Hampton School District","=""0420011""","Grade   9",6.2
"East Hampton School District","=""0420011""","Grade 10",12.7
"East Hampton School District","=""0420011""","Grade 11",9.7
"East Hampton School District","=""0420011""","Grade 12",22.4
"East Hartford School District","=""0430011""","Kindergarten",12.9
"East Hartford School District","=""0430011""","Grade   1",9.4
"East Hartford School District","=""0430011""","Grade   2",9.6
"East Hartford School District","=""0430011""","Grade   3",7.1
"East Hartford School District","=""0430011""","Grade   4",10.4
"East Hartford School District","=""0430011""","Grade   5",8.5
"East Hartford School District","=""0430011""","Grade   6",8.4
"East Hartford School District","=""0430011""","Grade   7",11.4
"East Hartford School District","=""0430011""","Grade   8",12.4
"East Hartford School District","=""0430011""","Grade   9",16.5
"East Hartford School District","=""0430011""","Grade 10",22.1
"East Hartford School District","=""0430011""","Grade 11",16.2
"East Hartford School District","=""0430011""","Grade 12",22.2
"East Haven School District","=""0440011""","Kindergarten",12.3
"East Haven School District","=""0440011""","Grade   1",6.7
"East Haven School District","=""0440011""","Grade   2",7.6
"East Haven School District","=""0440011""","Grade   3",6.5
"East Haven School District","=""0440011""","Grade   4",10.7
"East Haven School District","=""0440011""","Grade   5",7.8
"East Haven School District","=""0440011""","Grade   6","*"
"East Haven School District","=""0440011""","Grade   7","*"
"East Haven School District","=""0440011""","Grade   8","*"
"East Haven School District","=""0440011""","Grade   9",19.0
"East Haven School District","=""0440011""","Grade 10",16.3
"East Haven School District","=""0440011""","Grade 11",19.1
"East Haven School District","=""0440011""","Grade 12",26.2
