"Chronic Absenteeism, 2015-16"
", English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Weston School District","=""1570011""","Non-ELL",4.0
"Westport School District","=""1580011""","ELL","*"
"Westport School District","=""1580011""","Non-ELL",2.4
"Wethersfield School District","=""1590011""","ELL",6.5
"Wethersfield School District","=""1590011""","Non-ELL",3.6
"Willington School District","=""1600011""","ELL","*"
"Willington School District","=""1600011""","Non-ELL",4.3
"Wilton School District","=""1610011""","ELL",0.0
"Wilton School District","=""1610011""","Non-ELL",4.5
"Winchester School District","=""1620011""","ELL","*"
"Winchester School District","=""1620011""","Non-ELL",7.4
"Windham School District","=""1630011""","ELL",20.1
"Windham School District","=""1630011""","Non-ELL",14.6
"Windsor Locks School District","=""1650011""","ELL",12.2
"Windsor Locks School District","=""1650011""","Non-ELL",12.2
"Windsor School District","=""1640011""","ELL",10.9
"Windsor School District","=""1640011""","Non-ELL",8.6
"Wolcott School District","=""1660011""","ELL","*"
"Wolcott School District","=""1660011""","Non-ELL",3.2
"Woodbridge School District","=""1670011""","ELL","*"
"Woodbridge School District","=""1670011""","Non-ELL",4.7
"Woodstock Academy District","=""9030022""","ELL","*"
"Woodstock Academy District","=""9030022""","Non-ELL",6.3
"Woodstock School District","=""1690011""","ELL","*"
"Woodstock School District","=""1690011""","Non-ELL",2.2

