"Chronic Absenteeism, 2011-12"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Berlin School District","=""0070011""","Grade   5",4.2
"Berlin School District","=""0070011""","Grade   6",4.6
"Berlin School District","=""0070011""","Grade   7",10.3
"Berlin School District","=""0070011""","Grade   8",9.2
"Berlin School District","=""0070011""","Grade   9",7.1
"Berlin School District","=""0070011""","Grade 10",6.7
"Berlin School District","=""0070011""","Grade 11",5.7
"Berlin School District","=""0070011""","Grade 12",11.3
"Bethany School District","=""0080011""","Kindergarten","*"
"Bethany School District","=""0080011""","Grade   1","*"
"Bethany School District","=""0080011""","Grade   2","*"
"Bethany School District","=""0080011""","Grade   3","*"
"Bethany School District","=""0080011""","Grade   4","*"
"Bethany School District","=""0080011""","Grade   5","*"
"Bethany School District","=""0080011""","Grade   6","*"
"Bethel School District","=""0090011""","Kindergarten",9.9
"Bethel School District","=""0090011""","Grade   1","*"
"Bethel School District","=""0090011""","Grade   2","*"
"Bethel School District","=""0090011""","Grade   3",3.1
"Bethel School District","=""0090011""","Grade   4",3.7
"Bethel School District","=""0090011""","Grade   5",3.8
"Bethel School District","=""0090011""","Grade   6",5.9
"Bethel School District","=""0090011""","Grade   7",6.3
"Bethel School District","=""0090011""","Grade   8",10.0
"Bethel School District","=""0090011""","Grade   9",8.8
"Bethel School District","=""0090011""","Grade 10",6.6
"Bethel School District","=""0090011""","Grade 11",10.6
"Bethel School District","=""0090011""","Grade 12",5.4
"Bloomfield School District","=""0110011""","Kindergarten",7.8
"Bloomfield School District","=""0110011""","Grade   1",8.4
"Bloomfield School District","=""0110011""","Grade   2",5.0
"Bloomfield School District","=""0110011""","Grade   3","*"
"Bloomfield School District","=""0110011""","Grade   4",4.5
"Bloomfield School District","=""0110011""","Grade   5","*"
"Bloomfield School District","=""0110011""","Grade   6",4.7
"Bloomfield School District","=""0110011""","Grade   7",7.6
"Bloomfield School District","=""0110011""","Grade   8",10.7
"Bloomfield School District","=""0110011""","Grade   9",8.3
"Bloomfield School District","=""0110011""","Grade 10",7.9
"Bloomfield School District","=""0110011""","Grade 11",13.3
"Bloomfield School District","=""0110011""","Grade 12",10.2
"Bolton School District","=""0120011""","Kindergarten",0.0
"Bolton School District","=""0120011""","Grade   1","*"
"Bolton School District","=""0120011""","Grade   2","*"
"Bolton School District","=""0120011""","Grade   3",0.0
"Bolton School District","=""0120011""","Grade   4","*"
"Bolton School District","=""0120011""","Grade   5","*"
"Bolton School District","=""0120011""","Grade   6","*"
"Bolton School District","=""0120011""","Grade   7","*"
"Bolton School District","=""0120011""","Grade   8","*"
"Bolton School District","=""0120011""","Grade   9","*"
"Bolton School District","=""0120011""","Grade 10","*"
"Bolton School District","=""0120011""","Grade 11","*"
"Bolton School District","=""0120011""","Grade 12","*"
"Bozrah School District","=""0130011""","Kindergarten","*"
"Bozrah School District","=""0130011""","Grade   1","*"
"Bozrah School District","=""0130011""","Grade   2",0.0
"Bozrah School District","=""0130011""","Grade   3","*"
"Bozrah School District","=""0130011""","Grade   4","*"
"Bozrah School District","=""0130011""","Grade   5",0.0
"Bozrah School District","=""0130011""","Grade   6",0.0
"Bozrah School District","=""0130011""","Grade   7","*"
"Bozrah School District","=""0130011""","Grade   8","*"
"Bozrah School District","=""0130011""","Grade 12","*"
"Branford School District","=""0140011""","Kindergarten",4.2
"Branford School District","=""0140011""","Grade   1",7.2
"Branford School District","=""0140011""","Grade   2",4.3
"Branford School District","=""0140011""","Grade   3",3.9
"Branford School District","=""0140011""","Grade   4",3.3
"Branford School District","=""0140011""","Grade   5",6.7
"Branford School District","=""0140011""","Grade   6",5.6
"Branford School District","=""0140011""","Grade   7",8.6
"Branford School District","=""0140011""","Grade   8",10.2
"Branford School District","=""0140011""","Grade   9",6.8
"Branford School District","=""0140011""","Grade 10",11.8
"Branford School District","=""0140011""","Grade 11",9.3
"Branford School District","=""0140011""","Grade 12",11.6
"Bridgeport Achievement First District","=""2850013""","Kindergarten","*"
"Bridgeport Achievement First District","=""2850013""","Grade   1",0.0
"Bridgeport Achievement First District","=""2850013""","Grade   5","*"
"Bridgeport Achievement First District","=""2850013""","Grade   6","*"
"Bridgeport Achievement First District","=""2850013""","Grade   7","*"
"Bridgeport Achievement First District","=""2850013""","Grade   8",0.0
"Bridgeport Achievement First District","=""2850013""","Grade   9","*"
"Bridgeport School District","=""0150011""","Kindergarten",21.5
"Bridgeport School District","=""0150011""","Grade   1",15.4
"Bridgeport School District","=""0150011""","Grade   2",14.2
"Bridgeport School District","=""0150011""","Grade   3",12.9
"Bridgeport School District","=""0150011""","Grade   4",13.3
"Bridgeport School District","=""0150011""","Grade   5",12.3
"Bridgeport School District","=""0150011""","Grade   6",12.3
"Bridgeport School District","=""0150011""","Grade   7",21.2
"Bridgeport School District","=""0150011""","Grade   8",20.9
"Bridgeport School District","=""0150011""","Grade   9",35.2
"Bridgeport School District","=""0150011""","Grade 10",26.5
"Bridgeport School District","=""0150011""","Grade 11",31.2
"Bridgeport School District","=""0150011""","Grade 12",31.6
"Bristol School District","=""0170011""","Kindergarten",14.9
"Bristol School District","=""0170011""","Grade   1",8.2
"Bristol School District","=""0170011""","Grade   2",8.3
"Bristol School District","=""0170011""","Grade   3",7.6
"Bristol School District","=""0170011""","Grade   4",7.7
"Bristol School District","=""0170011""","Grade   5",8.3
"Bristol School District","=""0170011""","Grade   6",8.1
"Bristol School District","=""0170011""","Grade   7",7.8
"Bristol School District","=""0170011""","Grade   8",10.5
"Bristol School District","=""0170011""","Grade   9",19.5
"Bristol School District","=""0170011""","Grade 10",14.8
"Bristol School District","=""0170011""","Grade 11",16.6
"Bristol School District","=""0170011""","Grade 12",15.3
"Brookfield School District","=""0180011""","Kindergarten",5.0
"Brookfield School District","=""0180011""","Grade   1",4.4
"Brookfield School District","=""0180011""","Grade   2","*"
"Brookfield School District","=""0180011""","Grade   3",3.3
"Brookfield School District","=""0180011""","Grade   4",4.1
"Brookfield School District","=""0180011""","Grade   5",3.3
"Brookfield School District","=""0180011""","Grade   6",3.4
"Brookfield School District","=""0180011""","Grade   7",3.3
"Brookfield School District","=""0180011""","Grade   8",5.6
"Brookfield School District","=""0180011""","Grade   9",6.0
"Brookfield School District","=""0180011""","Grade 10",10.3
"Brookfield School District","=""0180011""","Grade 11",10.0
"Brookfield School District","=""0180011""","Grade 12",2.3
"Brooklyn School District","=""0190011""","Kindergarten",11.3
"Brooklyn School District","=""0190011""","Grade   1","*"
"Brooklyn School District","=""0190011""","Grade   2","*"
"Brooklyn School District","=""0190011""","Grade   3","*"
"Brooklyn School District","=""0190011""","Grade   4","*"
"Brooklyn School District","=""0190011""","Grade   5",6.8
"Brooklyn School District","=""0190011""","Grade   6",8.1
"Brooklyn School District","=""0190011""","Grade   7",6.8
"Brooklyn School District","=""0190011""","Grade   8",15.5
"Brooklyn School District","=""0190011""","Grade 10","*"
"Brooklyn School District","=""0190011""","Grade 11","*"
"Brooklyn School District","=""0190011""","Grade 12","*"
"Canaan School District","=""0210011""","Kindergarten","*"
"Canaan School District","=""0210011""","Grade   1","*"
"Canaan School District","=""0210011""","Grade   2","*"
"Canaan School District","=""0210011""","Grade   3","*"
"Canaan School District","=""0210011""","Grade   4","*"
"Canaan School District","=""0210011""","Grade   5","*"
"Canaan School District","=""0210011""","Grade   6","*"
"Canaan School District","=""0210011""","Grade   7","*"
"Canaan School District","=""0210011""","Grade   8","*"
"Canterbury School District","=""0220011""","Kindergarten","*"
"Canterbury School District","=""0220011""","Grade   1","*"
"Canterbury School District","=""0220011""","Grade   2","*"
"Canterbury School District","=""0220011""","Grade   3","*"
"Canterbury School District","=""0220011""","Grade   4","*"
"Canterbury School District","=""0220011""","Grade   5","*"
"Canterbury School District","=""0220011""","Grade   6","*"
"Canterbury School District","=""0220011""","Grade   7","*"
"Canterbury School District","=""0220011""","Grade   8","*"
"Canterbury School District","=""0220011""","Grade 10","*"
"Canterbury School District","=""0220011""","Grade 12","*"
"Canton School District","=""0230011""","Kindergarten",8.0
"Canton School District","=""0230011""","Grade   1",5.1
"Canton School District","=""0230011""","Grade   2",5.3
"Canton School District","=""0230011""","Grade   3","*"
"Canton School District","=""0230011""","Grade   4",6.3
"Canton School District","=""0230011""","Grade   5",5.2
"Canton School District","=""0230011""","Grade   6","*"
"Canton School District","=""0230011""","Grade   7","*"
"Canton School District","=""0230011""","Grade   8","*"
"Canton School District","=""0230011""","Grade   9","*"
"Canton School District","=""0230011""","Grade 10",4.2
"Canton School District","=""0230011""","Grade 11","*"
"Canton School District","=""0230011""","Grade 12",7.4
"Capitol Region Education Council","=""2410014""","Kindergarten",9.5
"Capitol Region Education Council","=""2410014""","Grade   1",6.4
"Capitol Region Education Council","=""2410014""","Grade   2",5.9
"Capitol Region Education Council","=""2410014""","Grade   3",7.8
"Capitol Region Education Council","=""2410014""","Grade   4","*"
"Capitol Region Education Council","=""2410014""","Grade   5",5.1
"Capitol Region Education Council","=""2410014""","Grade   6",6.9
"Capitol Region Education Council","=""2410014""","Grade   7",7.8
"Capitol Region Education Council","=""2410014""","Grade   8",11.3
"Capitol Region Education Council","=""2410014""","Grade   9",24.0
"Capitol Region Education Council","=""2410014""","Grade 10",25.4
"Capitol Region Education Council","=""2410014""","Grade 11",28.3
"Capitol Region Education Council","=""2410014""","Grade 12",34.4
"Chaplin School District","=""0240011""","Kindergarten","*"
"Chaplin School District","=""0240011""","Grade   1","*"
"Chaplin School District","=""0240011""","Grade   2","*"
"Chaplin School District","=""0240011""","Grade   3","*"
"Chaplin School District","=""0240011""","Grade   4","*"
"Chaplin School District","=""0240011""","Grade   5",0.0
"Chaplin School District","=""0240011""","Grade   6","*"
"Cheshire School District","=""0250011""","Kindergarten",9.2
"Cheshire School District","=""0250011""","Grade   1",3.1
"Cheshire School District","=""0250011""","Grade   2",2.5
"Cheshire School District","=""0250011""","Grade   3",2.8
"Cheshire School District","=""0250011""","Grade   4","*"
"Cheshire School District","=""0250011""","Grade   5",3.0
"Cheshire School District","=""0250011""","Grade   6",4.0
"Cheshire School District","=""0250011""","Grade   7",4.3
"Cheshire School District","=""0250011""","Grade   8",7.0
"Cheshire School District","=""0250011""","Grade   9",4.8
"Cheshire School District","=""0250011""","Grade 10",7.7
"Cheshire School District","=""0250011""","Grade 11",7.6
"Cheshire School District","=""0250011""","Grade 12",12.6
"Chester School District","=""0260011""","Kindergarten","*"
"Chester School District","=""0260011""","Grade   1","*"
"Chester School District","=""0260011""","Grade   2","*"
"Chester School District","=""0260011""","Grade   3","*"
"Chester School District","=""0260011""","Grade   4","*"
"Chester School District","=""0260011""","Grade   5","*"
"Chester School District","=""0260011""","Grade   6","*"
"Clinton School District","=""0270011""","Kindergarten",10.3
"Clinton School District","=""0270011""","Grade   1",3.3
"Clinton School District","=""0270011""","Grade   2",7.6
"Clinton School District","=""0270011""","Grade   3",4.9
"Clinton School District","=""0270011""","Grade   4",3.6
"Clinton School District","=""0270011""","Grade   5","*"
"Clinton School District","=""0270011""","Grade   6",6.9
"Clinton School District","=""0270011""","Grade   7",6.5
"Clinton School District","=""0270011""","Grade   8",10.1
"Clinton School District","=""0270011""","Grade   9",16.0
"Clinton School District","=""0270011""","Grade 10",14.5
"Clinton School District","=""0270011""","Grade 11",27.5
"Clinton School District","=""0270011""","Grade 12",28.6
"Colchester School District","=""0280011""","Kindergarten",3.3
"Colchester School District","=""0280011""","Grade   1","*"
"Colchester School District","=""0280011""","Grade   2","*"
"Colchester School District","=""0280011""","Grade   3","*"
"Colchester School District","=""0280011""","Grade   4","*"
"Colchester School District","=""0280011""","Grade   5","*"
"Colchester School District","=""0280011""","Grade   6",4.6
"Colchester School District","=""0280011""","Grade   7",4.4
"Colchester School District","=""0280011""","Grade   8",6.7
"Colchester School District","=""0280011""","Grade   9","*"
"Colchester School District","=""0280011""","Grade 10","*"
"Colchester School District","=""0280011""","Grade 11","*"
"Colchester School District","=""0280011""","Grade 12",4.2
"Colebrook School District","=""0290011""","Kindergarten","*"
"Colebrook School District","=""0290011""","Grade   1","*"
"Colebrook School District","=""0290011""","Grade   2","*"
"Colebrook School District","=""0290011""","Grade   3","*"
"Colebrook School District","=""0290011""","Grade   4","*"
"Colebrook School District","=""0290011""","Grade   5","*"
"Colebrook School District","=""0290011""","Grade   6","*"
"Columbia School District","=""0300011""","Kindergarten",12.5
"Columbia School District","=""0300011""","Grade   1","*"
"Columbia School District","=""0300011""","Grade   2",14.6
"Columbia School District","=""0300011""","Grade   3","*"
"Columbia School District","=""0300011""","Grade   4","*"
"Columbia School District","=""0300011""","Grade   5","*"
"Columbia School District","=""0300011""","Grade   6","*"
"Columbia School District","=""0300011""","Grade   7",9.8
"Columbia School District","=""0300011""","Grade   8","*"
"Columbia School District","=""0300011""","Grade   9","*"
"Columbia School District","=""0300011""","Grade 11","*"
"Columbia School District","=""0300011""","Grade 12","*"
"Common Ground High School District","=""2680013""","Grade   9","*"
"Common Ground High School District","=""2680013""","Grade 10","*"
"Common Ground High School District","=""2680013""","Grade 11","*"
"Common Ground High School District","=""2680013""","Grade 12",18.8
"Connecticut Technical High School System","=""9000016""","Grade   9",5.9
"Connecticut Technical High School System","=""9000016""","Grade 10",9.6
"Connecticut Technical High School System","=""9000016""","Grade 11",11.5
"Connecticut Technical High School System","=""9000016""","Grade 12",14.4
"Cooperative Educational Services","=""2430014""","Kindergarten",22.0
"Cooperative Educational Services","=""2430014""","Grade   1",20.4
"Cooperative Educational Services","=""2430014""","Grade   2",10.5
"Cooperative Educational Services","=""2430014""","Grade   3","*"
"Cooperative Educational Services","=""2430014""","Grade   4","*"
"Cooperative Educational Services","=""2430014""","Grade   5",7.9
"Cooperative Educational Services","=""2430014""","Grade   6",12.7
"Cooperative Educational Services","=""2430014""","Grade   7",16.1
"Cooperative Educational Services","=""2430014""","Grade   8",18.2
"Cooperative Educational Services","=""2430014""","Grade   9",29.0
"Cooperative Educational Services","=""2430014""","Grade 10",37.5
"Cooperative Educational Services","=""2430014""","Grade 11",41.4
"Cooperative Educational Services","=""2430014""","Grade 12",23.7
"Cornwall School District","=""0310011""","Kindergarten","*"
"Cornwall School District","=""0310011""","Grade   1","*"
"Cornwall School District","=""0310011""","Grade   2","*"
"Cornwall School District","=""0310011""","Grade   3","*"
"Cornwall School District","=""0310011""","Grade   4","*"
"Cornwall School District","=""0310011""","Grade   5","*"
"Cornwall School District","=""0310011""","Grade   6","*"
"Cornwall School District","=""0310011""","Grade   7","*"
"Cornwall School District","=""0310011""","Grade   8","*"
"Coventry School District","=""0320011""","Kindergarten",8.7
"Coventry School District","=""0320011""","Grade   1","*"
"Coventry School District","=""0320011""","Grade   2",4.5
"Coventry School District","=""0320011""","Grade   3","*"
"Coventry School District","=""0320011""","Grade   4","*"
"Coventry School District","=""0320011""","Grade   5","*"
"Coventry School District","=""0320011""","Grade   6","*"
"Coventry School District","=""0320011""","Grade   7",4.3
"Coventry School District","=""0320011""","Grade   8",6.1
"Coventry School District","=""0320011""","Grade   9",8.7
"Coventry School District","=""0320011""","Grade 10",8.6
"Coventry School District","=""0320011""","Grade 11",10.9
"Coventry School District","=""0320011""","Grade 12",12.4
"Cromwell School District","=""0330011""","Kindergarten",6.8
"Cromwell School District","=""0330011""","Grade   1",4.7
"Cromwell School District","=""0330011""","Grade   2",4.8
"Cromwell School District","=""0330011""","Grade   3",4.0
"Cromwell School District","=""0330011""","Grade   4","*"
"Cromwell School District","=""0330011""","Grade   5",7.7
"Cromwell School District","=""0330011""","Grade   6","*"
"Cromwell School District","=""0330011""","Grade   7",9.5
"Cromwell School District","=""0330011""","Grade   8",6.7
"Cromwell School District","=""0330011""","Grade   9","*"
"Cromwell School District","=""0330011""","Grade 10",10.5
"Cromwell School District","=""0330011""","Grade 11",5.0
"Cromwell School District","=""0330011""","Grade 12",11.4
"Danbury School District","=""0340011""","Kindergarten",10.5
"Danbury School District","=""0340011""","Grade   1",5.9
"Danbury School District","=""0340011""","Grade   2",5.1
"Danbury School District","=""0340011""","Grade   3",3.6
"Danbury School District","=""0340011""","Grade   4",3.7
"Danbury School District","=""0340011""","Grade   5",4.0
"Danbury School District","=""0340011""","Grade   6",7.9
"Danbury School District","=""0340011""","Grade   7",10.1
"Danbury School District","=""0340011""","Grade   8",14.1
"Danbury School District","=""0340011""","Grade   9",24.1
"Danbury School District","=""0340011""","Grade 10",22.3
"Danbury School District","=""0340011""","Grade 11",23.3
"Danbury School District","=""0340011""","Grade 12",35.5
"Darien School District","=""0350011""","Kindergarten",4.1
"Darien School District","=""0350011""","Grade   1",2.2
"Darien School District","=""0350011""","Grade   2",2.8
"Darien School District","=""0350011""","Grade   3",2.5
"Darien School District","=""0350011""","Grade   4","*"
"Darien School District","=""0350011""","Grade   5",2.2
"Darien School District","=""0350011""","Grade   6",4.1
"Darien School District","=""0350011""","Grade   7",3.7
"Darien School District","=""0350011""","Grade   8",6.1
"Darien School District","=""0350011""","Grade   9",2.3
"Darien School District","=""0350011""","Grade 10",2.0
"Darien School District","=""0350011""","Grade 11",5.6
"Darien School District","=""0350011""","Grade 12",16.2
"Deep River School District","=""0360011""","Kindergarten","*"
"Deep River School District","=""0360011""","Grade   1","*"
"Deep River School District","=""0360011""","Grade   2","*"
"Deep River School District","=""0360011""","Grade   3","*"
"Deep River School District","=""0360011""","Grade   4","*"
"Deep River School District","=""0360011""","Grade   5","*"
"Deep River School District","=""0360011""","Grade   6","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 11","*"
"Department of Mental Health and Addiction Services","=""3370015""","Grade 12","*"
"Derby School District","=""0370011""","Kindergarten",13.1
"Derby School District","=""0370011""","Grade   1",10.5
"Derby School District","=""0370011""","Grade   2",7.1
"Derby School District","=""0370011""","Grade   3",9.6
"Derby School District","=""0370011""","Grade   4",7.8
"Derby School District","=""0370011""","Grade   5",11.8
"Derby School District","=""0370011""","Grade   6",11.8
"Derby School District","=""0370011""","Grade   7",14.8
"Derby School District","=""0370011""","Grade   8",14.2
"Derby School District","=""0370011""","Grade   9",19.2
"Derby School District","=""0370011""","Grade 10",14.9
"Derby School District","=""0370011""","Grade 11",17.4
"Derby School District","=""0370011""","Grade 12",25.0
"East Granby School District","=""0400011""","Kindergarten","*"
"East Granby School District","=""0400011""","Grade   1","*"
"East Granby School District","=""0400011""","Grade   2","*"
"East Granby School District","=""0400011""","Grade   3","*"
"East Granby School District","=""0400011""","Grade   4",0.0
"East Granby School District","=""0400011""","Grade   5","*"
"East Granby School District","=""0400011""","Grade   6","*"
"East Granby School District","=""0400011""","Grade   7",0.0
"East Granby School District","=""0400011""","Grade   8","*"
"East Granby School District","=""0400011""","Grade   9","*"
"East Granby School District","=""0400011""","Grade 10","*"
"East Granby School District","=""0400011""","Grade 11",11.6
"East Granby School District","=""0400011""","Grade 12",17.7
"East Haddam School District","=""0410011""","Kindergarten","*"
"East Haddam School District","=""0410011""","Grade   1",12.7
"East Haddam School District","=""0410011""","Grade   2","*"
"East Haddam School District","=""0410011""","Grade   3",5.6
"East Haddam School District","=""0410011""","Grade   4","*"
"East Haddam School District","=""0410011""","Grade   5",7.6
"East Haddam School District","=""0410011""","Grade   6",7.0
"East Haddam School District","=""0410011""","Grade   7","*"
"East Haddam School District","=""0410011""","Grade   8",9.6
"East Haddam School District","=""0410011""","Grade   9",11.2
"East Haddam School District","=""0410011""","Grade 10",14.7
"East Haddam School District","=""0410011""","Grade 11",9.7
"East Haddam School District","=""0410011""","Grade 12",9.4
"East Hampton School District","=""0420011""","Kindergarten",6.3
"East Hampton School District","=""0420011""","Grade   1",5.7
"East Hampton School District","=""0420011""","Grade   2","*"
"East Hampton School District","=""0420011""","Grade   3",6.3
"East Hampton School District","=""0420011""","Grade   4","*"
"East Hampton School District","=""0420011""","Grade   5",3.8
"East Hampton School District","=""0420011""","Grade   6",8.5
"East Hampton School District","=""0420011""","Grade   7",4.7
"East Hampton School District","=""0420011""","Grade   8",5.8
"East Hampton School District","=""0420011""","Grade   9",5.4
"East Hampton School District","=""0420011""","Grade 10",6.5
"East Hampton School District","=""0420011""","Grade 11","*"
"East Hampton School District","=""0420011""","Grade 12",13.3
"East Hartford School District","=""0430011""","Kindergarten",9.4
"East Hartford School District","=""0430011""","Grade   1",6.9
"East Hartford School District","=""0430011""","Grade   2",6.5
"East Hartford School District","=""0430011""","Grade   3",4.3
"East Hartford School District","=""0430011""","Grade   4",5.1
"East Hartford School District","=""0430011""","Grade   5",5.7
"East Hartford School District","=""0430011""","Grade   6",6.9
"East Hartford School District","=""0430011""","Grade   7",3.8
"East Hartford School District","=""0430011""","Grade   8",9.5
"East Hartford School District","=""0430011""","Grade   9",22.0
"East Hartford School District","=""0430011""","Grade 10",18.3
"East Hartford School District","=""0430011""","Grade 11",13.5
"East Hartford School District","=""0430011""","Grade 12",14.4
"East Haven School District","=""0440011""","Kindergarten",11.2
"East Haven School District","=""0440011""","Grade   1",9.0
"East Haven School District","=""0440011""","Grade   2",16.9
"East Haven School District","=""0440011""","Grade   3",7.2
"East Haven School District","=""0440011""","Grade   4",9.0
"East Haven School District","=""0440011""","Grade   5",3.8
"East Haven School District","=""0440011""","Grade   6",10.9
"East Haven School District","=""0440011""","Grade   7",17.9
"East Haven School District","=""0440011""","Grade   8",19.5
"East Haven School District","=""0440011""","Grade   9",28.1
"East Haven School District","=""0440011""","Grade 10",25.2
"East Haven School District","=""0440011""","Grade 11",34.6
"East Haven School District","=""0440011""","Grade 12",36.4
"East Lyme School District","=""0450011""","Kindergarten",6.6
"East Lyme School District","=""0450011""","Grade   1",5.1
"East Lyme School District","=""0450011""","Grade   2","*"
"East Lyme School District","=""0450011""","Grade   3",4.5
"East Lyme School District","=""0450011""","Grade   4","*"
"East Lyme School District","=""0450011""","Grade   5",4.3
"East Lyme School District","=""0450011""","Grade   6",5.5
"East Lyme School District","=""0450011""","Grade   7",3.8
"East Lyme School District","=""0450011""","Grade   8",6.5
"East Lyme School District","=""0450011""","Grade   9",5.1
"East Lyme School District","=""0450011""","Grade 10",8.6
"East Lyme School District","=""0450011""","Grade 11",7.3
"East Lyme School District","=""0450011""","Grade 12",12.0
"East Windsor School District","=""0470011""","Kindergarten",15.4
"East Windsor School District","=""0470011""","Grade   1",14.8
"East Windsor School District","=""0470011""","Grade   2",9.3
"East Windsor School District","=""0470011""","Grade   3",8.8
"East Windsor School District","=""0470011""","Grade   4",7.5
"East Windsor School District","=""0470011""","Grade   5",9.1
"East Windsor School District","=""0470011""","Grade   6",6.6
"East Windsor School District","=""0470011""","Grade   7",6.3
"East Windsor School District","=""0470011""","Grade   8",16.3
"East Windsor School District","=""0470011""","Grade   9",11.4
"East Windsor School District","=""0470011""","Grade 10",18.0
"East Windsor School District","=""0470011""","Grade 11",14.9
"East Windsor School District","=""0470011""","Grade 12",15.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Grade   1","*"
