"Chronic Absenteeism, 2011-12"
", Gender"

"District","District Code","Gender","% Chronically Absent"
"Newtown School District","=""0970011""","Male",2.6
"Norfolk School District","=""0980011""","Female","*"
"Norfolk School District","=""0980011""","Male",15.8
"North Branford School District","=""0990011""","Female",17.4
"North Branford School District","=""0990011""","Male",13.0
"North Canaan School District","=""1000011""","Female",11.7
"North Canaan School District","=""1000011""","Male",14.1
"North Haven School District","=""1010011""","Female",7.4
"North Haven School District","=""1010011""","Male",7.5
"North Stonington School District","=""1020011""","Female",8.1
"North Stonington School District","=""1020011""","Male",10.6
"Norwalk School District","=""1030011""","Female",11.6
"Norwalk School District","=""1030011""","Male",11.7
"Norwich Free Academy District","=""9010022""","Female",11.7
"Norwich Free Academy District","=""9010022""","Male",9.6
"Norwich School District","=""1040011""","Female",14.0
"Norwich School District","=""1040011""","Male",14.7
"Odyssey Community School District","=""2630013""","Female",8.3
"Odyssey Community School District","=""2630013""","Male",9.6
"Old Saybrook School District","=""1060011""","Female",18.1
"Old Saybrook School District","=""1060011""","Male",13.6
"Orange School District","=""1070011""","Female",4.1
"Orange School District","=""1070011""","Male",3.9
"Oxford School District","=""1080011""","Female",6.4
"Oxford School District","=""1080011""","Male",5.6
"Park City Prep Charter School District","=""2830013""","Female",5.2
"Park City Prep Charter School District","=""2830013""","Male",12.7
"Plainfield School District","=""1090011""","Female",12.1
"Plainfield School District","=""1090011""","Male",12.2
"Plainville School District","=""1100011""","Female",11.0
"Plainville School District","=""1100011""","Male",9.8
"Plymouth School District","=""1110011""","Female",6.9
"Plymouth School District","=""1110011""","Male",10.2
"Pomfret School District","=""1120011""","Female",2.6
"Pomfret School District","=""1120011""","Male",3.0
"Portland School District","=""1130011""","Female",4.8
"Portland School District","=""1130011""","Male",4.2
"Preston School District","=""1140011""","Female","*"
"Preston School District","=""1140011""","Male",0.0
"Putnam School District","=""1160011""","Female",11.3
"Putnam School District","=""1160011""","Male",13.2
"Redding School District","=""1170011""","Female",5.2
"Redding School District","=""1170011""","Male",5.3
"Regional School District 01","=""2010012""","Female",7.4
"Regional School District 01","=""2010012""","Male",6.2
"Regional School District 04","=""2040012""","Female",10.4
"Regional School District 04","=""2040012""","Male",6.7
"Regional School District 05","=""2050012""","Female",11.4
"Regional School District 05","=""2050012""","Male",6.5
"Regional School District 06","=""2060012""","Female",3.7
"Regional School District 06","=""2060012""","Male",5.0
"Regional School District 07","=""2070012""","Female",17.9
"Regional School District 07","=""2070012""","Male",19.7
"Regional School District 08","=""2080012""","Female",16.8
"Regional School District 08","=""2080012""","Male",14.6
"Regional School District 09","=""2090012""","Female",15.3
"Regional School District 09","=""2090012""","Male",12.8
"Regional School District 10","=""2100012""","Female",9.9
"Regional School District 10","=""2100012""","Male",7.7
"Regional School District 11","=""2110012""","Female",6.8
"Regional School District 11","=""2110012""","Male",6.4
"Regional School District 12","=""2120012""","Female",9.2
"Regional School District 12","=""2120012""","Male",7.6
"Regional School District 13","=""2130012""","Female",4.0
"Regional School District 13","=""2130012""","Male",4.8
"Regional School District 14","=""2140012""","Female",2.6
"Regional School District 14","=""2140012""","Male",3.8
"Regional School District 15","=""2150012""","Female",4.5
"Regional School District 15","=""2150012""","Male",4.6
"Regional School District 16","=""2160012""","Female",8.2
"Regional School District 16","=""2160012""","Male",6.7
"Regional School District 17","=""2170012""","Female",4.6
"Regional School District 17","=""2170012""","Male",4.5
"Regional School District 18","=""2180012""","Female",5.5
"Regional School District 18","=""2180012""","Male",3.9
"Regional School District 19","=""2190012""","Female",16.9
"Regional School District 19","=""2190012""","Male",14.2
"Ridgefield School District","=""1180011""","Female",5.8
"Ridgefield School District","=""1180011""","Male",4.8
"Rocky Hill School District","=""1190011""","Female",7.0
"Rocky Hill School District","=""1190011""","Male",7.7
"Salem School District","=""1210011""","Female","*"
"Salem School District","=""1210011""","Male",4.9
"Salisbury School District","=""1220011""","Female",8.0
"Salisbury School District","=""1220011""","Male",6.4
"Scotland School District","=""1230011""","Female","*"
"Scotland School District","=""1230011""","Male","*"
"Seymour School District","=""1240011""","Female",6.7
"Seymour School District","=""1240011""","Male",8.7
"Sharon School District","=""1250011""","Female",8.0
"Sharon School District","=""1250011""","Male",6.4
"Shelton School District","=""1260011""","Female",8.6
"Shelton School District","=""1260011""","Male",6.0
"Sherman School District","=""1270011""","Female",5.5
"Sherman School District","=""1270011""","Male",6.2
"Side By Side Charter School District","=""2700013""","Female",9.1
"Side By Side Charter School District","=""2700013""","Male",6.0
"Simsbury School District","=""1280011""","Female",5.4
"Simsbury School District","=""1280011""","Male",4.1
"Somers School District","=""1290011""","Female",13.5
"Somers School District","=""1290011""","Male",15.4
"South Windsor School District","=""1320011""","Female",14.6
"South Windsor School District","=""1320011""","Male",14.2
"Southington School District","=""1310011""","Female",6.8
"Southington School District","=""1310011""","Male",7.3
"Sprague School District","=""1330011""","Female",7.1
"Sprague School District","=""1330011""","Male",8.7
"Stafford School District","=""1340011""","Female",7.2
"Stafford School District","=""1340011""","Male",8.5
"Stamford Academy District","=""2820013""","Female",0.0
"Stamford Academy District","=""2820013""","Male","*"
"Stamford School District","=""1350011""","Female",9.7
"Stamford School District","=""1350011""","Male",9.5
"State Level","=""0000000""","Female",11.0
"State Level","=""0000000""","Male",11.1
"Sterling School District","=""1360011""","Female",7.8
"Sterling School District","=""1360011""","Male",8.4
"Stonington School District","=""1370011""","Female",16.9
"Stonington School District","=""1370011""","Male",16.7
"Stratford School District","=""1380011""","Female",9.7
"Stratford School District","=""1380011""","Male",9.0
"Suffield School District","=""1390011""","Female",7.7
"Suffield School District","=""1390011""","Male",7.5
"The Bridge Academy District","=""2690013""","Female",4.3
"The Bridge Academy District","=""2690013""","Male","*"
"The Gilbert School District","=""9020022""","Female",11.1
"The Gilbert School District","=""9020022""","Male",14.7
"Thomaston School District","=""1400011""","Female",5.5
"Thomaston School District","=""1400011""","Male",6.3
"Thompson School District","=""1410011""","Female",11.6
"Thompson School District","=""1410011""","Male",12.1
"Tolland School District","=""1420011""","Female",5.7
"Tolland School District","=""1420011""","Male",5.9
"Torrington School District","=""1430011""","Female",14.1
"Torrington School District","=""1430011""","Male",14.1
"Trailblazers Academy District","=""2780013""","Female","*"
"Trailblazers Academy District","=""2780013""","Male",10.3
"Trumbull School District","=""1440011""","Female",6.4
"Trumbull School District","=""1440011""","Male",5.7
"Unified School District #1","=""3360015""","Female","*"
"Unified School District #1","=""3360015""","Male",49.3
"Unified School District #2","=""3470015""","Female",33.9
"Unified School District #2","=""3470015""","Male",14.9
"Union School District","=""1450011""","Female",0.0
"Union School District","=""1450011""","Male",0.0
"Vernon School District","=""1460011""","Female",9.2
"Vernon School District","=""1460011""","Male",10.8
"Voluntown School District","=""1470011""","Female",6.6
"Voluntown School District","=""1470011""","Male",9.1
"Wallingford School District","=""1480011""","Female",10.9
"Wallingford School District","=""1480011""","Male",11.6
"Waterbury School District","=""1510011""","Female",17.9
"Waterbury School District","=""1510011""","Male",18.3
"Waterford School District","=""1520011""","Female",7.4
"Waterford School District","=""1520011""","Male",6.9
"Watertown School District","=""1530011""","Female",11.5
"Watertown School District","=""1530011""","Male",11.2
"West Hartford School District","=""1550011""","Female",5.9
"West Hartford School District","=""1550011""","Male",5.1
"West Haven School District","=""1560011""","Female",12.7
"West Haven School District","=""1560011""","Male",16.0
"Westbrook School District","=""1540011""","Female",5.4
"Westbrook School District","=""1540011""","Male",5.2
"Weston School District","=""1570011""","Female",13.6
"Weston School District","=""1570011""","Male",8.7
"Westport School District","=""1580011""","Female",1.9
"Westport School District","=""1580011""","Male",2.1
"Wethersfield School District","=""1590011""","Female",4.4
"Wethersfield School District","=""1590011""","Male",5.1
"Willington School District","=""1600011""","Female",4.8
"Willington School District","=""1600011""","Male",4.6
"Wilton School District","=""1610011""","Female",17.0
"Wilton School District","=""1610011""","Male",14.0
"Winchester School District","=""1620011""","Female",11.7
"Winchester School District","=""1620011""","Male",10.4
"Windham School District","=""1630011""","Female",18.3
"Windham School District","=""1630011""","Male",18.2
"Windsor Locks School District","=""1650011""","Female",12.4
"Windsor Locks School District","=""1650011""","Male",10.0
"Windsor School District","=""1640011""","Female",8.3
"Windsor School District","=""1640011""","Male",7.6
"Wolcott School District","=""1660011""","Female",3.1
"Wolcott School District","=""1660011""","Male",3.8
"Woodbridge School District","=""1670011""","Female",4.2
"Woodbridge School District","=""1670011""","Male",3.5
"Woodstock Academy District","=""9030022""","Female",5.9
"Woodstock Academy District","=""9030022""","Male",6.2
"Woodstock School District","=""1690011""","Female",5.0
"Woodstock School District","=""1690011""","Male",4.8

