"Overall Expenditures, 2012-13"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="Madison School District",27454059,1309217,1924717,4127908,4263752,5005566,3252427,1590409,1297538,50225593
="Manchester School District",60677802,1323149,4611582,7151209,10710421,10499105,5010022,6512862,1478249,107974401
="Mansfield School District",13510656,532240,725332,1171811,2881236,1725370,948490,518710,89051,22102896
="Marlborough School District",4923647,125294,237276,219487,734103,666961,365578,47300,45000,7364646
="Meriden School District",62977922,2029201,929657,7935019,10443745,12491050,6109955,12138770,854725,115910044
="Middletown School District",43497008,869218,1844962,4150298,5917631,8309206,6294621,5948736,1577670,78409350
="Milford School District",71171816,2949790,1906099,3347868,10545232,11171941,4536962,3869418,1115085,110614211
="Monroe School District",31817235,577168,2263889,4104411,4493180,5913308,2551718,1795727,517812,54034448
="Montville School District",21837212,856145,827766,2359706,3271274,4096148,2370697,1066828,567433,37253209
="Naugatuck School District",40506733,870796,852224,4494449,7634132,5912898,3315183,1708872,741680,66036967
="New Beginnings Inc., Family Academy District",2333335,183209,27030,351191,601042,504745,48748,N/A,328314,4377614
="New Britain School District",88540591,1747353,1307088,4478230,12302828,9203945,12190713,10730286,0,140501034
="New Canaan School District",42447174,812984,2465117,8353051,8977433,7963943,4163759,2703170,1403935,79290566
="New Fairfield School District",22666401,708532,1216620,2613596,4131378,3182073,1633325,639876,515934,37307735
="New Hartford School District",5147246,93731,59517,329407,760863,982113,665476,223774,0,8262127
="New Haven School District",201108274,7530239,7183789,5382668,35378699,31111834,23638473,16299069,1951094,329584139
="New London School District",22637079,1720923,1504175,3537354,6452282,5346280,3339490,5105676,390847,50034106
="New Milford School District",33845552,1007517,1103791,4004996,6736137,5640786,4395412,2284039,1056667,60074897
="Newington School District",36426175,2197601,2100373,3551377,6316890,9184566,3432665,3259046,815815,67284508
="Newtown School District",39123215,1047321,1663707,5907962,7339452,10124007,4264447,2595693,877972,72943776
="Norfolk School District",1371788,40511,94118,55127,478630,373628,176523,35522,1901,2627748
="North Branford School District",15367815,476946,1631658,2344310,3032384,3462458,2245346,867990,837943,30266850
="North Canaan School District",3365782,102810,36731,403805,586908,541620,354592,66296,16564,5475108
="North Haven School District",24988156,1113499,1041975,4636396,6618507,4130452,2740311,2658338,527152,48454786
="North Stonington School District",7073570,694717,165752,538723,1372462,1391258,968837,154224,17493,12377036
="Norwalk School District",112070227,1100087,733753,12051958,23402117,15460953,6121898,7764172,1144996,179850161
="Norwich School District",35508149,1335128,926465,5190260,3332049,4538056,6345705,5661445,0,62837257
="Odyssey Community School District",1895197,52328,93509,54105,568260,427156,0,N/A,0,3090555
="Old Saybrook School District",12644575,564217,1143711,1488156,2252793,2837017,996340,1152712,513174,23592695
="Orange School District",11553600,285385,662149,1683679,1593155,1781645,963902,239900,142568,18905983
="Oxford School District",16193279,597084,99716,1641657,3525260,2615167,1545829,1359622,974412,28552026
="Park City Prep Charter School District",1057364,79477,82277,285936,749345,539166,0,N/A,0,2793565
="Plainfield School District",18368675,438020,599427,2586286,3411430,3106289,2527504,2328943,330090,33696664
="Plainville School District",21093780,489165,1120243,1574708,4194437,3353557,1789414,2327952,0,35943256
="Plymouth School District",13875683,778907,458817,566730,2085489,2966083,2164871,1322176,443973,24662729
="Pomfret School District",4312196,167030,126760,114124,596864,623098,678995,911281,15281,7545629
="Portland School District",10625246,461384,533146,1141554,2175799,2465036,875612,789540,323698,19391015
="Preston School District",4555259,54338,122623,364129,841951,1078992,918042,931717,40000,8907051
="Putnam School District",10123676,512195,250029,2164365,2049703,1752331,984024,1445959,232252,19514534
="Redding School District",15661472,271891,490647,208629,1890764,2306002,1273552,167803,2621,22273381
="Regional School District 01",5344652,239466,514553,759523,1030025,1267362,229463,123358,339457,9847859
="Regional School District 04",8247313,216262,286751,955998,2115125,1885136,714873,511711,753298,15686467
="Regional School District 05",19498262,487964,1119650,2456588,5290230,3865933,2365461,2464993,944713,38493794
="Regional School District 06",9462797,653814,674128,1130026,1954500,1867258,967162,304622,288854,17303161
="Regional School District 07",9606677,390096,239751,764455,1894980,2130496,1496200,907091,485162,17914908
="Regional School District 08",13708559,187456,1017767,1201508,1958384,2140188,1396880,1540496,361883,23513121
="Regional School District 09",12542630,356535,468229,131429,1711107,2329287,1325534,1554776,622,20420149
="Regional School District 10",19661592,589774,2156853,2354616,3205544,3637926,2329094,1804225,0,35739624
="Regional School District 11",2615460,77110,109521,409148,1036707,631604,490024,971178,214819,6555571
="Regional School District 12",10434477,809650,899367,1787338,2064009,2349677,1455153,624913,408909,20833493
="Regional School District 13",18447873,339159,943226,3087337,3835403,3523917,1740910,776150,600423,33294398
="Regional School District 14",15875858,505325,1432833,2496096,2602520,3394151,1751172,1750984,838381,30647320
="Regional School District 15",34307161,471710,1459408,5286059,6068191,6291059,3994707,2059854,1401647,61339796
="Regional School District 16",18186673,492204,1890326,2214764,4025035,3230658,2348505,1254293,533919,34176377
="Regional School District 17",19486087,614193,610092,1762100,4135862,4760294,3393425,1073235,650929,36486217
="Regional School District 18",13352956,446001,1379921,2078615,3118405,3885345,1326603,666010,605701,26859557
="Regional School District 19",10904409,434633,363311,1152552,2324496,1572181,1480960,989414,745487,19967443
="Ridgefield School District",50198198,993427,4524612,4213827,6439990,8421418,5185002,3655705,919307,84551486
="Rocky Hill School District",20853068,506707,2220797,2268920,2712005,4012867,1540765,1580403,0,35695532
="Salem School District",4055177,187056,40104,161326,1017685,827580,843485,784398,77,7916888
="Salisbury School District",3754383,63803,164695,299939,579433,714344,457973,67402,2140,6104112
="Scotland School District",1475339,55753,40681,147350,377980,292006,169209,0,24006,2582324
="Seymour School District",16838210,725914,970670,2159229,4502846,3265878,1568138,1354639,450640,31836164
="Sharon School District",2515921,74521,81269,355221,571740,634816,336865,0,21341,4591694
="Shelton School District",39240777,1041382,1099946,4430628,7236486,7977249,4224069,2111685,774339,68136561
="Sherman School District",4418478,86413,273863,53476,579356,508360,459096,261020,38806,6678868
="Side By Side Charter School District",1574948,40674,13210,382213,455394,268767,0,N/A,0,2735206
="Simsbury School District",39046424,912213,4111089,4575149,5678844,6713961,2583933,2197378,742244,66561235
="Somers School District",12125872,554807,474356,1338807,1973207,2034323,1033428,1067104,294490,20896394
="South Windsor School District",36791497,1577556,2790112,4844473,6663341,6656986,3236085,4620926,1842418,69023394
="Southington School District",52173147,1387558,1363820,6035446,9424334,7464927,3787574,5005358,799755,87441919
="Sprague School District",2828959,215720,56212,202786,772236,463244,454980,390771,0,5384908
="Stafford School District",15178221,472128,661749,1904589,2942336,2977097,2318681,1230812,66320,27751933
="Stamford Academy District",1166490,24517,0,539194,1258077,31991,72285,N/A,71248,3163802
="Stamford School District",149417591,4442981,14846180,16203386,30994393,22907649,13000773,11157260,0,262970213
="Sterling School District",3872074,93735,262984,166177,556052,533515,512015,569843,44517,6610912
="Stonington School District",19089501,255293,1444924,2025307,3073566,3745467,2518067,2384145,444750,34981020
="Stratford School District",57305698,851534,2475791,9848633,9431629,8817678,4753745,6137939,1585619,101208266
="Suffield School District",20956221,852305,275545,2114929,3352262,2140394,1424379,1902364,476439,33494838
="The Bridge Academy District",2039435,118979,33304,297596,377976,250846,7660,N/A,115924,3241720
="Thomaston School District",8607784,373435,23667,789756,1950804,1472265,1058590,1137325,307223,15720849
="Thompson School District",8268744,140023,179508,1393769,2417812,1934639,1018163,1743606,276310,17372574
="Tolland School District",21825917,447266,1547504,1552833,3606384,3374149,2272658,3113097,108347,37848155
="Torrington School District",40234247,604546,2638582,3797154,5470759,5951530,3853945,5735698,519344,68805805
="Trailblazers Academy District",1488362,17411,0,498542,1976566,224613,6299,N/A,132596,4344389
="Trumbull School District",55362773,1663898,3901431,7378183,10735474,9089554,4855990,4014101,1073741,98075145
="Union School District",687750,27445,5478,50430,244474,140936,148698,32562,0,1337773
="Vernon School District",29514184,367169,2516977,3608125,4288027,4337025,2802951,3483152,540986,51458596
="Voluntown School District",2687106,103811,76315,520669,616159,408786,414824,392932,44490,5265092
="Wallingford School District",52043982,3882649,2906171,6012438,13641046,8316158,6291382,5083516,1503347,99680689
="Waterbury School District",145929734,4253390,29678902,13585891,23645400,20815821,11572023,5856362,9866877,265204400
="Waterford School District",27272532,844865,463939,2983386,4425263,4832286,2583304,2326035,872229,46603839
="Watertown School District",23421396,351430,664185,1813073,4883696,4584251,3121114,1265228,7129,40111502
="West Hartford School District",82378054,1727315,7380386,9556805,16925637,13359514,6648724,6731324,1269725,145977484
="West Haven School District",48544409,1491002,2560590,4320641,5882517,14852906,4749504,7314542,1656222,91372333
="Westbrook School District",10058327,519883,270802,285336,1553987,1622847,642538,504098,471539,15929357
="Weston School District",25952461,372340,3881854,3286124,3768093,5790180,1700269,1279746,1218227,47249294
="Westport School District",63279771,2830170,3536931,8797362,10603718,10434260,4395969,2851493,1425276,108154950
="Wethersfield School District",26757024,1500515,1086837,8654610,4171637,4936518,2580063,4307048,647360,54641612
="Willington School District",4923212,231981,272699,432335,999746,710449,512708,67276,1200,8151606
="Wilton School District",44909648,891306,3098622,7053150,7633679,6641566,3446606,2482078,0,76156655
="Winchester School District",8190005,35834,167962,1323724,1465940,693223,1360287,931788,0,14168763
="Windham School District",31079906,932588,611898,2988082,5642789,4018307,2809743,4796552,594724,53474589
="Windsor Locks School District",17101157,469846,1128058,1669187,2847964,4366725,1315193,1973881,467428,31339439
="Windsor School District",33666895,1006870,2667831,5059724,6993479,5844442,4205202,5533919,636067,65614429
="Wolcott School District",20375015,625239,643299,1257144,3472867,4105300,2129754,891871,695394,34195883
="Woodbridge School District",8394566,354034,73136,153767,1924437,1269936,539214,276017,0,12985107
="Woodstock School District",7091634,146095,161434,718503,815592,1131866,781647,374645,15054,11236470

