"Overall Expenditures, 2010-11"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="Guilford School District",30094247,882637,1569786,3325368,5309736,4477702,3108314,2737212,706765,52211767
="Hamden School District",61214976,829643,1245919,7282135,9197442,10391123,6566854,11212279,896980,108837351
="Hampton School District",1430075,42061,73476,176543,335529,188479,151846,0,27296,2425305
="Hartford School District",190625798,12843318,7350042,25176993,44460967,43040865,26724310,39320800,288917,389832010
="Hartland School District",1657011,62477,200978,385327,409380,273956,268490,54314,127979,3439912
="Hebron School District",7930217,185195,453736,912965,1139336,1258043,518459,54330,0,12452281
="Highville Charter School District",1582577,59575,55175,121282,596808,565249,24225,N/A,238049,3242940
="Integrated Day Charter School District",1956629,42238,104082,88297,556330,415894,5374,N/A,112260,3281104
="Interdistrict School for Arts and Comm District",1472065,34321,8890,59491,379381,236355,7163,N/A,0,2197666
="Jumoke Academy District",2503105,112532,264839,327784,880042,610671,0,N/A,14,4698987
="Kent School District",2886000,135075,122515,302979,486631,498330,346248,71869,7500,4857147
="Killingly School District",20538354,614022,1926642,1834819,3816830,4130826,2405214,3615034,0,38881741
="Lebanon School District",11399480,398336,282387,620235,1892290,1764137,1244043,1158341,69781,18829030
="Ledyard School District",18988231,924021,1007038,1926466,3904323,2753921,2389895,2084989,382167,34361051
="Lisbon School District",4539863,266103,29424,626990,725698,740936,605056,469007,0,8003077
="Litchfield School District",9049219,246679,1054012,1352996,1592396,1879341,1006267,707957,344787,17233654
="Madison School District",27513111,1290135,1945567,4007934,3957198,5105348,3098971,1644766,1289124,49852154
="Manchester School District",60703629,2294864,3921477,6676185,10490719,10813127,4083129,5725437,1360283,106068850
="Mansfield School District",13564750,518051,619567,947649,2840711,1771397,960855,420014,81451,21724445
="Marlborough School District",4870087,94734,215596,291371,679130,716876,324677,11889,0,7204360
="Meriden School District",63655208,814620,1243343,8391375,9926811,10774961,5674279,16367727,714638,117562962
="Middletown School District",43680692,786134,1463532,3933656,5296402,8695713,5871625,5283269,993970,76004993
="Milford School District",70493946,2652206,1878051,3072535,8743064,11360360,4151459,3478612,935211,106765444
="Monroe School District",32179219,1165888,2011397,3823980,4714023,5918677,2334930,1292901,312028,53753043
="Montville School District",22592931,1318817,771891,2187443,3254757,4120452,2116210,951500,574118,37888119
="Naugatuck School District",40178982,658217,758427,4113506,7343964,5711826,2949807,1689235,942916,64346880
="New Beginnings Inc., Family Academy District",2116469,125599,83448,194791,607535,456022,7788,N/A,305894,3897546
="New Britain School District",88762506,3303445,2790453,4206481,11742997,10560551,11259158,11909855,191979,144727425
="New Canaan School District",40573726,798138,1366382,7023570,8654749,8756695,4326147,2285765,1207346,74992518
="New Fairfield School District",22534714,917386,998728,2888728,4194253,3381211,1645420,527540,537052,37625032
="New Hartford School District",5614361,73697,31814,291700,762395,887790,623214,106203,17253,8408427
="New Haven School District",204911561,5221588,7056316,9458874,39884874,34693350,20748734,15922215,6640670,344538182
="New London School District",24984574,970021,1704348,3323868,5420726,5509488,3304687,4064677,468328,49750717
="New Milford School District",36591226,1657920,1138349,4121025,5298976,5686477,4252618,2116024,1003887,61866502
="Newington School District",37749872,1797034,1896608,3210502,6197195,7876012,2831569,2765863,744142,65068797
="Newtown School District",38983824,1123613,1648497,4984917,6660475,9410798,5058521,2190455,838488,70899588
="Norfolk School District",1448494,24578,27041,50967,433977,420128,166884,16481,2419,2590969
="North Branford School District",15740628,587358,1535360,2330502,3036476,3526532,2083300,936983,739959,30517098
="North Canaan School District",3077834,133490,9646,305800,952592,550271,342242,69873,0,5441748
="North Haven School District",24604863,654398,1050971,4188688,7318089,4213896,2119550,2425515,486475,47062445
="North Stonington School District",7462586,528371,160044,626538,1306218,1243871,851534,185523,0,12364685
="Norwalk School District",109841766,1845498,1452282,10986250,22788886,15403825,5647172,6915206,1283984,176164869
="Norwich School District",33054401,360840,463303,5235419,4220133,4326447,5524021,5265609,0,58450173
="Odyssey Community School District",1110548,40763,19285,36801,425467,229642,0,N/A,0,1862506
="Old Saybrook School District",12353164,254812,1272810,1327100,2178323,2722471,934197,972316,470937,22486130
="Orange School District",11465754,268143,726996,1479564,1793415,1562011,973216,562593,0,18831692
="Oxford School District",15602783,615351,25297,1913235,3390547,2832842,1486645,1241039,492408,27600147
="Park City Prep Charter School District",1123800,193120,53922,204923,543430,363827,0,N/A,0,2483022
="Plainfield School District",20800490,429298,495286,2626968,3408904,3055241,2682179,2540504,221342,36260212
="Plainville School District",20550403,692053,947488,1447811,3666516,3575546,1669768,2538419,0,35088004
="Plymouth School District",13423485,681909,440724,849811,1956015,3374345,2173119,1244369,413027,24556804
="Pomfret School District",4774091,133948,101820,110733,552393,646851,705053,845698,0,7870587
="Portland School District",10496456,298262,567318,1119963,2039083,2665331,834408,617604,296528,18934953
="Preston School District",4818263,139827,31127,320973,899129,769168,824957,1180676,0,8984120
="Putnam School District",10676131,378090,323068,1664354,1844383,1761227,837871,789463,247903,18522490
="Redding School District",14847691,298337,456749,213863,1885621,2098495,1358120,104550,2930,21266356
="Regional School District 01",5347999,234846,486183,776915,973525,1262158,226405,819025,425482,10552538
="Regional School District 04",8054536,227430,264223,811150,2757424,2331851,558836,683068,77271,15765789
="Regional School District 05",19011953,519533,1169129,2194662,5251910,3395165,2039626,2184341,949919,36716238
="Regional School District 06",9261011,212952,789002,1058366,1876454,1787298,857539,301944,278427,16422993
="Regional School District 07",9250265,394495,230379,742603,1703284,2203310,1384303,922786,449750,17281175
="Regional School District 08",13124933,146085,935227,1142080,1842707,2057477,1470307,1649310,327206,22695332
="Regional School District 09",12308787,397756,400844,131441,1557503,2064294,938316,1635387,5561,19439889
="Regional School District 10",18718875,598876,2020220,2140182,2865727,3378169,2329451,1312642,0,33364142
="Regional School District 11",2848900,143921,109850,353128,907028,638471,417093,852058,222862,6493311
="Regional School District 12",11055143,519026,813616,1650975,1849879,2041544,1535005,575807,397704,20438699
="Regional School District 13",16907444,396614,971022,3962688,3305994,3453460,1748414,851841,626886,32224363
="Regional School District 14",14856848,585691,1213731,2800392,2736855,3162895,1805329,1975745,767648,29905134
="Regional School District 15",34123735,651502,1808433,5441467,5718426,6617851,3579931,1567851,1318930,60828126
="Regional School District 16",19881303,589002,1917492,2339681,3835420,3452287,2313558,1090331,474841,35893915
="Regional School District 17",20218629,665173,611094,1833667,3686386,4514948,3114515,896830,601318,36142560
="Regional School District 18",13147966,479430,1438860,2035502,2894809,4073456,1301360,1113227,522137,27006747
="Regional School District 19",10579809,257306,300403,1174364,2121046,1501072,1371649,1496615,708746,19511010
="Ridgefield School District",48704214,1096343,4105480,3967426,6308026,8788814,4773670,3283607,881463,81909043
="Rocky Hill School District",20350226,594057,2026774,2085210,2617869,3932565,1375344,1308116,0,34290161
="Salem School District",4341701,278143,35319,139990,1115368,788538,732388,490604,0,7922051
="Salisbury School District",3727812,85818,213221,234950,526697,927447,436380,11960,0,6164285
="Scotland School District",1523363,73619,62691,170530,290236,220416,158819,0,31596,2531270
="Seymour School District",16355311,519037,731580,1940162,4222349,3966947,1351220,918320,357787,30362713
="Sharon School District",2550358,89708,54209,330764,550754,550493,293691,0,12500,4432477
="Shelton School District",37262057,1509921,2118183,5652976,6847531,7131850,3748531,2184376,413454,66868879
="Sherman School District",4368511,153055,285145,53172,564525,539939,432219,208527,37979,6643072
="Side By Side Charter School District",1513672,25017,6862,350215,400962,275626,0,N/A,0,2572354
="Simsbury School District",37784386,1149421,3952277,4706269,5255441,6741595,2342136,1975368,692118,64599011
="Somers School District",12550640,370413,440116,1275238,1978453,1819028,1079209,1045791,264113,20823001
="South Windsor School District",37079452,1555106,2201148,4613579,6598429,6425581,3307347,3729522,1135849,66646013
="Southington School District",51511767,1783891,908313,5763405,8888160,7251589,3472552,4350472,765149,84695298
="Sprague School District",3170863,202004,51215,214097,719351,476544,419377,356446,24129,5634026
="Stafford School District",14686770,395636,409256,1826048,2670154,2905275,2060135,1508199,80112,26541585
="Stamford Academy District",1383170,83996,0,619478,960972,166786,64887,N/A,80044,3359333
="Stamford School District",143414649,4542448,16318697,16092023,28915473,22365831,12023544,10403204,0,254075869
="Sterling School District",3712224,114627,263708,174216,503378,528274,641602,1473810,24250,7436089
="Stonington School District",18504495,345772,1414919,1923994,2694033,3894138,2130732,1906585,428935,33243603
="Stratford School District",57032429,1477984,2994758,9544498,8826457,8915566,4502344,5833471,1433005,100560512
="Suffield School District",19797933,623711,224451,1864272,4035915,2160511,1204395,1898173,135207,31944568
="The Bridge Academy District",1921829,142941,36085,238423,247081,193149,32101,N/A,119390,2930999
="Thomaston School District",8750677,283730,23514,606226,1819456,1633553,1054875,954255,254485,15380771
="Thompson School District",8136351,221517,205262,1181867,2505107,2037532,840809,1458284,328351,16915080
="Tolland School District",21450768,344811,1425152,1483057,3358379,3469422,2011473,2481065,26636,36050763
="Torrington School District",39415779,738813,1099768,3560026,5401428,5846233,4028023,6352426,492763,66935259
="Trailblazers Academy District",1502437,72497,0,463106,1994573,244398,35405,N/A,115280,4427696
="Trumbull School District",53383511,801099,2789042,6496909,10208313,9156970,4738206,3237033,777708,91588791
="Union School District",679069,44120,2706,63277,208773,134329,194939,55345,0,1382558
="Vernon School District",29029959,1376090,2737706,3302983,4054333,5600363,2823785,3043038,552511,52520768
="Voluntown School District",2603415,99997,76451,463445,620740,403646,366722,475057,43928,5153401
="Wallingford School District",51136538,593530,2579853,5835860,11896191,8628315,5847369,5540848,1318826,93377330
="Waterbury School District",139967080,4268490,35155263,12334992,23312881,22276646,11561236,6134032,8228076,263238696
="Waterford School District",25250287,1264677,511514,2693162,4101569,4623211,2573947,2612927,757094,44388388
="Watertown School District",21020616,506900,419881,2502235,4362141,4287413,2146213,1568756,457847,37272002
="West Hartford School District",78624768,2239376,6872227,9095259,15894880,12215674,6004751,5425465,1198870,137571270
="West Haven School District",50148184,1453057,2694302,4819639,6843466,15696998,4622911,6615376,1629943,94523876
="Westbrook School District",8822688,538905,274603,786556,1490923,1624154,436269,258746,402976,14635820
="Weston School District",25697664,360301,3634648,2793214,3695533,5860693,1786839,1567725,990547,46387164
="Westport School District",57532719,2617524,4056765,7493721,10192085,12496686,4092611,3344323,1458531,103284965
="Wethersfield School District",31120554,691460,1038099,3174815,4377017,6607983,2388184,3640472,640657,53679241
="Willington School District",4882849,108881,249116,429047,1021125,639880,452861,307134,0,8090893
="Wilton School District",41844713,906349,2967316,6293711,6874041,6511679,3370829,2200688,0,70969326
="Winchester School District",7632187,17583,157969,1456919,1403184,1070132,946857,2083557,3228,14771616
="Windham School District",32348498,818166,837658,3180866,3181476,4273509,2967833,4375860,553508,52537374
="Windsor Locks School District",16858719,457521,1020308,1753726,2794802,3543934,1179663,1565265,449786,29623724
="Windsor School District",33037947,1261806,2381002,5191444,7244461,6191674,4043937,4325077,569193,64246541
="Wolcott School District",21065606,574113,527988,1099313,3250975,3835784,1876458,964917,753326,33948480
="Woodbridge School District",7868991,504702,64625,154145,1686118,950200,535964,222592,0,11987337
="Woodstock School District",6630936,258285,176656,747122,824405,982811,799747,496755,56671,10973388

