"Overall Expenditures, 2007-08"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
="Cheshire School District",33632928,1070622,2065066,3701003,5388589,5947392,3232958,1414502,988480,57441540
="Chester School District",2308790,67038,41331,540485,602830,310872,126426,47981,0,4045753
="Clinton School District",17839496,1126766,756195,1912376,1959187,2280134,1521040,936224,370142,28701560
="Colchester School District",19786559,686641,779707,2545235,3283797,3086632,2303944,1682315,423657,34578487
="Colebrook School District",1031400,19564,73324,34602,245138,146182,91764,103002,11065,1756041
="Columbia School District",5009739,245069,181583,1048443,644447,627244,731484,436611,53090,8977710
="Common Ground High School District",1070886,36310,20430,60084,246578,107786,9243,N/A,131561,1682878
="Cornwall School District",1396299,89239,185909,139884,330064,270492,241980,0,508,2654375
="Coventry School District",13517603,351573,555657,2194329,2219032,2005977,1666146,1013759,395969,23920045
="Cromwell School District",15559437,665386,259861,1047888,2776210,2361539,1035954,925624,290276,24922175
="Danbury School District",75857843,3000394,4653178,7082901,10413434,8936094,6197993,2419064,819940,119380841
="Darien School District",41419256,1297675,2332521,2170480,6311240,6938107,2878391,1274102,1530086,66151858
="Deep River School District",2736317,87813,47463,550501,631334,461785,185836,93489,477,4795015
="Derby School District",9641377,465618,381477,1462465,2128546,1618071,730905,1324432,276716,18029607
="East Granby School District",7218619,332501,591556,607145,1637287,1176387,506997,425830,178732,12675054
="East Haddam School District",9902529,421558,395004,1036718,1927118,2095968,1228189,1404267,4274,18415625
="East Hampton School District",14331630,781833,574254,1576292,2446501,2538721,1574008,1445180,11479,25279898
="East Hartford School District",60669850,1908581,1574199,2680806,11032089,9192300,4360107,2361847,635142,94414921
="East Haven School District",22240349,236859,2014677,3883344,5782495,5077134,2189772,4260813,907206,46592649
="East Lyme School District",22966867,610965,1591435,1446835,3673448,4619717,1528044,2465059,791777,39694147
="East Windsor School District",10287362,376856,350337,626470,2586608,1699720,1322563,1498205,159511,18907632
="Eastford School District",1309813,63907,29660,432970,315641,330001,227264,107900,0,2817156
="Easton School District",9714705,177035,265859,195793,1561896,1443367,992682,269831,0,14621168
="Ellington School District",17302478,536079,773471,1264110,2208273,2865420,1583830,1193216,344364,28071241
="Elm City College Preparatory School",1517330,442049,149025,526208,1183661,299852,0,N/A,286313,4404438
="Enfield School District",45654290,1183809,1726570,5344067,7264922,7516346,3325093,2305244,1563714,75884055
="Essex School District",3831722,166550,65921,627053,892447,607694,259281,6444,0,6457112
="Explorations District",463792,18288,30731,35139,203019,169445,16826,N/A,7390,944630
="Fairfield School District",76714500,2384550,8319551,10326172,15285620,15760926,7178676,3131228,1952349,141053572
="Farmington School District",28235619,1085210,1820050,3556979,5094276,6026863,2629879,2417066,900687,51766629
="Franklin School District",1825096,116488,0,134626,389125,380460,219737,177665,8500,3251697
="Glastonbury School District",44309006,1826884,4087256,4469241,8086343,9038225,4512556,3631158,1153551,81114220
="Granby School District",14886741,923532,825125,1909297,2601917,3117729,1091406,658919,582246,26596912
="Greenwich School District",99053275,3064674,3338301,9824812,14996981,17057085,4543705,3002250,0,154881083
="Griswold School District",13258343,598454,356173,903933,3267431,2908725,1525855,537749,493535,23850198
="Groton School District",39929940,2208345,2948539,6033249,7120295,8188554,4056257,2802266,0,73287445
="Guilford School District",26760950,784221,1150766,2847837,5968534,4462084,2949550,2374220,665987,47964149
="Hamden School District",51027056,776417,1582818,6930920,8247030,8825503,5562839,12530922,689623,96173128
="Hampton School District",1308270,78957,93340,165242,317814,222508,151652,0,15829,2353612
="Hartford School District",187142031,8235195,11049219,27605391,41497193,37751580,24490987,26509435,0,364281031
="Hartland School District",1538931,79939,167867,368975,374929,247447,257151,97414,116244,3248897
="Hebron School District",7208817,301456,388560,857582,1037781,1131841,540859,92094,0,11558990
="Highville Charter School District",1149562,33501,24568,63032,652674,586075,0,N/A,15688,2525100
="Integrated Day Charter School District",1797438,67483,214504,77528,476001,345178,4349,N/A,55220,3037701
="Interdistrict School for Arts and Comm District",1138211,29295,58442,49320,322494,196069,3869,N/A,10585,1808285
="Jumoke Academy District",1578116,204466,59230,523303,923058,475520,0,N/A,318,3764011
="Kent School District",2489296,116136,108973,242365,477137,448641,298004,69468,31167,4281187
="Killingly School District",20261987,788881,1646535,1940328,3954108,3278986,1909356,2176931,44454,36001566
="Lebanon School District",8929403,356591,440669,1226583,1834783,1891579,1075729,786919,189840,16732096
="Ledyard School District",19372116,727253,875155,1918189,4219321,2657943,2103297,1400228,409737,33683239
="Lisbon School District",4331575,112134,34407,144958,402340,734916,623786,423601,16969,6824686
="Litchfield School District",8570558,254625,998490,1245405,1569163,2050736,935375,789108,331993,16745453
="Madison School District",23495614,1219367,1813128,3293688,3576790,4518256,2680004,1807844,1113784,43518475
="Manchester School District",55274006,2095120,2830020,6190449,10250148,10726839,3787882,6618535,1320130,99093129
="Mansfield School District",12399041,580430,697794,1272827,2527051,1879818,874823,304730,76432,20612946
="Marlborough School District",4632416,126950,223647,186633,749809,568728,382867,219942,0,7090992
="Meriden School District",61105483,1868513,1445933,8162059,11855956,12397770,4733975,12886139,783884,115239712
="Middletown School District",41324804,1094305,1324488,3270243,5366501,7410858,6135329,4877683,1285193,72089404
="Milford School District",64701917,3200793,1978094,3084431,8703672,10628266,3309800,2664484,838986,99110443
="Monroe School District",28729338,572489,1856434,3413250,4643422,5562556,2373356,971273,486966,48609084
="Montville School District",20857800,1388002,924291,2146112,3221020,3902471,1949433,840269,548704,35778102
="Naugatuck School District",38566732,985155,544943,4232009,6477216,6530268,2802492,1499709,870199,62508723
="New Beginnings Inc., Family Academy District",1790319,221787,232452,324103,541300,369152,8656,N/A,266707,3754476
="New Britain School District",82387092,3372176,3308918,4294240,11520351,13866524,10112862,8163799,386832,137412794
="New Canaan School District",36435200,800869,1261884,5907665,9797162,8729936,3823551,1912210,1116950,69785427
="New Fairfield School District",20307860,668879,708914,2532021,3560027,3458453,1387161,612495,426302,33662112
="New Hartford School District",4493364,92899,49224,281057,675214,886763,606217,173740,4461,7262939
="New Haven School District",181572320,5200360,10044603,8335214,36934828,33749581,18348799,14160237,3174050,311519992
="New London School District",25244850,906647,2023874,3138803,5303561,5516815,2585514,2890753,483798,48094615
="New Milford School District",33710487,777513,1234832,3726407,5405263,5719694,3981835,1980837,927983,57464851
="Newington School District",30675200,1817867,1698453,3325505,5744029,7617672,2771030,1793611,736610,56179977
="Newtown School District",36572505,1434951,1717317,4261119,6225931,8675985,4655899,1799080,795996,66138783
="Norfolk School District",1324028,46822,103424,47986,385106,373866,189177,73398,634,2544441
="North Branford School District",13740891,639002,1568239,2276565,3005803,3053799,2003051,1097372,587059,27971781
="North Canaan School District",3172650,121688,11558,261828,666012,507559,306662,0,1442,5049399
="North Haven School District",22854787,466394,976777,4106129,5307101,3517205,2969539,2406954,438986,43043872
="North Stonington School District",7090883,420220,134542,694257,1623444,1036844,842095,133820,33130,12009235
="Norwalk School District",99460085,3029574,3944041,8581504,17461150,14955760,5933610,4845941,1398452,159610117
="Norwich School District",29740619,871135,296651,5128831,4016411,5447035,4856596,5382201,0,55739479
="Odyssey Community School District",1004914,60059,81895,31276,207167,207393,0,N/A,0,1592704
="Old Saybrook School District",10819106,258699,1461861,1142756,2022184,2558177,722136,578371,394355,19957645
="Orange School District",10687171,407910,57078,1215000,1817241,1592494,860716,349077,30000,17016687
="Oxford School District",11711446,527849,50318,1088428,3349521,2286612,1374262,516491,244192,21149119
="Park City Prep Charter School District",684533,84609,1977,87133,460102,302453,4483,N/A,46052,1671342
="Plainfield School District",18090860,597858,1014844,2449515,3169845,3104899,2505023,2004409,275553,33212806
="Plainville School District",19500012,818589,1014228,1568763,3232024,3472602,1764466,2140226,0,33510910
="Plymouth School District",12171432,515865,397473,1206586,1874415,2250441,2300973,1538645,378057,22633887
="Pomfret School District",3884971,155622,128117,107733,576857,516353,595367,593208,0,6558228
="Portland School District",9655602,710559,702583,1090307,2011336,2304227,798888,509394,236823,18019719
="Preston School District",4547900,258123,86796,393401,594361,764186,631492,838455,25000,8139714
="Putnam School District",9315157,359321,287852,1646760,1894256,1824277,797426,924476,246791,17296316
="Redding School District",12997658,320628,363615,239028,1750731,1894315,1190265,438816,4780,19199836
="Regional School District 01",4992752,218892,383988,702705,971797,1132154,199436,872857,359760,9834341
="Regional School District 04",7194801,285244,363918,760330,2515139,1578276,598308,546887,49066,13891969
="Regional School District 05",18111704,554340,1151732,1505445,5038632,3581340,1982961,1291692,949254,34167100
="Regional School District 06",8459651,472509,540211,1066181,1837836,1967330,790727,210369,211919,15556733
="Regional School District 07",8723034,591486,256972,765004,1585274,1843507,1343314,438091,387270,15933952
="Regional School District 08",11901172,375981,849509,956627,1902464,1953300,1267834,1354659,328982,20890528
="Regional School District 09",10815470,306508,292716,164135,1371108,2020938,945621,1508318,0,17424814
="Regional School District 10",17089824,863762,2253597,1833841,2711441,3566035,2203046,1326345,0,31847891
="Regional School District 11",2636101,122718,102256,394144,1013919,712891,496432,691997,167960,6338418
="Regional School District 12",9992790,619054,808438,1387164,1813996,2727245,1288712,499238,372121,19508758
="Regional School District 13",15432469,369625,1379971,2553047,2328641,3133498,1851906,979501,368633,28397291
="Regional School District 14",15332010,468417,1498936,2216465,2816013,2869102,1486156,1448830,658723,28794652
="Regional School District 15",30637318,1117392,1326231,4786860,4857775,6553185,3400180,1130752,1174381,54984074
="Regional School District 16",15911350,644909,2231956,2019705,3452178,3170475,1873435,851004,435849,30590861
="Regional School District 17",17415398,630319,1249321,1744935,3183604,5199269,2356544,716011,514403,33009804
="Regional School District 18",11978942,455294,1399782,1891992,2837180,3759038,1159914,1175873,510142,25168157
="Regional School District 19",9598297,532476,346134,1105641,2092062,1458062,1131879,668608,729511,17662670
="Ridgefield School District",42701207,989992,4221488,3641194,5623186,9614645,4730719,2855650,334537,74712618
="Rocky Hill School District",18164958,496243,1342001,1865661,2559937,3777493,1200721,1323282,42397,30772693
="Salem School District",4306175,347409,47123,127848,994146,659119,696938,382500,0,7561258
="Salisbury School District",3306358,122479,179307,246386,521233,668402,340000,26500,5226,5415891
="Scotland School District",1508367,91491,39374,131992,245369,168911,164299,0,12757,2362560
="Seymour School District",15856037,764143,716045,1775840,3890277,3448889,1269917,791259,456166,28968573
="Sharon School District",2270308,75752,151800,282077,552706,467829,276850,60552,38836,4176710
="Shelton School District",36155204,1825945,2499530,5054855,5975571,7710220,3268025,1629206,722953,64841509
="Sherman School District",4038417,111843,259784,44840,571059,502486,446488,267383,34592,6276892
="Side By Side Charter School District",1164168,149860,45673,399829,403185,324281,0,N/A,0,2486996
="Simsbury School District",35300202,1278198,3850238,3901897,4771749,5892792,2601596,1750741,605578,59952991
="Somers School District",11504939,352799,389109,1047063,1767387,1912625,1049805,790789,289300,19103816
="South Windsor School District",33675984,1755855,1702627,3977327,5989623,5155404,3422989,2586450,1199349,59465608
="Southington School District",48405466,1369239,980422,5397706,8095379,7038039,3222599,3482180,661079,78652109
="Sprague School District",2393165,119453,42861,198102,570062,404640,526123,748502,12058,5014966
="Stafford School District",13665730,626417,439664,1778787,2635253,2362955,1848413,1615739,74648,25047606
="Stamford Academy District",834105,11435,0,457070,823514,179533,45349,N/A,60399,2411405
="Stamford School District",135351342,3592223,14284691,14633901,26129964,21179125,10916265,8075020,0,234162531
="Sterling School District",3722447,128491,82705,171335,509217,496708,537658,551183,42696,6242440
="Stonington School District",17174332,404398,1607009,1905741,2717327,3778624,1992245,1251364,446780,31277820
="Stratford School District",50179216,1178710,2959073,7611737,8058088,9027240,4152342,5429880,1452589,90048875
="Suffield School District",17734538,569736,206795,1872014,3674127,2332199,1066506,1342201,88709,28886825
="The Bridge Academy District",1699388,103433,9912,199221,264741,224622,23578,N/A,89835,2614730
="Thomaston School District",8454841,390184,22020,687785,1702414,1521473,902507,659682,276843,14617749
="Thompson School District",7928790,410608,318443,1055284,2447723,1889896,1004351,1152680,299820,16507595
="Tolland School District",18929480,743995,1034985,2515886,3306493,3095235,1911210,1660807,286774,33484865
="Torrington School District",34580715,536212,1929928,3394792,5239250,6235325,3461363,5562647,723136,61663368
="Trailblazers Academy District",1357033,7402,0,497859,844317,109146,24192,N/A,115105,2955054
="Trumbull School District",45904298,1536215,3748371,5999255,9767401,8455782,3830179,2471459,994274,82707234
="Union School District",573555,44269,19551,52643,134670,84361,177130,42004,0,1128183
="Vernon School District",27386231,827298,1448584,3083822,3773151,4740969,2486518,3069724,492707,47309004
="Voluntown School District",2335427,211121,81527,440299,570707,421317,470013,429492,57079,5016982
="Wallingford School District",46082893,1059841,2863461,5521828,11733273,7765179,4823014,4512463,1279135,85641087
="Waterbury School District",126579766,6353297,19882718,13068964,21400860,20764011,9986936,6341616,8077353,232455521
="Waterford School District",22470310,1350809,703452,2588491,3682582,4548888,2366717,2344827,802315,40858391
="Watertown School District",20258597,519661,494138,1444220,4529187,4305245,1602276,1235548,43050,34431922
="West Hartford School District",67800780,1612323,5731919,7904705,15039056,14906461,4601075,3525448,1114638,122236405
="West Haven School District",47984148,1723677,2659259,4479856,5983801,9712386,4091912,6466370,963003,84064412
="Westbrook School District",7354708,215807,246504,1046855,1402358,1477859,389699,277545,449077,12860412
="Weston School District",23629900,575926,3412119,2342179,3330905,5756230,1885505,1450435,861843,43245042
="Westport School District",51276735,1783748,4713386,6328936,9215778,11199085,4611877,2437714,1239490,92806749
="Wethersfield School District",29538222,906396,965382,1976490,4130562,4920494,2322233,2140406,752410,47652595
="Willington School District",4770922,212392,205286,381491,909322,711238,432436,101644,12689,7737420
="Wilton School District",37871076,945914,3189351,5776643,6676132,6934216,2942336,1976506,0,66312174
="Winchester School District",7329129,226457,258148,1482416,1690236,1241702,1012858,1313663,537252,15091861
="Windham School District",31679550,1011239,775319,2848440,4170581,4275980,2422253,2451226,599203,50233791
="Windsor Locks School District",15343362,489850,1067731,1715699,2340716,3109263,1021583,1226732,601360,26916296
="Windsor School District",31883897,1033837,2453794,4751322,7218839,5223538,2983594,3557104,586798,59692723
="Wolcott School District",19295324,820540,598538,1242218,3249663,3681202,1627948,774233,736809,32026475
="Woodbridge School District",7348407,345413,76460,138770,1539632,1162465,525628,529437,26000,11692212
="Woodstock School District",6173996,361507,158943,635169,807804,1034708,974431,430625,20187,10597370

