"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"Ledyard School District","Ledyard High School","Special Education",31,29,93.5,"*","*","*","*"
"Litchfield School District","Litchfield High School","Non-Special Education","*","*","*","*","*","*","*"
"Litchfield School District","Litchfield High School","Special Education","*","*","*","*","*","*","*"
"Madison School District","Daniel Hand High School","Non-Special Education",283,281,99.3,"*","*","*","*"
"Madison School District","Daniel Hand High School","Special Education",34,32,94.1,"*","*","*","*"
"Manchester School District","Manchester High School","Non-Special Education",368,335,91.0,"*","*",32,8.7
"Manchester School District","Manchester High School","Special Education",46,38,82.6,"*","*",6,13.0
"Meriden School District","Francis T. Maloney High School","Non-Special Education",263,222,84.4,"*","*",40,15.2
"Meriden School District","Francis T. Maloney High School","Special Education",41,24,58.5,"*","*",12,29.3
"Meriden School District","Orville H. Platt High School","Non-Special Education",244,217,88.9,"*","*",27,11.1
"Meriden School District","Orville H. Platt High School","Special Education",46,22,47.8,"*","*",23,50.0
"Middletown School District","Middletown High School","Non-Special Education",271,250,92.3,"*","*","*","*"
"Middletown School District","Middletown High School","Special Education",28,24,85.7,"*","*","*","*"
"Milford School District","Jonathan Law High School","Non-Special Education",225,214,95.1,"*","*",10,4.4
"Milford School District","Jonathan Law High School","Special Education",30,26,86.7,"*","*","*","*"
"Milford School District","Joseph A. Foran High School","Non-Special Education",205,201,98.0,"*","*","*","*"
"Milford School District","Joseph A. Foran High School","Special Education",34,32,94.1,"*","*","*","*"
"Monroe School District","Masuk High School","Non-Special Education",262,261,99.6,"*","*","*","*"
"Monroe School District","Masuk High School","Special Education",31,28,90.3,"*","*","*","*"
"Montville School District","Montville High School","Non-Special Education",170,156,91.8,"*","*","*","*"
"Montville School District","Montville High School","Special Education",13,12,92.3,"*","*","*","*"
"Naugatuck School District","Naugatuck High School","Non-Special Education",284,240,84.5,"*","*",38,13.4
"Naugatuck School District","Naugatuck High School","Special Education",46,38,82.6,"*","*",6,13.0
"New Britain School District","New Britain High School","Non-Special Education",558,421,75.4,"*","*",127,22.8
"New Britain School District","New Britain High School","Special Education",54,37,68.5,"*","*",12,22.2
"New Canaan School District","New Canaan High School","Non-Special Education",277,277,100.0,"*","*","*","*"
"New Canaan School District","New Canaan High School","Special Education",33,30,90.9,"*","*","*","*"
"New Fairfield School District","New Fairfield High School","Non-Special Education",212,209,98.6,"*","*","*","*"
"New Fairfield School District","New Fairfield High School","Special Education",24,22,91.7,"*","*","*","*"
"New Haven School District","Cooperative High School","Non-Special Education",151,145,96.0,"*","*",6,4.0
"New Haven School District","Cooperative High School","Special Education",13,11,84.6,"*","*","*","*"
"New Haven School District","High School In The Community","Non-Special Education",46,27,58.7,"*","*",16,34.8
"New Haven School District","High School In The Community","Special Education",13,"*","*","*","*","*","*"
"New Haven School District","Hill Regional Career High School","Non-Special Education",160,146,91.3,"*","*",14,8.8
"New Haven School District","Hill Regional Career High School","Special Education",10,8,80.0,"*","*","*","*"
"New Haven School District","Hyde School of Health, Science and Sports Medicine","Non-Special Education",28,27,96.4,"*","*","*","*"
"New Haven School District","Hyde School of Health, Science and Sports Medicine","Special Education",8,7,87.5,"*","*","*","*"
"New Haven School District","James Hillhouse High School","Non-Special Education",227,173,76.2,"*","*",49,21.6
"New Haven School District","James Hillhouse High School","Special Education",35,22,62.9,6,17.1,7,20.0
"New Haven School District","Metropolitan Business Academy","Non-Special Education",86,79,91.9,"*","*",7,8.1
"New Haven School District","Metropolitan Business Academy","Special Education",6,"*","*","*","*","*","*"
"New Haven School District","New Haven Academy","Non-Special Education",58,52,89.7,"*","*","*","*"
"New Haven School District","New Haven Academy","Special Education",7,6,85.7,"*","*","*","*"
"New Haven School District","Sound School","Non-Special Education",74,70,94.6,"*","*","*","*"
"New Haven School District","Sound School","Special Education",10,9,90.0,"*","*","*","*"
"New Haven School District","Wilbur Cross High School","Non-Special Education",256,186,72.7,"*","*",70,27.3
"New Haven School District","Wilbur Cross High School","Special Education",29,12,41.4,6,20.7,11,37.9
"New London School District","New London High School","Non-Special Education",188,151,80.3,"*","*","*","*"
"New London School District","New London High School","Special Education",32,22,68.8,"*","*","*","*"
"New Milford School District","New Milford High School","Non-Special Education",345,328,95.1,"*","*",16,4.6
"New Milford School District","New Milford High School","Special Education",30,22,73.3,"*","*",7,23.3
"Newington School District","Newington High School","Non-Special Education",331,320,96.7,"*","*","*","*"
"Newington School District","Newington High School","Special Education",32,24,75.0,"*","*","*","*"
"Newtown School District","Newtown High School","Non-Special Education",379,379,100.0,"*","*","*","*"
"Newtown School District","Newtown High School","Special Education",41,32,78.0,"*","*","*","*"
"North Branford School District","North Branford High School","Non-Special Education",120,110,91.7,"*","*","*","*"
"North Branford School District","North Branford High School","Special Education",26,25,96.2,"*","*","*","*"
"North Haven School District","North Haven High School","Non-Special Education",286,268,93.7,"*","*",15,5.2
"North Haven School District","North Haven High School","Special Education",25,18,72.0,"*","*",7,28.0
"North Stonington School District","Wheeler High School","Non-Special Education",49,47,95.9,"*","*","*","*"
"North Stonington School District","Wheeler High School","Special Education",7,7,100.0,"*","*","*","*"
"Norwalk School District","Brien McMahon High School","Non-Special Education",352,312,88.6,16,4.5,24,6.8
"Norwalk School District","Brien McMahon High School","Special Education",43,35,81.4,6,14.0,"*","*"
"Norwalk School District","Norwalk High School","Non-Special Education",331,308,93.1,"*","*",19,5.7
"Norwalk School District","Norwalk High School","Special Education",44,37,84.1,"*","*","*","*"
"Norwalk School District","Norwalk Pathways Academy at Briggs","Non-Special Education",36,"*","*",15,41.7,14,38.9
"Norwalk School District","Norwalk Pathways Academy at Briggs","Special Education",7,"*","*","*","*","*","*"
"Norwich Free Academy District","Norwich Free Academy","Non-Special Education",540,489,90.6,"*","*",51,9.4
"Norwich Free Academy District","Norwich Free Academy","Special Education",62,47,75.8,"*","*",12,19.4
"Old Saybrook School District","Old Saybrook Senior High School","Non-Special Education",123,118,95.9,"*","*","*","*"
"Old Saybrook School District","Old Saybrook Senior High School","Special Education",10,8,80.0,"*","*","*","*"
"Oxford School District","Oxford High School","Non-Special Education",165,162,98.2,"*","*","*","*"
"Oxford School District","Oxford High School","Special Education",8,6,75.0,"*","*","*","*"
"Plainfield School District","Plainfield High School","Non-Special Education",149,138,92.6,"*","*","*","*"
"Plainfield School District","Plainfield High School","Special Education",20,12,60.0,"*","*","*","*"
"Plainville School District","Plainville High School","Non-Special Education",152,143,94.1,"*","*","*","*"
"Plainville School District","Plainville High School","Special Education",20,17,85.0,"*","*","*","*"
"Plymouth School District","Terryville High School","Non-Special Education",113,108,95.6,"*","*","*","*"
"Plymouth School District","Terryville High School","Special Education",14,10,71.4,"*","*","*","*"
"Portland School District","Portland High School","Non-Special Education",101,97,96.0,"*","*","*","*"
"Portland School District","Portland High School","Special Education",11,10,90.9,"*","*","*","*"
"Putnam School District","Putnam High School","Non-Special Education",52,49,94.2,"*","*","*","*"
"Putnam School District","Putnam High School","Special Education",13,10,76.9,"*","*","*","*"
"Regional School District 01","Housatonic Valley Regional High School","Non-Special Education",103,96,93.2,"*","*","*","*"
"Regional School District 01","Housatonic Valley Regional High School","Special Education",17,16,94.1,"*","*","*","*"
"Regional School District 04","Valley Regional High School","Non-Special Education",117,115,98.3,"*","*","*","*"
"Regional School District 04","Valley Regional High School","Special Education",19,18,94.7,"*","*","*","*"
"Regional School District 05","Amity Regional High School","Non-Special Education",363,358,98.6,"*","*","*","*"
"Regional School District 05","Amity Regional High School","Special Education",50,48,96.0,"*","*","*","*"
"Regional School District 06","Wamogo Regional High School","Non-Special Education",77,73,94.8,"*","*","*","*"
"Regional School District 06","Wamogo Regional High School","Special Education",16,14,87.5,"*","*","*","*"
"Regional School District 07","Northwestern Regional High School","Non-Special Education",179,176,98.3,"*","*","*","*"
"Regional School District 07","Northwestern Regional High School","Special Education",7,7,100.0,"*","*","*","*"
"Regional School District 08","RHAM High School","Non-Special Education",248,242,97.6,"*","*","*","*"
"Regional School District 08","RHAM High School","Special Education",42,38,90.5,"*","*","*","*"
"Regional School District 09","Joel Barlow High School","Non-Special Education",218,214,98.2,"*","*","*","*"
"Regional School District 09","Joel Barlow High School","Special Education",31,31,100.0,"*","*","*","*"
"Regional School District 10","Lewis S. Mills High School","Non-Special Education",186,182,97.8,"*","*","*","*"
"Regional School District 10","Lewis S. Mills High School","Special Education",26,22,84.6,"*","*","*","*"
"Regional School District 11","Parish Hill High School","Non-Special Education","*","*","*","*","*","*","*"
"Regional School District 11","Parish Hill High School","Special Education","*","*","*","*","*","*","*"
"Regional School District 12","Shepaug Valley School","Non-Special Education",63,63,100.0,"*","*","*","*"
"Regional School District 12","Shepaug Valley School","Special Education",14,14,100.0,"*","*","*","*"
"Regional School District 13","Coginchaug Regional High School","Non-Special Education",110,108,98.2,"*","*","*","*"
"Regional School District 13","Coginchaug Regional High School","Special Education",20,19,95.0,"*","*","*","*"
"Regional School District 14","Nonnewaug High School","Non-Special Education",187,185,98.9,"*","*","*","*"
"Regional School District 14","Nonnewaug High School","Special Education",20,18,90.0,"*","*","*","*"
"Regional School District 15","Pomperaug Regional High School","Non-Special Education",281,279,99.3,"*","*","*","*"
"Regional School District 15","Pomperaug Regional High School","Special Education",43,40,93.0,"*","*","*","*"
"Regional School District 16","Woodland Regional High School","Non-Special Education",156,154,98.7,"*","*","*","*"
"Regional School District 16","Woodland Regional High School","Special Education",20,17,85.0,"*","*","*","*"
"Regional School District 17","Haddam-Killingworth High School","Non-Special Education",124,124,100.0,"*","*","*","*"
"Regional School District 17","Haddam-Killingworth High School","Special Education",27,26,96.3,"*","*","*","*"
"Regional School District 18","Lyme-Old Lyme High School","Non-Special Education",100,99,99.0,"*","*","*","*"
"Regional School District 18","Lyme-Old Lyme High School","Special Education",7,6,85.7,"*","*","*","*"
"Regional School District 19","E. O. Smith High School","Non-Special Education",245,240,98.0,"*","*","*","*"
"Regional School District 19","E. O. Smith High School","Special Education",35,34,97.1,"*","*","*","*"
"Ridgefield School District","Ridgefield High School","Non-Special Education",417,413,99.0,"*","*","*","*"
"Ridgefield School District","Ridgefield High School","Special Education",39,35,89.7,"*","*","*","*"
"Rocky Hill School District","Rocky Hill High School","Non-Special Education",165,155,93.9,"*","*","*","*"
"Rocky Hill School District","Rocky Hill High School","Special Education",14,13,92.9,"*","*","*","*"
"Seymour School District","Seymour High School","Non-Special Education",122,112,91.8,"*","*","*","*"
"Seymour School District","Seymour High School","Special Education",12,9,75.0,"*","*","*","*"
"Shelton School District","Shelton High School","Non-Special Education",336,324,96.4,"*","*",11,3.3
"Shelton School District","Shelton High School","Special Education",26,19,73.1,"*","*",6,23.1
"Simsbury School District","Simsbury High School","Non-Special Education",346,340,98.3,"*","*","*","*"
"Simsbury School District","Simsbury High School","Special Education",43,40,93.0,"*","*","*","*"
"Somers School District","Somers High School","Non-Special Education",115,114,99.1,"*","*","*","*"
"Somers School District","Somers High School","Special Education",14,12,85.7,"*","*","*","*"
"South Windsor School District","South Windsor High School","Non-Special Education",292,289,99.0,"*","*","*","*"
