"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"ELA","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Math","Y",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*",2488
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Math","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"ELA","Y",64,63,98.4,63,"*","*",20,31.7,21,33.3,"*","*","*","*",2478
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"ELA","N",26,26,100.0,26,9,34.6,"*","*",8,30.8,"*","*","*","*",2467
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Math","Y",64,62,96.9,62,28,45.2,26,41.9,"*","*","*","*","*","*",2462
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Math","N",26,26,100.0,26,14,53.8,"*","*","*","*",0,0.0,"*","*",2435
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"ELA","Y",74,74,100.0,74,19,25.7,"*","*",31,41.9,"*","*","*","*",2518
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"ELA","N",25,25,100.0,25,7,28.0,"*","*",7,28.0,"*","*","*","*",2535
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Math","Y",74,74,100.0,74,21,28.4,"*","*",21,28.4,"*","*","*","*",2502
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Math","N",25,25,100.0,25,10,40.0,"*","*",6,24.0,"*","*","*","*",2521
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"ELA","Y",53,53,100.0,53,"*","*",16,30.2,19,35.8,"*","*","*","*",2546
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"ELA","N",25,25,100.0,25,"*","*",11,44.0,9,36.0,"*","*","*","*",2555
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Math","Y",53,53,100.0,53,21,39.6,17,32.1,"*","*","*","*","*","*",2507
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Math","N",25,25,100.0,25,9,36.0,11,44.0,"*","*","*","*","*","*",2503
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"ELA","Y",54,54,100.0,54,11,20.4,14,25.9,20,37.0,9,16.7,29,53.7,2571
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"ELA","N",25,25,100.0,25,0,0.0,10,40.0,8,32.0,7,28.0,15,60.0,2610
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Math","Y",54,54,100.0,54,18,33.3,"*","*","*","*",14,25.9,"*","*",2555
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Math","N",25,25,100.0,25,"*","*",10,40.0,"*","*",8,32.0,"*","*",2558
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"ELA","Y",27,26,96.3,26,"*","*","*","*","*","*","*","*","*","*",2596
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"ELA","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"Math","Y",27,26,96.3,26,"*","*","*","*","*","*","*","*","*","*",2577
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"Math","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"ELA","N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*",2501
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Math","N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*",2477
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Math","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"ELA","Y",12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"ELA","N",36,36,100.0,36,0,0.0,"*","*","*","*","*","*","*","*",2602
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Math","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Math","N",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*",2573
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"ELA","N",33,32,97.0,32,0,0.0,"*","*","*","*","*","*","*","*",2603
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Math","N",33,32,97.0,32,"*","*","*","*","*","*","*","*","*","*",2611
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"ELA","Y",63,59,93.7,59,"*","*",18,30.5,24,40.7,"*","*","*","*",2596
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"ELA","N",49,45,91.8,45,"*","*","*","*",17,37.8,17,37.8,34,75.6,2637
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"Math","Y",63,56,88.9,56,33,58.9,12,21.4,"*","*","*","*",11,19.6,2531
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"Math","N",49,47,95.9,47,15,31.9,13,27.7,"*","*","*","*",19,40.4,2596
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"ELA","Y",141,137,97.2,137,"*","*",48,35.0,34,24.8,"*","*","*","*",2509
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"ELA","N",44,44,100.0,44,"*","*",15,34.1,19,43.2,"*","*","*","*",2560
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Math","Y",141,137,97.2,137,61,44.5,56,40.9,"*","*","*","*",20,14.6,2488
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Math","N",44,44,100.0,44,15,34.1,15,34.1,"*","*","*","*",14,31.8,2523
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"ELA","Y",150,147,98.0,147,63,42.9,44,29.9,29,19.7,11,7.5,40,27.2,2514
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"ELA","N",59,58,98.3,58,15,25.9,14,24.1,20,34.5,9,15.5,29,50.0,2562
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Math","Y",150,147,98.0,147,97,66.0,37,25.2,"*","*","*","*",13,8.8,2463
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Math","N",59,58,98.3,58,25,43.1,21,36.2,"*","*","*","*",12,20.7,2519
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"ELA","Y",58,58,100.0,58,19,32.8,"*","*","*","*",10,17.2,"*","*",2401
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"ELA","N",30,30,100.0,30,8,26.7,"*","*","*","*",10,33.3,"*","*",2436
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Math","Y",58,58,100.0,58,17,29.3,24,41.4,"*","*","*","*",17,29.3,2409
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Math","N",30,30,100.0,30,7,23.3,"*","*",12,40.0,"*","*","*","*",2440
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"ELA","Y",67,67,100.0,67,30,44.8,"*","*",13,19.4,"*","*","*","*",2431
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"ELA","N",28,28,100.0,28,9,32.1,"*","*",11,39.3,"*","*","*","*",2456
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"Math","Y",67,67,100.0,67,"*","*",32,47.8,"*","*",0,0.0,"*","*",2416
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"Math","N",29,29,100.0,29,"*","*",21,72.4,"*","*",0,0.0,"*","*",2443
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"ELA","Y",60,60,100.0,60,25,41.7,18,30.0,"*","*","*","*",17,28.3,2454
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"ELA","N",29,29,100.0,29,8,27.6,"*","*",11,37.9,"*","*","*","*",2501
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Math","Y",60,60,100.0,60,38,63.3,15,25.0,"*","*","*","*","*","*",2435
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Math","N",29,29,100.0,29,10,34.5,16,55.2,"*","*","*","*","*","*",2466
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"ELA","Y",70,70,100.0,70,"*","*","*","*","*","*","*","*","*","*",2467
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"ELA","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"Math","Y",70,70,100.0,70,"*","*","*","*","*","*","*","*","*","*",2454
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"Math","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"ELA","Y",62,62,100.0,62,"*","*","*","*",13,21.0,8,12.9,21,33.9,2401
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"ELA","N",25,25,100.0,25,"*","*","*","*",10,40.0,9,36.0,19,76.0,2468
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"Math","Y",62,62,100.0,62,25,40.3,"*","*",17,27.4,"*","*","*","*",2396
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"Math","N",25,25,100.0,25,7,28.0,"*","*",11,44.0,"*","*","*","*",2429
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"ELA","Y",62,61,98.4,61,31,50.8,"*","*",8,13.1,"*","*","*","*",2428
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"ELA","N",31,30,96.8,30,"*","*","*","*",7,23.3,12,40.0,19,63.3,2483
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"Math","Y",62,62,100.0,62,14,22.6,40,64.5,"*","*","*","*",8,12.9,2435
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"Math","N",31,30,96.8,30,"*","*",11,36.7,6,20.0,"*","*","*","*",2477
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"ELA","Y",61,61,100.0,61,"*","*","*","*",16,26.2,"*","*","*","*",2465
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"ELA","N",24,23,95.8,23,"*","*","*","*",8,34.8,"*","*","*","*",2501
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Math","Y",61,61,100.0,61,34,55.7,"*","*",0,0.0,"*","*","*","*",2439
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Math","N",24,24,100.0,24,8,33.3,11,45.8,"*","*","*","*","*","*",2474
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"ELA","Y",60,60,100.0,60,21,35.0,27,45.0,"*","*","*","*",12,20.0,2474
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"ELA","N",24,24,100.0,24,"*","*",9,37.5,8,33.3,"*","*","*","*",2512
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"Math","Y",60,60,100.0,60,29,48.3,21,35.0,"*","*","*","*",10,16.7,2474
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"Math","N",24,24,100.0,24,9,37.5,"*","*",7,29.2,"*","*","*","*",2513
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"ELA","Y",24,24,100.0,23,"*","*","*","*",0,0.0,0,0.0,0,0.0,2303
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"Math","Y",24,24,100.0,24,20,83.3,"*","*","*","*",0,0.0,"*","*",2293
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"Math","Y","*","*","*","*","*","*",0,0.0,"*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"ELA","Y",21,21,100.0,20,14,70.0,6,30.0,0,0.0,0,0.0,0,0.0,2387
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"Math","Y",21,20,95.2,20,"*","*","*","*",0,0.0,0,0.0,0,0.0,2345
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"ELA","Y",24,21,87.5,20,13,65.0,"*","*","*","*",0,0.0,"*","*",2403
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"Math","Y",24,22,91.7,20,"*","*","*","*",0,0.0,0,0.0,0,0.0,2318
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"ELA","Y",29,27,93.1,26,18,69.2,"*","*","*","*",0,0.0,"*","*",2443
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"Math","Y",29,26,89.7,26,"*","*","*","*",0,0.0,0,0.0,0,0.0,2375
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"ELA","Y",22,19,86.4,16,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"Math","Y",22,18,81.8,17,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"ELA","Y",158,158,100.0,158,53,33.5,54,34.2,"*","*","*","*",51,32.3,2487
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"ELA","N",88,88,100.0,88,"*","*",33,37.5,35,39.8,"*","*","*","*",2541
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"Math","Y",158,158,100.0,158,85,53.8,56,35.4,"*","*","*","*",17,10.8,2451
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"Math","N",88,88,100.0,88,"*","*",42,47.7,22,25.0,"*","*","*","*",2526
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"ELA","Y",145,144,99.3,144,55,38.2,51,35.4,31,21.5,7,4.9,38,26.4,2500
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"ELA","N",88,88,100.0,87,13,14.9,21,24.1,40,46.0,13,14.9,53,60.9,2561
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"Math","Y",145,144,99.3,144,82,56.9,39,27.1,"*","*","*","*",23,16.0,2461
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"Math","N",88,87,98.9,87,"*","*",35,40.2,24,27.6,"*","*","*","*",2544
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"ELA","Y",120,120,100.0,119,39,32.8,48,40.3,"*","*","*","*",32,26.9,2521
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"ELA","N",107,107,100.0,107,"*","*",24,22.4,46,43.0,"*","*","*","*",2588
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"Math","Y",120,120,100.0,120,70,58.3,31,25.8,"*","*","*","*",19,15.8,2490
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"Math","N",107,107,100.0,107,32,29.9,26,24.3,"*","*","*","*",49,45.8,2566
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"ELA","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"Math","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"ELA","Y",41,40,97.6,40,18,45.0,13,32.5,"*","*","*","*",9,22.5,2375
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"ELA","N",33,33,100.0,33,"*","*",11,33.3,7,21.2,"*","*","*","*",2429
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"Math","Y",41,40,97.6,40,28,70.0,9,22.5,"*","*","*","*","*","*",2359
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"Math","N",33,33,100.0,33,13,39.4,8,24.2,"*","*","*","*","*","*",2410
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"ELA","Y",43,42,97.7,42,24,57.1,12,28.6,"*","*","*","*",6,14.3,2408
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"ELA","N",31,31,100.0,31,7,22.6,13,41.9,"*","*","*","*",11,35.5,2459
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"Math","Y",43,42,97.7,42,21,50.0,"*","*","*","*",0,0.0,"*","*",2399
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"Math","N",31,31,100.0,31,"*","*",15,48.4,"*","*",0,0.0,"*","*",2436
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"ELA","Y",40,40,100.0,40,14,35.0,"*","*",10,25.0,"*","*","*","*",2472
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"ELA","N",34,34,100.0,34,6,17.6,"*","*",17,50.0,"*","*","*","*",2528
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"Math","Y",40,40,100.0,40,25,62.5,"*","*","*","*",0,0.0,"*","*",2421
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"Math","N",34,34,100.0,34,15,44.1,13,38.2,"*","*","*","*","*","*",2473
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"ELA","Y",37,37,100.0,37,"*","*",14,37.8,10,27.0,"*","*","*","*",2493
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"ELA","N",34,34,100.0,34,"*","*",13,38.2,13,38.2,"*","*","*","*",2559
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"Math","Y",37,37,100.0,37,26,70.3,"*","*","*","*",0,0.0,"*","*",2434
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"Math","N",34,34,100.0,34,14,41.2,12,35.3,"*","*","*","*","*","*",2501
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"ELA","Y",42,41,97.6,41,13,31.7,9,22.0,13,31.7,6,14.6,19,46.3,2538
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"ELA","N",28,28,100.0,28,6,21.4,6,21.4,10,35.7,6,21.4,16,57.1,2559
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"Math","Y",42,41,97.6,41,22,53.7,14,34.1,"*","*","*","*","*","*",2474
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"Math","N",28,28,100.0,28,10,35.7,8,28.6,"*","*","*","*","*","*",2522
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"ELA","Y",29,29,100.0,29,9,31.0,13,44.8,"*","*","*","*",7,24.1,2517
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"ELA","N",34,34,100.0,34,"*","*",8,23.5,13,38.2,"*","*","*","*",2579
