"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Gender"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","F",255,253,99.2,253,19,7.5,36,14.2,59,23.3,139,54.9,198,78.3
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","M",287,286,99.7,286,16,5.6,37,12.9,69,24.1,164,57.3,233,81.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","F",117,117,100.0,117,7,6.0,29,24.8,41,35.0,40,34.2,81,69.2
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","M",126,126,100.0,126,7,5.6,26,20.6,35,27.8,58,46.0,93,73.8
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","F",107,106,99.1,106,"*","*","*","*",39,36.8,46,43.4,85,80.2
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","M",106,105,99.1,105,"*","*","*","*",37,35.2,52,49.5,89,84.8
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","F",275,274,99.6,274,29,10.6,66,24.1,81,29.6,98,35.8,179,65.3
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","M",275,274,99.6,274,25,9.1,47,17.2,79,28.8,123,44.9,202,73.7
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","F",86,84,97.7,84,23,27.4,29,34.5,22,26.2,10,11.9,32,38.1
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","M",89,84,94.4,84,19,22.6,35,41.7,20,23.8,10,11.9,30,35.7
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","F",301,300,99.7,299,62,20.7,98,32.8,84,28.1,55,18.4,139,46.5
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","M",374,374,100.0,374,86,23.0,115,30.7,82,21.9,91,24.3,173,46.3
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","F",104,104,100.0,104,7,6.7,32,30.8,37,35.6,28,26.9,65,62.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","M",123,122,99.2,122,14,11.5,34,27.9,30,24.6,44,36.1,74,60.7
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","F",131,131,100.0,131,20,15.3,40,30.5,43,32.8,28,21.4,71,54.2
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","M",153,150,98.0,149,20,13.4,36,24.2,51,34.2,42,28.2,93,62.4
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","F",64,64,100.0,64,"*","*",17,26.6,26,40.6,"*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","M",66,64,97.0,64,"*","*","*","*",24,37.5,17,26.6,41,64.1
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","F",107,103,96.3,103,6,5.8,23,22.3,35,34.0,39,37.9,74,71.8
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","M",125,121,96.8,121,18,14.9,35,28.9,32,26.4,36,29.8,68,56.2
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","F",63,63,100.0,63,"*","*","*","*",27,42.9,16,25.4,43,68.3
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","M",63,62,98.4,62,"*","*","*","*",20,32.3,21,33.9,41,66.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","F",313,311,99.4,311,51,16.4,96,30.9,96,30.9,68,21.9,164,52.7
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","M",337,336,99.7,336,68,20.2,104,31.0,84,25.0,80,23.8,164,48.8
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","F",65,65,100.0,65,"*","*","*","*",21,32.3,20,30.8,41,63.1
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","M",62,61,98.4,61,"*","*","*","*",24,39.3,25,41.0,49,80.3
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","F",203,202,99.5,202,23,11.4,75,37.1,61,30.2,43,21.3,104,51.5
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","M",220,217,98.6,217,20,9.2,72,33.2,58,26.7,67,30.9,125,57.6
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","F",107,107,100.0,107,35,32.7,39,36.4,20,18.7,13,12.1,33,30.8
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","M",115,115,100.0,115,41,35.7,43,37.4,22,19.1,9,7.8,31,27.0
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","F",93,93,100.0,93,38,40.9,30,32.3,"*","*","*","*",25,26.9
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","M",108,108,100.0,108,47,43.5,41,38.0,"*","*","*","*",20,18.5
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F",59,56,94.9,56,23,41.1,20,35.7,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","M",28,28,100.0,28,18,64.3,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","F",131,131,100.0,131,45,34.4,47,35.9,28,21.4,11,8.4,39,29.8
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","M",123,122,99.2,122,39,32.0,50,41.0,25,20.5,8,6.6,33,27.0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","F",173,168,97.1,168,22,13.1,37,22.0,47,28.0,62,36.9,109,64.9
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","M",181,177,97.8,177,20,11.3,40,22.6,62,35.0,55,31.1,117,66.1
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","F",68,68,100.0,68,"*","*",30,44.1,18,26.5,"*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","M",66,65,98.5,64,19,29.7,23,35.9,"*","*","*","*",22,34.4
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","F",456,443,97.1,442,90,20.4,133,30.1,117,26.5,102,23.1,219,49.5
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","M",438,436,99.5,436,123,28.2,118,27.1,91,20.9,104,23.9,195,44.7
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","F",64,63,98.4,63,"*","*","*","*",28,44.4,14,22.2,42,66.7
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","M",77,77,100.0,77,"*","*","*","*",29,37.7,25,32.5,54,70.1
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","F",76,76,100.0,75,6,8.0,19,25.3,30,40.0,20,26.7,50,66.7
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","M",74,74,100.0,71,7,9.9,11,15.5,20,28.2,33,46.5,53,74.6
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","F",76,76,100.0,76,17,22.4,16,21.1,26,34.2,17,22.4,43,56.6
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","M",90,90,100.0,90,15,16.7,23,25.6,25,27.8,27,30.0,52,57.8
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","F",24,24,100.0,24,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","M",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","F",272,272,100.0,272,84,30.9,76,27.9,51,18.8,61,22.4,112,41.2
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","M",269,268,99.6,268,83,31.0,70,26.1,51,19.0,64,23.9,115,42.9
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","F",152,151,99.3,151,113,74.8,30,19.9,8,5.3,0,0.0,8,5.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","M",160,160,100.0,160,119,74.4,32,20.0,9,5.6,0,0.0,9,5.6
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","F",86,86,100.0,86,61,70.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","M",88,88,100.0,88,55,62.5,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","F",111,111,100.0,111,60,54.1,34,30.6,13,11.7,"*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","M",142,142,100.0,142,69,48.6,52,36.6,17,12.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","F",340,338,99.4,338,235,69.5,86,25.4,"*","*","*","*",17,5.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","M",429,426,99.3,426,298,70.0,107,25.1,"*","*","*","*",21,4.9
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","M","*","*","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","F",83,83,100.0,83,55,66.3,22,26.5,"*","*","*","*",6,7.2
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","M",109,109,100.0,109,74,67.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","F",384,384,100.0,384,305,79.4,62,16.1,"*","*","*","*",17,4.4
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","M",416,415,99.8,415,338,81.4,62,14.9,"*","*","*","*",15,3.6
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","F",126,123,97.6,123,53,43.1,47,38.2,"*","*","*","*",23,18.7
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","M",111,111,100.0,111,55,49.5,36,32.4,"*","*","*","*",20,18.0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","F",230,229,99.6,229,165,72.1,50,21.8,"*","*","*","*",14,6.1
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","M",244,244,100.0,244,186,76.2,44,18.0,"*","*","*","*",14,5.7
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","F",93,93,100.0,93,69,74.2,19,20.4,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","M",129,128,99.2,128,106,82.8,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","F",232,231,99.6,231,182,78.8,40,17.3,"*","*","*","*",9,3.9
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","M",262,261,99.6,261,212,81.2,40,15.3,9,3.4,0,0.0,9,3.4
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","F",106,106,100.0,106,81,76.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","M",114,114,100.0,114,97,85.1,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","F",71,71,100.0,71,46,64.8,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","M",78,78,100.0,78,56,71.8,19,24.4,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","F",220,220,100.0,220,142,64.5,59,26.8,"*","*","*","*",19,8.6
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","M",255,255,100.0,255,156,61.2,76,29.8,"*","*","*","*",23,9.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","F",58,58,100.0,58,31,53.4,21,36.2,"*","*","*","*",6,10.3
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","M",74,74,100.0,74,42,56.8,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","F",78,78,100.0,78,53,67.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","M",74,73,98.6,73,47,64.4,22,30.1,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","F",154,154,100.0,154,59,38.3,66,42.9,"*","*","*","*",29,18.8
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","M",114,114,100.0,114,57,50.0,33,28.9,"*","*","*","*",24,21.1
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","F",110,103,93.6,103,62,60.2,30,29.1,"*","*","*","*",11,10.7
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","M",131,123,93.9,123,75,61.0,34,27.6,"*","*","*","*",14,11.4
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","F",128,127,99.2,127,59,46.5,46,36.2,15,11.8,7,5.5,22,17.3
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","M",146,145,99.3,145,59,40.7,54,37.2,25,17.2,7,4.8,32,22.1
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","F",163,163,100.0,163,107,65.6,45,27.6,"*","*","*","*",11,6.7
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","M",196,196,100.0,196,127,64.8,48,24.5,"*","*","*","*",21,10.7
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","F",309,309,100.0,309,275,89.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","M",310,309,99.7,309,276,89.3,27,8.7,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","F",134,134,100.0,134,72,53.7,42,31.3,"*","*","*","*",20,14.9
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","M",161,160,99.4,158,96,60.8,33,20.9,"*","*","*","*",29,18.4
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","F",177,173,97.7,173,25,14.5,54,31.2,65,37.6,29,16.8,94,54.3
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","M",118,117,99.2,117,18,15.4,47,40.2,39,33.3,13,11.1,52,44.4
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","F",144,144,100.0,144,46,31.9,58,40.3,30,20.8,10,6.9,40,27.8
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","M",117,117,100.0,117,28,23.9,63,53.8,18,15.4,8,6.8,26,22.2
"Bridgeport School District","=""0150011""","Read School","=""0152511""","F",246,246,100.0,246,166,67.5,56,22.8,"*","*","*","*",24,9.8
"Bridgeport School District","=""0150011""","Read School","=""0152511""","M",293,292,99.7,292,206,70.5,66,22.6,"*","*","*","*",20,6.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","F",158,156,98.7,156,134,85.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","M",170,170,100.0,170,140,82.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","F",146,145,99.3,145,105,72.4,33,22.8,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","M",159,157,98.7,156,118,75.6,33,21.2,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","F",211,211,100.0,211,112,53.1,64,30.3,26,12.3,9,4.3,35,16.6
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","M",232,232,100.0,232,122,52.6,63,27.2,35,15.1,12,5.2,47,20.3
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","M",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","F",325,323,99.4,323,95,29.4,105,32.5,75,23.2,48,14.9,123,38.1
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","M",374,374,100.0,374,135,36.1,120,32.1,67,17.9,52,13.9,119,31.8
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","M",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","F",88,88,100.0,88,12,13.6,34,38.6,22,25.0,20,22.7,42,47.7
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","M",87,86,98.9,86,21,24.4,23,26.7,23,26.7,19,22.1,42,48.8
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","F",98,98,100.0,98,24,24.5,41,41.8,21,21.4,12,12.2,33,33.7
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","M",80,79,98.8,79,18,22.8,26,32.9,22,27.8,13,16.5,35,44.3
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","F",292,292,100.0,292,96,32.9,92,31.5,74,25.3,30,10.3,104,35.6
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","M",289,289,100.0,289,96,33.2,94,32.5,58,20.1,41,14.2,99,34.3
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","F",94,94,100.0,94,15,16.0,16,17.0,31,33.0,32,34.0,63,67.0
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","M",109,109,100.0,109,26,23.9,29,26.6,24,22.0,30,27.5,54,49.5
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","F",97,97,100.0,97,23,23.7,37,38.1,24,24.7,13,13.4,37,38.1
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","M",83,82,98.8,82,14,17.1,27,32.9,24,29.3,17,20.7,41,50.0
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","F",204,203,99.5,203,40,19.7,72,35.5,59,29.1,32,15.8,91,44.8
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","M",207,207,100.0,207,46,22.2,73,35.3,52,25.1,36,17.4,88,42.5
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","M",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","F",100,100,100.0,100,23,23.0,37,37.0,27,27.0,13,13.0,40,40.0
"Bristol School District","=""0170011""","South Side School","=""0171111""","M",111,111,100.0,111,29,26.1,28,25.2,34,30.6,20,18.0,54,48.6
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","F",113,112,99.1,112,29,25.9,43,38.4,28,25.0,12,10.7,40,35.7
"Bristol School District","=""0170011""","Stafford School","=""0171211""","M",112,112,100.0,112,27,24.1,37,33.0,29,25.9,19,17.0,48,42.9
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","F",302,299,99.0,299,93,31.1,101,33.8,78,26.1,27,9.0,105,35.1
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","M",321,319,99.4,319,103,32.3,117,36.7,71,22.3,28,8.8,99,31.0
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","F",199,188,94.5,188,20,10.6,50,26.6,76,40.4,42,22.3,118,62.8
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","M",212,204,96.2,204,13,6.4,51,25.0,77,37.7,63,30.9,140,68.6
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","F",419,386,92.1,386,48,12.4,112,29.0,116,30.1,110,28.5,226,58.5
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","M",436,411,94.3,411,53,12.9,106,25.8,136,33.1,116,28.2,252,61.3
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","F",74,74,100.0,74,9,12.2,32,43.2,24,32.4,9,12.2,33,44.6
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","M",72,72,100.0,72,11,15.3,23,31.9,21,29.2,17,23.6,38,52.8
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","F",193,189,97.9,189,42,22.2,73,38.6,48,25.4,26,13.8,74,39.2
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","M",178,178,100.0,178,41,23.0,81,45.5,36,20.2,20,11.2,56,31.5
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","F",29,28,96.6,28,"*","*",10,35.7,10,35.7,"*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","M",22,20,90.9,20,"*","*",10,50.0,"*","*",0,0.0,"*","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","F",42,41,97.6,41,"*","*",10,24.4,16,39.0,"*","*","*","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","M",38,38,100.0,38,"*","*",15,39.5,11,28.9,"*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","F",95,94,98.9,94,17,18.1,41,43.6,26,27.7,10,10.6,36,38.3
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","M",132,130,98.5,130,40,30.8,50,38.5,29,22.3,11,8.5,40,30.8
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","F",192,191,99.5,191,20,10.5,47,24.6,59,30.9,65,34.0,124,64.9
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","M",200,199,99.5,199,25,12.6,43,21.6,60,30.2,71,35.7,131,65.8
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","F",151,148,98.0,148,22,14.9,34,23.0,46,31.1,46,31.1,92,62.2
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","M",131,131,100.0,131,15,11.5,34,26.0,42,32.1,40,30.5,82,62.6
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","F",59,59,100.0,59,"*","*","*","*",32,54.2,16,27.1,48,81.4
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","M",58,55,94.8,55,"*","*","*","*",17,30.9,29,52.7,46,83.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","F",54,54,100.0,54,32,59.3,"*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","M",55,55,100.0,55,43,78.2,"*","*","*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","F",93,88,94.6,88,23,26.1,31,35.2,12,13.6,22,25.0,34,38.6
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","M",244,229,93.9,229,85,37.1,66,28.8,24,10.5,54,23.6,78,34.1
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","F",32,31,96.9,31,7,22.6,17,54.8,"*","*","*","*",7,22.6
