"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"N",25,25,100.0,25,"*","*",10,40.0,7,28.0,"*","*","*","*",2418
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"Y",58,58,100.0,58,18,31.0,30,51.7,"*","*","*","*",10,17.2,2440
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"N",26,26,100.0,26,6,23.1,9,34.6,"*","*","*","*",11,42.3,2468
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Y",72,72,100.0,72,"*","*","*","*","*","*","*","*","*","*",2431
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"Y",62,62,100.0,62,30,48.4,16,25.8,"*","*","*","*",16,25.8,2477
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"N",27,27,100.0,27,"*","*",10,37.0,6,22.2,"*","*","*","*",2522
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"Y",66,65,98.5,65,"*","*",23,35.4,23,35.4,"*","*","*","*",2419
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"N",23,21,91.3,21,"*","*",6,28.6,11,52.4,"*","*","*","*",2441
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"Y",61,60,98.4,60,"*","*",19,31.7,18,30.0,"*","*","*","*",2443
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"N",21,21,100.0,21,"*","*",11,52.4,6,28.6,"*","*","*","*",2487
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Y",61,61,100.0,61,38,62.3,18,29.5,"*","*","*","*","*","*",2426
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"N",33,33,100.0,33,12,36.4,10,30.3,"*","*","*","*","*","*",2493
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"Y",63,59,93.7,59,"*","*",27,45.8,"*","*","*","*","*","*",2489
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"N",23,23,100.0,23,"*","*",8,34.8,"*","*","*","*","*","*",2539
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"Y",32,30,93.8,30,"*","*","*","*",0,0.0,0,0.0,0,0.0,2324
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"Y",25,24,96.0,24,"*","*","*","*",0,0.0,0,0.0,0,0.0,2360
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"Y",25,20,80.0,20,"*","*","*","*",0,0.0,0,0.0,0,0.0,2355
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"Y",27,26,96.3,26,"*","*","*","*",0,0.0,0,0.0,0,0.0,2365
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"Y",167,167,100.0,167,96,57.5,51,30.5,13,7.8,7,4.2,20,12.0,2453
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"N",92,92,100.0,92,23,25.0,39,42.4,20,21.7,10,10.9,30,32.6,2525
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"Y",166,166,100.0,166,74,44.6,51,30.7,35,21.1,6,3.6,41,24.7,2493
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"N",77,77,100.0,77,12,15.6,25,32.5,19,24.7,21,27.3,40,51.9,2574
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"Y",137,137,100.0,137,94,68.6,31,22.6,"*","*","*","*",12,8.8,2471
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"N",85,85,100.0,85,"*","*",22,25.9,26,30.6,"*","*","*","*",2573
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"Y",39,39,100.0,39,22,56.4,9,23.1,8,20.5,0,0.0,8,20.5,2366
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"N",32,32,100.0,32,"*","*",12,37.5,8,25.0,"*","*","*","*",2424
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"Y",45,44,97.8,44,21,47.7,19,43.2,"*","*","*","*","*","*",2408
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"N",26,26,100.0,26,8,30.8,8,30.8,"*","*","*","*","*","*",2460
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"Y",43,42,97.7,42,33,78.6,9,21.4,0,0.0,0,0.0,0,0.0,2410
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"N",29,29,100.0,29,15,51.7,11,37.9,"*","*","*","*","*","*",2456
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"Y",45,45,100.0,45,"*","*",13,28.9,"*","*",0,0.0,"*","*",2439
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"N",27,27,100.0,27,"*","*",16,59.3,"*","*","*","*","*","*",2523
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"Y",36,36,100.0,36,"*","*",13,36.1,"*","*","*","*","*","*",2482
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"N",24,24,100.0,24,"*","*",9,37.5,"*","*","*","*","*","*",2567
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"Y",42,42,100.0,42,21,50.0,"*","*","*","*","*","*","*","*",2497
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"N",25,25,100.0,25,11,44.0,"*","*","*","*","*","*","*","*",2529
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"N",25,25,100.0,25,0,0.0,"*","*","*","*","*","*","*","*",2526
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"N",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*",2504
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2512
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"N",34,34,100.0,34,"*","*","*","*","*","*","*","*","*","*",2585
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"Y",37,37,100.0,37,"*","*",13,35.1,14,37.8,"*","*","*","*",2527
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"N",232,231,99.6,231,"*","*",23,10.0,55,23.8,"*","*","*","*",2657
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"Y",42,41,97.6,41,18,43.9,10,24.4,6,14.6,7,17.1,13,31.7,2537
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"N",231,230,99.6,230,7,3.0,27,11.7,53,23.0,143,62.2,196,85.2,2675
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"Y",25,25,100.0,25,"*","*",10,40.0,"*","*","*","*","*","*",2405
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"N",103,103,100.0,103,"*","*",20,19.4,"*","*","*","*","*","*",2499
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"N",100,100,100.0,100,"*","*","*","*","*","*","*","*","*","*",2543
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"N",98,98,100.0,98,"*","*","*","*","*","*","*","*","*","*",2504
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"N",94,93,98.9,93,"*","*","*","*","*","*","*","*","*","*",2550
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"Y",39,39,100.0,39,21,53.8,12,30.8,"*","*","*","*",6,15.4,2444
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"N",234,234,100.0,234,14,6.0,54,23.1,"*","*","*","*",166,70.9,2562
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"Y",29,28,96.6,28,12,42.9,9,32.1,"*","*","*","*",7,25.0,2502
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"N",248,247,99.6,247,7,2.8,38,15.4,"*","*","*","*",202,81.8,2613
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"N",30,29,96.7,29,"*","*","*","*","*","*","*","*","*","*",2431
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"N",32,30,93.8,30,"*","*","*","*","*","*","*","*","*","*",2478
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"N",37,35,94.6,35,"*","*","*","*","*","*","*","*","*","*",2508
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"N",38,37,97.4,37,"*","*","*","*","*","*","*","*","*","*",2569
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",04,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",06,"Y",40,40,100.0,40,20,50.0,12,30.0,"*","*","*","*",8,20.0,2453
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",06,"N",175,174,99.4,174,"*","*",65,37.4,50,28.7,"*","*","*","*",2552
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",07,"Y",51,51,100.0,51,24,47.1,17,33.3,"*","*","*","*",10,19.6,2479
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",07,"N",195,195,100.0,195,"*","*",62,31.8,60,30.8,"*","*","*","*",2586
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"Y",53,53,100.0,52,34,65.4,15,28.8,"*","*","*","*","*","*",2478
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"N",161,161,100.0,161,28,17.4,42,26.1,"*","*","*","*","*","*",2607
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",03,"Y",20,20,100.0,20,"*","*",9,45.0,"*","*","*","*","*","*",2399
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",03,"N",62,62,100.0,62,"*","*",14,22.6,"*","*","*","*","*","*",2469
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",04,"Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",04,"N",39,39,100.0,39,0,0.0,"*","*","*","*","*","*","*","*",2553
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"N",69,69,100.0,69,"*","*","*","*","*","*","*","*","*","*",2560
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",03,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",03,"N",72,71,98.6,71,"*","*","*","*","*","*","*","*","*","*",2490
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",04,"Y",18,18,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",04,"N",72,71,98.6,71,"*","*","*","*","*","*","*","*","*","*",2498
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"Y",20,20,100.0,20,7,35.0,9,45.0,"*","*","*","*","*","*",2476
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"N",89,88,98.9,88,8,9.1,29,33.0,"*","*","*","*","*","*",2536
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",03,"Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",03,"N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*",2478
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",04,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",04,"N",30,30,100.0,30,"*","*","*","*","*","*","*","*","*","*",2532
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"N",42,42,100.0,42,"*","*","*","*","*","*","*","*","*","*",2548
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",03,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",03,"N",46,43,93.5,43,"*","*","*","*","*","*","*","*","*","*",2483
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",04,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",04,"N",39,38,97.4,38,0,0.0,"*","*","*","*","*","*","*","*",2526
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"N",50,47,94.0,47,"*","*","*","*","*","*","*","*","*","*",2602
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",06,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",06,"N",52,51,98.1,51,"*","*","*","*","*","*","*","*","*","*",2557
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",03,"Y",45,45,100.0,45,"*","*",17,37.8,12,26.7,"*","*","*","*",2424
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",03,"N",81,80,98.8,80,"*","*","*","*",35,43.8,31,38.8,66,82.5,2487
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",06,"Y",50,50,100.0,50,12,24.0,22,44.0,"*","*","*","*",16,32.0,2511
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",06,"N",139,138,99.3,138,"*","*",41,29.7,42,30.4,"*","*","*","*",2572
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",07,"Y",81,81,100.0,81,39,48.1,22,27.2,14,17.3,6,7.4,20,24.7,2503
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",07,"N",166,165,99.4,165,18,10.9,51,30.9,49,29.7,47,28.5,96,58.2,2590
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"Y",69,69,100.0,69,22,31.9,26,37.7,15,21.7,6,8.7,21,30.4,2537
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"N",145,144,99.3,144,17,11.8,38,26.4,49,34.0,40,27.8,89,61.8,2609
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",03,"Y",31,31,100.0,31,"*","*",7,22.6,13,41.9,"*","*","*","*",2450
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",03,"N",96,95,99.0,95,"*","*","*","*",32,33.7,39,41.1,71,74.7,2485
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",04,"Y",61,60,98.4,60,"*","*",30,50.0,15,25.0,"*","*","*","*",2466
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",04,"N",149,148,99.3,148,"*","*",51,34.5,56,37.8,"*","*","*","*",2512
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"Y",66,65,98.5,65,23,35.4,23,35.4,9,13.8,10,15.4,19,29.2,2491
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"N",147,146,99.3,146,9,6.2,43,29.5,39,26.7,55,37.7,94,64.4,2554
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"Y",70,70,100.0,70,33,47.1,25,35.7,"*","*","*","*",12,17.1,2455
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"N",55,55,100.0,55,19,34.5,21,38.2,"*","*","*","*",15,27.3,2480
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",06,"Y",65,65,100.0,65,"*","*",24,36.9,11,16.9,"*","*","*","*",2506
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",06,"N",32,32,100.0,32,"*","*",12,37.5,9,28.1,"*","*","*","*",2550
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",07,"Y",60,60,100.0,60,26,43.3,20,33.3,"*","*","*","*",14,23.3,2498
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",07,"N",44,44,100.0,44,"*","*",16,36.4,14,31.8,"*","*","*","*",2535
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,"Y",51,51,100.0,51,31,60.8,"*","*","*","*",0,0.0,"*","*",2490
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,"N",46,46,100.0,46,17,37.0,19,41.3,"*","*","*","*","*","*",2537
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",06,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",06,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",07,"Y",15,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",07,"N",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,"N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",03,"Y",92,92,100.0,92,36,39.1,30,32.6,"*","*","*","*",26,28.3,2398
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",03,"N",52,52,100.0,52,"*","*",21,40.4,11,21.2,"*","*","*","*",2438
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",04,"Y",70,69,98.6,69,28,40.6,29,42.0,"*","*","*","*",12,17.4,2428
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",04,"N",40,40,100.0,40,11,27.5,17,42.5,"*","*","*","*",12,30.0,2456
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",03,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",03,"N",43,39,90.7,39,"*","*","*","*","*","*","*","*","*","*",2504
