"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,"N",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*",2546
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"N",25,25,100.0,25,"*","*","*","*",13,52.0,"*","*","*","*",2518
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"N",35,35,100.0,35,"*","*",11,31.4,13,37.1,"*","*","*","*",2567
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"N",30,29,96.7,29,"*","*",7,24.1,16,55.2,"*","*","*","*",2599
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,"N",235,221,94.0,219,23,10.5,27,12.3,68,31.1,101,46.1,169,77.2,2647
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"N",257,257,100.0,257,9,3.5,27,10.5,117,45.5,104,40.5,221,86.0,2625
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"N",266,263,98.9,263,"*","*","*","*",108,41.1,112,42.6,220,83.7,2643
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"F",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,"N",105,102,97.1,102,0,0.0,"*","*","*","*","*","*","*","*",2514
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"F",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,"N",134,131,97.8,131,"*","*","*","*","*","*","*","*","*","*",2528
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"N",121,121,100.0,121,8,6.6,17,14.0,21,17.4,75,62.0,96,79.3,2542
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"N",268,265,98.9,265,13,4.9,28,10.6,91,34.3,133,50.2,224,84.5,2573
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"N",265,263,99.2,262,11,4.2,21,8.0,110,42.0,120,45.8,230,87.8,2609
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"N",40,37,92.5,37,"*","*","*","*",11,29.7,13,35.1,24,64.9,2447
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"N",45,43,95.6,43,"*","*","*","*",9,20.9,23,53.5,32,74.4,2519
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"N",43,42,97.7,42,"*","*","*","*",17,40.5,15,35.7,32,76.2,2546
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"N",57,56,98.2,55,"*","*","*","*",32,58.2,11,20.0,43,78.2,2573
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,"F",30,27,90.0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,"N",212,205,96.7,181,52,28.7,59,32.6,45,24.9,25,13.8,70,38.7,2555
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,"R",6,6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
