"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",675,674,99.9,674,68,10.1,146,21.7,299,44.4,161,23.9,460,68.2
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",227,226,99.6,226,24,10.6,52,23.0,67,29.6,83,36.7,150,66.4
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",284,283,99.6,282,26,9.2,59,20.9,99,35.1,98,34.8,197,69.9
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",130,129,99.2,129,16,12.4,19,14.7,42,32.6,52,40.3,94,72.9
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",232,224,96.6,224,29,12.9,49,21.9,70,31.3,76,33.9,146,65.2
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",126,125,99.2,125,24,19.2,23,18.4,36,28.8,42,33.6,78,62.4
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",650,648,99.7,648,53,8.2,104,16.0,276,42.6,215,33.2,491,75.8
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",127,126,99.2,126,8,6.3,30,23.8,30,23.8,58,46.0,88,69.8
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",423,420,99.3,420,63,15.0,68,16.2,146,34.8,143,34.0,289,68.8
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",222,222,100.0,222,48,21.6,53,23.9,88,39.6,33,14.9,121,54.5
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",201,201,100.0,201,55,27.4,69,34.3,63,31.3,14,7.0,77,38.3
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",87,84,96.6,84,15,17.9,16,19.0,40,47.6,13,15.5,53,63.1
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",254,254,100.0,254,77,30.3,56,22.0,69,27.2,52,20.5,121,47.6
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",354,345,97.5,345,37,10.7,38,11.0,128,37.1,142,41.2,270,78.3
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",134,133,99.3,132,31,23.5,40,30.3,40,30.3,21,15.9,61,46.2
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",896,883,98.5,881,128,14.5,204,23.2,330,37.5,219,24.9,549,62.3
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",141,140,99.3,139,14,10.1,31,22.3,45,32.4,49,35.3,94,67.6
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",150,150,100.0,146,9,6.2,26,17.8,35,24.0,76,52.1,111,76.0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",166,166,100.0,166,32,19.3,41,24.7,38,22.9,55,33.1,93,56.0
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",39,39,100.0,39,"*","*","*","*",12,30.8,20,51.3,32,82.1
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",541,540,99.8,540,141,26.1,152,28.1,139,25.7,108,20.0,247,45.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",312,311,99.7,311,187,60.1,80,25.7,38,12.2,6,1.9,44,14.1
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",174,174,100.0,174,98,56.3,32,18.4,36,20.7,8,4.6,44,25.3
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",253,253,100.0,253,89,35.2,75,29.6,64,25.3,25,9.9,89,35.2
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",768,764,99.5,764,427,55.9,191,25.0,121,15.8,25,3.3,146,19.1
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",41,40,97.6,39,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",192,192,100.0,192,107,55.7,55,28.6,21,10.9,9,4.7,30,15.6
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",800,799,99.9,799,581,72.7,130,16.3,73,9.1,15,1.9,88,11.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",239,236,98.7,236,68,28.8,74,31.4,68,28.8,26,11.0,94,39.8
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",475,474,99.8,474,306,64.6,109,23.0,46,9.7,13,2.7,59,12.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",222,222,100.0,222,146,65.8,50,22.5,"*","*","*","*",26,11.7
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",496,495,99.8,495,322,65.1,108,21.8,54,10.9,11,2.2,65,13.1
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",220,220,100.0,220,148,67.3,51,23.2,"*","*","*","*",21,9.5
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",148,148,100.0,148,74,50.0,46,31.1,20,13.5,8,5.4,28,18.9
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",475,475,100.0,475,231,48.6,138,29.1,86,18.1,20,4.2,106,22.3
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",132,132,100.0,132,81,61.4,31,23.5,"*","*","*","*",20,15.2
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",152,151,99.3,151,79,52.3,44,29.1,"*","*","*","*",28,18.5
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",268,268,100.0,268,47,17.5,74,27.6,97,36.2,50,18.7,147,54.9
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",242,234,96.7,230,95,41.3,69,30.0,53,23.0,13,5.7,66,28.7
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",274,272,99.3,272,84,30.9,84,30.9,74,27.2,30,11.0,104,38.2
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",360,360,100.0,360,192,53.3,99,27.5,57,15.8,12,3.3,69,19.2
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",619,619,100.0,619,511,82.6,75,12.1,"*","*","*","*",33,5.3
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",295,294,99.7,291,115,39.5,80,27.5,68,23.4,28,9.6,96,33.0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",295,290,98.3,290,22,7.6,77,26.6,125,43.1,66,22.8,191,65.9
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",261,261,100.0,261,48,18.4,71,27.2,98,37.5,44,16.9,142,54.4
"Bridgeport School District","=""0150011""","Read School","=""0152511""",538,537,99.8,537,321,59.8,121,22.5,75,14.0,20,3.7,95,17.7
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",328,326,99.4,326,248,76.1,51,15.6,19,5.8,8,2.5,27,8.3
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",305,304,99.7,303,175,57.8,84,27.7,35,11.6,9,3.0,44,14.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",443,443,100.0,443,129,29.1,121,27.3,134,30.2,59,13.3,193,43.6
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",699,697,99.7,697,167,24.0,180,25.8,249,35.7,101,14.5,350,50.2
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",175,174,99.4,174,38,21.8,32,18.4,45,25.9,59,33.9,104,59.8
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",178,177,99.4,177,42,23.7,43,24.3,51,28.8,41,23.2,92,52.0
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",580,580,100.0,580,149,25.7,146,25.2,194,33.4,91,15.7,285,49.1
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",203,203,100.0,203,42,20.7,37,18.2,45,22.2,79,38.9,124,61.1
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",179,179,100.0,179,32,17.9,42,23.5,58,32.4,47,26.3,105,58.7
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",411,410,99.8,410,52,12.7,98,23.9,179,43.7,81,19.8,260,63.4
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",211,211,100.0,211,34,16.1,45,21.3,76,36.0,56,26.5,132,62.6
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",225,224,99.6,224,51,22.8,52,23.2,65,29.0,56,25.0,121,54.0
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",623,618,99.2,618,145,23.5,156,25.2,209,33.8,108,17.5,317,51.3
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",855,801,93.7,801,82,10.2,166,20.7,307,38.3,246,30.7,553,69.0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",146,146,100.0,146,28,19.2,25,17.1,29,19.9,64,43.8,93,63.7
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",371,368,99.2,368,31,8.4,72,19.6,162,44.0,103,28.0,265,72.0
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",51,49,96.1,49,8,16.3,9,18.4,18,36.7,14,28.6,32,65.3
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",227,224,98.7,224,36,16.1,64,28.6,83,37.1,41,18.3,124,55.4
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",392,390,99.5,390,37,9.5,57,14.6,131,33.6,165,42.3,296,75.9
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",282,279,98.9,279,18,6.5,60,21.5,111,39.8,90,32.3,201,72.0
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",117,114,97.4,114,11,9.6,17,14.9,37,32.5,49,43.0,86,75.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",110,110,100.0,110,42,38.2,34,30.9,"*","*","*","*",34,30.9
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",337,333,98.8,333,78,23.4,74,22.2,122,36.6,59,17.7,181,54.4
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",63,61,96.8,61,13,21.3,22,36.1,17,27.9,9,14.8,26,42.6
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",98,94,95.9,94,18,19.1,20,21.3,24,25.5,32,34.0,56,59.6
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",193,190,98.4,190,54,28.4,28,14.7,49,25.8,59,31.1,108,56.8
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",315,309,98.1,309,64,20.7,83,26.9,112,36.2,50,16.2,162,52.4
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",181,180,99.4,180,51,28.3,44,24.4,43,23.9,42,23.3,85,47.2
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",202,201,99.5,201,50,24.9,65,32.3,68,33.8,18,9.0,86,42.8
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",308,304,98.7,304,77,25.3,73,24.0,107,35.2,47,15.5,154,50.7
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",132,125,94.7,125,37,29.6,18,14.4,37,29.6,33,26.4,70,56.0
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",145,143,98.6,143,41,28.7,35,24.5,37,25.9,30,21.0,67,46.9
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",138,138,100.0,138,47,34.1,50,36.2,35,25.4,6,4.3,41,29.7
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",157,154,98.1,154,52,33.8,33,21.4,33,21.4,36,23.4,69,44.8
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*",8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",637,634,99.5,633,180,28.4,142,22.4,210,33.2,101,16.0,311,49.1
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",170,169,99.4,169,38,22.5,31,18.3,52,30.8,48,28.4,100,59.2
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",78,77,98.7,77,15,19.5,18,23.4,24,31.2,20,26.0,44,57.1
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",209,206,98.6,206,14,6.8,29,14.1,63,30.6,100,48.5,163,79.1
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",720,717,99.6,717,55,7.7,116,16.2,316,44.1,230,32.1,546,76.2
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",351,348,99.1,348,20,5.7,53,15.2,121,34.8,154,44.3,275,79.0
"Cheshire School District","=""0250011""","Highland School","=""0250411""",489,488,99.8,488,34,7.0,59,12.1,140,28.7,255,52.3,395,80.9
"Cheshire School District","=""0250011""","Norton School","=""0250511""",279,274,98.2,274,12,4.4,45,16.4,82,29.9,135,49.3,217,79.2
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",131,130,99.2,130,6,4.6,22,16.9,46,35.4,56,43.1,102,78.5
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",316,314,99.4,314,35,11.1,52,16.6,106,33.8,121,38.5,227,72.3
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",446,437,98.0,434,52,12.0,89,20.5,175,40.3,118,27.2,293,67.5
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",138,137,99.3,137,11,8.0,36,26.3,32,23.4,58,42.3,90,65.7
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",527,526,99.8,526,58,11.0,92,17.5,168,31.9,208,39.5,376,71.5
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",602,599,99.5,599,44,7.3,112,18.7,263,43.9,180,30.1,443,74.0
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",46,44,95.7,44,"*","*","*","*",11,25.0,20,45.5,31,70.5
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",285,277,97.2,277,30,10.8,61,22.0,108,39.0,78,28.2,186,67.1
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",255,251,98.4,251,54,21.5,61,24.3,81,32.3,55,21.9,136,54.2
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",63,61,96.8,61,6,9.8,10,16.4,27,44.3,18,29.5,45,73.8
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",398,390,98.0,390,31,7.9,62,15.9,175,44.9,122,31.3,297,76.2
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",355,354,99.7,354,47,13.3,67,18.9,114,32.2,126,35.6,240,67.8
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",440,440,100.0,440,35,8.0,97,22.0,181,41.1,127,28.9,308,70.0
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",477,476,99.8,476,94,19.7,100,21.0,144,30.3,138,29.0,282,59.2
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1005,992,98.7,992,233,23.5,325,32.8,353,35.6,81,8.2,434,43.8
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",198,198,100.0,198,50,25.3,56,28.3,65,32.8,27,13.6,92,46.5
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",156,155,99.4,155,55,35.5,38,24.5,27,17.4,35,22.6,62,40.0
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",197,196,99.5,196,38,19.4,59,30.1,46,23.5,53,27.0,99,50.5
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",367,363,98.9,363,100,27.5,74,20.4,101,27.8,88,24.2,189,52.1
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",97,96,99.0,95,32,33.7,"*","*",24,25.3,"*","*","*","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*","*","*","*","*","*",24,30.8,"*","*",27,34.6,"*","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",184,184,100.0,184,21,11.4,58,31.5,73,39.7,32,17.4,105,57.1
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",287,287,100.0,287,77,26.8,78,27.2,84,29.3,48,16.7,132,46.0
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",170,167,98.2,167,36,21.6,42,25.1,51,30.5,38,22.8,89,53.3
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",956,951,99.5,951,325,34.2,293,30.8,264,27.8,69,7.3,333,35.0
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",245,245,100.0,244,57,23.4,54,22.1,75,30.7,58,23.8,133,54.5
"Danbury School District","=""0340011""","South Street School","=""0341011""",179,178,99.4,178,49,27.5,50,28.1,54,30.3,25,14.0,79,44.4
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",264,262,99.2,262,78,29.8,56,21.4,67,25.6,61,23.3,128,48.9
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",195,189,96.9,189,20,10.6,35,18.5,62,32.8,72,38.1,134,70.9
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",497,494,99.4,493,83,16.8,140,28.4,191,38.7,79,16.0,270,54.8
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",272,267,98.2,267,8,3.0,26,9.7,77,28.8,156,58.4,233,87.3
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",213,213,100.0,213,11,5.2,22,10.3,42,19.7,138,64.8,180,84.5
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1165,1150,98.7,1150,38,3.3,99,8.6,458,39.8,555,48.3,1013,88.1
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",219,219,100.0,219,9,4.1,22,10.0,57,26.0,131,59.8,188,85.8
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",197,194,98.5,194,6,3.1,30,15.5,49,25.3,109,56.2,158,81.4
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",210,210,100.0,210,"*","*","*","*",35,16.7,152,72.4,187,89.0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",187,187,100.0,187,41,21.9,37,19.8,65,34.8,44,23.5,109,58.3
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",318,318,100.0,318,123,38.7,95,29.9,86,27.0,14,4.4,100,31.4
"Derby School District","=""0370011""","Irving School","=""0370411""",169,169,100.0,169,70,41.4,36,21.3,42,24.9,21,12.4,63,37.3
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",198,197,99.5,197,28,14.2,42,21.3,80,40.6,47,23.9,127,64.5
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",195,195,100.0,195,15,7.7,26,13.3,64,32.8,90,46.2,154,79.0
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",71,69,97.2,69,7,10.1,10,14.5,21,30.4,31,44.9,52,75.4
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",425,407,95.8,407,53,13.0,89,21.9,134,32.9,131,32.2,265,65.1
"East Hampton School District","=""0420011""","Center School","=""0420311""",290,274,94.5,274,48,17.5,61,22.3,93,33.9,72,26.3,165,60.2
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",432,397,91.9,397,73,18.4,97,24.4,161,40.6,66,16.6,227,57.2
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",160,157,98.1,157,28,17.8,47,29.9,32,20.4,50,31.8,82,52.2
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",164,164,100.0,164,91,55.5,42,25.6,24,14.6,7,4.3,31,18.9
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",181,181,100.0,181,107,59.1,36,19.9,28,15.5,10,5.5,38,21.0
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",150,150,100.0,149,71,47.7,31,20.8,34,22.8,13,8.7,47,31.5
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",258,258,100.0,258,87,33.7,71,27.5,67,26.0,33,12.8,100,38.8
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",1088,1076,98.9,1073,448,41.8,315,29.4,247,23.0,63,5.9,310,28.9
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",178,178,100.0,178,34,19.1,41,23.0,48,27.0,55,30.9,103,57.9
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",108,108,100.0,108,35,32.4,20,18.5,41,38.0,12,11.1,53,49.1
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",128,128,100.0,128,29,22.7,33,25.8,39,30.5,27,21.1,66,51.6
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",264,264,100.0,263,130,49.4,65,24.7,48,18.3,20,7.6,68,25.9
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",125,125,100.0,124,57,46.0,36,29.0,24,19.4,7,5.6,31,25.0
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",199,199,100.0,199,71,35.7,54,27.1,62,31.2,12,6.0,74,37.2
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",75,73,97.3,68,63,92.6,"*","*","*","*",0,0.0,"*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",255,255,100.0,255,33,12.9,60,23.5,105,41.2,57,22.4,162,63.5
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",189,189,100.0,189,57,30.2,46,24.3,45,23.8,41,21.7,86,45.5
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",148,148,100.0,148,47,31.8,54,36.5,28,18.9,19,12.8,47,31.8
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",575,570,99.1,570,146,25.6,169,29.6,188,33.0,67,11.8,255,44.7
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",147,147,100.0,147,44,29.9,35,23.8,41,27.9,27,18.4,68,46.3
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",842,816,96.9,816,82,10.0,148,18.1,307,37.6,279,34.2,586,71.8
