"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, Gender"

"",,,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Math","M",38,38,100.0,38,"*","*",13,34.2,"*","*",10,26.3,"*","*",2554
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"ELA","F",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"ELA","M",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"Math","F",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"Math","M",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"ELA","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"ELA","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Math","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Math","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"ELA","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"ELA","M",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*",2544
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Math","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Math","M",28,27,96.4,27,0,0.0,"*","*","*","*","*","*","*","*",2529
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"ELA","F",26,24,92.3,24,"*","*","*","*",6,25.0,15,62.5,21,87.5,2588
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"ELA","M",22,22,100.0,22,"*","*","*","*",8,36.4,9,40.9,17,77.3,2566
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Math","F",26,26,100.0,26,"*","*","*","*","*","*",9,34.6,"*","*",2533
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Math","M",22,22,100.0,22,"*","*","*","*","*","*",11,50.0,"*","*",2562
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"ELA","F",20,20,100.0,20,0,0.0,"*","*",7,35.0,"*","*","*","*",2620
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"ELA","M",21,20,95.2,20,"*","*","*","*",7,35.0,"*","*","*","*",2558
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Math","F",20,20,100.0,20,"*","*","*","*","*","*",12,60.0,"*","*",2610
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Math","M",21,20,95.2,20,"*","*","*","*","*","*",8,40.0,"*","*",2589
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"ELA","F",57,52,91.2,52,"*","*",15,28.8,23,44.2,"*","*","*","*",2611
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"ELA","M",55,52,94.5,52,"*","*","*","*",18,34.6,15,28.8,33,63.5,2617
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"Math","F",57,52,91.2,52,26,50.0,14,26.9,"*","*","*","*",12,23.1,2545
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"Math","M",55,51,92.7,51,22,43.1,11,21.6,"*","*","*","*",18,35.3,2576
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"ELA","F",98,96,98.0,96,"*","*",34,35.4,33,34.4,"*","*","*","*",2535
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"ELA","M",87,85,97.7,85,32,37.6,29,34.1,"*","*","*","*",24,28.2,2506
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Math","F",98,96,98.0,96,48,50.0,33,34.4,"*","*","*","*",15,15.6,2487
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Math","M",87,85,97.7,85,28,32.9,38,44.7,"*","*","*","*",19,22.4,2507
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"ELA","F",95,94,98.9,94,29,30.9,25,26.6,30,31.9,10,10.6,40,42.6,2543
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"ELA","M",114,111,97.4,111,49,44.1,33,29.7,19,17.1,10,9.0,29,26.1,2514
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Math","F",95,93,97.9,93,51,54.8,30,32.3,"*","*","*","*",12,12.9,2492
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Math","M",114,112,98.2,112,71,63.4,28,25.0,"*","*","*","*",13,11.6,2469
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"ELA","F",38,38,100.0,38,6,15.8,14,36.8,6,15.8,12,31.6,18,47.4,2439
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"ELA","M",50,50,100.0,50,21,42.0,14,28.0,7,14.0,8,16.0,15,30.0,2393
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Math","F",38,38,100.0,38,"*","*",15,39.5,14,36.8,"*","*","*","*",2432
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Math","M",50,50,100.0,50,18,36.0,15,30.0,"*","*","*","*",17,34.0,2410
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"ELA","F",52,52,100.0,52,17,32.7,16,30.8,"*","*","*","*",19,36.5,2447
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"ELA","M",43,43,100.0,43,22,51.2,"*","*",10,23.3,"*","*","*","*",2427
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"Math","F",53,53,100.0,53,"*","*",32,60.4,"*","*",0,0.0,"*","*",2427
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"Math","M",43,43,100.0,43,"*","*",21,48.8,"*","*",0,0.0,"*","*",2420
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"ELA","F",50,50,100.0,50,"*","*",17,34.0,15,30.0,"*","*","*","*",2485
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"ELA","M",39,39,100.0,39,20,51.3,"*","*",9,23.1,"*","*","*","*",2449
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Math","F",50,50,100.0,50,25,50.0,21,42.0,"*","*","*","*","*","*",2448
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Math","M",39,39,100.0,39,23,59.0,10,25.6,"*","*","*","*","*","*",2441
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"ELA","F",40,40,100.0,40,15,37.5,"*","*",12,30.0,"*","*","*","*",2481
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"ELA","M",48,48,100.0,48,19,39.6,18,37.5,"*","*","*","*",11,22.9,2471
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"Math","F",40,40,100.0,40,19,47.5,"*","*","*","*",0,0.0,"*","*",2459
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"Math","M",48,48,100.0,48,22,45.8,15,31.3,"*","*","*","*","*","*",2465
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"ELA","F",45,45,100.0,45,10,22.2,12,26.7,14,31.1,9,20.0,23,51.1,2431
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"ELA","M",42,42,100.0,42,13,31.0,12,28.6,9,21.4,8,19.0,17,40.5,2409
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"Math","F",45,45,100.0,45,14,31.1,"*","*",16,35.6,"*","*","*","*",2409
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"Math","M",42,42,100.0,42,18,42.9,"*","*",12,28.6,"*","*","*","*",2401
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"ELA","F",51,49,96.1,49,18,36.7,10,20.4,9,18.4,12,24.5,21,42.9,2459
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"ELA","M",42,42,100.0,42,20,47.6,9,21.4,6,14.3,7,16.7,13,31.0,2431
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"Math","F",51,50,98.0,50,11,22.0,29,58.0,"*","*","*","*",10,20.0,2446
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"Math","M",42,42,100.0,42,9,21.4,22,52.4,"*","*","*","*",11,26.2,2452
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"ELA","F",40,40,100.0,40,"*","*",14,35.0,15,37.5,"*","*","*","*",2499
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"ELA","M",45,44,97.8,44,20,45.5,13,29.5,"*","*","*","*",11,25.0,2453
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Math","F",40,40,100.0,40,"*","*",20,50.0,"*","*",0,0.0,"*","*",2459
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Math","M",45,45,100.0,45,25,55.6,"*","*",0,0.0,"*","*","*","*",2440
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"ELA","F",32,32,100.0,32,"*","*",12,37.5,12,37.5,"*","*","*","*",2517
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"ELA","M",52,52,100.0,52,20,38.5,24,46.2,"*","*","*","*",8,15.4,2466
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"Math","F",32,32,100.0,32,11,34.4,14,43.8,"*","*","*","*",7,21.9,2500
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"Math","M",52,52,100.0,52,27,51.9,13,25.0,"*","*","*","*",12,23.1,2476
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"ELA","M","*","*","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"Math","M","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"ELA","M","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"Math","M","*","*","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"ELA","F",125,125,100.0,125,23,18.4,51,40.8,43,34.4,8,6.4,51,40.8,2515
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"ELA","M",121,121,100.0,121,38,31.4,36,29.8,39,32.2,8,6.6,47,38.8,2496
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"Math","F",125,125,100.0,125,55,44.0,51,40.8,13,10.4,6,4.8,19,15.2,2477
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"Math","M",121,121,100.0,121,45,37.2,47,38.8,23,19.0,6,5.0,29,24.0,2479
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"ELA","F",113,112,99.1,111,35,31.5,31,27.9,34,30.6,11,9.9,45,40.5,2526
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"ELA","M",120,120,100.0,120,33,27.5,41,34.2,37,30.8,9,7.5,46,38.3,2521
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"Math","F",113,111,98.2,111,51,45.9,38,34.2,"*","*","*","*",22,19.8,2486
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"Math","M",120,120,100.0,120,50,41.7,36,30.0,"*","*","*","*",34,28.3,2498
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"ELA","F",107,107,100.0,106,18,17.0,42,39.6,33,31.1,13,12.3,46,43.4,2561
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"ELA","M",120,120,100.0,120,35,29.2,30,25.0,43,35.8,12,10.0,55,45.8,2546
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"Math","F",107,107,100.0,107,50,46.7,28,26.2,13,12.1,16,15.0,29,27.1,2525
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"Math","M",120,120,100.0,120,52,43.3,29,24.2,25,20.8,14,11.7,39,32.5,2526
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
