"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,85,84,98.8,84,26,31.0,27,32.1,24,28.6,7,8.3,31,36.9,2475
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,84,84,100.0,84,27,32.1,36,42.9,"*","*","*","*",21,25.0,2485
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,24,24,100.0,23,"*","*","*","*",0,0.0,0,0.0,0,0.0,2303
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,22,19,86.4,19,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,21,21,100.0,20,14,70.0,6,30.0,0,0.0,0,0.0,0,0.0,2387
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,24,21,87.5,20,13,65.0,"*","*","*","*",0,0.0,"*","*",2403
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,29,27,93.1,26,18,69.2,"*","*","*","*",0,0.0,"*","*",2443
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,22,19,86.4,16,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,246,246,100.0,246,61,24.8,87,35.4,82,33.3,16,6.5,98,39.8,2506
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,233,232,99.6,231,68,29.4,72,31.2,71,30.7,20,8.7,91,39.4,2523
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,227,227,100.0,226,53,23.5,72,31.9,76,33.6,25,11.1,101,44.7,2553
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,19,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,74,73,98.6,73,25,34.2,24,32.9,13,17.8,11,15.1,24,32.9,2399
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,74,73,98.6,73,31,42.5,25,34.2,11,15.1,6,8.2,17,23.3,2429
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,74,74,100.0,74,20,27.0,16,21.6,27,36.5,11,14.9,38,51.4,2498
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,71,71,100.0,71,13,18.3,27,38.0,23,32.4,8,11.3,31,43.7,2525
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,70,69,98.6,69,19,27.5,15,21.7,23,33.3,12,17.4,35,50.7,2546
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,63,63,100.0,63,15,23.8,21,33.3,19,30.2,8,12.7,27,42.9,2551
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,43,43,100.0,43,"*","*","*","*",10,23.3,21,48.8,31,72.1,2465
"Ashford School District","=""0030011""","Ashford School","=""0030111""",04,41,41,100.0,41,"*","*","*","*",10,24.4,24,58.5,34,82.9,2544
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,38,38,100.0,38,9,23.7,"*","*",17,44.7,"*","*","*","*",2500
"Ashford School District","=""0030011""","Ashford School","=""0030111""",06,48,48,100.0,48,"*","*",19,39.6,16,33.3,"*","*","*","*",2556
"Ashford School District","=""0030011""","Ashford School","=""0030111""",07,31,31,100.0,31,"*","*",11,35.5,11,35.5,"*","*","*","*",2564
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,49,48,98.0,48,"*","*",15,31.3,20,41.7,"*","*","*","*",2573
"Avon School District","=""0040011""","Avon High School","=""0046111""",11,246,232,94.3,230,29,12.6,28,12.2,69,30.0,104,45.2,173,75.2,2641
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",07,272,272,100.0,272,11,4.0,32,11.8,122,44.9,107,39.3,229,84.2,2622
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,275,272,98.9,272,"*","*","*","*",113,41.5,112,41.2,225,82.7,2641
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",03,113,109,96.5,109,0,0.0,"*","*","*","*",68,62.4,"*","*",2511
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",04,143,140,97.9,140,13,9.3,19,13.6,33,23.6,75,53.6,108,77.1,2523
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",03,"*","*","*","*","*","*",12,11.3,"*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",04,128,128,100.0,128,10,7.8,20,15.6,23,18.0,75,58.6,98,76.6,2537
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,281,278,98.9,278,15,5.4,35,12.6,94,33.8,134,48.2,228,82.0,2568
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",06,276,274,99.3,273,14,5.1,27,9.9,111,40.7,121,44.3,232,85.0,2604
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",03,48,"*","*","*",11,24.4,7,15.6,12,26.7,15,33.3,"*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",04,48,46,95.8,46,"*","*",7,15.2,"*","*",23,50.0,"*","*",2512
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"*",46,"*",46,"*","*","*","*",17,37.0,16,34.8,33,71.7,2540
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",06,61,60,98.4,59,"*","*",13,22.0,32,54.2,"*","*","*","*",2569
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",11,248,238,96.0,204,64,31.4,66,32.4,49,24.0,25,12.3,74,36.3,2547
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",06,242,242,100.0,242,24,9.9,57,23.6,106,43.8,55,22.7,161,66.5,2560
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",07,215,215,100.0,215,27,12.6,52,24.2,100,46.5,36,16.7,136,63.3,2572
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,244,244,100.0,244,24,9.8,65,26.6,106,43.4,49,20.1,155,63.5,2597
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",03,60,60,100.0,60,12,20.0,14,23.3,18,30.0,16,26.7,34,56.7,2437
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",04,81,81,100.0,81,6,7.4,14,17.3,27,33.3,34,42.0,61,75.3,2519
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,87,87,100.0,87,10,11.5,16,18.4,38,43.7,23,26.4,61,70.1,2536
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",03,88,88,100.0,88,13,14.8,23,26.1,33,37.5,19,21.6,52,59.1,2439
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",04,109,109,100.0,109,12,11.0,23,21.1,39,35.8,35,32.1,74,67.9,2495
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,101,101,100.0,99,13,13.1,13,13.1,44,44.4,29,29.3,73,73.7,2534
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",03,40,40,100.0,40,7,17.5,10,25.0,12,30.0,11,27.5,23,57.5,2441
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",04,56,56,100.0,56,11,19.6,11,19.6,20,35.7,14,25.0,34,60.7,2478
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,34,34,100.0,34,"*","*","*","*",14,41.2,10,29.4,24,70.6,2530
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",03,51,51,100.0,51,14,27.5,10,19.6,12,23.5,15,29.4,27,52.9,2437
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",04,60,56,93.3,55,"*","*","*","*",14,25.5,27,49.1,41,74.5,2520
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,63,62,98.4,62,7,11.3,10,16.1,28,45.2,17,27.4,45,72.6,2538
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",06,66,65,98.5,65,"*","*","*","*",19,29.2,26,40.0,45,69.2,2583
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",03,101,101,100.0,101,13,12.9,28,27.7,32,31.7,28,27.7,60,59.4,2448
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",11,246,240,97.6,239,38,15.9,63,26.4,87,36.4,51,21.3,138,57.7,2598
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",06,239,237,99.2,237,22,9.3,52,21.9,100,42.2,63,26.6,163,68.8,2566
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",07,211,210,99.5,210,21,10.0,38,18.1,91,43.3,60,28.6,151,71.9,2598
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,243,238,97.9,238,21,8.8,59,24.8,95,39.9,63,26.5,158,66.4,2607
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",03,96,95,99.0,95,8,8.4,16,16.8,26,27.4,45,47.4,71,74.7,2476
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",04,205,204,99.5,204,32,15.7,34,16.7,62,30.4,76,37.3,138,67.6,2501
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,182,181,99.5,181,8,4.4,29,16.0,72,39.8,72,39.8,144,79.6,2560
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",11,111,109,98.2,109,7,6.4,29,26.6,48,44.0,25,22.9,73,67.0,2617
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,111,111,100.0,111,25,22.5,28,25.2,42,37.8,16,14.4,58,52.3,2501
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",06,94,92,97.9,92,18,19.6,29,31.5,35,38.0,10,10.9,45,48.9,2527
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",07,103,102,99.0,102,"*","*",36,35.3,35,34.3,"*","*","*","*",2525
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,106,102,96.2,102,"*","*",50,49.0,30,29.4,"*","*","*","*",2547
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",06,32,31,96.9,31,11,35.5,12,38.7,"*","*","*","*",8,25.8,2490
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",07,34,34,100.0,34,"*","*",6,17.6,19,55.9,"*","*","*","*",2559
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,33,31,93.9,31,10,32.3,"*","*",9,29.0,"*","*","*","*",2539
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",11,29,22,75.9,22,"*","*",8,36.4,9,40.9,"*","*","*","*",2566
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",11,8,0,"*",0,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",03,119,117,98.3,117,31,26.5,36,30.8,32,27.4,18,15.4,50,42.7,2416
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",04,125,125,100.0,125,32,25.6,26,20.8,40,32.0,27,21.6,67,53.6,2471
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",03,58,58,100.0,58,8,13.8,9,15.5,14,24.1,27,46.6,41,70.7,2470
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",04,66,65,98.5,65,8,12.3,10,15.4,17,26.2,30,46.2,47,72.3,2514
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,62,61,98.4,61,"*","*","*","*",19,31.1,31,50.8,50,82.0,2570
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",06,65,65,100.0,65,7,10.8,9,13.8,33,50.8,16,24.6,49,75.4,2566
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",07,50,50,100.0,50,7,14.0,10,20.0,25,50.0,8,16.0,33,66.0,2574
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,58,57,98.3,57,"*","*",16,28.1,24,42.1,"*","*","*","*",2602
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",11,85,83,97.6,83,"*","*","*","*",33,39.8,37,44.6,70,84.3,2655
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",03,22,22,100.0,22,7,31.8,"*","*",7,31.8,"*","*","*","*",2405
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",04,30,30,100.0,30,8,26.7,10,33.3,"*","*","*","*",12,40.0,2459
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,20,20,100.0,20,6,30.0,"*","*","*","*","*","*","*","*",2492
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",06,16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",07,21,21,100.0,21,"*","*",6,28.6,7,33.3,"*","*","*","*",2571
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,20,20,100.0,20,"*","*","*","*",10,50.0,7,35.0,17,85.0,2639
"Branford School District","=""0140011""","Branford High School","=""0146111""",11,241,226,93.8,226,73,32.3,70,31.0,59,26.1,24,10.6,83,36.7,2542
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",11,14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,219,216,98.6,216,48,22.2,33,15.3,89,41.2,46,21.3,135,62.5,2515
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",06,214,212,99.1,212,22,10.4,54,25.5,85,40.1,51,24.1,136,64.2,2558
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",07,242,233,96.3,233,26,11.2,40,17.2,109,46.8,58,24.9,167,71.7,2590
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,229,222,96.9,222,42,18.9,60,27.0,90,40.5,30,13.5,120,54.1,2573
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",03,63,62,98.4,62,"*","*","*","*",21,33.9,24,38.7,45,72.6,2472
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",04,70,70,100.0,70,12,17.1,19,27.1,21,30.0,18,25.7,39,55.7,2483
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",03,72,72,100.0,72,7,9.7,18,25.0,23,31.9,24,33.3,47,65.3,2453
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",04,89,89,100.0,89,7,7.9,15,16.9,19,21.3,48,53.9,67,75.3,2519
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",03,84,82,97.6,82,15,18.3,28,34.1,19,23.2,20,24.4,39,47.6,2436
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",04,71,71,100.0,71,9,12.7,12,16.9,20,28.2,30,42.3,50,70.4,2516
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",03,96,96,100.0,96,48,50.0,23,24.0,12,12.5,13,13.5,25,26.0,2386
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",04,89,89,100.0,89,28,31.5,24,27.0,18,20.2,19,21.3,37,41.6,2459
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,95,95,100.0,95,43,45.3,27,28.4,"*","*","*","*",25,26.3,2454
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",06,89,89,100.0,89,25,28.1,29,32.6,25,28.1,10,11.2,35,39.3,2505
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",07,93,93,100.0,93,35,37.6,27,29.0,23,24.7,8,8.6,31,33.3,2518
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,73,73,100.0,73,11,15.1,26,35.6,20,27.4,16,21.9,36,49.3,2577
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",11,29,29,100.0,29,"*","*",8,27.6,10,34.5,"*","*","*","*",2577
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",11,63,47,74.6,42,23,54.8,"*","*",9,21.4,"*","*","*","*",2514
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",03,62,62,100.0,62,37,59.7,13,21.0,"*","*","*","*",12,19.4,2362
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",04,81,80,98.8,80,53,66.3,14,17.5,"*","*","*","*",13,16.3,2385
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",05,58,57,98.3,57,41,71.9,7,12.3,9,15.8,0,0.0,9,15.8,2420
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",06,50,49,98.0,49,18,36.7,20,40.8,11,22.4,0,0.0,11,22.4,2457
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",07,54,54,100.0,54,31,57.4,17,31.5,6,11.1,0,0.0,6,11.1,2470
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",08,46,45,97.8,45,22,48.9,17,37.8,6,13.3,0,0.0,6,13.3,2482
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",11,239,222,92.9,222,125,56.3,63,28.4,"*","*","*","*",34,15.3,2478
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",03,59,58,98.3,58,42,72.4,8,13.8,"*","*","*","*",8,13.8,2338
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",04,38,38,100.0,38,18,47.4,9,23.7,"*","*","*","*",11,28.9,2435
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",05,40,40,100.0,40,16,40.0,15,37.5,"*","*","*","*",9,22.5,2454
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",06,33,33,100.0,33,12,36.4,11,33.3,"*","*","*","*",10,30.3,2490
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",11,75,22,29.3,17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",03,48,48,100.0,48,19,39.6,14,29.2,"*","*","*","*",15,31.3,2394
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",04,45,45,100.0,45,16,35.6,12,26.7,10,22.2,7,15.6,17,37.8,2442
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",05,28,28,100.0,28,11,39.3,"*","*",8,28.6,"*","*","*","*",2473
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",06,36,36,100.0,36,"*","*",12,33.3,14,38.9,"*","*","*","*",2518
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",07,46,44,95.7,44,15,34.1,16,36.4,"*","*","*","*",13,29.5,2516
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",08,28,28,100.0,28,"*","*",11,39.3,8,28.6,"*","*","*","*",2531
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",03,116,115,99.1,115,70,60.9,29,25.2,"*","*","*","*",16,13.9,2354
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",04,112,109,97.3,109,81,74.3,19,17.4,"*","*","*","*",9,8.3,2371
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",05,109,104,95.4,104,67,64.4,27,26.0,"*","*","*","*",10,9.6,2412
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",06,98,94,95.9,94,42,44.7,33,35.1,"*","*","*","*",19,20.2,2463
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",07,154,145,94.2,145,53,36.6,49,33.8,36,24.8,7,4.8,43,29.7,2505
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",08,143,135,94.4,135,50,37.0,49,36.3,30,22.2,6,4.4,36,26.7,2512
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",03,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",04,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",06,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",07,6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",03,57,56,98.2,56,29,51.8,22,39.3,"*","*","*","*","*","*",2357
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",04,54,54,100.0,54,36,66.7,13,24.1,"*","*","*","*","*","*",2380
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",05,42,40,95.2,40,28,70.0,"*","*","*","*",0,0.0,"*","*",2402
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",06,42,41,97.6,41,26,63.4,10,24.4,"*","*","*","*","*","*",2436
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",11,425,359,84.5,352,110,31.3,109,31.0,106,30.1,27,7.7,133,37.8,2544
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",03,134,123,91.8,123,86,69.9,29,23.6,"*","*","*","*",8,6.5,2340
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",04,132,124,93.9,123,94,76.4,16,13.0,"*","*","*","*",13,10.6,2367
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",05,127,115,90.6,115,85,73.9,18,15.7,"*","*","*","*",12,10.4,2395
