"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",132,132,100.0,132,73,55.3,45,34.1,"*","*","*","*",14,10.6
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",152,151,99.3,151,100,66.2,40,26.5,"*","*","*","*",11,7.3
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",268,268,100.0,268,116,43.3,99,36.9,46,17.2,7,2.6,53,19.8
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",241,226,93.8,226,137,60.6,64,28.3,"*","*","*","*",25,11.1
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",274,272,99.3,272,118,43.4,100,36.8,40,14.7,14,5.1,54,19.9
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",359,359,100.0,359,234,65.2,93,25.9,"*","*","*","*",32,8.9
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",619,618,99.8,618,551,89.2,56,9.1,"*","*","*","*",11,1.8
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",295,294,99.7,292,168,57.5,75,25.7,36,12.3,13,4.5,49,16.8
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",295,290,98.3,290,43,14.8,101,34.8,104,35.9,42,14.5,146,50.3
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",261,261,100.0,261,74,28.4,121,46.4,48,18.4,18,6.9,66,25.3
"Bridgeport School District","=""0150011""","Read School","=""0152511""",539,538,99.8,538,372,69.1,122,22.7,32,5.9,12,2.2,44,8.2
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",328,326,99.4,326,274,84.0,41,12.6,11,3.4,0,0.0,11,3.4
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",305,302,99.0,301,223,74.1,66,21.9,"*","*","*","*",12,4.0
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",443,443,100.0,443,234,52.8,127,28.7,61,13.8,21,4.7,82,18.5
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",699,697,99.7,697,230,33.0,225,32.3,142,20.4,100,14.3,242,34.7
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",175,174,99.4,174,33,19.0,57,32.8,45,25.9,39,22.4,84,48.3
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",178,177,99.4,177,42,23.7,67,37.9,43,24.3,25,14.1,68,38.4
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",581,581,100.0,581,192,33.0,186,32.0,132,22.7,71,12.2,203,34.9
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",203,203,100.0,203,41,20.2,45,22.2,55,27.1,62,30.5,117,57.6
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",180,179,99.4,179,37,20.7,64,35.8,48,26.8,30,16.8,78,43.6
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",411,410,99.8,410,86,21.0,145,35.4,111,27.1,68,16.6,179,43.7
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",211,211,100.0,211,52,24.6,65,30.8,61,28.9,33,15.6,94,44.5
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",225,224,99.6,224,56,25.0,80,35.7,57,25.4,31,13.8,88,39.3
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",623,618,99.2,618,196,31.7,218,35.3,149,24.1,55,8.9,204,33.0
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",855,797,93.2,797,101,12.7,218,27.4,252,31.6,226,28.4,478,60.0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",146,146,100.0,146,20,13.7,55,37.7,45,30.8,26,17.8,71,48.6
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",371,367,98.9,367,83,22.6,154,42.0,84,22.9,46,12.5,130,35.4
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",51,48,94.1,48,"*","*",20,41.7,17,35.4,"*","*","*","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",227,224,98.7,224,57,25.4,91,40.6,55,24.6,21,9.4,76,33.9
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",392,390,99.5,390,45,11.5,90,23.1,119,30.5,136,34.9,255,65.4
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",282,279,98.9,279,37,13.3,68,24.4,88,31.5,86,30.8,174,62.4
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",117,114,97.4,114,9,7.9,11,9.6,49,43.0,45,39.5,94,82.5
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",109,109,100.0,109,75,68.8,28,25.7,6,5.5,0,0.0,6,5.5
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",337,317,94.1,317,108,34.1,97,30.6,36,11.4,76,24.0,112,35.3
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",63,61,96.8,61,14,23.0,31,50.8,"*","*","*","*",16,26.2
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",98,95,96.9,95,24,25.3,18,18.9,31,32.6,22,23.2,53,55.8
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",193,190,98.4,190,47,24.7,55,28.9,45,23.7,43,22.6,88,46.3
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",314,303,96.5,303,118,38.9,97,32.0,56,18.5,32,10.6,88,29.0
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",181,180,99.4,180,56,31.1,55,30.6,37,20.6,32,17.8,69,38.3
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",11,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",202,201,99.5,201,100,49.8,66,32.8,24,11.9,11,5.5,35,17.4
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",308,305,99.0,305,123,40.3,115,37.7,41,13.4,26,8.5,67,22.0
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",132,125,94.7,125,38,30.4,37,29.6,25,20.0,25,20.0,50,40.0
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",145,142,97.9,142,35,24.6,47,33.1,36,25.4,24,16.9,60,42.3
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",138,138,100.0,138,75,54.3,49,35.5,"*","*","*","*",14,10.1
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",157,154,98.1,154,62,40.3,42,27.3,28,18.2,22,14.3,50,32.5
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*",8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",637,634,99.5,634,229,36.1,209,33.0,118,18.6,78,12.3,196,30.9
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",170,169,99.4,169,35,20.7,50,29.6,51,30.2,33,19.5,84,49.7
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",78,76,97.4,76,28,36.8,28,36.8,"*","*","*","*",20,26.3
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",209,206,98.6,206,12,5.8,42,20.4,58,28.2,94,45.6,152,73.8
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",720,715,99.3,715,105,14.7,187,26.2,201,28.1,222,31.0,423,59.2
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",351,348,99.1,348,33,9.5,99,28.4,103,29.6,113,32.5,216,62.1
"Cheshire School District","=""0250011""","Highland School","=""0250411""",489,488,99.8,488,45,9.2,101,20.7,159,32.6,183,37.5,342,70.1
"Cheshire School District","=""0250011""","Norton School","=""0250511""",279,274,98.2,274,29,10.6,61,22.3,82,29.9,102,37.2,184,67.2
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",131,130,99.2,130,7,5.4,33,25.4,42,32.3,48,36.9,90,69.2
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",316,314,99.4,314,34,10.8,100,31.8,95,30.3,85,27.1,180,57.3
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",447,438,98.0,438,84,19.2,119,27.2,122,27.9,113,25.8,235,53.7
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",139,138,99.3,138,17,12.3,43,31.2,56,40.6,22,15.9,78,56.5
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",525,524,99.8,524,46,8.8,136,26.0,185,35.3,157,30.0,342,65.3
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",602,599,99.5,599,108,18.0,197,32.9,174,29.0,120,20.0,294,49.1
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",46,44,95.7,44,7,15.9,12,27.3,15,34.1,10,22.7,25,56.8
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",285,277,97.2,277,50,18.1,87,31.4,87,31.4,53,19.1,140,50.5
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",255,252,98.8,252,"*","*",88,34.9,71,28.2,"*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*","*","*",67,78.8,"*","*","*","*",0,0.0,"*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",63,61,96.8,61,9,14.8,19,31.1,15,24.6,18,29.5,33,54.1
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",398,390,98.0,390,55,14.1,127,32.6,113,29.0,95,24.4,208,53.3
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",355,354,99.7,354,49,13.8,102,28.8,116,32.8,87,24.6,203,57.3
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",440,440,100.0,439,74,16.9,123,28.0,136,31.0,106,24.1,242,55.1
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",477,476,99.8,476,123,25.8,173,36.3,114,23.9,66,13.9,180,37.8
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1004,983,97.9,982,405,41.2,358,36.5,157,16.0,62,6.3,219,22.3
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",198,198,100.0,198,44,22.2,83,41.9,51,25.8,20,10.1,71,35.9
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",156,155,99.4,155,46,29.7,45,29.0,34,21.9,30,19.4,64,41.3
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",197,196,99.5,196,53,27.0,45,23.0,68,34.7,30,15.3,98,50.0
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",367,362,98.6,362,112,30.9,123,34.0,79,21.8,48,13.3,127,35.1
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",97,96,99.0,96,26,27.1,"*","*",36,37.5,"*","*","*","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*","*","*","*","*","*","*","*","*","*",25,32.1,"*","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",184,184,100.0,184,22,12.0,76,41.3,67,36.4,19,10.3,86,46.7
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",287,287,100.0,287,67,23.3,95,33.1,80,27.9,45,15.7,125,43.6
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",170,167,98.2,167,36,21.6,58,34.7,52,31.1,21,12.6,73,43.7
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",956,947,99.1,947,434,45.8,318,33.6,139,14.7,56,5.9,195,20.6
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",245,244,99.6,243,50,20.6,93,38.3,64,26.3,36,14.8,100,41.2
"Danbury School District","=""0340011""","South Street School","=""0341011""",179,178,99.4,178,49,27.5,74,41.6,34,19.1,21,11.8,55,30.9
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",264,262,99.2,262,91,34.7,81,30.9,63,24.0,27,10.3,90,34.4
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",195,189,96.9,189,26,13.8,46,24.3,58,30.7,59,31.2,117,61.9
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",497,492,99.0,492,117,23.8,173,35.2,116,23.6,86,17.5,202,41.1
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",272,267,98.2,267,11,4.1,41,15.4,78,29.2,137,51.3,215,80.5
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",213,213,100.0,213,11,5.2,38,17.8,56,26.3,108,50.7,164,77.0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1165,1151,98.8,1151,46,4.0,146,12.7,262,22.8,697,60.6,959,83.3
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",219,219,100.0,219,8,3.7,34,15.5,79,36.1,98,44.7,177,80.8
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",197,194,98.5,194,10,5.2,37,19.1,59,30.4,88,45.4,147,75.8
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",210,210,100.0,210,"*","*","*","*",66,31.4,114,54.3,180,85.7
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",186,186,100.0,186,44,23.7,68,36.6,50,26.9,24,12.9,74,39.8
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",318,314,98.7,314,170,54.1,94,29.9,40,12.7,10,3.2,50,15.9
"Derby School District","=""0370011""","Irving School","=""0370411""",169,169,100.0,169,85,50.3,57,33.7,"*","*","*","*",27,16.0
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",198,197,99.5,197,32,16.2,45,22.8,68,34.5,52,26.4,120,60.9
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",195,195,100.0,195,14,7.2,40,20.5,50,25.6,91,46.7,141,72.3
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",71,69,97.2,69,"*","*","*","*",26,37.7,20,29.0,46,66.7
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",424,405,95.5,405,104,25.7,115,28.4,96,23.7,90,22.2,186,45.9
"East Hampton School District","=""0420011""","Center School","=""0420311""",290,274,94.5,274,37,13.5,92,33.6,91,33.2,54,19.7,145,52.9
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",432,396,91.7,396,104,26.3,153,38.6,97,24.5,42,10.6,139,35.1
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",160,157,98.1,157,32,20.4,42,26.8,54,34.4,29,18.5,83,52.9
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",164,164,100.0,164,106,64.6,43,26.2,15,9.1,0,0.0,15,9.1
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",180,179,99.4,179,100,55.9,52,29.1,"*","*","*","*",27,15.1
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",147,146,99.3,146,70,47.9,48,32.9,"*","*","*","*",28,19.2
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",256,256,100.0,256,97,37.9,88,34.4,48,18.8,23,9.0,71,27.7
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",1089,1070,98.3,1069,652,61.0,287,26.8,97,9.1,33,3.1,130,12.2
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",178,178,100.0,178,46,25.8,70,39.3,42,23.6,20,11.2,62,34.8
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",108,108,100.0,108,39,36.1,31,28.7,25,23.1,13,12.0,38,35.2
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",128,123,96.1,123,36,29.3,32,26.0,37,30.1,18,14.6,55,44.7
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",264,264,100.0,263,171,65.0,70,26.6,"*","*","*","*",22,8.4
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",123,123,100.0,121,59,48.8,44,36.4,"*","*","*","*",18,14.9
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",198,198,100.0,198,127,64.1,50,25.3,15,7.6,6,3.0,21,10.6
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",74,72,97.3,66,"*","*","*","*",0,0.0,0,0.0,0,0.0
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",255,254,99.6,254,48,18.9,89,35.0,73,28.7,44,17.3,117,46.1
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",189,189,100.0,188,39,20.7,54,28.7,70,37.2,25,13.3,95,50.5
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",148,148,100.0,148,66,44.6,42,28.4,"*","*","*","*",40,27.0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",575,567,98.6,567,265,46.7,201,35.4,74,13.1,27,4.8,101,17.8
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",147,147,100.0,147,49,33.3,49,33.3,36,24.5,13,8.8,49,33.3
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",842,814,96.7,813,104,12.8,200,24.6,221,27.2,288,35.4,509,62.6
