"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",63,39,61.9,39,23,59.0,7,17.9,"*","*","*","*",9,23.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",352,350,99.4,350,253,72.3,78,22.3,"*","*","*","*",19,5.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",240,221,92.1,221,201,91.0,18,8.1,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",168,167,99.4,167,119,71.3,37,22.2,"*","*","*","*",11,6.6
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",75,15,20.0,15,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",231,231,100.0,231,129,55.8,69,29.9,30,13.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",730,724,99.2,724,538,74.3,151,20.9,29,4.0,6,0.8,35,4.8
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",37,35,94.6,34,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",195,192,98.5,192,146,76.0,34,17.7,"*","*","*","*",12,6.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",424,362,85.4,361,259,71.7,71,19.7,"*","*","*","*",31,8.6
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",802,797,99.4,797,659,82.7,114,14.3,18,2.3,6,0.8,24,3.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",230,229,99.6,229,109,47.6,84,36.7,"*","*","*","*",36,15.7
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",421,421,100.0,421,350,83.1,58,13.8,"*","*","*","*",13,3.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",232,232,100.0,231,179,77.5,42,18.2,10,4.3,0,0.0,10,4.3
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",514,509,99.0,509,368,72.3,110,21.6,"*","*","*","*",31,6.1
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",210,210,100.0,210,154,73.3,44,21.0,"*","*","*","*",12,5.7
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",136,136,100.0,134,93,69.4,34,25.4,"*","*","*","*",7,5.2
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",483,480,99.4,480,334,69.6,115,24.0,"*","*","*","*",31,6.5
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",128,128,100.0,128,73,57.0,43,33.6,12,9.4,0,0.0,12,9.4
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",152,150,98.7,150,88,58.7,47,31.3,"*","*","*","*",15,10.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",303,223,73.6,222,203,91.4,13,5.9,6,2.7,0,0.0,6,2.7
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",276,276,100.0,276,100,36.2,117,42.4,47,17.0,12,4.3,59,21.4
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",261,251,96.2,251,168,66.9,64,25.5,"*","*","*","*",19,7.6
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",71,46,64.8,46,34,73.9,6,13.0,"*","*","*","*",6,13.0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",279,272,97.5,272,101,37.1,117,43.0,32,11.8,22,8.1,54,19.9
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",404,403,99.8,402,261,64.9,101,25.1,"*","*","*","*",40,10.0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",615,614,99.8,614,562,91.5,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",292,290,99.3,290,153,52.8,91,31.4,40,13.8,6,2.1,46,15.9
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",291,281,96.6,281,56,19.9,116,41.3,73,26.0,36,12.8,109,38.8
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",268,268,100.0,268,96,35.8,106,39.6,48,17.9,18,6.7,66,24.6
"Bridgeport School District","=""0150011""","Read School","=""0152511""",521,517,99.2,517,352,68.1,135,26.1,24,4.6,6,1.2,30,5.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",304,304,100.0,304,265,87.2,34,11.2,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",278,278,100.0,278,201,72.3,59,21.2,"*","*","*","*",18,6.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",442,442,100.0,442,175,39.6,174,39.4,77,17.4,16,3.6,93,21.0
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",281,274,97.5,274,155,56.6,67,24.5,43,15.7,9,3.3,52,19.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",309,300,97.1,300,181,60.3,65,21.7,42,14.0,12,4.0,54,18.0
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",744,741,99.6,740,268,36.2,220,29.7,166,22.4,86,11.6,252,34.1
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",173,172,99.4,172,50,29.1,55,32.0,43,25.0,24,14.0,67,39.0
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",191,191,100.0,191,49,25.7,75,39.3,51,26.7,16,8.4,67,35.1
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",583,582,99.8,582,209,35.9,190,32.6,126,21.6,57,9.8,183,31.4
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",200,199,99.5,199,39,19.6,51,25.6,63,31.7,46,23.1,109,54.8
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",177,177,100.0,177,38,21.5,70,39.5,47,26.6,22,12.4,69,39.0
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",417,409,98.1,409,111,27.1,151,36.9,91,22.2,56,13.7,147,35.9
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",238,237,99.6,237,72,30.4,72,30.4,66,27.8,27,11.4,93,39.2
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",209,209,100.0,209,53,25.4,72,34.4,60,28.7,24,11.5,84,40.2
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",603,598,99.2,598,194,32.4,228,38.1,131,21.9,45,7.5,176,29.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",216,202,93.5,201,68,33.8,52,25.9,57,28.4,24,11.9,81,40.3
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",404,395,97.8,395,31,7.8,85,21.5,165,41.8,114,28.9,279,70.6
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",888,858,96.6,857,131,15.3,262,30.6,236,27.5,228,26.6,464,54.1
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",176,175,99.4,175,29,16.6,60,34.3,54,30.9,32,18.3,86,49.1
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",365,361,98.9,361,117,32.4,145,40.2,66,18.3,33,9.1,99,27.4
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",53,53,100.0,53,9,17.0,18,34.0,20,37.7,6,11.3,26,49.1
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",87,86,98.9,86,15,17.4,30,34.9,31,36.0,10,11.6,41,47.7
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",225,223,99.1,223,72,32.3,74,33.2,51,22.9,26,11.7,77,34.5
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",98,98,100.0,98,19,19.4,29,29.6,22,22.4,28,28.6,50,51.0
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",411,409,99.5,409,62,15.2,139,34.0,109,26.7,99,24.2,208,50.9
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",273,268,98.2,268,40,14.9,73,27.2,81,30.2,74,27.6,155,57.8
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",117,116,99.1,116,8,6.9,13,11.2,51,44.0,44,37.9,95,81.9
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",375,368,98.1,366,105,28.7,110,30.1,55,15.0,96,26.2,151,41.3
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",43,43,100.0,43,9,20.9,8,18.6,16,37.2,10,23.3,26,60.5
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",13,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",174,172,98.9,172,48,27.9,46,26.7,37,21.5,41,23.8,78,45.3
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",104,66,63.5,66,48,72.7,11,16.7,"*","*","*","*",7,10.6
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",313,309,98.7,309,135,43.7,85,27.5,63,20.4,26,8.4,89,28.8
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",170,169,99.4,169,54,32.0,48,28.4,32,18.9,35,20.7,67,39.6
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",22,12,54.5,10,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",275,263,95.6,263,116,44.1,88,33.5,39,14.8,20,7.6,59,22.4
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",426,403,94.6,400,178,44.5,129,32.3,68,17.0,25,6.3,93,23.3
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",133,132,99.2,132,42,31.8,48,36.4,24,18.2,18,13.6,42,31.8
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",123,122,99.2,122,29,23.8,50,41.0,28,23.0,15,12.3,43,35.2
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",252,236,93.7,232,153,65.9,55,23.7,"*","*","*","*",24,10.3
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",142,141,99.3,141,57,40.4,37,26.2,30,21.3,17,12.1,47,33.3
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",80,78,97.5,78,61,78.2,11,14.1,6,7.7,0,0.0,6,7.7
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",652,648,99.4,646,218,33.7,191,29.6,142,22.0,95,14.7,237,36.7
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",171,169,98.8,169,55,32.5,53,31.4,39,23.1,22,13.0,61,36.1
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",75,58,77.3,58,17,29.3,25,43.1,"*","*","*","*",16,27.6
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",209,206,98.6,206,23,11.2,48,23.3,67,32.5,68,33.0,135,65.5
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",372,359,96.5,359,94,26.2,82,22.8,104,29.0,79,22.0,183,51.0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",753,746,99.1,746,111,14.9,206,27.6,216,29.0,213,28.6,429,57.5
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",376,376,100.0,376,36,9.6,103,27.4,124,33.0,113,30.1,237,63.0
"Cheshire School District","=""0250011""","Highland School","=""0250411""",515,510,99.0,510,74,14.5,140,27.5,165,32.4,131,25.7,296,58.0
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",10,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""",285,280,98.2,280,34,12.1,73,26.1,76,27.1,97,34.6,173,61.8
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",138,138,100.0,138,8,5.8,38,27.5,52,37.7,40,29.0,92,66.7
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",315,312,99.0,311,32,10.3,79,25.4,114,36.7,86,27.7,200,64.3
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",469,456,97.2,456,81,17.8,141,30.9,131,28.7,103,22.6,234,51.3
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",139,139,100.0,139,22,15.8,36,25.9,58,41.7,23,16.5,81,58.3
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",133,128,96.2,128,78,60.9,23,18.0,16,12.5,11,8.6,27,21.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",205,196,95.6,196,81,41.3,55,28.1,36,18.4,24,12.2,60,30.6
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",579,576,99.5,576,65,11.3,169,29.3,182,31.6,160,27.8,342,59.4
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",627,619,98.7,618,104,16.8,199,32.2,181,29.3,134,21.7,315,51.0
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",52,48,92.3,48,6,12.5,15,31.3,10,20.8,17,35.4,27,56.3
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",293,285,97.3,284,59,20.8,89,31.3,89,31.3,47,16.5,136,47.9
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",32,32,100.0,32,14,43.8,8,25.0,"*","*","*","*",10,31.3
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",183,183,100.0,183,144,78.7,"*","*","*","*",0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",193,192,99.5,192,92,47.9,75,39.1,"*","*","*","*",25,13.0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",152,152,100.0,152,106,69.7,39,25.7,7,4.6,0,0.0,7,4.6
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",114,110,96.5,110,96,87.3,"*","*","*","*",0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",142,140,98.6,140,98,70.0,35,25.0,7,5.0,0,0.0,7,5.0
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",144,143,99.3,143,115,80.4,22,15.4,6,4.2,0,0.0,6,4.2
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",188,187,99.5,187,80,42.8,83,44.4,"*","*","*","*",24,12.8
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",128,83,64.8,83,69,83.1,"*","*","*","*",0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",150,146,97.3,146,98,67.1,35,24.0,"*","*","*","*",13,8.9
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",156,156,100.0,156,103,66.0,39,25.0,14,9.0,0,0.0,14,9.0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",160,154,96.3,154,92,59.7,48,31.2,"*","*","*","*",14,9.1
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",156,148,94.9,148,89,60.1,45,30.4,"*","*","*","*",14,9.5
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",195,192,98.5,192,102,53.1,55,28.6,"*","*","*","*",35,18.2
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",154,150,97.4,150,91,60.7,48,32.0,"*","*","*","*",11,7.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",177,167,94.4,167,63,37.7,68,40.7,"*","*","*","*",36,21.6
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",130,125,96.2,125,69,55.2,48,38.4,"*","*","*","*",8,6.4
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",247,245,99.2,245,"*","*",95,38.8,68,27.8,"*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*","*","*",87,79.8,"*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",65,61,93.8,61,11,18.0,13,21.3,24,39.3,13,21.3,37,60.7
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",385,371,96.4,371,69,18.6,134,36.1,105,28.3,63,17.0,168,45.3
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",126,101,80.2,101,50,49.5,21,20.8,22,21.8,8,7.9,30,29.7
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",365,363,99.5,363,61,16.8,126,34.7,112,30.9,64,17.6,176,48.5
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",140,137,97.9,137,53,38.7,28,20.4,33,24.1,23,16.8,56,40.9
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",451,450,99.8,450,117,26.0,137,30.4,120,26.7,76,16.9,196,43.6
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",474,474,100.0,474,109,23.0,151,31.9,134,28.3,80,16.9,214,45.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
