"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Special Education Stat"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",644,644,100.0,644,250,38.8,213,33.1,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",80,80,100.0,80,71,88.8,6,7.5,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",361,361,100.0,361,151,41.8,129,35.7,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",52,50,96.2,50,41,82.0,7,14.0,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",206,206,100.0,206,"*","*",64,31.1,"*","*",40,19.4,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",25,25,100.0,25,15,60.0,"*","*","*","*",0,0.0,"*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",488,486,99.6,486,14,2.9,55,11.3,114,23.5,303,62.3,417,85.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",54,53,98.1,53,21,39.6,18,34.0,14,26.4,0,0.0,14,26.4
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","N",228,228,100.0,228,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","N",201,200,99.5,200,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",512,511,99.8,511,32,6.3,103,20.2,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",38,37,97.4,37,22,59.5,10,27.0,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",147,141,95.9,141,25,17.7,56,39.7,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",28,27,96.4,27,17,63.0,"*","*","*","*",0,0.0,"*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",602,601,99.8,600,93,15.5,200,33.3,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Y",73,73,100.0,73,55,75.3,13,17.8,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",201,200,99.5,200,7,3.5,59,29.5,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",26,26,100.0,26,14,53.8,7,26.9,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",257,254,98.8,253,24,9.5,67,26.5,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y",27,27,100.0,27,16,59.3,9,33.3,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",110,110,100.0,110,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",196,188,95.9,188,"*","*",44,23.4,58,30.9,"*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y",36,36,100.0,36,12,33.3,14,38.9,"*","*","*","*",10,27.8
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","N",113,112,99.1,112,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","N",580,577,99.5,577,"*","*",179,31.0,172,29.8,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Y",70,70,100.0,70,39,55.7,21,30.0,"*","*","*","*",10,14.3
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",381,378,99.2,378,"*","*",133,35.2,112,29.6,"*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",42,41,97.6,41,18,43.9,14,34.1,"*","*","*","*",9,22.0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",185,185,100.0,185,45,24.3,"*","*","*","*",22,11.9,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y",37,37,100.0,37,31,83.8,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N",173,173,100.0,173,59,34.1,"*","*","*","*",10,5.8,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Y",28,28,100.0,28,26,92.9,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",79,76,96.2,76,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","N",225,225,100.0,225,59,26.2,"*","*","*","*",19,8.4,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Y",29,28,96.6,28,25,89.3,"*","*","*","*",0,0.0,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",314,306,97.5,306,"*","*",70,22.9,103,33.7,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Y",40,39,97.5,39,23,59.0,7,17.9,"*","*","*","*",9,23.1
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Y",21,20,95.2,19,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",781,766,98.1,765,"*","*",234,30.6,202,26.4,"*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",113,113,100.0,113,87,77.0,17,15.0,"*","*","*","*",9,8.0
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","N",132,132,100.0,132,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","N",134,134,100.0,134,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Y",16,16,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","N",149,149,100.0,149,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",494,494,100.0,494,136,27.5,136,27.5,"*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",47,46,97.9,46,31,67.4,10,21.7,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","N",242,242,100.0,242,165,68.2,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",70,69,98.6,69,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","N",149,149,100.0,149,92,61.7,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y",25,25,100.0,25,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","N",217,217,100.0,217,97,44.7,"*","*",30,13.8,8,3.7,38,17.5
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",36,36,100.0,36,32,88.9,"*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","N",687,684,99.6,684,461,67.4,185,27.0,"*","*","*","*",38,5.6
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",82,80,97.6,80,72,90.0,8,10.0,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","N",172,172,100.0,172,110,64.0,"*","*",13,7.6,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",20,20,100.0,20,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","N",712,711,99.9,711,558,78.5,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",88,88,100.0,88,85,96.6,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","N",212,209,98.6,209,85,40.7,"*","*",33,15.8,"*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y",25,25,100.0,25,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","N",434,433,99.8,433,312,72.1,"*","*",22,5.1,"*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",40,40,100.0,40,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","N",167,166,99.4,166,122,73.5,"*","*",8,4.8,"*","*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y",55,55,100.0,55,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","N",423,422,99.8,422,328,77.7,"*","*",17,4.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",71,70,98.6,70,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","N",197,197,100.0,197,155,78.7,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Y",23,23,100.0,23,23,100.0,0,0.0,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","N",120,120,100.0,120,74,61.7,"*","*",6,5.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Y",29,29,100.0,29,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","N",411,411,100.0,411,237,57.7,"*","*","*","*",10,2.4,"*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",64,64,100.0,64,61,95.3,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","N",108,108,100.0,108,52,48.1,"*","*",12,11.1,"*","*","*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Y",24,24,100.0,24,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","N",124,124,100.0,124,74,59.7,40,32.3,10,8.1,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y",28,27,96.4,27,"*","*",0,0.0,0,0.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","N",241,241,100.0,241,93,38.6,"*","*",46,19.1,"*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Y",27,27,100.0,27,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","N",200,193,96.5,193,108,56.0,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y",41,33,80.5,33,29,87.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","N",252,250,99.2,250,102,40.8,"*","*","*","*",14,5.6,"*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Y",22,22,100.0,22,16,72.7,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","N",296,296,100.0,296,177,59.8,87,29.4,"*","*","*","*",32,10.8
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Y",63,63,100.0,63,57,90.5,6,9.5,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","N",532,532,100.0,532,466,87.6,"*","*",10,1.9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Y",87,86,98.9,86,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","N",248,248,100.0,246,129,52.4,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Y",47,46,97.9,46,39,84.8,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","N",288,283,98.3,283,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","N",472,472,100.0,472,315,66.7,114,24.2,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Y",67,66,98.5,66,57,86.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","N",278,276,99.3,276,226,81.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Y",50,50,100.0,50,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","N",257,255,99.2,254,179,70.5,"*","*",10,3.9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Y",48,47,97.9,47,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","N",395,395,100.0,395,198,50.1,119,30.1,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Y",48,48,100.0,48,36,75.0,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","N",577,576,99.8,576,134,23.3,205,35.6,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Y",122,121,99.2,121,96,79.3,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N",152,151,99.3,151,19,12.6,51,33.8,"*","*",39,25.8,"*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Y",23,23,100.0,23,14,60.9,6,26.1,"*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","N",160,160,100.0,160,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","N",490,490,100.0,490,"*","*",171,34.9,126,25.7,"*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Y",91,91,100.0,91,69,75.8,15,16.5,"*","*","*","*",7,7.7
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","N",169,169,100.0,169,18,10.7,38,22.5,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Y",34,34,100.0,34,23,67.6,7,20.6,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","N",149,149,100.0,149,"*","*",52,34.9,"*","*",30,20.1,"*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Y",31,30,96.8,30,14,46.7,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","N",354,353,99.7,353,44,12.5,133,37.7,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Y",57,57,100.0,57,42,73.7,12,21.1,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","N",188,188,100.0,188,38,20.2,"*","*","*","*",33,17.6,"*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Y",23,23,100.0,23,14,60.9,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","N",199,199,100.0,199,40,20.1,73,36.7,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Y",26,25,96.2,25,16,64.0,7,28.0,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","N",507,504,99.4,504,114,22.6,191,37.9,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Y",116,114,98.3,114,82,71.9,27,23.7,"*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","N",360,347,96.4,347,"*","*",82,23.6,145,41.8,"*","*","*","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Y",51,45,88.2,45,14,31.1,19,42.2,"*","*","*","*",12,26.7
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","N",742,706,95.1,706,"*","*",189,26.8,241,34.1,"*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Y",113,91,80.5,91,46,50.5,29,31.9,"*","*","*","*",16,17.6
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","N",130,130,100.0,130,"*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","N",343,341,99.4,341,65,19.1,148,43.4,"*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Y",28,26,92.9,26,18,69.2,6,23.1,"*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","N",204,202,99.0,202,42,20.8,"*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Y",23,22,95.7,22,15,68.2,"*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","N",355,353,99.4,353,18,5.1,82,23.2,"*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Y",37,37,100.0,37,27,73.0,8,21.6,"*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","N",246,243,98.8,243,18,7.4,54,22.2,"*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Y",36,36,100.0,36,19,52.8,14,38.9,"*","*","*","*","*","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","N",110,108,98.2,108,"*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",294,285,96.9,285,85,29.8,91,31.9,"*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Y",43,32,74.4,32,23,71.9,6,18.8,"*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","N",51,50,98.0,50,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","N",85,82,96.5,82,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","N",168,165,98.2,165,29,17.6,"*","*","*","*",43,26.1,"*","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Y",25,25,100.0,25,18,72.0,"*","*","*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","N",258,250,96.9,250,77,30.8,87,34.8,"*","*","*","*","*","*"
