"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",43,0,0.0,"*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",45,0,0.0,9,20.0
"New Haven School District","=""0930011""","Sound School","=""0936711""",84,0,0.0,6,7.1
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",417,11,2.6,111,26.6
"New London School District","=""0950011""","New London High School","=""0956111""",227,"*","*","*","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",382,0,0.0,24,6.3
"Newington School District","=""0940011""","Newington High School","=""0946111""",330,6,1.8,19,5.8
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",403,"*","*","*","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",157,0,0.0,10,6.4
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",281,0,0.0,11,3.9
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",54,"*","*","*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",449,"*","*","*","*"
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",389,"*","*","*","*"
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",30,"*","*",16,53.3
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",636,"*","*","*","*"
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",34,0,0.0,28,82.4
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",143,0,0.0,"*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",146,0,0.0,12,8.2
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",198,"*","*","*","*"
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",203,"*","*","*","*"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",134,"*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",90,0,0.0,6,6.7
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",66,0,0.0,6,9.1
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",135,0,0.0,"*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",159,"*","*","*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",432,0,0.0,11,2.5
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",86,0,0.0,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",178,0,0.0,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",290,"*","*","*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",236,0,0.0,"*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",229,"*","*","*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",42,0,0.0,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",73,0,0.0,10,13.7
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",141,0,0.0,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",194,"*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",327,"*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",192,0,0.0,8,4.2
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",189,0,0.0,10,5.3
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",103,0,0.0,"*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",297,"*","*","*","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",440,0,0.0,"*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",208,"*","*","*","*"
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",149,"*","*","*","*"
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",424,"*","*","*","*"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",399,0,0.0,"*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",139,0,0.0,"*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",377,0,0.0,8,2.1
"Southington School District","=""1310011""","Southington High School","=""1316211""",489,"*","*","*","*"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",139,0,0.0,14,10.1
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",44,0,0.0,16,36.4
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",381,0,0.0,41,10.8
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,0,0.0,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",622,8,1.3,67,10.8
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",178,"*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",290,"*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",276,0,0.0,21,7.6
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",203,0,0.0,14,6.9
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",41,0,0.0,8,19.5
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",89,0,0.0,"*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",90,0,0.0,6,6.7
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",99,0,0.0,10,10.1
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",228,0,0.0,"*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",293,"*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",538,0,0.0,7,1.3
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",258,0,0.0,34,13.2
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",283,"*","*","*","*"
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",241,0,0.0,12,5.0
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",344,"*","*","*","*"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",366,"*","*","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",107,0,0.0,"*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",356,6,1.7,106,29.8
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",238,"*","*","*","*"
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",232,"*","*","*","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",340,0,0.0,13,3.8
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",393,0,0.0,16,4.1
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",378,"*","*","*","*"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",82,0,0.0,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",189,0,0.0,0,0.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",425,0,0.0,6,1.4
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",288,"*","*","*","*"
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",311,0,0.0,"*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",179,"*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",146,"*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",315,"*","*","*","*"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",219,"*","*","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",286,0,0.0,12,4.2

