"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",166,0,0.0,14,8.4
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",196,0,0.0,7,3.6
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",130,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",119,0,0.0,16,13.4
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",147,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",116,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",113,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",148,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",168,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",154,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",166,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,0,0.0,7,5.0
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",192,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",132,0,0.0,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",135,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",140,0,0.0,7,5.0
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",33,"*","*",15,45.5
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",735,19,2.6,88,12.0
"Darien School District","=""0350011""","Darien High School","=""0356111""",312,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",84,"*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",69,"*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",95,0,0.0,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",129,0,0.0,"*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",38,0,0.0,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",368,7,1.9,34,9.2
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",116,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",238,8,3.4,46,19.3
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",306,"*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",92,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",26,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",40,0,0.0,7,17.5
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",197,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",13,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",182,"*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",255,0,0.0,13,5.1
"Explorations District","=""2720013""","Explorations","=""2726113""",30,0,0.0,9,30.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",383,6,1.6,9,2.3
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",313,9,2.9,11,3.5
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",318,0,0.0,"*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",545,"*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",193,"*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",684,9,1.3,11,1.6
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",166,"*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",319,7,2.2,42,13.2
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",277,0,0.0,13,4.7
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",441,12,2.7,29,6.6
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",176,6,3.4,35,19.9
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,0,0.0,0,0.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",88,0,0.0,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",75,"*","*","*","*"
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",68,0,0.0,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",116,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",142,0,0.0,39,27.5
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",123,"*","*","*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",105,"*","*","*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",59,0,0.0,18,30.5
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",84,"*","*","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",71,0,0.0,"*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",88,0,0.0,6,6.8
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",94,0,0.0,"*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",214,7,3.3,36,16.8
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",29,0,0.0,"*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","*","*","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",12,0,"*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",118,"*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",224,"*","*","*","*"
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",6,0,"*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",86,0,0.0,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",315,0,0.0,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",442,"*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",325,12,3.7,59,18.2
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",285,"*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",357,0,0.0,46,12.9
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",253,19,7.5,14,5.5
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",263,6,2.3,11,4.2
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",307,"*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",175,"*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",332,13,3.9,46,13.9
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",612,12,2.0,176,28.8
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",338,"*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",257,"*","*","*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",173,"*","*","*","*"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",72,"*","*","*","*"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",153,0,0.0,10,6.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",35,0,0.0,6,17.1
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",258,10,3.9,86,33.3
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",95,0,0.0,16,16.8
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",75,0,0.0,20,26.7
"New Haven School District","=""0930011""","Sound School","=""0936711""",79,0,0.0,"*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",304,10,3.3,80,26.3
"New London School District","=""0950011""","New London High School","=""0956111""",252,7,2.8,71,28.2
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",380,0,0.0,33,8.7
"Newington School District","=""0940011""","Newington High School","=""0946111""",373,"*","*","*","*"
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",467,"*","*","*","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",169,"*","*","*","*"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",305,"*","*","*","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",48,0,0.0,"*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",386,"*","*","*","*"
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",349,"*","*","*","*"
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",39,"*","*",23,59.0
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",567,17,3.0,59,10.4
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",135,0,0.0,6,4.4
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",153,0,0.0,"*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",199,9,4.5,15,7.5
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",202,"*","*","*","*"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",121,"*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,0,0.0,11,12.0
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",92,"*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",108,0,0.0,8,7.4
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",162,"*","*","*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",392,"*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",97,0,0.0,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",174,"*","*","*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",271,7,2.6,6,2.2
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",12,0,"*","*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",233,"*","*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",198,"*","*","*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",39,0,0.0,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",84,0,0.0,6,7.1
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",146,0,0.0,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",198,"*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",317,"*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",184,"*","*","*","*"
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",161,"*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",112,"*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",313,9,2.9,14,4.5
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",409,"*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",176,"*","*","*","*"
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",177,6,3.4,13,7.3
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",392,"*","*","*","*"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",395,"*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",147,"*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",376,"*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""",486,"*","*","*","*"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",127,"*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",36,8,22.2,12,33.3
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",499,6,1.2,40,8.0
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,0,0.0,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",541,"*","*","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",197,0,0.0,6,3.0
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",285,"*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",252,0,0.0,16,6.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",217,0,0.0,10,4.6
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",35,0,0.0,"*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",84,0,0.0,14,16.7
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",76,0,0.0,"*","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",83,0,0.0,6,7.2
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",242,"*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",267,"*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",547,0,0.0,6,1.1
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",232,"*","*","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",286,"*","*","*","*"
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",233,"*","*","*","*"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",358,8,2.2,110,30.7
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",383,"*","*","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",105,0,0.0,10,9.5
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",357,"*","*","*","*"
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",235,"*","*","*","*"
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",270,7,2.6,22,8.1
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",420,0,0.0,19,4.5
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",387,0,0.0,10,2.6
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",430,13,3.0,107,24.9
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",77,0,0.0,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",206,"*","*",0,0.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",461,0,0.0,0,0.0
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",263,"*","*","*","*"
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",318,"*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",189,"*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",136,0,0.0,9,6.6
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",343,"*","*","*","*"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",220,"*","*","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",278,0,0.0,8,2.9

