"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",59,41,69.5
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",84,59,70.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",71,"*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",88,82,93.2
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",94,"*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",214,171,79.9
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",29,"*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",12,"*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",118,111,94.1
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",224,209,93.3
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",6,"*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",86,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",315,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",442,374,84.6
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",325,254,78.2
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",285,208,73.0
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",357,311,87.1
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",253,220,87.0
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",263,246,93.5
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",307,303,98.7
"Montville School District","=""0860011""","Montville High School","=""0866111""",175,158,90.3
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",332,273,82.2
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",612,424,69.3
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",338,331,97.9
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",257,249,96.9
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",173,158,91.3
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",72,45,62.5
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",153,143,93.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",35,29,82.9
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",258,162,62.8
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",95,79,83.2
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",75,55,73.3
"New Haven School District","=""0930011""","Sound School","=""0936711""",79,"*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",304,214,70.4
"New London School District","=""0950011""","New London High School","=""0956111""",252,173,68.7
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",380,347,91.3
"Newington School District","=""0940011""","Newington High School","=""0946111""",373,343,92.0
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",467,450,96.4
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",169,164,97.0
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",305,280,91.8
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",48,"*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",386,346,89.6
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",349,317,90.8
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",39,"*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",567,491,86.6
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",135,129,95.6
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",153,"*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",199,175,87.9
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",202,185,91.6
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",121,109,90.1
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,81,88.0
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",92,84,91.3
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",108,100,92.6
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",162,155,95.7
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",392,379,96.7
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",97,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",174,172,98.9
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",271,258,95.2
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",12,"*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",233,226,97.0
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",198,188,94.9
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",39,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",84,78,92.9
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",146,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",198,187,94.4
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",317,308,97.2
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",184,170,92.4
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",161,157,97.5
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",112,108,96.4
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",313,290,92.7
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",409,404,98.8
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",176,165,93.8
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",177,158,89.3
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",392,363,92.6
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",395,390,98.7
"Somers School District","=""1290011""","Somers High School","=""1296111""",147,143,97.3
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",376,364,96.8
"Southington School District","=""1310011""","Southington High School","=""1316211""",486,462,95.1
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",127,115,90.6
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",36,16,44.4
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",499,453,90.8
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",541,489,90.4
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",197,191,97.0
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",285,270,94.7
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",252,236,93.7
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",217,207,95.4
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",35,"*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",84,70,83.3
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",76,"*","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",83,77,92.8
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",242,229,94.6
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",267,242,90.6
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",547,541,98.9
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",232,199,85.8
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",286,268,93.7
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",233,222,95.3
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",358,240,67.0
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",383,268,70.0
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",105,95,90.5
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",357,272,76.2
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",235,222,94.5
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",270,241,89.3
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",420,401,95.5
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",387,377,97.4
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",430,310,72.1
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",77,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",206,"*","*"
"Westport School District","=""1580011""","Staples High School","=""1586111""",461,461,100.0
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",263,245,93.2
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",318,314,98.7
"Windham School District","=""1630011""","Windham High School","=""1636111""",189,155,82.0
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",136,127,93.4
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",343,312,91.0
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",220,208,94.5
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",278,270,97.1

