"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",161,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",143,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",152,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",163,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",218,212,97.2
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",129,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",174,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",138,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",148,137,92.6
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",145,138,95.2
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",704,612,86.9
"Darien School District","=""0350011""","Darien High School","=""0356111""",307,301,98.0
"Derby School District","=""0370011""","Derby High School","=""0376111""",109,89,81.7
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",60,58,96.7
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",99,93,93.9
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",159,153,96.2
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",37,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",410,365,89.0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",214,168,78.5
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",296,283,95.6
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",85,77,90.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",34,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",44,33,75.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",199,185,93.0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",19,"*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",193,171,88.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",303,273,90.1
"Explorations District","=""2720013""","Explorations","=""2726113""",29,17,58.6
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",352,343,97.4
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",338,323,95.6
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",298,289,97.0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",506,497,98.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",187,"*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",640,612,95.6
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",183,162,88.5
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",339,285,84.1
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",284,"*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",496,451,90.9
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",247,190,76.9
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",80,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",54,34,63.0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",129,99,76.7
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",125,94,75.2
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",134,85,63.4
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",72,40,55.6
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",84,"*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,"*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",85,78,91.8
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",183,154,84.2
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",124,116,93.5
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",205,193,94.1
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",102,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",330,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",472,387,82.0
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",320,237,74.1
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",299,222,74.2
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",322,274,85.1
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",265,232,87.5
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",243,230,94.7
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",337,"*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",210,187,89.0
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",367,319,86.9
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",635,446,70.2
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",327,"*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",231,"*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",135,126,93.3
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",73,43,58.9
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",155,142,91.6
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",47,39,83.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",252,154,61.1
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",43,"*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",45,36,80.0
"New Haven School District","=""0930011""","Sound School","=""0936711""",84,78,92.9
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",417,295,70.7
"New London School District","=""0950011""","New London High School","=""0956111""",227,161,70.9
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",382,358,93.7
"Newington School District","=""0940011""","Newington High School","=""0946111""",330,305,92.4
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",403,388,96.3
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",157,147,93.6
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",281,270,96.1
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",54,48,88.9
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",449,407,90.6
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",389,341,87.7
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",30,"*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",636,558,87.7
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",34,6,17.6
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",143,"*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",146,134,91.8
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",198,178,89.9
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",203,191,94.1
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",134,122,91.0
"Portland School District","=""1130011""","Portland High School","=""1136111""",90,84,93.3
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",66,60,90.9
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",135,"*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",159,148,93.1
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",432,421,97.5
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",86,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",178,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",290,277,95.5
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",236,"*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",229,224,97.8
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",42,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",73,63,86.3
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",141,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",194,191,98.5
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",327,314,96.0
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",192,184,95.8
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",189,179,94.7
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",103,"*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",297,272,91.6
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",440,"*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",208,196,94.2
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",149,136,91.3
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",424,399,94.1
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",399,"*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",139,"*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",377,369,97.9
"Southington School District","=""1310011""","Southington High School","=""1316211""",489,467,95.5
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",139,125,89.9
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",44,28,63.6
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",381,340,89.2
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",622,547,87.9
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",178,170,95.5
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",290,262,90.3
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",276,255,92.4
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",203,189,93.1
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",41,33,80.5
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",89,"*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",90,84,93.3
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",99,89,89.9
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",228,"*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",293,244,83.3
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",538,531,98.7
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",258,224,86.8
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",283,266,94.0
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",241,229,95.0
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",344,218,63.4
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",366,255,69.7
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",107,"*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",356,244,68.5
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",238,223,93.7
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",232,216,93.1
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",340,327,96.2
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",393,377,95.9
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",378,288,76.2
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",82,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",189,189,100.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",425,419,98.6
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",288,268,93.1
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",311,"*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",179,139,77.7
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",146,136,93.2
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",315,285,90.5
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",219,208,95.0
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",286,274,95.8

