"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",723,432,59.8
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",310,305,98.4
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",239,225,94.1
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",109,92,84.4
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",77,50,64.9
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",170,150,88.2
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",40,34,85.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",309,180,58.3
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",33,"*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",62,46,74.2
"New Haven School District","=""0930011""","Sound School","=""0936711""",61,"*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",475,292,61.5
"New London School District","=""0950011""","New London High School","=""0956111""",260,180,69.2
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",393,349,88.8
"Newington School District","=""0940011""","Newington High School","=""0946111""",409,367,89.7
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",442,426,96.4
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",196,185,94.4
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",304,269,88.5
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",67,61,91.0
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",445,406,91.2
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",380,339,89.2
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",62,"*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",612,514,84.0
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",26,6,23.1
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",121,115,95.0
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",154,149,96.8
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",226,204,90.3
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",230,209,90.9
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",136,"*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",97,82,84.5
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",72,63,87.5
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",137,118,86.1
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",169,152,89.9
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",404,381,94.3
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",103,92,89.3
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",186,183,98.4
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",267,235,88.0
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",219,213,97.3
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",174,170,97.7
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",36,27,75.0
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",93,81,87.1
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",139,131,94.2
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",217,210,96.8
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",387,365,94.3
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",197,176,89.3
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",179,169,94.4
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",133,"*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",282,245,86.9
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",429,417,97.2
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",176,163,92.6
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",187,162,86.6
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",394,364,92.4
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",356,343,96.3
"Somers School District","=""1290011""","Somers High School","=""1296111""",143,138,96.5
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",415,388,93.5
"Southington School District","=""1310011""","Southington High School","=""1316211""",537,509,94.8
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",135,116,85.9
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",52,30,57.7
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",443,390,88.0
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",141,134,95.0
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",595,526,88.4
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",208,199,95.7
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",326,294,90.2
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",242,219,90.5
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",214,208,97.2
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",28,"*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",70,60,85.7
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",102,96,94.1
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",94,84,89.4
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",221,208,94.1
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",280,228,81.4
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",501,496,99.0
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",287,243,84.7
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",298,268,89.9
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",254,228,89.8
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",415,272,65.5
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",361,267,74.0
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",114,"*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",344,223,64.8
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",269,250,92.9
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",245,221,90.2
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",409,373,91.2
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",402,390,97.0
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",452,327,72.3
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",75,71,94.7
"Weston School District","=""1570011""","Weston High School","=""1576111""",192,192,100.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",463,458,98.9
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",302,282,93.4
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",303,"*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",250,173,69.2
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",131,117,89.3
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",347,306,88.2
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",225,213,94.7
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",299,284,95.0

