"Five-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,,
"Enfield School District","Enfield High School",85.2,88.6,85.7,84.7
"Enfield School District","Enrico Fermi High School",88.4,90.1,94.9,92.7
"Explorations District","Explorations",70.0,58.6,70.0,80.8
"Fairfield School District","Fairfield Ludlowe High School",96.9,97.4,96.1,96.4
"Fairfield School District","Fairfield Warde High School",96.3,95.6,93.6,96.9
"Farmington School District","Farmington High School",96.1,97.0,98.4,98.2
"Glastonbury School District","Glastonbury High School",98.3,98.2,98.3,99.3
"Granby School District","Granby Memorial High School",97.9,98.9,98.4,97.0
"Greenwich School District","Greenwich High School",97.3,95.6,97.1,98.3
"Griswold School District","Griswold High School",83.8,88.5,91.0,88.6
"Groton School District","Robert E. Fitch High School",82.9,84.1,84.6,86.3
"Guilford School District","Guilford High School",96.6,99.3,95.3,95.7
"Hamden School District","Hamden High School",88.4,90.9,90.7,95.0
"Hartford School District","Bulkeley High School Upper School",80.2,76.9,76.7,80.7
"Hartford School District","Capital Preparatory Magnet School",90.3,97.0,100.0,96.3
"Hartford School District","Classical Magnet School",96.6,98.8,98.9,98.8
"Hartford School District","Culinary Arts Academy",68.4,63.0,68.0,67.4
"Hartford School District","Great Path Academy High School at MCC","N/A","N/A",95.6,98.1
"Hartford School District","HPHS Academy of Engineering and Green Technology",78.6,76.7,68.1,68.7
"Hartford School District","HPHS Academy of Nursing and Health Science",76.9,75.2,72.5,73.8
"Hartford School District","HPHS Law and Government Academy",68.6,63.4,83.7,78.8
"Hartford School District","High School Inc.","N/A","N/A",76.2,69.4
"Hartford School District","Journalism and Media Academy Magnet School","N/A","N/A",69.5,78.9
"Hartford School District","OPPortunity High School",44.4,55.6,70.2,54.8
"Hartford School District","Pathways Academy of Technology and Design",84.7,95.2,94.4,97.2
"Hartford School District","Sports and Medical Sciences Academy",93.4,95.3,93.2,96.0
"Hartford School District","University High of Science and Engineering",97.2,91.8,97.9,93.8
"Killingly School District","Killingly High School",74.1,84.2,79.9,85.2
"Learn","Connecticut River Academy","N/A","N/A",96.6,93.8
"Learn","Marine Science Magnet High School of Southeastern Connecticut","N/A","N/A","*",95.8
"Learn","Three Rivers Middle College Magnet School","N/A","N/A","*",96.9
"Lebanon School District","Lyman Memorial High School",94.3,93.5,94.1,96.1
"Ledyard School District","Ledyard High School",92.1,94.1,93.3,97.4
"Lisbon School District","Community Connection - The Big Picture High School","*","*","*","N/A"
"Litchfield School District","Litchfield High School",95.7,99.0,98.8,97.0
"Madison School District","Daniel Hand High School",97.5,99.1,99.7,98.7
"Manchester School District","Manchester High School",77.5,82.0,84.6,90.1
"Meriden School District","Francis T. Maloney High School",77.6,74.1,78.2,80.9
"Meriden School District","Orville H. Platt High School",73.2,74.2,73.0,82.4
"Middletown School District","Middletown High School",80.4,85.1,87.1,91.6
"Milford School District","Jonathan Law High School",87.5,87.5,87.0,94.1
"Milford School District","Joseph A. Foran High School",94.7,94.7,93.5,97.5
"Monroe School District","Masuk High School",98.1,99.4,98.7,98.6
"Montville School District","Montville High School",88.1,89.0,90.3,91.8
"Naugatuck School District","Naugatuck High School",84.8,86.9,82.2,84.2
"New Britain School District","New Britain High School",59.8,70.2,69.3,74.8
"New Canaan School District","New Canaan High School",98.4,99.7,97.9,99.0
"New Fairfield School District","New Fairfield High School",94.1,98.3,96.9,97.9
"New Haven School District","Cooperative High School",84.4,93.3,91.3,95.1
"New Haven School District","High School In The Community",64.9,58.9,62.5,55.9
"New Haven School District","Hill Regional Career High School",88.2,91.6,93.5,90.6
"New Haven School District","Hyde School of Health, Science and Sports Medicine",85.0,83.0,82.9,94.4
"New Haven School District","James Hillhouse High School",58.3,61.1,62.8,74.4
"New Haven School District","Metropolitan Business Academy",87.9,93.0,83.2,91.3
"New Haven School District","New Haven Academy",74.2,80.0,73.3,89.2
"New Haven School District","Sound School",93.4,92.9,94.9,94.0
"New Haven School District","Wilbur Cross High School",61.5,70.7,70.4,69.5
"New London School District","New London High School",69.2,70.9,68.7,78.6
"New Milford School District","New Milford High School",88.8,93.7,91.3,93.3
"Newington School District","Newington High School",89.7,92.4,92.0,94.8
"Newtown School District","Newtown High School",96.4,96.3,96.4,97.9
"North Branford School District","North Branford High School",94.4,93.6,97.0,92.5
"North Haven School District","North Haven High School",88.5,96.1,91.8,92.0
"North Stonington School District","Wheeler High School",91.0,88.9,95.8,96.4
"Norwalk School District","Brien McMahon High School",91.2,90.6,89.6,87.8
"Norwalk School District","Norwalk High School",89.2,87.7,90.8,92.0
"Norwalk School District","Norwalk Pathways Academy at Briggs",48.4,43.3,33.3,23.3
"Norwich Free Academy District","Norwich Free Academy",84.0,87.7,86.6,89.0
"Norwich School District","Thames River Academy","*","*","N/A","N/A"
"Old Saybrook School District","Old Saybrook Senior High School",95.0,97.9,95.6,94.7
"Oxford School District","Oxford High School",96.8,91.8,98.0,97.1
"Plainfield School District","Plainfield High School",90.3,89.9,87.9,88.8
"Plainville School District","Plainville High School",90.9,94.1,91.6,93.0
"Plymouth School District","Terryville High School",96.3,91.0,90.1,92.9
"Portland School District","Portland High School",84.5,93.3,88.0,95.5
"Putnam School District","Putnam High School",87.5,90.9,91.3,90.8
"Regional School District 01","Housatonic Valley Regional High School",86.1,96.3,92.6,93.3
"Regional School District 04","Valley Regional High School",89.9,93.1,95.7,97.8
"Regional School District 05","Amity Regional High School",94.3,97.5,96.7,98.3
"Regional School District 06","Wamogo Regional High School",89.3,95.3,95.9,93.5
"Regional School District 07","Northwestern Regional High School",98.4,98.3,98.9,98.4
"Regional School District 08","RHAM High School",88.0,95.5,95.2,96.6
"Regional School District 08","Region Alternative High School","N/A","N/A",58.3,"N/A"
"Regional School District 09","Joel Barlow High School",97.3,98.3,97.0,98.4
"Regional School District 10","Lewis S. Mills High School",97.7,97.8,94.9,96.2
"Regional School District 11","Parish Hill High School",75.0,97.6,92.3,97.4
"Regional School District 12","Shepaug Valley High School",87.1,86.3,92.9,"N/A"
"Regional School District 12","Shepaug Valley School","N/A","N/A","N/A",100.0
"Regional School District 13","Coginchaug Regional High School",94.2,97.9,97.9,97.7
"Regional School District 14","Nonnewaug High School",96.8,98.5,94.4,98.1
"Regional School District 15","Pomperaug Regional High School",94.3,96.0,97.2,98.5
"Regional School District 16","Woodland Regional High School",89.3,95.8,92.4,97.2
"Regional School District 17","Haddam-Killingworth High School",94.4,94.7,97.5,99.3
"Regional School District 18","Lyme-Old Lyme High School",98.5,98.1,96.4,98.1
"Regional School District 19","E. O. Smith High School",86.9,91.6,92.7,97.9
"Ridgefield School District","Ridgefield High School",97.2,99.3,98.8,98.2
"Rocky Hill School District","Rocky Hill High School",92.6,94.2,93.8,93.9
"Seymour School District","Seymour High School",86.6,91.3,89.3,90.3
"Shelton School District","Shelton High School",92.4,94.1,92.6,94.8
"Simsbury School District","Simsbury High School",96.3,99.0,98.7,97.7
"Somers School District","Somers High School",96.5,97.8,97.3,97.7
"South Windsor School District","South Windsor High School",93.5,97.9,96.8,98.5
"Southington School District","Southington High School",94.8,95.5,95.1,96.6
"Stafford School District","Stafford High School",85.9,89.9,90.6,95.7
"Stamford Academy District","Stamford Academy",57.7,63.6,44.4,40.0
"Stamford School District","Stamford High School",88.0,89.2,90.8,93.0
"Stamford School District","The Academy of Information Technology",95.0,98.8,99.4,99.4
"Stamford School District","Westhill High School",88.4,87.9,90.4,92.4
"Stonington School District","Stonington High School",95.7,95.5,97.0,97.1
"Stratford School District","Bunnell High School",90.2,90.3,94.7,98.2
"Stratford School District","Stratford High School",90.5,92.4,93.7,93.7
"Suffield School District","Suffield High School",97.2,93.1,95.4,95.8
"The Bridge Academy District","The Bridge Academy",96.4,80.5,94.3,94.1
"The Gilbert School District","The Gilbert School",85.7,94.4,83.3,92.9
"Thomaston School District","Thomaston High School",94.1,93.3,97.4,94.3
"Thompson School District","Tourtellotte Memorial High School",89.4,89.9,92.8,92.8
"Tolland School District","Tolland High School",94.1,98.2,94.6,93.7
"Torrington School District","Torrington High School",81.4,83.3,90.6,90.6
"Trumbull School District","Trumbull High School",99.0,98.7,98.9,97.1
"Vernon School District","Rockville High School",84.7,86.8,85.8,87.5
"Wallingford School District","Lyman Hall High School",89.9,94.0,93.7,92.4
"Wallingford School District","Mark T. Sheehan High School",89.8,95.0,95.3,96.0
"Waterbury School District","Crosby High School",65.5,63.4,67.0,75.5
"Waterbury School District","John F. Kennedy High School",74.0,69.7,70.0,69.9
"Waterbury School District","Waterbury Arts Magnet School (High)",98.2,95.3,90.5,97.5
"Waterbury School District","Wilby High School",64.8,68.5,76.2,70.8
"Waterford School District","Waterford High School",92.9,93.7,94.5,94.9
"Watertown School District","Watertown High School",90.2,93.1,89.3,94.3
"West Hartford School District","Conard High School",91.2,96.2,95.5,96.8
"West Hartford School District","Hall High School",97.0,95.9,97.4,97.8
"West Haven School District","West Haven High School",72.3,76.2,72.1,79.9
"Westbrook School District","Westbrook High School",94.7,95.1,96.1,98.6
"Weston School District","Weston High School",100.0,100.0,99.5,98.9
"Westport School District","Staples High School",98.9,98.6,100.0,99.3
"Wethersfield School District","Wethersfield High School",93.4,93.1,93.2,95.0
"Wilton School District","Wilton High School",99.7,99.7,98.7,99.7
"Windham School District","Windham High School",69.2,77.7,82.0,81.9
"Windsor Locks School District","Windsor Locks High School",89.3,93.2,93.4,99.2
"Windsor School District","Windsor High School",88.2,90.5,91.0,95.1
"Wolcott School District","Wolcott High School",94.7,95.0,94.5,96.3
"Woodstock Academy District","Woodstock Academy",95.0,95.8,97.1,98.2

