"Incident Counts, 2012-13"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Cooperative Educational Services","=""2430014""","*","*",19,"*",36,12,"*","*","*",24
"Coventry School District","=""0320011""","*","*",10,"*",23,12,0,"*",22,88
"Cromwell School District","=""0330011""",0,"*",28,"*",0,60,"*","*","*",294
"Danbury School District","=""0340011""",19,8,53,41,70,115,11,10,41,2463
"Darien School District","=""0350011""",0,0,"*","*","*","*",10,"*","*",13
"Deep River School District","=""0360011""",0,0,"*",0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""","*","*",31,14,83,55,6,"*","*",303
"East Granby School District","=""0400011""",0,"*",8,0,7,"*","*","*","*",21
"East Hampton School District","=""0420011""","*","*",30,"*",12,19,"*","*","*",28
"East Hartford School District","=""0430011""",9,116,276,102,763,258,42,22,24,2465
"East Haven School District","=""0440011""","*",15,50,"*",35,51,9,11,30,487
"East Lyme School District","=""0450011""",0,6,18,"*",7,40,"*","*",22,52
"East Windsor School District","=""0470011""","*","*",27,9,20,97,9,"*","*",206
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*",11,"*",9,6,"*",0,7,42
"Eastford School District","=""0390011""",0,"*","*",0,"*",0,0,0,0,"*"
"Easton School District","=""0460011""",0,0,"*",0,"*",0,"*","*",0,0
"Education Connection","=""2420014""",0,0,12,0,21,108,"*","*","*","*"
"Ellington School District","=""0480011""","*","*",20,"*",23,15,"*","*",21,204
"Elm City College Preparatory School District","=""2890013""",0,0,14,"*",24,"*","*","*","*",587
"Enfield School District","=""0490011""","*",7,43,20,105,70,12,"*",52,1002
"Essex School District","=""0500011""",0,"*","*",0,0,0,0,"*",0,0
"Explorations District","=""2720013""",0,0,0,0,0,0,"*",0,7,27
"Fairfield School District","=""0510011""","*",9,35,32,58,22,20,"*",44,217
"Farmington School District","=""0520011""",0,0,8,"*",11,27,0,"*",16,36
"Franklin School District","=""0530011""",0,0,"*",0,0,0,0,0,0,0
"Glastonbury School District","=""0540011""",0,"*",26,10,11,15,"*","*",27,81
"Granby School District","=""0560011""",0,0,11,0,29,"*","*","*",6,30
"Greenwich School District","=""0570011""","*",0,28,12,27,44,8,15,79,116
"Griswold School District","=""0580011""","*",6,23,"*",39,13,0,"*",10,317
"Groton School District","=""0590011""","*",8,68,13,135,43,7,17,26,473
"Guilford School District","=""0600011""",0,8,8,"*",27,9,0,6,9,115
"Hamden School District","=""0620011""",8,10,88,27,229,114,10,16,13,1136
"Hartford School District","=""0640011""",68,116,930,161,1043,2561,173,122,102,5833
"Hartland School District","=""0650011""",0,0,"*",0,0,"*",0,0,0,0
"Hebron School District","=""0670011""",0,0,"*",0,"*",0,0,"*",0,0
"Highville Charter School District","=""2860013""",0,"*","*",0,0,"*",0,0,0,"*"
"Integrated Day Charter School District","=""2640013""",0,0,"*",0,"*",9,0,0,0,"*"
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",12,"*","*",15,"*",0,0,22
"Jumoke Academy District","=""2610013""",0,0,8,"*","*",20,0,0,0,49
"Killingly School District","=""0690011""","*",12,53,19,149,12,15,6,46,569
"Learn","=""2450014""",0,"*",11,"*",18,71,0,"*",7,205
"Lebanon School District","=""0710011""",0,"*","*","*",6,15,"*","*","*",33
"Ledyard School District","=""0720011""","*","*",26,8,30,26,"*",0,14,54
"Lisbon School District","=""0730011""",0,"*","*","*",0,"*",0,"*",0,15
"Litchfield School District","=""0740011""",0,"*",16,0,"*","*","*",0,7,45
"Madison School District","=""0760011""",0,0,"*","*",19,"*","*","*",50,100
"Manchester School District","=""0770011""",17,11,166,20,317,53,17,20,43,981
"Mansfield School District","=""0780011""",0,0,"*","*","*",6,0,"*","*",16
"Marlborough School District","=""0790011""",0,0,"*",0,0,"*",0,0,0,6
"Meriden School District","=""0800011""","*",27,205,44,360,23,41,26,59,2622
"Middletown School District","=""0830011""","*","*",94,26,139,179,13,17,17,538
"Milford School District","=""0840011""","*",13,57,9,45,47,7,11,38,676
"Monroe School District","=""0850011""",0,"*","*","*","*",12,"*","*",17,34
"Montville School District","=""0860011""","*","*",37,"*",26,42,"*","*",8,215
"Naugatuck School District","=""0880011""","*",11,52,19,97,111,9,12,18,436
"New Beginnings Inc., Family Academy District","=""2800013""",0,0,14,"*",30,64,"*",0,0,40
"New Britain School District","=""0890011""",23,56,323,128,1052,653,55,49,46,6148
"New Fairfield School District","=""0910011""",0,"*",28,6,33,18,"*","*",36,206
"New Hartford School District","=""0920011""",0,0,0,"*","*",0,0,0,0,7
"New Haven School District","=""0930011""",14,66,180,51,441,789,19,52,29,1121
"New London School District","=""0950011""",12,9,123,29,310,188,15,"*",9,1134
"New Milford School District","=""0960011""",0,17,34,15,20,34,16,"*",28,833
"Newington School District","=""0940011""","*","*",40,17,30,54,10,"*",6,573
"Newtown School District","=""0970011""","*","*",20,"*",24,34,"*","*",26,77
"North Branford School District","=""0990011""","*","*",31,"*",30,23,"*",0,17,392
"North Canaan School District","=""1000011""","*","*","*","*",0,17,0,0,0,"*"
"North Haven School District","=""1010011""",0,"*",20,7,28,12,"*",0,11,206
"North Stonington School District","=""1020011""",0,"*","*","*",0,"*",0,"*",6,19
"Norwalk School District","=""1030011""",100,23,133,59,129,165,8,38,95,1112
"Norwich Free Academy District","=""9010022""",0,"*",56,22,25,20,0,"*",44,831
"Norwich School District","=""1040011""","*",9,72,26,59,186,8,21,7,360
"Odyssey Community School District","=""2630013""","*","*",0,0,"*","*",0,0,0,"*"
"Old Saybrook School District","=""1060011""",0,0,19,"*",19,10,"*","*",7,94
"Orange School District","=""1070011""",0,0,0,"*",0,"*",0,0,0,7
"Oxford School District","=""1080011""","*","*",12,0,"*",11,"*","*",6,30
"Park City Prep Charter School District","=""2830013""",0,0,"*","*",22,11,0,0,0,7
"Plainfield School District","=""1090011""","*",10,59,13,47,21,12,8,26,343
"Plainville School District","=""1100011""","*","*",15,6,11,29,"*","*","*",185
"Plymouth School District","=""1110011""","*","*",7,"*",23,9,"*","*",16,68
"Pomfret School District","=""1120011""","*",0,"*","*","*",0,0,"*",0,"*"
"Portland School District","=""1130011""",0,"*",8,0,7,10,"*","*","*",50
"Preston School District","=""1140011""",0,0,"*",0,0,8,0,0,0,9
"Putnam School District","=""1160011""",6,"*",35,12,49,91,9,"*","*",203
"Redding School District","=""1170011""","*",0,7,0,15,11,0,"*",0,10
"Regional School District 01","=""2010012""",0,0,"*","*",0,15,0,0,"*",77
"Regional School District 04","=""2040012""",0,"*",7,"*",6,"*",6,0,10,68
"Regional School District 05","=""2050012""",0,"*","*","*",10,6,"*",0,20,64
"Regional School District 06","=""2060012""","*",6,14,"*",22,9,9,"*",8,43
"Regional School District 07","=""2070012""",0,"*",6,"*",13,14,"*","*",13,28
"Regional School District 08","=""2080012""","*",9,28,15,6,16,"*","*",12,162
"Regional School District 09","=""2090012""","*","*","*",0,"*","*",0,"*",7,"*"
"Regional School District 10","=""2100012""","*",0,16,8,33,8,"*","*","*",82
"Regional School District 11","=""2110012""",0,"*",9,0,"*","*",0,"*","*",43
"Regional School District 12","=""2120012""",0,"*",6,"*","*",0,"*",0,11,18
"Regional School District 13","=""2130012""","*","*",10,"*","*","*","*","*","*",22
"Regional School District 14","=""2140012""",0,"*",8,0,7,9,"*","*","*",48
"Regional School District 15","=""2150012""","*","*","*","*",8,16,0,"*",7,208
"Regional School District 16","=""2160012""","*","*",20,"*",6,13,0,"*",28,125
"Regional School District 17","=""2170012""","*","*",26,"*",67,11,10,"*",18,57
"Regional School District 18","=""2180012""",0,"*","*",0,"*","*",0,"*","*",14
"Regional School District 19","=""2190012""",0,"*",12,14,"*",16,"*",6,22,60
"Ridgefield School District","=""1180011""","*",0,16,"*",36,9,"*","*",13,51
"Rocky Hill School District","=""1190011""","*",0,9,6,7,16,"*",0,12,105
"Salem School District","=""1210011""",0,0,"*",0,0,"*",0,"*",0,6
"Salisbury School District","=""1220011""",0,0,"*","*","*","*",0,0,0,0
"Scotland School District","=""1230011""",0,0,0,0,0,"*",0,0,0,"*"
"Seymour School District","=""1240011""","*",17,39,13,8,63,6,"*",14,203
"Sharon School District","=""1250011""",0,0,0,0,0,"*",0,0,0,"*"
"Shelton School District","=""1260011""","*",9,49,10,48,36,13,"*",66,577
"Sherman School District","=""1270011""",0,0,0,0,0,0,0,0,0,"*"
"Side By Side Charter School District","=""2700013""",0,0,"*","*","*","*",0,"*",0,"*"
"Simsbury School District","=""1280011""","*","*",9,"*",12,18,"*","*",9,125
"Somers School District","=""1290011""",0,"*",7,0,12,12,"*",0,13,147
"South Windsor School District","=""1320011""","*","*",57,18,63,23,10,0,34,191
"Southington School District","=""1310011""",0,6,30,18,49,54,7,7,36,257
"Sprague School District","=""1330011""",0,"*",13,"*",76,"*",6,0,0,19
"Stafford School District","=""1340011""","*","*",20,6,7,21,"*","*",12,216
"Stamford Academy District","=""2820013""",0,0,"*","*",15,"*","*","*",8,28
"Stamford School District","=""1350011""","*",11,37,14,78,134,8,28,64,281
"Sterling School District","=""1360011""",0,0,6,"*",14,"*","*",0,0,29
"Stonington School District","=""1370011""",0,"*",9,"*",27,28,0,"*",13,270
"Stratford School District","=""1380011""",6,21,94,14,124,175,10,17,13,800
"Suffield School District","=""1390011""","*","*",12,"*",11,19,"*","*",10,133
"The Bridge Academy District","=""2690013""","*","*",20,"*",31,32,"*","*","*",51
"The Gilbert School District","=""9020022""",0,0,43,"*",27,0,"*","*",7,229
"Thomaston School District","=""1400011""","*","*",11,0,18,9,0,0,11,80
"Thompson School District","=""1410011""",0,"*",14,"*",14,11,6,10,"*",124
"Tolland School District","=""1420011""","*","*",29,"*",16,19,"*","*",21,162
"Torrington School District","=""1430011""","*",24,120,27,235,101,21,"*",13,565
"Trailblazers Academy District","=""2780013""",0,0,8,0,"*","*",0,"*",0,"*"
"Trumbull School District","=""1440011""",0,"*",15,6,8,37,"*",7,22,105
"Unified School District #2","=""3470015""","*",0,12,"*","*",61,"*",0,0,23
"Vernon School District","=""1460011""",8,6,65,26,76,87,10,"*",31,1038
"Voluntown School District","=""1470011""",0,0,"*",0,"*",0,0,0,0,0
"Wallingford School District","=""1480011""","*",28,76,19,46,126,"*","*",21,592
"Waterbury School District","=""1510011""",22,47,430,82,1072,1314,94,73,75,10001
"Waterford School District","=""1520011""","*","*",17,6,26,20,6,"*",18,217
"Watertown School District","=""1530011""","*","*",90,13,48,39,6,7,8,536
"West Hartford School District","=""1550011""","*",10,84,23,66,62,10,6,29,393
"West Haven School District","=""1560011""","*",12,36,9,106,101,9,20,31,1294
"Westbrook School District","=""1540011""",0,"*","*","*","*",11,"*","*",14,64
"Weston School District","=""1570011""",0,"*",17,"*",0,"*",0,"*",7,37
"Westport School District","=""1580011""",0,"*","*","*","*",7,0,0,"*",34
"Wethersfield School District","=""1590011""",0,"*",16,14,19,15,"*","*",6,214
"Willington School District","=""1600011""","*","*","*","*",6,"*",0,"*",0,11
"Wilton School District","=""1610011""",0,0,8,0,"*","*",6,"*",15,16
"Winchester School District","=""1620011""","*",0,20,"*",18,"*",0,0,0,29
"Windham School District","=""1630011""","*",27,276,33,249,429,85,10,23,1382
"Windsor Locks School District","=""1650011""","*",14,32,"*",41,47,"*","*",8,174
"Windsor School District","=""1640011""","*","*",54,21,108,138,"*",15,21,653
"Wolcott School District","=""1660011""","*",0,25,"*",19,11,"*","*",6,168
"Woodbridge School District","=""1670011""",0,0,0,0,0,"*",0,0,0,"*"
"Woodstock Academy District","=""9030022""",0,0,"*","*","*",7,0,"*",10,81
"Woodstock School District","=""1690011""",0,"*","*",0,"*","*",0,0,0,17

