"Incident Counts, 2011-12"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Salem School District","=""1210011""",0,"*","*","*","*","*",0,0,0,12
"Salisbury School District","=""1220011""",0,0,6,0,0,"*",0,0,0,"*"
"Scotland School District","=""1230011""",0,"*","*",0,"*","*",0,0,0,0
"Seymour School District","=""1240011""","*",9,28,6,13,40,"*",8,22,365
"Sharon School District","=""1250011""",0,0,0,0,0,"*","*",0,0,"*"
"Shelton School District","=""1260011""","*",8,41,8,63,18,"*",10,65,589
"Sherman School District","=""1270011""",0,0,0,0,0,0,0,0,0,10
"Side By Side Charter School District","=""2700013""",0,0,"*",0,"*","*",0,0,0,"*"
"Simsbury School District","=""1280011""","*",0,9,8,9,24,"*","*",30,263
"Somers School District","=""1290011""","*","*",20,"*",17,10,6,0,9,165
"South Windsor School District","=""1320011""","*",7,34,6,17,17,"*","*",13,202
"Southington School District","=""1310011""","*","*",62,24,45,64,10,11,38,269
"Sprague School District","=""1330011""","*","*",27,0,76,"*",0,0,0,35
"Stafford School District","=""1340011""","*","*",13,7,"*",18,6,"*",19,331
"Stamford Academy District","=""2820013""",0,0,0,0,"*","*",0,0,0,0
"Stamford School District","=""1350011""",20,9,57,19,149,190,8,29,95,290
"Sterling School District","=""1360011""","*","*","*","*",8,23,"*",0,0,28
"Stonington School District","=""1370011""","*","*",27,"*",42,39,"*",8,6,323
"Stratford School District","=""1380011""",13,26,89,22,150,117,8,11,29,554
"Suffield School District","=""1390011""","*","*",35,"*",16,18,"*","*","*",262
"The Bridge Academy District","=""2690013""",0,"*",15,0,18,47,0,"*","*",68
"The Gilbert School District","=""9020022""",0,0,24,"*",15,14,"*","*",10,179
"Thomaston School District","=""1400011""","*","*",22,"*",30,"*","*",0,14,81
"Thompson School District","=""1410011""",6,"*",25,"*",37,7,13,"*",6,149
"Tolland School District","=""1420011""",0,0,14,"*",12,16,"*","*",21,106
"Torrington School District","=""1430011""",7,"*",188,26,41,185,27,13,24,828
"Trailblazers Academy District","=""2780013""","*",0,0,"*","*","*",0,0,0,"*"
"Trumbull School District","=""1440011""",0,"*",16,"*",11,40,"*","*",18,97
"Unified School District #2","=""3470015""",0,"*",16,8,9,54,0,0,"*",17
"Vernon School District","=""1460011""",7,12,105,24,111,212,13,9,25,801
"Voluntown School District","=""1470011""",0,0,"*","*","*",0,0,0,0,"*"
"Wallingford School District","=""1480011""",9,14,78,16,29,92,7,"*",26,725
"Waterbury School District","=""1510011""",31,63,468,82,1173,1079,92,62,92,10576
"Waterford School District","=""1520011""","*","*",24,7,28,18,10,"*",23,178
"Watertown School District","=""1530011""","*","*",44,12,37,58,14,8,23,645
"West Hartford School District","=""1550011""","*",14,107,27,61,75,10,7,29,576
"West Haven School District","=""1560011""",6,16,54,18,216,104,10,15,70,1322
"Westbrook School District","=""1540011""",0,"*",8,0,"*",7,"*",0,39,239
"Weston School District","=""1570011""",0,0,"*","*","*","*",0,"*","*",20
"Westport School District","=""1580011""","*",0,17,15,"*",15,"*",6,9,53
"Wethersfield School District","=""1590011""","*","*",31,14,13,18,"*",6,13,132
"Willington School District","=""1600011""",0,0,8,"*","*",7,0,0,"*",7
"Wilton School District","=""1610011""",0,0,"*","*","*",9,"*","*",20,21
"Winchester School District","=""1620011""",0,"*",13,"*",7,6,0,0,0,23
"Windham School District","=""1630011""","*",37,549,41,159,586,78,12,21,1517
"Windsor Locks School District","=""1650011""",0,10,41,"*",33,26,"*",6,16,222
"Windsor School District","=""1640011""","*","*",104,37,97,141,12,12,25,827
"Wolcott School District","=""1660011""","*","*",34,15,37,21,7,"*",18,210
"Woodbridge School District","=""1670011""",0,0,0,"*",0,"*",0,0,0,0
"Woodstock Academy District","=""9030022""",0,"*",28,"*",0,13,"*","*",9,159
"Woodstock School District","=""1690011""",0,"*",0,0,6,"*","*",0,0,13

