"Incident Counts, 2015-16"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Cornwall School District","=""0310011""",0,0,"*",0,"*",7,0,0,0,0
"Coventry School District","=""0320011""","*","*",6,"*",17,17,"*","*",8,25
"Cromwell School District","=""0330011""","*","*",28,"*",12,53,"*","*",9,147
"Danbury School District","=""0340011""","*",11,96,12,45,163,14,11,49,1603
"Darien School District","=""0350011""",0,"*","*","*","*","*",0,"*",17,20
"Deep River School District","=""0360011""",0,0,"*",0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""","*","*",28,6,25,99,"*","*","*",139
"East Granby School District","=""0400011""",0,0,23,"*",11,"*",0,0,"*",54
"East Haddam School District","=""0410011""","*","*","*",0,"*",0,0,"*","*",13
"East Hampton School District","=""0420011""","*","*",17,"*",6,26,"*",0,"*",52
"East Hartford School District","=""0430011""",7,17,266,85,897,122,78,11,36,1891
"East Haven School District","=""0440011""",9,7,68,6,37,65,26,"*",12,406
"East Lyme School District","=""0450011""",0,"*",14,"*",8,43,"*","*",24,77
"East Windsor School District","=""0470011""",0,7,25,7,28,62,9,"*","*",116
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,0,7,"*","*",44,"*","*",12,29
"Eastford School District","=""0390011""",0,0,"*",0,0,"*",0,"*",0,"*"
"Easton School District","=""0460011""",0,0,"*",0,6,"*","*",0,0,"*"
"Education Connection","=""2420014""","*",0,7,0,13,15,"*",0,"*",20
"Ellington School District","=""0480011""",0,"*",36,"*",43,27,8,"*",10,134
"Elm City College Preparatory School District","=""2890013""",0,"*",6,"*",59,40,"*",0,9,247
"Enfield School District","=""0490011""",0,9,32,10,79,77,"*",7,52,713
"Explorations District","=""2720013""",0,0,0,0,"*",0,"*",0,10,14
"Fairfield School District","=""0510011""",0,9,29,18,59,18,14,"*",70,156
"Farmington School District","=""0520011""","*","*",20,"*",11,20,0,"*",8,21
"Franklin School District","=""0530011""",0,"*","*",0,"*","*",0,0,0,"*"
"Glastonbury School District","=""0540011""",0,"*",8,"*",10,14,"*",0,17,60
"Granby School District","=""0560011""",0,10,9,"*",32,14,"*","*","*",48
"Great Oaks Charter School District","=""2940013""",0,0,18,0,81,0,"*",0,0,148
"Greenwich School District","=""0570011""",0,"*",19,"*",25,26,"*",6,61,63
"Griswold School District","=""0580011""",0,0,22,"*",41,"*","*","*","*",136
"Groton School District","=""0590011""","*","*",61,6,111,43,6,"*",7,686
"Guilford School District","=""0600011""","*",11,19,"*","*",12,"*","*",8,43
"Hamden School District","=""0620011""","*","*",73,13,257,145,11,12,13,496
"Hampton School District","=""0630011""",0,0,0,"*",0,0,0,0,0,"*"
"Hartford School District","=""0640011""",52,112,509,123,937,2041,91,115,99,3996
"Hartland School District","=""0650011""",0,0,"*",0,"*",0,0,0,0,"*"
"Hebron School District","=""0670011""",0,0,"*",0,"*","*",0,"*",0,"*"
"Highville Charter School District","=""2860013""","*","*",18,"*",82,64,"*","*","*",89
"Integrated Day Charter School District","=""2640013""",0,0,"*","*","*","*",0,"*",0,9
"Interdistrict School for Arts and Comm District","=""2650013""","*",6,"*","*",7,21,0,0,0,37
"Jumoke Academy District","=""2610013""","*",0,6,"*",12,52,"*",0,0,64
"Kent School District","=""0680011""",0,0,0,0,0,0,0,0,0,"*"
"Killingly School District","=""0690011""","*",19,27,"*",55,14,"*","*",12,292
"Learn","=""2450014""","*","*",23,"*",31,79,"*","*",21,102
"Lebanon School District","=""0710011""",0,"*",0,0,"*","*","*","*",8,30
"Ledyard School District","=""0720011""","*",6,27,10,26,29,"*","*",8,80
"Lisbon School District","=""0730011""",0,0,"*",0,"*","*",0,0,0,"*"
"Litchfield School District","=""0740011""","*","*",16,"*",11,8,"*","*",8,35
"Madison School District","=""0760011""","*",0,11,0,8,"*","*",0,13,45
"Manchester School District","=""0770011""",10,15,251,39,405,170,45,16,30,736
"Mansfield School District","=""0780011""",0,0,"*","*",0,0,0,"*",0,42
"Marlborough School District","=""0790011""",0,0,"*",0,"*",0,0,0,0,"*"
"Meriden School District","=""0800011""","*",9,77,26,157,60,11,19,47,874
"Middletown School District","=""0830011""",6,13,78,17,170,97,7,14,14,505
"Milford School District","=""0840011""","*",17,57,10,32,32,13,"*",29,663
"Monroe School District","=""0850011""",0,"*",12,0,12,10,0,"*",11,38
"Montville School District","=""0860011""",0,"*",31,"*",24,30,"*",0,10,79
"Naugatuck School District","=""0880011""",8,6,58,22,81,85,"*","*",28,371
"New Beginnings Inc., Family Academy District","=""2800013""",0,0,"*",0,42,64,"*",0,0,7
"New Britain School District","=""0890011""","*",27,226,77,885,577,47,43,37,2967
"New Canaan School District","=""0900011""","*",0,"*","*","*","*","*",0,17,"*"
"New Fairfield School District","=""0910011""",0,0,"*",6,17,9,0,"*",8,108
"New Hartford School District","=""0920011""",0,0,0,0,0,"*",0,0,0,"*"
"New Haven School District","=""0930011""",17,77,285,51,657,1201,21,34,38,995
"New London School District","=""0950011""","*",33,44,48,446,293,26,12,24,677
"New Milford School District","=""0960011""","*",11,47,7,35,42,9,"*",17,448
"Newington School District","=""0940011""","*","*",26,8,16,48,"*",6,20,307
"Newtown School District","=""0970011""",0,7,14,"*",23,23,"*","*",24,99
"Norfolk School District","=""0980011""",0,0,"*",0,"*",0,0,0,0,"*"
"North Branford School District","=""0990011""","*",8,21,"*",22,10,17,"*",10,157
"North Haven School District","=""1010011""",0,"*",27,"*",20,8,0,"*","*",102
"North Stonington School District","=""1020011""",0,0,14,"*",0,7,0,0,"*",20
"Norwalk School District","=""1030011""",8,12,60,35,72,130,15,15,61,703
"Norwich Free Academy District","=""9010022""",0,27,36,13,32,16,"*","*",27,443
"Norwich School District","=""1040011""","*",13,23,"*",150,103,8,13,11,265
"Odyssey Community School District","=""2630013""",0,"*","*","*","*",6,"*","*",0,"*"
"Old Saybrook School District","=""1060011""","*",0,11,"*",9,"*","*","*","*",43
"Orange School District","=""1070011""",0,0,6,0,"*",6,0,0,0,"*"
"Oxford School District","=""1080011""",0,"*","*",0,"*",11,"*","*","*",28
"Park City Prep Charter School District","=""2830013""","*","*",11,"*",13,36,"*","*",0,110
"Path Academy District","=""2930013""",0,0,"*",0,"*",0,"*",0,"*",17
"Plainfield School District","=""1090011""","*",9,38,10,81,28,18,"*",10,567
"Plainville School District","=""1100011""",0,"*",19,"*",23,36,"*","*",11,210
"Plymouth School District","=""1110011""",0,"*",11,"*",7,28,"*","*",11,118
"Pomfret School District","=""1120011""",0,"*","*","*","*",10,"*",0,0,8
"Portland School District","=""1130011""",0,0,"*","*",16,10,"*","*",6,33
"Preston School District","=""1140011""",0,0,"*","*","*","*",0,"*",0,"*"
"Putnam School District","=""1160011""","*","*",41,"*","*",54,"*","*",12,54
"Redding School District","=""1170011""",0,0,"*",0,10,17,0,0,0,"*"
"Regional School District 01","=""2010012""",0,0,0,0,0,8,"*","*",18,90
"Regional School District 04","=""2040012""",0,"*","*",0,7,6,"*",0,"*",32
"Regional School District 05","=""2050012""","*","*",10,"*",7,25,0,"*",23,79
"Regional School District 06","=""2060012""","*","*",19,"*","*",13,"*","*",6,40
"Regional School District 07","=""2070012""","*","*",11,"*",7,11,"*","*",8,50
"Regional School District 08","=""2080012""",0,"*",18,"*",9,"*","*",0,39,70
"Regional School District 09","=""2090012""",0,"*","*","*","*",9,0,0,12,12
"Regional School District 10","=""2100012""","*","*","*","*",11,15,0,"*",11,50
"Regional School District 11","=""2110012""","*","*",17,0,"*",6,0,0,0,17
"Regional School District 12","=""2120012""",0,0,"*","*","*",10,"*","*",6,19
"Regional School District 13","=""2130012""","*","*","*",0,"*",11,"*",0,9,21
"Regional School District 14","=""2140012""",0,0,"*","*",10,"*","*","*",26,26
"Regional School District 15","=""2150012""",0,"*",19,7,"*",16,"*",0,36,159
"Regional School District 16","=""2160012""",0,"*",13,"*",8,28,6,"*",29,121
"Regional School District 17","=""2170012""",0,"*",11,"*",16,10,"*","*",13,71
"Regional School District 18","=""2180012""",0,"*",9,"*",13,6,0,"*","*",18
"Regional School District 19","=""2190012""",0,"*",11,"*","*",12,0,0,"*",69
"Ridgefield School District","=""1180011""","*","*",14,7,18,14,0,"*",25,16
"Rocky Hill School District","=""1190011""",0,"*",8,"*",8,14,"*","*",0,50
"Salem School District","=""1210011""",0,0,"*",0,"*","*",0,0,0,8
"Salisbury School District","=""1220011""",0,0,"*",0,8,0,"*",0,0,0
"Scotland School District","=""1230011""",0,0,"*",0,0,"*",0,0,0,6
"Seymour School District","=""1240011""","*","*",38,6,23,49,10,"*",12,182
"Shelton School District","=""1260011""","*",6,48,8,43,13,7,"*",37,478
"Sherman School District","=""1270011""",0,0,"*",0,"*",10,0,0,0,"*"
"Side By Side Charter School District","=""2700013""",0,0,"*",0,"*",0,0,0,7,0
"Simsbury School District","=""1280011""",0,0,"*","*",35,19,0,"*",11,55
"Somers School District","=""1290011""",0,"*",15,"*",10,19,"*",0,9,98
"South Windsor School District","=""1320011""","*",6,33,"*",30,35,0,0,8,155
"Southington School District","=""1310011""","*","*",35,"*",25,63,7,7,39,210
"Sprague School District","=""1330011""","*","*",33,"*",81,43,"*",0,0,11
"Stafford School District","=""1340011""",6,"*",14,"*",6,16,"*","*",14,136
"Stamford Academy District","=""2820013""",0,"*",7,"*","*",14,0,"*","*",13
"Stamford Charter School for Excellence District","=""2960013""",0,"*",0,0,"*",0,0,0,0,"*"
"Stamford School District","=""1350011""",11,10,72,33,130,264,"*",36,62,323
"Sterling School District","=""1360011""",0,"*",11,0,"*",16,"*","*",0,19
"Stonington School District","=""1370011""",0,"*",14,"*",19,19,"*","*",6,193
"Stratford School District","=""1380011""",7,13,55,18,158,150,7,11,11,453
"Suffield School District","=""1390011""",6,"*",42,7,58,22,10,"*",8,286
"The Bridge Academy District","=""2690013""",0,"*",16,0,25,36,0,"*",0,36
"The Gilbert School District","=""9020022""",0,0,15,9,12,18,"*","*",18,169
"Thomaston School District","=""1400011""","*","*",9,0,16,26,"*",0,"*",86
"Thompson School District","=""1410011""",6,"*",19,"*",14,30,6,"*",14,100
"Tolland School District","=""1420011""","*","*",39,8,23,23,14,"*",28,71
"Torrington School District","=""1430011""","*",9,74,8,92,74,20,10,43,536
"Trailblazers Academy District","=""2780013""",0,0,6,"*",16,39,0,0,0,8
"Trumbull School District","=""1440011""",0,"*",10,0,6,15,0,"*",13,62
"Unified School District #2","=""3470015""",0,"*",10,"*",11,74,8,0,0,10
"Union School District","=""1450011""",0,0,0,0,0,0,0,0,0,"*"
"Vernon School District","=""1460011""","*",7,130,24,163,62,20,"*",27,1105
"Voluntown School District","=""1470011""",0,0,0,0,"*",0,0,0,0,"*"
"Wallingford School District","=""1480011""","*",21,45,7,51,92,"*",7,13,167
"Waterbury School District","=""1510011""",33,77,440,97,1318,1641,76,72,72,9103
"Waterford School District","=""1520011""","*","*",39,12,29,19,9,"*",9,243
"Watertown School District","=""1530011""","*","*",45,9,18,26,"*","*",9,319
"West Hartford School District","=""1550011""",9,33,111,42,98,99,10,"*",53,540
"West Haven School District","=""1560011""",6,"*",26,12,137,66,6,17,25,616
"Westbrook School District","=""1540011""",0,0,0,0,"*","*","*","*","*","*"
"Weston School District","=""1570011""",0,0,"*",0,16,7,0,0,11,31
"Westport School District","=""1580011""",0,6,20,"*",14,13,0,"*",14,40
"Wethersfield School District","=""1590011""","*","*",46,"*",40,51,"*","*","*",128
"Willington School District","=""1600011""",0,0,"*",0,"*","*",0,"*",0,"*"
"Wilton School District","=""1610011""",0,"*","*","*","*",11,"*","*","*",26
"Winchester School District","=""1620011""",0,"*","*",0,0,16,0,0,0,"*"
"Windham School District","=""1630011""",0,14,157,38,323,230,63,10,11,977
"Windsor Locks School District","=""1650011""","*","*",27,13,12,53,"*",6,17,182
"Windsor School District","=""1640011""",0,"*",44,26,148,357,"*",7,13,987
"Wolcott School District","=""1660011""","*","*",16,"*",14,23,"*",6,8,169
"Woodbridge School District","=""1670011""",0,0,"*",0,0,0,0,"*",0,0
"Woodstock Academy District","=""9030022""",0,6,7,15,0,9,"*",0,15,53
"Woodstock School District","=""1690011""",0,"*","*","*","*",6,0,0,0,"*"

