"Incident Counts, 2009-10"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Lebanon School District","=""0710011""","*","*",6,"*","*",20,"*","*",8,92
"Ledyard School District","=""0720011""","*",11,13,6,7,47,"*",7,13,91
"Lisbon School District","=""0730011""",0,0,"*",0,"*",11,0,0,0,0
"Litchfield School District","=""0740011""",0,"*",12,"*","*",7,0,"*",11,45
"Madison School District","=""0760011""","*",7,15,8,24,8,"*",0,26,112
"Manchester School District","=""0770011""",13,14,122,30,348,57,13,19,28,1173
"Mansfield School District","=""0780011""",0,"*","*","*","*",6,0,"*",0,19
"Marlborough School District","=""0790011""",0,0,"*","*",0,0,0,0,0,"*"
"Meriden School District","=""0800011""","*",26,267,79,955,29,28,49,24,3866
"Middletown School District","=""0830011""",11,13,96,30,144,166,19,17,26,999
"Milford School District","=""0840011""",6,18,42,8,40,63,"*","*",36,449
"Monroe School District","=""0850011""",0,"*","*","*",18,"*","*","*",12,88
"Montville School District","=""0860011""","*",6,44,"*",56,48,"*","*",8,418
"Naugatuck School District","=""0880011""",6,18,100,40,178,136,16,13,39,914
"New Beginnings Inc., Family Academy District","=""2800013""","*",0,7,6,42,"*","*",0,0,72
"New Britain School District","=""0890011""",24,76,472,113,897,952,93,49,80,4040
"New Canaan School District","=""0900011""",0,"*","*","*",7,"*","*",0,"*",25
"New Fairfield School District","=""0910011""","*",9,15,20,"*",26,"*","*",32,173
"New Hartford School District","=""0920011""",0,0,"*",0,0,0,0,0,0,"*"
"New Haven School District","=""0930011""","*",26,208,41,476,923,63,61,47,3250
"New London School District","=""0950011""",8,43,167,10,411,155,16,16,12,508
"New Milford School District","=""0960011""","*",13,48,22,34,94,14,"*",18,808
"Newington School District","=""0940011""","*","*",16,20,57,24,"*",6,9,391
"Newtown School District","=""0970011""","*",7,17,18,10,25,"*",6,18,143
"North Branford School District","=""0990011""","*","*",38,8,28,63,16,"*",14,368
"North Canaan School District","=""1000011""",0,0,7,"*","*","*",0,0,0,10
"North Haven School District","=""1010011""",0,"*",13,6,25,16,"*","*",12,97
"North Stonington School District","=""1020011""",6,"*",13,9,13,6,"*","*",15,45
"Norwalk School District","=""1030011""",115,45,193,62,201,240,20,40,98,1247
"Norwich Free Academy District","=""9010022""",0,"*",31,18,"*",36,"*","*",22,329
"Norwich School District","=""1040011""",6,18,78,8,59,194,6,16,7,391
"Odyssey Community School District","=""2630013""",0,"*","*","*","*","*",0,"*",0,13
"Old Saybrook School District","=""1060011""",0,"*",9,"*",13,9,"*","*",15,38
"Orange School District","=""1070011""",0,0,"*",0,"*","*","*",0,0,9
"Oxford School District","=""1080011""","*",0,6,"*","*",14,0,0,"*",35
"Park City Prep Charter School District","=""2830013""","*","*",7,15,189,44,"*",0,0,390
"Plainfield School District","=""1090011""","*",10,125,23,91,52,11,11,21,225
"Plainville School District","=""1100011""",0,7,12,"*",23,33,0,"*",6,120
"Plymouth School District","=""1110011""",6,"*",23,10,31,18,"*","*",24,264
"Pomfret School District","=""1120011""",0,0,"*","*",0,"*","*","*",0,"*"
"Portland School District","=""1130011""",0,"*",6,"*","*",23,"*","*",0,56
"Preston School District","=""1140011""",0,7,"*",0,"*",10,0,0,0,"*"
"Putnam School District","=""1160011""","*",15,45,10,146,24,21,0,6,262
"Redding School District","=""1170011""",0,0,6,0,"*",19,0,0,0,10
"Regional School District 01","=""2010012""","*","*","*",0,0,"*",0,"*",12,48
"Regional School District 04","=""2040012""","*",6,9,6,7,22,9,"*",13,125
"Regional School District 05","=""2050012""","*","*",9,"*",14,25,"*","*",188,308
"Regional School District 06","=""2060012""","*","*",18,"*",16,6,"*","*","*",66
"Regional School District 07","=""2070012""","*","*",12,"*",11,15,"*","*",10,29
"Regional School District 08","=""2080012""","*",11,31,9,22,13,7,6,13,176
"Regional School District 09","=""2090012""","*","*","*",0,11,7,0,"*",15,6
"Regional School District 10","=""2100012""","*","*",14,18,23,7,0,"*",10,271
"Regional School District 11","=""2110012""",0,0,"*",0,7,"*",0,0,10,86
"Regional School District 12","=""2120012""","*","*",9,"*",7,7,"*",0,11,178
"Regional School District 13","=""2130012""",0,0,18,"*",7,"*","*",0,"*",21
"Regional School District 14","=""2140012""","*","*","*","*",32,"*",0,"*",19,89
"Regional School District 15","=""2150012""",0,"*",6,7,10,10,"*","*",32,146
"Regional School District 16","=""2160012""","*",0,29,"*",52,15,7,"*",14,206
"Regional School District 17","=""2170012""","*",11,34,"*",127,10,11,0,16,78
"Regional School District 18","=""2180012""",0,"*","*","*",0,"*",0,0,"*",35
"Regional School District 19","=""2190012""",0,0,10,13,"*",14,"*",6,29,104
"Ridgefield School District","=""1180011""","*","*",21,10,10,"*","*","*",27,20
"Rocky Hill School District","=""1190011""","*",0,21,6,30,62,"*","*",9,165
"Salem School District","=""1210011""",0,0,"*","*","*",0,0,0,0,"*"
"Salisbury School District","=""1220011""",0,0,0,0,0,0,0,0,0,7
"Scotland School District","=""1230011""","*",0,0,0,"*","*",0,0,0,0
"Seymour School District","=""1240011""","*",16,43,13,30,42,"*",7,27,528
"Sharon School District","=""1250011""",0,0,0,0,"*",0,0,0,0,"*"
"Shelton School District","=""1260011""",0,8,42,12,88,20,"*","*",49,553
"Sherman School District","=""1270011""",0,0,0,"*",0,"*",0,0,0,9
"Side By Side Charter School District","=""2700013""",0,0,"*","*",9,"*",0,0,0,"*"
"Simsbury School District","=""1280011""","*","*",10,"*",18,28,"*","*",15,191
"Somers School District","=""1290011""","*","*",13,6,"*",14,"*",0,11,111
"South Windsor School District","=""1320011""","*","*",89,8,99,22,6,"*",91,181
"Southington School District","=""1310011""",7,13,60,29,68,60,11,12,77,324
"Sprague School District","=""1330011""",0,"*",13,"*",9,"*","*",0,0,16
"Stafford School District","=""1340011""","*",0,39,"*",33,23,"*","*",38,667
"Stamford School District","=""1350011""","*",10,56,42,107,207,14,41,67,289
"Sterling School District","=""1360011""",0,"*",11,0,"*",27,0,"*",0,18
"Stonington School District","=""1370011""",0,"*",17,10,25,20,"*","*",26,133
"Stratford School District","=""1380011""",9,28,122,19,152,193,10,31,28,683
"Suffield School District","=""1390011""",0,"*",15,"*","*",16,9,"*",11,397
"The Bridge Academy District","=""2690013""","*","*",27,"*",14,43,"*",0,"*",150
"The Gilbert School District","=""9020022""","*","*",18,"*",9,0,0,"*",16,127
"Thomaston School District","=""1400011""","*","*",19,"*",8,26,0,0,"*",167
"Thompson School District","=""1410011""","*",7,18,"*",28,16,"*","*",12,80
"Tolland School District","=""1420011""",0,"*",36,13,73,34,"*","*",34,132
"Torrington School District","=""1430011""","*",10,46,23,61,114,7,12,26,662
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,"*",0,0,0,0
"Trumbull School District","=""1440011""","*","*",15,12,29,45,6,9,"*",78
"Unified School District #2","=""3470015""",0,"*",22,"*",43,30,"*",0,0,28
"Vernon School District","=""1460011""","*",16,52,12,107,84,7,11,19,686
"Voluntown School District","=""1470011""",0,"*",9,0,"*","*",0,0,0,6
"Wallingford School District","=""1480011""","*",12,50,13,51,63,7,8,34,829
"Waterbury School District","=""1510011""",24,51,387,87,1190,860,95,71,64,12264
"Waterford School District","=""1520011""","*","*",21,9,33,33,9,"*",23,337
"Watertown School District","=""1530011""","*","*",37,"*",24,72,"*",12,25,614
"West Hartford School District","=""1550011""","*",11,77,39,113,46,26,9,62,1000
"West Haven School District","=""1560011""",14,7,59,20,140,258,17,12,58,1923
"Westbrook School District","=""1540011""",0,0,12,0,"*",12,"*",0,"*",136
"Weston School District","=""1570011""",0,0,"*",0,13,6,"*",0,"*",22
"Westport School District","=""1580011""","*","*",25,15,14,16,"*","*",26,77
"Wethersfield School District","=""1590011""","*","*",29,14,34,28,"*","*",10,129
"Willington School District","=""1600011""",0,0,"*","*","*",12,"*","*",0,7
"Wilton School District","=""1610011""","*","*",9,"*",10,14,0,0,7,25
"Winchester School District","=""1620011""",0,"*",6,"*",8,17,"*","*",0,69
"Windham School District","=""1630011""",11,25,362,43,275,603,109,28,24,1485
"Windsor Locks School District","=""1650011""","*","*",29,8,26,35,6,6,9,328
"Windsor School District","=""1640011""",0,"*",68,18,148,134,6,14,13,950
"Wolcott School District","=""1660011""",0,"*",33,15,25,16,"*","*",24,198
"Woodbridge School District","=""1670011""",0,0,"*",0,"*","*",0,0,0,"*"
"Woodstock Academy District","=""9030022""","*","*",14,"*","*",17,0,0,6,125
"Woodstock School District","=""1690011""",0,"*",7,0,6,9,0,0,0,6

