"Incident Counts, 2010-11"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Fairfield School District","=""0510011""","*",15,63,24,40,61,14,"*",33,207
"Farmington School District","=""0520011""","*","*",12,6,18,35,"*","*",15,83
"Glastonbury School District","=""0540011""","*",6,15,9,10,19,"*","*",44,72
"Granby School District","=""0560011""","*","*",11,6,"*",9,"*",0,17,46
"Greenwich School District","=""0570011""","*","*",26,15,34,50,"*",10,126,218
"Griswold School District","=""0580011""",0,0,24,11,36,20,8,"*",16,495
"Groton School District","=""0590011""","*","*",86,25,99,81,10,11,41,509
"Guilford School District","=""0600011""","*","*",18,6,17,20,"*","*",10,107
"Hamden School District","=""0620011""",0,14,81,19,249,140,17,"*",25,1526
"Hampton School District","=""0630011""",0,0,"*",0,0,"*","*",0,0,"*"
"Hartford School District","=""0640011""",65,91,591,102,712,2122,178,84,97,5682
"Hebron School District","=""0670011""",0,0,"*",0,"*","*",0,0,0,0
"Integrated Day Charter School District","=""2640013""",0,0,"*",0,"*","*",0,"*",0,6
"Interdistrict School for Arts and Comm District","=""2650013""",0,6,"*",0,6,9,0,"*",0,13
"Jumoke Academy District","=""2610013""","*",0,"*","*",34,"*",0,"*",0,6
"Killingly School District","=""0690011""","*",13,68,20,99,70,17,11,60,711
"Learn","=""2450014""","*",0,6,"*","*",18,"*","*","*",10
"Lebanon School District","=""0710011""","*","*",6,7,7,23,"*",0,7,96
"Ledyard School District","=""0720011""",0,"*",21,6,11,21,"*","*",10,57
"Lisbon School District","=""0730011""",0,0,"*","*","*",10,0,0,"*",11
"Litchfield School District","=""0740011""","*",0,8,"*",6,17,0,"*",10,50
"Madison School District","=""0760011""",0,0,9,9,15,"*","*","*",17,115
"Manchester School District","=""0770011""",7,11,162,36,311,58,14,22,19,1058
"Mansfield School District","=""0780011""",0,0,"*",0,"*","*",0,"*",0,13
"Marlborough School District","=""0790011""","*",0,0,0,0,"*",0,0,0,10
"Meriden School District","=""0800011""",7,23,200,52,966,40,33,55,54,3928
"Middletown School District","=""0830011""","*",7,86,15,168,105,"*",14,17,705
"Milford School District","=""0840011""","*",7,28,"*",19,52,"*",7,13,226
"Monroe School District","=""0850011""","*","*","*",9,10,"*","*",7,11,81
"Montville School District","=""0860011""","*","*",56,"*",44,70,10,6,18,434
"Naugatuck School District","=""0880011""","*",18,66,30,171,170,10,16,35,1338
"New Beginnings Inc., Family Academy District","=""2800013""","*",0,12,"*",32,59,"*",0,0,55
"New Britain School District","=""0890011""",13,57,241,53,686,812,62,38,24,930
"New Canaan School District","=""0900011""","*",0,12,0,0,"*","*",0,14,26
"New Fairfield School District","=""0910011""","*","*",13,8,"*",20,"*","*",50,206
"New Hartford School District","=""0920011""",0,"*",0,0,"*","*",0,0,0,0
"New Haven School District","=""0930011""",10,58,262,40,481,812,40,54,46,1663
"New London School District","=""0950011""","*",39,142,19,352,142,11,27,21,985
"New Milford School District","=""0960011""","*",6,41,20,37,47,"*",14,36,732
"Newington School District","=""0940011""","*","*",20,29,29,58,15,"*",30,497
"Newtown School District","=""0970011""","*",13,22,16,22,35,"*",7,37,140
"North Branford School District","=""0990011""","*","*",44,"*",20,50,11,"*",17,491
"North Canaan School District","=""1000011""",0,0,8,"*",0,11,0,0,0,"*"
"North Haven School District","=""1010011""",0,"*",37,"*",63,19,7,"*",22,136
"North Stonington School District","=""1020011""","*","*",19,"*","*",35,"*","*","*",92
"Norwalk School District","=""1030011""",112,40,179,44,169,211,30,23,83,1491
"Norwich Free Academy District","=""9010022""",0,"*",48,8,14,22,"*","*",20,581
"Norwich School District","=""1040011""","*",20,117,13,142,192,13,22,6,415
"Odyssey Community School District","=""2630013""","*",0,"*","*",0,"*",0,0,0,"*"
"Old Saybrook School District","=""1060011""",0,0,9,7,22,6,"*",0,6,49
"Orange School District","=""1070011""",0,0,"*",0,"*",0,0,0,0,"*"
"Oxford School District","=""1080011""","*",0,"*",0,"*","*",0,0,"*",48
"Park City Prep Charter School District","=""2830013""","*","*","*",0,26,16,"*","*",0,58
"Plainfield School District","=""1090011""","*",10,116,12,84,27,16,10,31,299
"Plainville School District","=""1100011""","*","*",23,"*",24,37,"*","*",8,142
"Plymouth School District","=""1110011""",0,6,22,"*",25,14,6,"*",7,142
"Pomfret School District","=""1120011""",0,"*","*","*","*",0,0,0,0,"*"
"Portland School District","=""1130011""","*",0,"*",11,"*",17,0,0,"*",63
"Preston School District","=""1140011""",0,0,"*",0,0,10,0,0,0,9
"Putnam School District","=""1160011""","*",9,49,12,79,31,10,"*",6,263
"Redding School District","=""1170011""",0,0,"*",0,11,"*",0,"*",0,"*"
"Regional School District 01","=""2010012""","*",0,8,0,0,"*","*","*",7,42
"Regional School District 04","=""2040012""",0,"*",6,"*","*","*","*","*",7,84
"Regional School District 05","=""2050012""",0,"*",10,"*",13,17,"*","*",168,272
"Regional School District 06","=""2060012""","*",11,28,7,17,24,10,"*",7,75
"Regional School District 07","=""2070012""",7,"*",7,7,10,10,"*","*",10,34
"Regional School District 08","=""2080012""","*",9,46,15,11,14,"*","*",21,248
"Regional School District 09","=""2090012""",0,0,"*","*","*","*",0,"*",16,0
"Regional School District 10","=""2100012""",0,0,12,7,15,"*","*",9,24,211
"Regional School District 11","=""2110012""",0,0,"*",0,6,17,"*",0,7,42
"Regional School District 12","=""2120012""",0,0,"*","*","*",6,"*","*",9,66
"Regional School District 13","=""2130012""",0,"*","*","*","*","*","*","*","*",17
"Regional School District 14","=""2140012""",0,"*",9,0,12,"*",0,"*",19,98
"Regional School District 15","=""2150012""",0,"*",15,"*",16,32,"*","*",38,145
"Regional School District 16","=""2160012""",0,"*",39,6,29,10,"*","*",41,264
"Regional School District 17","=""2170012""","*",0,24,8,109,"*",9,"*",13,111
"Regional School District 18","=""2180012""",0,0,"*","*",9,13,"*","*","*",32
"Regional School District 19","=""2190012""",0,"*",18,12,10,6,"*","*",25,183
"Ridgefield School District","=""1180011""",6,"*",17,7,33,22,"*","*",30,47
"Rocky Hill School District","=""1190011""","*","*",18,"*",21,27,"*",0,"*",132
"Salem School District","=""1210011""","*","*",7,"*",0,"*",0,0,0,"*"
"Salisbury School District","=""1220011""",0,0,"*",0,0,"*",0,0,0,12
"Scotland School District","=""1230011""",0,0,0,0,0,"*",0,0,0,"*"
"Seymour School District","=""1240011""",9,7,44,9,27,41,"*","*",27,486
"Sharon School District","=""1250011""",0,0,"*",0,0,0,0,0,0,"*"
"Shelton School District","=""1260011""",10,13,46,16,51,17,7,"*",31,631
"Sherman School District","=""1270011""",0,0,0,0,0,"*","*",0,0,"*"
"Side By Side Charter School District","=""2700013""",0,0,"*","*",14,"*","*",0,0,11
"Simsbury School District","=""1280011""",0,0,19,"*",33,36,"*",12,15,231
"Somers School District","=""1290011""",0,"*",6,"*",12,13,0,0,8,81
"South Windsor School District","=""1320011""","*",10,50,20,41,34,"*",0,41,311
"Southington School District","=""1310011""",6,"*",67,27,61,70,6,12,51,280
"Sprague School District","=""1330011""",0,0,6,"*",11,"*","*","*","*",21
"Stafford School District","=""1340011""","*","*",49,7,17,33,9,"*",8,447
"Stamford Academy District","=""2820013""",0,"*","*","*",8,"*","*",0,7,0
"Stamford School District","=""1350011""","*",12,74,20,107,175,15,29,100,462
"Sterling School District","=""1360011""","*","*",9,"*","*",31,"*","*",0,10
"Stonington School District","=""1370011""",0,9,10,0,63,11,"*","*",7,171
"Stratford School District","=""1380011""",6,22,93,11,130,181,11,14,43,896
"Suffield School District","=""1390011""",0,7,45,9,30,22,"*","*",9,229
"The Bridge Academy District","=""2690013""",0,"*",21,"*",9,41,0,0,"*",107
"The Gilbert School District","=""9020022""",0,0,14,"*",12,0,0,"*",11,75
"Thomaston School District","=""1400011""","*",0,24,"*",36,6,"*",0,6,152
"Thompson School District","=""1410011""","*",11,27,"*",49,10,12,6,18,177
"Tolland School District","=""1420011""",0,"*",26,6,34,16,"*",0,32,217
"Torrington School District","=""1430011""",25,19,60,11,105,201,"*",13,19,678
"Trailblazers Academy District","=""2780013""",0,0,0,0,"*",9,0,0,0,0
"Trumbull School District","=""1440011""","*",6,10,"*",24,25,"*",6,10,93
"Unified School District #2","=""3470015""",0,"*",25,"*",35,49,"*",0,0,9
"Union School District","=""1450011""",0,0,"*",0,0,0,0,0,0,"*"
"Vernon School District","=""1460011""",0,20,61,"*",103,58,"*",6,12,1025
"Voluntown School District","=""1470011""",0,"*",0,0,0,0,"*",0,0,"*"
"Wallingford School District","=""1480011""",8,15,63,6,60,96,8,6,39,620
"Waterbury School District","=""1510011""",37,34,388,83,1280,789,91,65,77,11828
"Waterford School District","=""1520011""",0,"*",30,11,27,36,7,"*",40,304
"Watertown School District","=""1530011""","*","*",62,13,33,53,6,7,32,650
"West Hartford School District","=""1550011""","*","*",79,12,78,76,"*",8,48,757
"West Haven School District","=""1560011""",6,12,65,"*",255,99,13,31,60,1278
"Westbrook School District","=""1540011""","*",0,14,0,10,"*",0,"*",20,162
"Weston School District","=""1570011""","*",0,"*","*","*","*","*","*",6,11
"Westport School District","=""1580011""",0,"*",23,"*",15,24,"*","*",11,78
"Wethersfield School District","=""1590011""","*",8,12,9,10,32,"*",6,8,185
"Willington School District","=""1600011""",0,0,12,"*","*",8,0,0,0,13
"Wilton School District","=""1610011""",0,0,9,"*",6,20,"*","*",17,43
"Winchester School District","=""1620011""",0,"*",12,0,11,"*","*",0,"*",61
"Windham School District","=""1630011""","*",31,318,43,169,540,87,19,32,1384
"Windsor Locks School District","=""1650011""","*","*",24,7,25,28,0,8,19,190
"Windsor School District","=""1640011""",0,8,67,27,119,173,6,14,24,991
"Wolcott School District","=""1660011""","*","*",38,11,40,21,6,6,"*",135
"Woodbridge School District","=""1670011""",0,0,0,"*",0,0,0,0,0,0
"Woodstock Academy District","=""9030022""",0,"*",15,7,"*",10,0,"*",12,86
"Woodstock School District","=""1690011""",0,"*",6,0,0,"*",0,"*",0,"*"

