"Incident Counts, 2014-15"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Connecticut Technical High School System","=""9000016""",22,66,262,59,320,237,38,50,240,1631
"Cooperative Educational Services","=""2430014""","*",0,"*","*",31,14,"*","*","*",30
"Cornwall School District","=""0310011""",0,0,"*",0,0,0,0,0,0,"*"
"Coventry School District","=""0320011""",0,"*",7,"*",13,9,"*","*","*",67
"Cromwell School District","=""0330011""",0,6,41,6,9,33,7,"*",13,172
"Danbury School District","=""0340011""",10,14,132,24,75,191,11,12,62,2401
"Darien School District","=""0350011""",0,0,7,"*",10,"*",0,"*",22,18
"Deep River School District","=""0360011""",0,0,"*",0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""","*",0,27,"*",61,72,"*",10,8,325
"East Granby School District","=""0400011""",0,"*",13,"*","*",6,0,"*","*",29
"East Haddam School District","=""0410011""","*","*","*","*",6,6,"*",0,"*",7
"East Hampton School District","=""0420011""","*","*",13,"*",8,13,"*","*",9,28
"East Hartford School District","=""0430011""",7,185,259,73,935,80,52,16,19,2923
"East Haven School District","=""0440011""",9,17,38,"*",19,29,12,"*",28,243
"East Lyme School District","=""0450011""","*",9,16,"*",17,41,6,0,6,110
"East Windsor School District","=""0470011""",0,"*",16,"*","*",52,"*","*","*",69
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*","*","*","*",15,"*","*",15,73
"Eastford School District","=""0390011""",0,"*","*",0,0,"*",0,0,0,0
"Easton School District","=""0460011""",0,0,"*","*","*","*",0,"*",0,"*"
"Education Connection","=""2420014""",0,"*",13,"*",9,11,0,0,"*",13
"Ellington School District","=""0480011""","*","*","*",10,59,16,"*","*","*",157
"Elm City College Preparatory School District","=""2890013""",0,"*","*","*",32,0,0,"*","*",278
"Enfield School District","=""0490011""","*","*",42,9,95,73,10,7,41,817
"Essex School District","=""0500011""",0,0,"*",0,0,0,0,0,0,0
"Explorations District","=""2720013""","*",0,"*",0,0,0,0,0,"*",13
"Fairfield School District","=""0510011""",0,7,25,11,28,30,"*","*",39,120
"Farmington School District","=""0520011""","*","*",9,"*",11,19,"*",8,7,19
"Franklin School District","=""0530011""",0,0,0,"*","*","*",0,0,0,"*"
"Glastonbury School District","=""0540011""",0,"*",25,"*",13,11,"*","*",19,80
"Granby School District","=""0560011""",0,"*",7,"*",29,7,"*","*",7,34
"Great Oaks Charter School District","=""2940013""",0,7,7,0,66,11,"*","*",0,61
"Greenwich School District","=""0570011""","*","*",36,11,18,42,8,7,59,76
"Griswold School District","=""0580011""",0,"*",21,9,25,12,"*",6,7,239
"Groton School District","=""0590011""","*",6,83,18,119,46,"*",9,10,634
"Guilford School District","=""0600011""",0,"*",18,"*",11,14,"*","*","*",58
"Hamden School District","=""0620011""",12,8,74,24,175,170,16,12,15,531
"Hartford School District","=""0640011""",80,90,505,159,938,2279,177,109,128,4803
"Hartland School District","=""0650011""",0,0,"*",0,0,0,0,0,0,"*"
"Hebron School District","=""0670011""",0,0,"*",0,"*","*",0,0,0,"*"
"Highville Charter School District","=""2860013""","*",0,0,0,10,12,0,0,0,7
"Integrated Day Charter School District","=""2640013""",0,0,0,0,0,0,0,0,0,"*"
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",21,"*",19,20,0,"*",0,45
"Jumoke Academy District","=""2610013""",0,0,"*","*",7,51,"*","*",0,105
"Killingly School District","=""0690011""",16,17,33,10,52,22,9,"*",27,335
"Learn","=""2450014""","*",7,20,7,20,55,0,6,9,63
"Lebanon School District","=""0710011""",0,0,"*","*","*",7,0,"*",12,19
"Ledyard School District","=""0720011""",6,11,15,"*",36,37,"*","*",12,97
"Lisbon School District","=""0730011""",0,0,"*",0,0,7,0,0,0,"*"
"Litchfield School District","=""0740011""","*","*",14,0,11,9,6,"*","*",48
"Madison School District","=""0760011""",0,"*","*","*",15,8,"*","*",15,75
"Manchester School District","=""0770011""",21,12,147,23,265,113,13,12,27,658
"Mansfield School District","=""0780011""",0,"*","*","*","*","*",0,"*",0,32
"Marlborough School District","=""0790011""",0,0,"*",0,0,0,0,0,0,"*"
"Meriden School District","=""0800011""","*",13,120,36,162,48,15,38,56,1607
"Middletown School District","=""0830011""",8,6,53,24,149,122,"*",11,21,404
"Milford School District","=""0840011""","*",12,43,7,44,33,7,0,36,558
"Monroe School District","=""0850011""",0,"*","*","*",6,"*",0,"*",16,44
"Montville School District","=""0860011""","*",0,24,"*",26,43,"*","*",12,83
"Naugatuck School District","=""0880011""","*",8,50,20,95,84,8,8,68,434
"New Beginnings Inc., Family Academy District","=""2800013""",0,0,0,"*",21,48,"*",0,0,32
"New Britain School District","=""0890011""",7,45,291,60,842,531,60,34,40,3428
"New Canaan School District","=""0900011""","*","*","*",0,"*","*",0,"*",9,"*"
"New Fairfield School District","=""0910011""",0,"*","*","*",37,8,"*","*",11,160
"New Hartford School District","=""0920011""","*",0,"*",0,"*","*",0,0,0,"*"
"New Haven School District","=""0930011""",23,70,311,64,621,1364,24,63,61,1093
"New London School District","=""0950011""","*",20,120,28,433,127,27,20,22,1259
"New Milford School District","=""0960011""",0,10,51,13,22,49,9,7,41,686
"Newington School District","=""0940011""",0,6,28,18,15,38,6,"*",11,340
"Newtown School District","=""0970011""","*","*",14,7,13,25,"*","*",28,112
"Norfolk School District","=""0980011""","*",0,"*","*",0,0,0,0,0,"*"
"North Branford School District","=""0990011""",0,7,19,8,15,18,"*","*",21,250
"North Canaan School District","=""1000011""",0,"*","*",6,21,18,"*",0,"*","*"
"North Haven School District","=""1010011""","*",0,17,"*",28,11,"*",0,16,102
"North Stonington School District","=""1020011""",0,"*",8,"*","*",6,"*","*",7,19
"Norwalk School District","=""1030011""",26,18,78,27,72,104,9,14,48,649
"Norwich Free Academy District","=""9010022""","*",16,54,28,17,21,"*",11,36,523
"Norwich School District","=""1040011""",0,7,25,11,83,91,"*",25,8,180
"Odyssey Community School District","=""2630013""","*","*","*",0,"*",9,0,0,0,10
"Old Saybrook School District","=""1060011""",0,6,9,0,6,"*",0,0,13,44
"Orange School District","=""1070011""",0,0,"*","*","*","*",0,0,0,"*"
"Oxford School District","=""1080011""","*",0,7,"*",6,10,0,"*",6,19
"Park City Prep Charter School District","=""2830013""",0,0,"*","*",34,23,"*",0,0,47
"Path Academy District","=""2930013""",0,0,7,"*",38,0,16,0,"*",31
"Plainfield School District","=""1090011""",0,14,43,6,64,11,12,"*",22,462
"Plainville School District","=""1100011""","*","*",11,"*",25,16,"*","*",8,132
"Plymouth School District","=""1110011""","*","*",6,0,15,17,"*","*","*",66
"Pomfret School District","=""1120011""",0,"*","*",0,"*",6,0,0,0,"*"
"Portland School District","=""1130011""",0,"*","*","*","*",10,"*","*",10,50
"Preston School District","=""1140011""",0,0,"*",0,"*",17,0,0,0,0
"Putnam School District","=""1160011""","*",0,24,"*",33,35,"*","*",9,57
"Redding School District","=""1170011""",0,"*",0,0,"*",9,0,"*",0,0
"Regional School District 01","=""2010012""","*",0,"*","*",0,19,0,"*",15,111
"Regional School District 04","=""2040012""",0,0,"*",0,"*","*",0,0,"*",26
"Regional School District 05","=""2050012""","*",0,6,0,"*",11,0,0,14,65
"Regional School District 06","=""2060012""",0,"*",7,"*",9,10,"*",0,9,31
"Regional School District 07","=""2070012""","*","*",7,"*",9,11,"*","*",30,58
"Regional School District 08","=""2080012""","*","*",9,6,6,8,6,"*",25,103
"Regional School District 09","=""2090012""",0,0,"*","*","*","*","*","*",14,"*"
"Regional School District 10","=""2100012""",0,7,14,"*",9,10,0,"*",14,64
"Regional School District 11","=""2110012""",0,"*",8,0,"*",9,"*",0,7,43
"Regional School District 12","=""2120012""",0,0,"*","*",10,12,0,"*",8,16
"Regional School District 13","=""2130012""","*",0,"*","*","*","*",0,"*",13,46
"Regional School District 14","=""2140012""",0,"*",0,0,8,9,"*","*",7,8
"Regional School District 15","=""2150012""",0,"*",15,"*","*",15,0,"*",35,152
"Regional School District 16","=""2160012""","*","*",7,"*",12,"*","*",6,27,122
"Regional School District 17","=""2170012""","*","*",14,"*",19,"*","*","*",7,73
"Regional School District 18","=""2180012""",0,"*",21,"*",6,"*","*","*","*",49
"Regional School District 19","=""2190012""","*","*",9,6,"*",9,"*",0,10,37
"Ridgefield School District","=""1180011""","*","*",33,0,19,9,0,"*",10,16
"Rocky Hill School District","=""1190011""","*","*",12,"*","*",11,"*","*","*",81
"Salem School District","=""1210011""",0,0,"*",0,"*","*",0,0,0,10
"Salisbury School District","=""1220011""",0,0,0,0,"*","*",0,0,0,"*"
"Scotland School District","=""1230011""",0,0,"*",0,0,"*",0,0,0,"*"
"Seymour School District","=""1240011""","*",7,33,25,20,34,9,"*",43,331
"Sharon School District","=""1250011""",0,0,"*",0,6,7,0,0,0,"*"
"Shelton School District","=""1260011""","*","*",27,8,26,8,6,"*",28,508
"Sherman School District","=""1270011""",0,0,"*","*",0,"*",0,0,0,"*"
"Side By Side Charter School District","=""2700013""",0,0,"*","*","*",0,"*",0,0,"*"
"Simsbury School District","=""1280011""","*","*","*","*",28,13,"*","*",7,56
"Somers School District","=""1290011""","*","*",17,"*",9,15,0,"*",17,61
"South Windsor School District","=""1320011""",0,"*",33,"*",52,23,6,"*",21,124
"Southington School District","=""1310011""","*","*",48,18,24,49,10,"*",39,242
"Sprague School District","=""1330011""","*","*",18,"*",52,7,0,0,0,27
"Stafford School District","=""1340011""","*",0,13,"*",22,19,"*",0,18,125
"Stamford Academy District","=""2820013""","*","*",8,0,6,20,0,0,"*",16
"Stamford School District","=""1350011""",8,10,59,17,118,180,6,21,51,168
"Sterling School District","=""1360011""",0,0,"*",0,"*",25,0,"*",0,35
"Stonington School District","=""1370011""",0,0,9,"*",6,17,"*","*",17,210
"Stratford School District","=""1380011""","*",20,65,26,109,154,6,18,16,473
"Suffield School District","=""1390011""",0,"*",18,"*",22,13,"*","*",24,"*"
"The Bridge Academy District","=""2690013""",0,"*",40,"*",18,15,0,0,"*",47
"The Gilbert School District","=""9020022""",0,"*",23,"*",15,15,8,6,25,515
"Thomaston School District","=""1400011""","*",0,7,0,11,14,"*","*","*",82
"Thompson School District","=""1410011""",0,"*",12,0,18,13,0,"*","*",42
"Tolland School District","=""1420011""",0,6,12,"*",13,16,"*","*",19,44
"Torrington School District","=""1430011""",0,10,63,11,107,50,23,8,24,434
"Trailblazers Academy District","=""2780013""",0,"*",0,"*","*",20,0,0,"*","*"
"Trumbull School District","=""1440011""",0,"*",11,"*",8,14,7,"*",20,73
"Unified School District #2","=""3470015""",0,"*",11,0,14,82,"*",0,0,6
"Vernon School District","=""1460011""","*",9,110,30,194,153,41,10,49,980
"Voluntown School District","=""1470011""",0,0,"*",0,"*","*",0,0,0,"*"
"Wallingford School District","=""1480011""",6,28,57,10,28,87,6,"*",25,307
"Waterbury School District","=""1510011""",24,70,459,112,1341,1643,80,79,49,8757
"Waterford School District","=""1520011""",0,9,24,13,33,18,"*","*",11,224
"Watertown School District","=""1530011""","*","*",52,"*",24,10,0,"*",10,270
"West Hartford School District","=""1550011""","*",11,99,24,131,80,7,10,43,410
"West Haven School District","=""1560011""","*","*",27,"*",111,55,"*",9,18,535
"Westbrook School District","=""1540011""",0,"*",0,0,0,"*",0,0,0,"*"
"Weston School District","=""1570011""",0,0,"*",0,"*",6,0,"*","*",12
"Westport School District","=""1580011""",0,9,19,11,6,14,"*","*",20,48
"Wethersfield School District","=""1590011""",0,0,24,7,26,31,6,8,7,99
"Willington School District","=""1600011""",0,0,7,0,"*","*",0,0,"*",9
"Wilton School District","=""1610011""",0,"*","*","*","*",6,0,0,10,54
"Winchester School District","=""1620011""","*",0,"*",0,"*",11,"*","*","*","*"
"Windham School District","=""1630011""","*",21,146,36,261,208,45,17,15,873
"Windsor Locks School District","=""1650011""",0,8,24,"*",24,41,"*","*",9,177
"Windsor School District","=""1640011""",0,"*",58,37,127,361,"*",8,18,892
"Wolcott School District","=""1660011""",0,"*",13,7,26,19,"*","*",9,114
"Woodbridge School District","=""1670011""",0,0,"*",0,0,"*",0,"*",0,0
"Woodstock Academy District","=""9030022""",0,12,8,"*","*",7,"*","*",23,69
"Woodstock School District","=""1690011""",0,0,"*","*","*",9,0,0,0,16

