"Chronic Absenteeism, 2015-16"
", All Schools, All Students"

"District","District Code","School","School Code","% Chronically Absent"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",3.0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",4.3
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",6.1
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",4.1
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",3.9
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",7.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",13.7
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",7.2
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",15.3
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",13.8
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",7.1
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",5.7
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",40.0
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",6.3
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",29.0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",18.4
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",8.9
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",7.6
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",7.8
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",9.6
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",23.0
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",8.9
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",12.7
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",15.8
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",16.3
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",6.1
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",6.0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",10.1
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",4.3
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",5.9
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",5.2
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",3.3
"Cheshire School District","=""0250011""","Highland School","=""0250411""",4.4
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",68.0
"Cheshire School District","=""0250011""","Norton School","=""0250511""",3.1
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",2.8
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",4.5
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",3.5
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",10.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",9.3
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",3.9
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",2.3
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",4.7
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",3.4
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",11.5
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",18.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",20.9
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",10.8
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",29.2
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",14.2
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",17.7
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",8.7
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",10.2
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",8.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",11.8
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",13.9
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",4.3
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",13.7
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",9.4
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",14.1
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",7.0
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",6.7
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",20.9
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",17.5
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",6.8
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",36.0
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",6.8
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",3.7
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",7.3
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",2.2
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",2.3
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",2.5
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",1.8
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",60.2
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",3.8
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",11.9
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",1.6
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",6.9
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",8.6
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",7.4
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",6.5
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",2.0
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",2.2
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",8.4
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",7.4
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",4.9
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",6.3
"Danbury School District","=""0340011""","South Street School","=""0341011""",2.6
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",7.1
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",3.4
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",2.6
"Darien School District","=""0350011""","Darien High School","=""0356111""",4.4
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",2.0
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",3.0
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",2.3
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",2.7
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",1.8
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",7.0
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",22.1
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",13.2
"Derby School District","=""0370011""","Irving School","=""0370411""",8.5
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",7.1
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",8.7
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",5.6
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",4.7
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",8.3
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",5.1
"East Hampton School District","=""0420011""","Center School","=""0420311""",3.1
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",12.2
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",7.4
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",4.3
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",12.5
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",4.2
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",9.9
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",12.6
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",6.1
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",13.7
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",9.5
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",7.0
"East Hartford School District","=""0430011""","Hartford Detention Center","=""3480315""","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",6.6
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",9.0
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",7.7
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",12.4
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",87.6
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",8.6
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",61.3
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",2.7
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",6.1
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",7.2
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",6.9
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",19.4
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",6.0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",0.0
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",17.1
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",13.5
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",53.8
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",4.3
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",4.6
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",4.3
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",3.1
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",4.1
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""","*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",9.0
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",16.0
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",11.0
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",10.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",27.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",57.5
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",2.3
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",1.4
"Education Connection","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",5.1
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",5.2
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",4.0
"Ellington School District","=""0480011""","Windermere School","=""0480611""",5.2
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",5.7
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",20.5
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",5.2
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",6.5
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",17.2
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",6.4
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",14.2
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",10.2
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",12.0
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",14.7
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",7.2
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",6.4
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",3.0
"Explorations District","=""2720013""","Explorations","=""2726113""",30.6
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",4.3
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",3.9
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",5.5
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",4.8
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",2.5
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",3.7
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",2.1
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",1.6
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",2.9
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",3.7
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",2.9
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",2.1
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",3.1
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",2.0
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",5.2
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",55.2
"Farmington School District","=""0520011""","East Farms School","=""0520411""",3.3
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",5.5
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",4.5
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",2.2
"Farmington School District","=""0520011""","Union School","=""0520111""",4.1
