"Bullying Counts, 2013-14"
"All Districts, All Schools"

"",,,,"Bullying Type",
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""","*","*"
"Manchester School District","=""0770011""","Keeney School","=""0770611""","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",10,12
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","*","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""","*","*"
"Manchester School District","=""0770011""","Verplanck School","=""0771211""","*","*"
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""","*","*"
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""","*","*"
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""","*","*"
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",6,6
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""","*","*"
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","*","*"
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","*","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","*","*"
"Middletown School District","=""0830011""","Snow School","=""0831111""","*","*"
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""",7,8
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","*","*"
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",7,7
"Milford School District","=""0840011""","Meadowside School","=""0840711""","*","*"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","*","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","*","*"
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","*","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",6,8
"Naugatuck School District","=""0880011""","Western School","=""0880711""","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","*","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","*","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","*",13
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",15,21
"New Britain School District","=""0890011""","Northend School","=""0890911""","*","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",10,12
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",8,11
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",6,6
"New Britain School District","=""0890011""","Smith School","=""0891311""","*","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""","*",6
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","*","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","*","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","*","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","*","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","*","*"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","*","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","*",8
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","*","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","*","*"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","*","*"
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","*","*"
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","*","*"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","*","*"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","*","*"
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","*","*"
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","*","*"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","*","*"
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","*","*"
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","*","*"
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",7,11
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","*","*"
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","*","*"
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",21,22
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""","*","*"
"New London School District","=""0950011""","New London High School","=""0956111""",7,7
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","*","*"
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","*","*"
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""","*","*"
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""","*","*"
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","*","*"
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","*","*"
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","*","*"
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""","*","*"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""","*","*"
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""","*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",6,7
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","*","*"
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""","*","*"
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","*","*"
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""","*","*"
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","*","*"
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",10,10
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","*","*"
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""","*",7
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","*","*"
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","*","*"
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""","*","*"
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",6,6
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",7,8
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","*","*"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","*","*"
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","*","*"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",6,7
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""","*","*"
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","*","*"
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""","*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",8,9
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""","*","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""","*","*"
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""","*","*"
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""","*","*"
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""","*",6
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""","*","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""","*","*"
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""","*","*"
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""","*",9
"Seymour School District","=""1240011""","Seymour High School","=""1246111""","*","*"
"Shelton School District","=""1260011""","Intermediate School","=""1265111""","*","*"
"Shelton School District","=""1260011""","Shelton High School","=""1266111""","*","*"
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",17,20
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""","*","*"
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""","*","*"
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""","*","*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""","*","*"
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""","*","*"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""","*",6
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""","*","*"
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""","*","*"
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""","*","*"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""","*","*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","*","*"
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","*","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","*","*"
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","*","*"
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","*","*"
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","*","*"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","*","*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","*","*"
"Stratford School District","=""1380011""","Chapel School","=""1380311""","*","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","*","*"
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","*","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","*","*"
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","*","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","*","*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","*","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","*","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",6,8
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","*","*"
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","*",6
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",17,34
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",8,8
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",11,17
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",7,7
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","*","*"
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",6,6
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","*","*"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","*","*"
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","*","*"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","*","*"
"Vernon School District","=""1460011""","Maple Street School","=""1460211""","*","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","*","*"
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""","*","*"
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""","*","*"
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",7,7
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","*","*"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""","*","*"
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""","*","*"
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",6,7
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","*","*"
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""","*","*"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","*","*"
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","*","*"
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""","*","*"
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""","*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","*","*"
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""","*","*"
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""","*","*"
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","*",7
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""","*","*"
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","*","*"
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","*","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","*",6
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","*","*"
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",6,9
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""","*","*"
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""","*","*"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","*","*"
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""","*","*"
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""","*","*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",7,7
"Weston School District","=""1570011""","Weston Middle School","=""1575111""","*","*"
"Westport School District","=""1580011""","Staples High School","=""1586111""","*","*"
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""","*","*"
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""","*","*"
"Wilton School District","=""1610011""","Wilton High School","=""1616111""","*","*"
"Windham School District","=""1630011""","Natchaug School","=""1630111""","*","*"
