"Bullying Counts, 2015-16"
"All Districts, All Schools"

"",,,,"Bullying Type",
"Meriden School District","=""0800011""","STEPS-Meriden School District","=""0801211""","*","*"
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","*","*"
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""","*","*"
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""","*","*"
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""","*","*"
"Milford School District","=""0840011""","Mathewson School","=""0841711""","*","*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","*","*"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","*","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","*","*"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","*","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","*","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","*","*"
"New Britain School District","=""0890011""","STEPS","=""0891811""","*","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","*","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","*","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","*","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","*","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","*","*"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","*","*"
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","*","*"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","*","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","*","*"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",7,7
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","*","*"
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","*","*"
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","*","*"
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","*","*"
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""","*","*"
"New London School District","=""0950011""","New London High School","=""0956111""",10,10
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""","*","*"
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""","*","*"
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","*","*"
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","*","*"
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","*","*"
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""","*",6
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",6,8
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","*","*"
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","*","*"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""","*","*"
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","*","*"
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","*","*"
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","*","*"
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""","*","*"
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","*","*"
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""","*","*"
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""","*","*"
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","*","*"
"Oxford School District","=""1080011""","Great Oak School","=""1085111""","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","*","*"
"Path Academy District","=""2930013""","Path Academy","=""2930113""","*","*"
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""","*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",8,8
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","*",6
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","*","*"
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","*","*"
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","*","*"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""","*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""","*","*"
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",18,22
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","*","*"
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""","*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","*",6
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",6,6
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""","*","*"
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""","*","*"
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""","*","*"
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""","*","*"
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""","*","*"
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""","*","*"
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""","*","*"
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""","*","*"
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""","*","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""","*","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""","*","*"
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""","*","*"
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""","*","*"
"Seymour School District","=""1240011""","Seymour High School","=""1246111""","*","*"
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",18,18
"Shelton School District","=""1260011""","Shelton High School","=""1266111""","*","*"
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""","*","*"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""","*","*"
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","*","*"
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""","*","*"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",7,7
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","*","*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",8,8
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","*","*"
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","*","*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","*","*"
"Stratford School District","=""1380011""","Chapel School","=""1380311""","*","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","*","*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","*","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","*",6
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","*","*"
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","*","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",17,20
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","*","*"
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","*","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","*","*"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","*","*"
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","*","*"
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","*","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","*","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","*","*"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","*","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""","*","*"
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","*","*"
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""","*","*"
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","*","*"
"Waterbury School District","=""1510011""","Driggs School","=""1510911""","*","*"
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","*","*"
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","*","*"
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","*","*"
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""","*","*"
"Watertown School District","=""1530011""","Polk School","=""1530411""","*","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","*","*"
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""","*","*"
"West Hartford School District","=""1550011""","REACH","=""1557311""","*","*"
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","*","*"
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""","*","*"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","*","*"
"Weston School District","=""1570011""","Weston Middle School","=""1575111""","*","*"
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""","*",6
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""","*","*"
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""","*","*"
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""","*","*"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""","*","*"
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""","*","*"
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""","*","*"
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""","*","*"
"Windham School District","=""1630011""","Windham Center School","=""1630511""","*","*"
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""","*","*"
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""","*","*"

