"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, All Schools"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","All Tests - School",35.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Curl Up",64.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Mile Run",95.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Push Up",82.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Sit and Reach",91.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","All Tests - School",22.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Curl Up",62.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Mile Run",82.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Push Up",35.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Sit and Reach",77.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","All Tests - School",29.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Curl Up",48.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Mile Run",87.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Push Up",50.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Sit and Reach",81.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Curl Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Mile Run","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Push Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Curl Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Mile Run","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Push Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","All Tests - School",37.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Curl Up",94.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Mile Run",42.9
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Push Up",80.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Sit and Reach",94.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","All Tests - School",23.9
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Curl Up",95.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Mile Run",42.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Push Up",50.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Sit and Reach",69.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Curl Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Mile Run","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Push Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Curl Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Mile Run","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Push Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Sit and Reach","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","All Tests - School","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Sit and Reach","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","All Tests - School",46.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Curl Up",88.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Mile Run",58.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Push Up",62.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Sit and Reach",78.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","All Tests - School",43.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Curl Up",86.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Mile Run",68.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Push Up",54.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Sit and Reach",85.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","All Tests - School","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Sit and Reach","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","All Tests - School",34.2
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Curl Up",72.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Mile Run",61.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Push Up",58.9
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Sit and Reach",76.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","All Tests - School",36.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Curl Up",77.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Mile Run",66.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Push Up",60.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Sit and Reach",82.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","All Tests - School",34.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Curl Up",72.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Mile Run",47.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Push Up",54.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Sit and Reach",75.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","All Tests - School","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Sit and Reach","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","All Tests - School",55.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Curl Up",91.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Mile Run",76.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Push Up",67.6
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Sit and Reach",97.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","All Tests - School",38.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Curl Up",64.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Mile Run",64.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Push Up",96.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Sit and Reach",58.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","All Tests - School",51.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Curl Up",91.8
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Mile Run",57.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Push Up",83.7
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Sit and Reach",98.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","All Tests - School","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Curl Up","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Mile Run","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Push Up","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Curl Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Mile Run","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Push Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Curl Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Mile Run","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Push Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","All Tests - School",49.6
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Curl Up",85.7
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Mile Run",77.6
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Push Up",79.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Sit and Reach",71.3
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Curl Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Mile Run","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Push Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","All Tests - School",38.0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Curl Up",90.1
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Mile Run",91.6
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Push Up",65.4
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Sit and Reach",61.6
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Curl Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Mile Run","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Push Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","All Tests - School",52.6
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Curl Up",79.7
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Mile Run",82.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Push Up",78.2
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Sit and Reach",76.7
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","All Tests - School","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Curl Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Mile Run","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Push Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Sit and Reach","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","All Tests - School","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Curl Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Mile Run","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Push Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","All Tests - School",64.7
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Curl Up",92.7
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Mile Run",82.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Push Up",71.3
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Sit and Reach",83.3
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 8","All Tests - School","N/A"
