"Physical Fitness Tests: Students Reaching Health Standard, 2012-13"
"All Districts, All Schools"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Mile Run",95.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Push Up",90.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Sit and Reach",88.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","All Tests - School",70.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Curl Up",82.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Mile Run",94.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Push Up",79.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Sit and Reach",94.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","All Tests - School","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Sit and Reach","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","All Tests - School","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Curl Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Mile Run","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Push Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","All Tests - School",43.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Curl Up",87.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Mile Run",50.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Push Up",83.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Sit and Reach",81.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 6","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","All Tests - School",45.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Curl Up",99.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Mile Run",68.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Push Up",78.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 8","Sit and Reach",94.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","All Tests - School",32.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Curl Up",58.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Mile Run",84.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Push Up",51.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 4","Sit and Reach",81.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","All Tests - School",32.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Curl Up",47.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Mile Run",73.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Push Up",55.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 6","Sit and Reach",82.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Curl Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Mile Run","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Push Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 8","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Curl Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Mile Run","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Push Up","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","All Tests - School",37.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Curl Up",94.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Mile Run",42.9
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Push Up",80.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 4","Sit and Reach",94.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","All Tests - School",23.9
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Curl Up",95.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Mile Run",42.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Push Up",50.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 6","Sit and Reach",69.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Curl Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Mile Run","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Push Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 8","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Curl Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Mile Run","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Push Up","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade 10","Sit and Reach","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","All Tests - School","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 4","Sit and Reach","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","All Tests - School",39.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Curl Up",80.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Mile Run",68.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Push Up",61.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 6","Sit and Reach",74.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","All Tests - School",42.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Curl Up",85.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Mile Run",58.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Push Up",66.4
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 8","Sit and Reach",84.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","All Tests - School","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade 10","Sit and Reach","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","All Tests - School",29.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Curl Up",48.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Mile Run",57.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Push Up",77.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 4","Sit and Reach",76.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","All Tests - School",32.4
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Curl Up",53.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Mile Run",52.1
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Push Up",73.2
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 6","Sit and Reach",69.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","All Tests - School",32.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Curl Up",80.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Mile Run",53.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Push Up",56.9
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 8","Sit and Reach",76.9
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","All Tests - School","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade 10","Sit and Reach","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","All Tests - School",51.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Curl Up",92.3
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Mile Run",63.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Push Up",69.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 4","Sit and Reach",100.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","All Tests - School",51.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Curl Up",74.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Mile Run",83.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Push Up",78.7
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 6","Sit and Reach",74.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","All Tests - School",51.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Curl Up",82.7
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Mile Run",75.0
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Push Up",96.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 8","Sit and Reach",69.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","All Tests - School","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Curl Up","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Mile Run","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Push Up","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Curl Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Mile Run","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Push Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 4","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Curl Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Mile Run","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Push Up","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 8","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","All Tests - School",49.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Curl Up",89.1
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Mile Run",68.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Push Up",76.7
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade 10","Sit and Reach",72.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Curl Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Mile Run","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Push Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 4","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","All Tests - School",55.1
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Curl Up",77.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Mile Run",85.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Push Up",94.4
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 8","Sit and Reach",66.3
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","All Tests - School","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Curl Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Mile Run","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Push Up","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","All Tests - School",53.6
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Curl Up",88.2
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Mile Run",80.9
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Push Up",70.9
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 4","Sit and Reach",75.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","All Tests - School","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Curl Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Mile Run","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Push Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 8","Sit and Reach","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","All Tests - School","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Curl Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Mile Run","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Push Up","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","All Tests - School",53.7
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Curl Up",79.3
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Mile Run",86.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Push Up",60.3
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 4","Sit and Reach",90.1
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","All Tests - School","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Curl Up","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Mile Run","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Push Up","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 6","Sit and Reach","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade 8","All Tests - School","N/A"
