"Physical Fitness Tests: Students Reaching Health Standard, 2014-15"
"All Districts, All Schools"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Push Up",53.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Sit and Reach",74.5
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","All Tests - School","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","Curl Up","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","Mile Run","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","Push Up","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","Sit and Reach","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","All Tests - School",43.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Curl Up",91.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Mile Run",60.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Push Up",64.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Sit and Reach",83.5
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","All Tests - School",32.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","Curl Up",66.1
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","Mile Run",46.8
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","Push Up",61.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","Sit and Reach",67.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","All Tests - School",42.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","Curl Up",85.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","Mile Run",69.6
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","Push Up",62.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","Sit and Reach",86.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","All Tests - School",0.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","Curl Up","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","Mile Run",0.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","Push Up","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","Sit and Reach","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","All Tests - School","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","Curl Up","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","Mile Run","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","Push Up","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","Sit and Reach","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","All Tests - School",16.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","Curl Up",44.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","Mile Run",41.4
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","Push Up",56.2
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","Sit and Reach",61.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","All Tests - School",47.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","Curl Up",84.3
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","Mile Run",69.3
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","Push Up",63.6
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","Sit and Reach",95.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","All Tests - School",46.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","Curl Up",88.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","Mile Run",76.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","Push Up",81.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","Sit and Reach",69.0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","All Tests - School",59.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","Curl Up",85.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","Mile Run",87.1
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","Push Up",86.3
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","Sit and Reach",71.8
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","All Tests - School",62.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","Curl Up",92.4
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","Mile Run",91.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","Push Up",86.8
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","Sit and Reach",78.5
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","All Tests - School",50.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","Curl Up",90.6
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","Mile Run",85.9
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","Push Up",80.5
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","Sit and Reach",68.8
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","All Tests - School",76.9
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","Curl Up",93.8
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","Mile Run",93.3
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","Push Up",90.2
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","Sit and Reach",84.9
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","All Tests - School",45.4
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","Curl Up",80.6
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","Mile Run",67.6
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","Push Up",69.4
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","Sit and Reach",75.9
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","All Tests - School",63.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","Curl Up",96.5
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","Mile Run",73.9
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","Push Up",91.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","Sit and Reach",88.9
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","All Tests - School",60.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","Curl Up",89.3
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","Mile Run",86.8
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","Push Up",78.4
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","Sit and Reach",83.2
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","All Tests - School",74.1
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","Curl Up",96.3
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","Mile Run",90.1
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","Push Up",82.7
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","Sit and Reach",93.8
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","All Tests - School",76.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","Curl Up",94.1
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","Mile Run",87.3
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","Push Up",84.3
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","Sit and Reach",93.1
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","All Tests - School",69.1
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","Curl Up",92.7
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","Mile Run",90.9
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","Push Up",81.8
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","Sit and Reach",98.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","All Tests - School",33.3
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","Curl Up",64.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","Mile Run",58.5
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","Push Up",60.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","Sit and Reach",77.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","All Grades","All Tests - School",41.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","All Grades","Curl Up",87.7
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","All Grades","Mile Run",58.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","All Grades","Push Up",70.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","All Grades","Sit and Reach",83.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","All Grades","All Tests - School",45.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","All Grades","Curl Up",78.9
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","All Grades","Mile Run",83.5
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","All Grades","Push Up",54.9
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","All Grades","Sit and Reach",89.0
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","All Grades","All Tests - School",24.9
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","All Grades","Curl Up",54.6
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","All Grades","Mile Run",51.7
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","All Grades","Push Up",54.6
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","All Grades","Sit and Reach",67.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","All Grades","All Tests - School",65.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","All Grades","Curl Up",89.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","All Grades","Mile Run",81.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","All Grades","Push Up",91.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","All Grades","Sit and Reach",83.3
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","All Grades","All Tests - School",36.6
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","All Grades","Curl Up",77.4
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","All Grades","Mile Run",61.3
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","All Grades","Push Up",64.5
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","All Grades","Sit and Reach",73.1
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","All Grades","All Tests - School",36.9
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","All Grades","Curl Up",78.6
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","All Grades","Mile Run",61.2
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","All Grades","Push Up",57.3
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","All Grades","Sit and Reach",75.7
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","All Grades","All Tests - School",66.3
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","All Grades","Curl Up",93.7
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","All Grades","Mile Run",85.3
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","All Grades","Push Up",76.8
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","All Grades","Sit and Reach",89.5
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","All Grades","All Tests - School",21.3
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","All Grades","Curl Up",65.6
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","All Grades","Mile Run",45.1
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","All Grades","Push Up",42.6
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","All Grades","Sit and Reach",56.6
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","All Grades","All Tests - School",58.6
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","All Grades","Curl Up",90.1
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","All Grades","Mile Run",87.8
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","All Grades","Push Up",74.0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","All Grades","Sit and Reach",83.4
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","All Grades","All Tests - School",70.7
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","All Grades","Curl Up",93.1
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","All Grades","Mile Run",87.9
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","All Grades","Push Up",82.8
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","All Grades","Sit and Reach",84.5
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","All Grades","All Tests - School",77.6
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","All Grades","Curl Up",100.0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","All Grades","Mile Run",83.6
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","All Grades","Push Up",85.1
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","All Grades","Sit and Reach",91.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","All Grades","All Tests - School",41.3
"Branford School District","=""0140011""","Branford High School","=""0146111""","All Grades","Curl Up",90.9
"Branford School District","=""0140011""","Branford High School","=""0146111""","All Grades","Mile Run",47.5
"Branford School District","=""0140011""","Branford High School","=""0146111""","All Grades","Push Up",67.4
"Branford School District","=""0140011""","Branford High School","=""0146111""","All Grades","Sit and Reach",89.3
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","All Grades","All Tests - School",44.5
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","All Grades","Curl Up",82.6
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","All Grades","Mile Run",61.9
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","All Grades","Push Up",65.7
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","All Grades","Sit and Reach",78.8
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","All Grades","All Tests - School",48.5
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","All Grades","Curl Up",72.1
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","All Grades","Mile Run",67.6
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","All Grades","Push Up",76.5
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","All Grades","Sit and Reach",73.5
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","All Grades","All Tests - School",69.3
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","All Grades","Curl Up",81.8
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","All Grades","Mile Run",84.1
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","All Grades","Push Up",83.0
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","All Grades","Sit and Reach",87.5
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","All Grades","All Tests - School",55.1
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","All Grades","Curl Up",79.7
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","All Grades","Mile Run",84.1
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","All Grades","Push Up",78.3
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","All Grades","Sit and Reach",81.2
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","All Grades","All Tests - School",32.9
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","All Grades","Curl Up",76.2
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","All Grades","Mile Run",54.9
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","All Grades","Push Up",65.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","All Grades","Sit and Reach",54.5
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","=""0150811""","All Grades","All Tests - School","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","=""0150811""","All Grades","Curl Up","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","=""0150811""","All Grades","Mile Run","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","=""0150811""","All Grades","Push Up","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","=""0150811""","All Grades","Sit and Reach","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","All Grades","All Tests - School",55.9
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","All Grades","Curl Up",89.8
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","All Grades","Mile Run",87.6
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","All Grades","Push Up",72.9
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","All Grades","Sit and Reach",76.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","All Tests - School","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","Curl Up",51.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","Mile Run","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","Push Up",51.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","Sit and Reach",64.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","All Tests - School",35.1
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","Curl Up",87.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","Mile Run",40.3
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","Push Up",68.8
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","Sit and Reach",79.2
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","All Tests - School","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","Curl Up","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","Mile Run","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","Push Up","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","Sit and Reach","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","All Tests - School",47.6
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","Curl Up",87.6
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","Mile Run",76.2
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","Push Up",57.1
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","Sit and Reach",81.9
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","All Tests - School",17.3
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","Curl Up",90.6
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","Mile Run",21.8
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","Push Up",68.4
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","Sit and Reach",91.2
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","All Tests - School",42.1
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","Curl Up",77.9
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","Mile Run",62.1
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","Push Up",46.3
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","Sit and Reach",74.7
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","All Tests - School",53.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","Curl Up",57.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","Mile Run",71.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","Push Up",58.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","Sit and Reach",64.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","All Tests - School",25.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","Curl Up",65.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","Mile Run",47.4
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","Push Up",55.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","Sit and Reach",70.6
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","All Tests - School",30.7
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","Curl Up",86.1
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","Mile Run",92.1
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","Push Up",39.6
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","Sit and Reach",70.3
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","All Tests - School",40.1
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","Curl Up",51.6
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","Mile Run",85.7
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","Push Up",62.1
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","Sit and Reach",89.0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","All Grades","All Tests - School",30.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","All Grades","Curl Up",63.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","All Grades","Mile Run",63.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","All Grades","Push Up",79.8
