"Physical Fitness Tests: Students Reaching Health Standard, 2014-15"
"All Districts, All Schools, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","All Grades","Push Up",74.0
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","All Grades","Push Up",82.8
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","All Grades","Push Up",85.1
"Branford School District","=""0140011""","Branford High School","=""0146111""","All Grades","Push Up",67.4
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","All Grades","Push Up",65.7
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","All Grades","Push Up",76.5
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","All Grades","Push Up",83.0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","All Grades","Push Up",78.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","All Grades","Push Up",65.3
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","=""0150811""","All Grades","Push Up","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","All Grades","Push Up",72.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","Push Up",51.6
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","Push Up",68.8
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","Push Up","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","Push Up",57.1
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","Push Up",68.4
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","Push Up",46.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","Push Up",58.8
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","Push Up",55.3
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","Push Up",39.6
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","Push Up",62.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","All Grades","Push Up",79.8
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","All Grades","Push Up",70.2
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","All Grades","Push Up",59.6
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","All Grades","Push Up",81.1
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","All Grades","Push Up",26.9
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","All Grades","Push Up",60.4
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","All Grades","Push Up",92.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","All Grades","Push Up",48.4
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","All Grades","Push Up",46.6
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","All Grades","Push Up",59.8
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School","=""0151511""","All Grades","Push Up","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","All Grades","Push Up",84.4
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","All Grades","Push Up",62.0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","All Grades","Push Up",72.2
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","All Grades","Push Up",43.8
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","All Grades","Push Up",58.5
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","All Grades","Push Up",62.0
"Bridgeport School District","=""0150011""","Read School","=""0152511""","All Grades","Push Up",56.4
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","All Grades","Push Up",36.6
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","All Grades","Push Up",59.8
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","All Grades","Push Up",63.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","All Grades","Push Up",78.3
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","All Grades","Push Up",75.9
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","All Grades","Push Up",75.6
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","All Grades","Push Up",56.1
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","All Grades","Push Up",68.2
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","All Grades","Push Up",72.1
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","All Grades","Push Up",66.2
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","All Grades","Push Up",82.5
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","All Grades","Push Up",71.4
"Bristol School District","=""0170011""","South Side School","=""0171111""","All Grades","Push Up",79.5
"Bristol School District","=""0170011""","Stafford School","=""0171211""","All Grades","Push Up",63.4
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","All Grades","Push Up",62.8
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","All Grades","Push Up",80.4
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","All Grades","Push Up",78.5
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","All Grades","Push Up",74.4
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","All Grades","Push Up",60.6
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","All Grades","Push Up",49.4
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","All Grades","Push Up",74.1
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","All Grades","Push Up",59.2
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","All Grades","Push Up",86.4
"Canton School District","=""0230011""","Canton High School","=""0236111""","All Grades","Push Up",79.1
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","All Grades","Push Up",89.2
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","All Grades","Push Up",68.6
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","All Grades","Push Up",82.1
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","All Grades","Push Up",76.6
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Tim","=""2416414""","All Grades","Push Up",60.5
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","All Grades","Push Up",53.6
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","All Grades","Push Up",54.7
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","All Grades","Push Up",59.6
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International St","=""2416114""","All Grades","Push Up",74.8
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","All Grades","Push Up",64.8
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","All Grades","Push Up",60.9
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","All Grades","Push Up",59.7
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","All Grades","Push Up",26.9
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","All Grades","Push Up",66.0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","All Grades","Push Up",68.7
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","All Grades","Push Up",62.3
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","All Grades","Push Up",70.7
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","All Grades","Push Up",73.3
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","All Grades","Push Up",92.8
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","All Grades","Push Up",85.6
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","All Grades","Push Up",73.3
"Cheshire School District","=""0250011""","Highland School","=""0250411""","All Grades","Push Up",84.5
"Cheshire School District","=""0250011""","Norton School","=""0250511""","All Grades","Push Up",46.7
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","All Grades","Push Up",71.2
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","All Grades","Push Up",79.9
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","All Grades","Push Up",57.2
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","All Grades","Push Up",87.2
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","All Grades","Push Up",79.5
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","All Grades","Push Up",76.0
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","All Grades","Push Up",67.3
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","All Grades","Push Up",70.4
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","All Grades","Push Up",90.5
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","All Grades","Push Up",62.7
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","All Grades","Push Up",79.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","All Grades","Push Up",58.2
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","All Grades","Push Up",48.4
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","All Grades","Push Up",60.8
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","All Grades","Push Up",76.1
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","All Grades","Push Up",66.9
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","All Grades","Push Up",72.0
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","All Grades","Push Up",65.4
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","All Grades","Push Up",58.8
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","All Grades","Push Up",52.5
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","All Grades","Push Up",72.0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","All Grades","Push Up",77.0
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","All Grades","Push Up",87.5
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","All Grades","Push Up",71.1
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","All Grades","Push Up",69.4
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","All Grades","Push Up",57.1
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","All Grades","Push Up",78.4
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","All Grades","Push Up",94.4
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","All Grades","Push Up",69.4
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","All Grades","Push Up",88.3
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","All Grades","Push Up",69.5
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","All Grades","Push Up",88.0
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","All Grades","Push Up",80.2
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","All Grades","Push Up",81.5
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","All Grades","Push Up","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","All Grades","Push Up",48.7
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","All Grades","Push Up",81.7
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","All Grades","Push Up",66.7
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","All Grades","Push Up",71.8
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","All Grades","Push Up",22.6
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","All Grades","Push Up",31.9
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","All Grades","Push Up",65.4
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","All Grades","Push Up",40.5
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","All Grades","Push Up",66.7
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","All Grades","Push Up",62.6
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","All Grades","Push Up",61.4
"Danbury School District","=""0340011""","South Street School","=""0341011""","All Grades","Push Up",58.0
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","All Grades","Push Up",55.6
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magne","=""0341911""","All Grades","Push Up",82.5
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","All Grades","Push Up",82.9
"Darien School District","=""0350011""","Darien High School","=""0356111""","All Grades","Push Up",89.0
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","All Grades","Push Up",100.0
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","All Grades","Push Up",94.0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","All Grades","Push Up",88.8
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","All Grades","Push Up",91.5
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","All Grades","Push Up",93.9
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","All Grades","Push Up",89.5
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","All Grades","Push Up",87.2
"Derby School District","=""0370011""","Bradley School","=""0370611""","All Grades","Push Up",69.6
"Derby School District","=""0370011""","Derby High School","=""0376111""","All Grades","Push Up",58.8
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","All Grades","Push Up",74.2
"Derby School District","=""0370011""","Irving School","=""0370411""","All Grades","Push Up",63.3
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","All Grades","Push Up",69.5
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","All Grades","Push Up",71.7
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","All Grades","Push Up",77.6
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","All Grades","Push Up",92.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","All Grades","Push Up",65.1
"East Hampton School District","=""0420011""","Center School","=""0420311""","All Grades","Push Up",48.1
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","All Grades","Push Up",80.3
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","All Grades","Push Up",74.8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","All Grades","Push Up",91.7
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","All Grades","Push Up",82.0
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","All Grades","Push Up",68.4
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","All Grades","Push Up",71.3
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","All Grades","Push Up",78.8
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","All Grades","Push Up",62.6
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","All Grades","Push Up",63.1
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","All Grades","Push Up",74.5
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","All Grades","Push Up",43.2
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","All Grades","Push Up",81.8
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","All Grades","Push Up",68.6
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","All Grades","Push Up",51.1
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","All Grades","Push Up","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World La","=""0432411""","All Grades","Push Up",65.8
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","All Grades","Push Up","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","All Grades","Push Up",71.9
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","All Grades","Push Up",55.9
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","All Grades","Push Up",81.9
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","All Grades","Push Up",64.8
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","All Grades","Push Up",58.7
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","All Grades","Push Up",80.0
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","All Grades","Push Up",95.3
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","All Grades","Push Up",81.4
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","All Grades","Push Up",83.8
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","All Grades","Push Up",76.7
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","All Grades","Push Up",66.7
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","All Grades","Push Up",56.8
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","All Grades","Push Up",74.2
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","All Grades","Push Up",51.1
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","All Grades","Push Up",80.0
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","Quinebaug Middle College","=""2536114""","All Grades","Push Up","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","All Grades","Push Up",75.6
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","All Grades","Push Up",75.1
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","All Grades","Push Up",82.3
"Ellington School District","=""0480011""","Center School","=""0480111""","All Grades","Push Up",47.5
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","All Grades","Push Up",30.8
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","All Grades","Push Up",64.4
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","All Grades","Push Up",81.0
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","All Grades","Push Up",77.8
"Ellington School District","=""0480011""","Windermere School","=""0480611""","All Grades","Push Up",80.4
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","All Grades","Push Up",65.2
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","All Grades","Push Up",0.0
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","All Grades","Push Up",84.5
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","All Grades","Push Up",55.2
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","All Grades","Push Up",85.2
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","All Grades","Push Up",70.9
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","All Grades","Push Up",91.8
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","All Grades","Push Up",83.7
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","All Grades","Push Up",81.9
"Explorations District","=""2720013""","Explorations","=""2726113""","All Grades","Push Up",30.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","All Grades","Push Up",80.6
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","All Grades","Push Up",93.3
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","All Grades","Push Up",65.1
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","All Grades","Push Up",84.9
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","All Grades","Push Up",88.3
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","All Grades","Push Up",76.2
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","All Grades","Push Up",86.5
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","All Grades","Push Up",50.0
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","All Grades","Push Up",83.3
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","All Grades","Push Up",87.5
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","All Grades","Push Up",91.0
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","All Grades","Push Up",90.2
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","All Grades","Push Up",75.7
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","All Grades","Push Up",85.7
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","All Grades","Push Up",69.6
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","All Grades","Push Up",86.6
"Farmington School District","=""0520011""","East Farms School","=""0520411""","All Grades","Push Up",57.1
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","All Grades","Push Up",85.1
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","All Grades","Push Up",86.7
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","All Grades","Push Up",61.4
"Farmington School District","=""0520011""","Union School","=""0520111""","All Grades","Push Up",62.9
"Farmington School District","=""0520011""","West District School","=""0520311""","All Grades","Push Up",79.7
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","All Grades","Push Up",72.9
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","All Grades","Push Up",88.0
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","All Grades","Push Up",58.8
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","All Grades","Push Up",87.2
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","All Grades","Push Up",63.2
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","All Grades","Push Up",85.9
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","All Grades","Push Up",74.3
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","All Grades","Push Up",58.9
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","All Grades","Push Up",49.3
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","All Grades","Push Up",81.8
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","All Grades","Push Up",80.1
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","All Grades","Push Up",76.4
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","All Grades","Push Up",75.5
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","All Grades","Push Up",86.9
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","All Grades","Push Up",62.3
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","All Grades","Push Up",29.7
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","All Grades","Push Up",93.7
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","All Grades","Push Up",73.0
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","All Grades","Push Up",75.3
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","All Grades","Push Up",84.4
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","All Grades","Push Up",93.2
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","All Grades","Push Up",89.3
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","All Grades","Push Up",74.5
"Greenwich School District","=""0570011""","North Street School","=""0570811""","All Grades","Push Up",91.0
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","All Grades","Push Up",93.8
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","All Grades","Push Up",92.1
